%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at liufang (       48.0000000000).9-Mar-2019 12:29:007.374935e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   12   2   0    3      6      2.498859 1.050283   4.064822 1.633059   5.814046 2.185051   6  
   2  3   12   1   0    1      3      8.496119 1.216834  10.228694 0.815832  11.161610 2.834696   6  
   3  2   12   2   1    6      6     14.493447 1.699410  16.709103 1.467031  18.291716 1.701817   6  
   4  4   12   4   1    4      6     20.507371 1.666313  22.689717 1.649738  24.455585 1.552009   6  
   5  3   12   3   1    2      6     26.504664 1.932710  28.953546 0.426478  29.486649 2.518246   6  
   6  2   12   2   1   -1      5     32.501946 1.482983  34.501035 0.000000  36.500090 1.502080   6  
   7  1   12   4   0    7      6     38.499208 1.149810  40.165127 0.001073  40.281754 3.717699   6  
   8  4   12   3   0    5      6     44.496501 1.516256  46.528928 0.773580  47.411860 2.584888   6  
   9  4   12   2   0    7      5     50.493801 1.832733  52.842728 0.461808  53.409155 2.584853   6  
  10  4   12   4   1    5      1     56.491072 1.682914  58.690072 0.316630  59.123231 2.868003   6  
  11  1   12   1   1    6      6     62.488370 1.616096  64.620730 0.694673  65.420362 2.568101   6  
  12  2   12   2   1    6      6     68.502304 1.499546  70.518062 1.217849  71.850783 2.151743   6  
  13  1   12   3   0    7      5     74.499580 1.799338  76.815200 0.224231  77.148388 2.851429   6  
  14  1   12   1   1    8      5     80.513521 1.149903  82.179437 1.073736  83.362231 2.651518   6  
  15  1   12   1   1    6      5     86.510816 1.432969  88.459937 0.658895  89.226249 2.784802   6  
  16  4   12   4   1    6      6     92.508094 1.532991  94.557165 0.545786  95.223543 2.784783   6  
  17  3   12   3   1    6      3     98.505380 1.649670 100.671064 0.363337 101.154182 2.851420   6  
  18  3   12   3   1    7      6    104.502668 1.632900 106.651689 0.574923 107.334716 2.668100   6  
  19  1   12   1   1    8      6    110.499944 1.183070 112.199190 1.059973 113.365310 2.634742   6  
  20  4   12   4   1    4      6    116.513888 2.266068 119.295969 1.475221 120.878583 1.135541   6  
  21  2   12   1   0    6      5    122.511172 1.749451 124.776808 1.017831 125.909630 2.101764   6  
  22  1   12   1   1    8      5    128.508459 0.883249 129.907826 0.818983 130.840739 3.167945   6  
  23  2   12   2   1    7      6    134.505738 1.499551 136.521501 0.600005 137.237847 2.768129   6  
  24  2   12   4   0    7      6    140.503024 1.866087 142.885269 0.703479 143.701585 2.301668   6  
  25  3   12   1   0    7      5    146.500312 1.133212 148.149557 0.853575 149.115796 2.884730   6  
  26  3   12   3   1    6      6    152.497596 1.466401 154.480025 0.922012 155.512904 2.484832   6  
  27  1   12   4   0    6      5    158.494867 1.449484 160.460665 0.518437 161.093706 2.901268   6  
  28  2   12   2   1    7      5    164.508820 1.183072 166.208051 0.619261 166.941051 3.067999   6  
  29  2   12   2   1    7      6    170.506101 1.333133 172.355262 0.901298 173.371472 2.634866   6  
  30  4   12   4   1    6      6    176.503388 1.316403 178.335900 0.848284 179.302132 2.701490   6  
  31  2   12   4   0    6      6    182.500672 1.516263 184.533085 1.259207 185.899129 2.101772   6  
  32  1   12   1   1    7      5    188.497949 1.149875 190.163872 0.783554 191.063459 2.934721   6  
  33  3   12   3   1    6      6    194.495234 1.949367 196.960790 0.763922 197.843723 2.151735   6  
  34  2   12   2   1    7      6    200.492532 1.599433 202.608231 0.546240 203.274601 2.718077   6  
  35  3   12   3   1    6      6    206.489820 1.632710 208.638834 0.490358 209.238564 2.751350   6  
  36  4   12   4   1    6      5    212.503744 1.316350 214.336261 1.144889 215.602337 2.401649   6  
  37  1   12   1   1    7      5    218.501041 1.199758 220.216925 0.643895 220.966574 3.034698   6  
  38  4   12   4   1    7      6    224.498318 1.399501 226.414120 0.495810 227.030526 2.968027   6  
  39  4   12   1   0    6      6    230.495595 1.566315 232.577988 0.374761 233.061123 2.934706   6  
  40  4   12   4   1    7      5    236.492892 1.432987 238.442006 0.629512 239.191668 2.801447   6  
  41  4   12   2   0    6      6    242.506817 1.599469 244.622540 0.526683 245.255582 2.751459   6  
  42  3   12   3   1    4      6    248.504118 2.149399 251.169574 1.219457 252.502297 1.501974   6  
  43  2   12   2   1    8      4    254.501406 1.166460 256.183974 0.795131 257.100215 2.901283   6  
  44  3   12   3   1    6      6    260.515345 1.765972 262.797633 0.718403 263.630594 2.384981   6  
  45  3   12   4   0    8      6    266.512624 1.216300 268.245172 0.666511 269.028147 2.984708   6  
  46  1   12   1   1    7      4    272.509907 1.182927 274.209137 0.927954 275.242005 2.768130   6  
  47  3   12   3   1    7      6    278.507205 1.616205 280.639560 0.685698 281.439206 2.568214   6  
  48  1   12   1   1    7      5    284.504480 1.299558 286.320326 0.805316 287.236575 2.768132   6  
  49  4   12   4   1    6      6    290.501764 1.816215 292.834039 0.785250 293.733628 2.268358   6  
  50  4   12   1   0    8      4    296.499041 1.316428 298.331551 0.981780 299.431042 2.568153   6  
  51  1   12   1   1    7      5    302.496314 1.233115 304.245530 0.649915 305.011856 2.984581   6  
  52  2   12   2   1    5      5    308.510274 1.782765 310.809227 0.817148 311.742136 2.268357   6  
  53  2   12   2   1    5      6    314.507543 1.533035 316.556623 1.123664 317.789402 2.218381   6  
  54  1   12   1   1    8      5    320.504841 1.033234 322.054126 0.571506 322.737168 3.267902   6  
  55  3   12  -1   0    2      3    326.502122 2.499011 329.017657 1.341280 330.466996 1.535352   6  
  56  3   12   1   0    6      5    332.499409 1.399589 334.415205 0.830037 335.364773 2.634865   6  
  57  3   12   1   0    7      5    338.496682 1.433018 340.445805 0.809660 341.362049 2.634859   6  
  58  1   12   1   1    5      5    344.493981 1.366430 346.376450 0.873828 347.359337 2.634789   6  
  59  4   12   2   0    7      5    350.491252 1.383104 352.390395 0.721088 353.223349 2.768018   6  
  60  1   12   1   1    6      6    356.505195 1.366421 358.387682 0.945251 359.453876 2.551557   6  
  61  3   12   3   1    5      6    362.502491 1.582924 364.601539 0.843005 365.551095 2.451621   6  
  62  2   12   2   1    7      6    368.499772 1.249668 370.265632 0.680149 371.065270 2.934724   6  
  63  2   12   2   1    6      6    374.497056 1.433097 376.446169 0.923879 377.479034 2.518240   6  
  64  2   12   4   0    6      7    380.494345 1.882699 382.893248 0.729563 383.742859 2.251696   6  
  65  1   12   1   1    6      5    386.491606 1.866124 388.873872 0.800520 389.790117 2.201723   6  
  66  1   12   3   0    6      6    392.488896 1.682764 394.687911 0.522284 395.320953 2.668095   6  
  67  3   12   2   0    5      5    398.502851 1.715995 400.735161 1.478436 402.334455 1.668488   6  
  68  3   12   2   0    7      6    404.516790 1.649466 406.682473 0.635938 407.432141 2.584869   6  
  69  4   12   4   1    8      5    410.514073 1.233030 412.263273 0.678794 413.062914 2.951384   6  
  70  2   12   2   1    5      5    416.511347 0.999830 418.027330 1.408964 419.543319 2.468266   6  
  71  4   12   4   1    8      5    422.508628 1.116398 424.141230 0.705160 424.957532 3.051330   6  
  72  4   12   4   1    7      5    428.505920 1.333023 430.355097 0.526972 430.988129 3.018021   6  
  73  1   12   4   0    7      5    434.503207 1.482933 436.502299 0.489887 437.102035 2.901396   6  
  74  3   12   3   1    3      5    440.500491 2.132661 443.149292 1.180810 444.448701 1.551968   6  
  75  2   12   2   1    7      5    446.497771 1.266436 448.280305 0.830601 449.229864 2.768018   6  
  76  1   12   1   1    8      6    452.511727 0.999747 454.027723 1.135759 455.277137 2.734804   6  
  77  3   12   3   1    7      7    458.509002 1.816161 460.841280 0.667635 461.624252 2.384978   6  
  78  2   12   2   1    7      5    464.506276 1.416325 466.438745 0.649636 467.205069 2.801449   6  
  79  4   12   4   1    7      7    470.503569 1.399687 472.419363 0.420828 472.952457 3.051339   6  
  80  4   12   4   1    6      5    476.500851 1.799521 478.816474 1.133453 480.065900 1.935180   6  
  81  2   12   2   1    6      6    482.498122 1.466285 484.480579 1.138529 485.730001 2.268352   6  
  82  2   12   2   1    6      7    488.495414 1.682789 490.694425 0.748431 491.560694 2.434872   6  
  83  2   12   2   1    6      6    494.492712 1.982656 496.991569 1.024151 498.124401 1.868401   6  
  84  2   12   2   1    7      6    500.506644 1.399506 502.422444 0.932324 503.471974 2.534910   6  
  85  3   12   4   0    3      6    506.503928 2.032660 509.052768 0.799896 509.969020 2.035137   6  
  86  1   12   1   1    6      2    512.501219 1.882720 514.900122 1.019660 516.032942 1.968509   6  
  87  4   12   4   1    7      6    518.498497 1.666008 520.680841 0.179618 520.980711 3.018016   6  
  88  1   12   4   0    7      6    524.495788 1.499680 526.511538 0.493975 527.111260 2.884756   6  
  89  3   12   4   0    6      7    530.493068 1.849285 532.858656 0.238156 533.208495 2.784784   6  
  90  1   12   1   1    5      5    536.490356 1.849459 538.855939 0.740776 539.705552 2.284960   6  
]; % This session completes at 09-Mar-2019 12:38:21, 544.006s after session start, 540s on 90 trials, totally 560.688s.

