%% MetaTwins_RDMsc_training for 'liufang': starting at _nofeedback (       48.0000000000).9-Mar-2019 11:53:43 for '7.374935e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  15  4    4   1    0    7    2.498869   0    0  1.333322   3.948218 0.651130   4.714528  0   0    4.714528 1.284570   4  
   2  15  3    3   1    0    6    6.497055   0    0  1.716465   8.329563 0.934293   9.379086  0   0    9.379086 0.618195   4  
   3  14  3    3   1    0    1   10.495237   0    0  1.983055  12.594299 1.068486  13.777088  0   0   13.777088 1.218393   5  
   4  14  2    2   1    0    8   15.492986   0    0  1.216757  16.825712 0.428701  17.358807  0   0   17.358807 0.634406   3  
   5  13  4    4   1    0    8   18.508294   0    0  1.716530  20.340789 0.420137  20.873883  0   0   20.873883 1.134620   4  
   6  13  3    3   1    0    2   22.506473   0    0  2.416233  25.038653 1.291927  26.438021  0   0   26.438021 0.568684   5  
   7  12  2   -1   0    0    4   27.504203   0    0  0.000000  30.019748 0.072057  30.202988  0   0   30.202988 0.801450   4  
   8  12  4    4   1    0    7   31.502397   0    0  1.449855  33.068356 1.256771  34.434397  0   0   34.434397 0.568227   4  
   9  12  4    4   1    0    5   35.500587   0    0  1.916490  37.533009 0.828291  38.465909  0   0   38.465909 0.534908   4  
  10  11  3    3   1    0    1   39.498776   0    0  2.132924  41.747755 1.127293  42.980529  0   0   42.980529 1.018475   5  
  11  11  1    1   1    0    1   44.496517   0    0  1.833030  46.462281 0.945165  47.511823  0   0   47.511823 1.484914   5  
  12  10  1    2   0    0    5   49.494251   0    0  2.016364  51.676577 0.986748  52.776095  0   0   52.776095 1.218388   5  
  13  10  1    2   0    0    1   54.508646   0    0  1.783133  56.441098 0.663533  57.224080  0   0   57.224080 0.784795   4  
  14  11  4    4   1    0    5   58.506835   0    0  1.283382  59.906192 0.984442  61.005707  0   0   61.005707 1.001360   4  
  15  11  3    3   1    0    6   62.505016   0    0  1.649883  64.270890 1.242225  65.620283  0   0   65.620283 1.384970   5  
  16  10  4    4   1    0    5   67.502766   0    0  1.966296  69.585143 1.435798  71.134450  0   0   71.134450 0.868543   5  
  17  10  3    3   1    0    1   72.500490   0    0  2.066272  74.682769 0.965439  75.765689  0   0   75.765689 1.235041   5  
  18   9  4    4   1    0   -1   77.498239   0    0  2.233564  79.847174 0.000000  81.846205  0   0   81.846205 1.152248   6  
  19   9  4    4   1    0    1   83.495514   0    0  2.032838  85.644538 1.159870  86.910640  0   0   86.910640 1.085107   5  
  20   9  2    1   0    0    2   88.509918   0    0  2.166132  90.792214 1.658985  92.558074  0   0   92.558074 1.452056   6  
  21   9  3    2   0    0    2   94.507189   0    0  2.349603  96.972745 1.397495  98.488724  0   0   98.488724 0.518692   5  
