%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at liuyuan (       48.0000000000).9-Mar-2019 12:28:577.374935e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   14   2   1    4      6      2.498916 1.100349   4.114865 0.735121   4.964481 3.034679   6  
   2  4   14   2   0    6      1      8.496207 1.099897  10.112149 0.428880  10.661908 3.334534   6  
   3  1   14   1   1    1      6     14.493511 1.532796  16.542582 0.488656  17.158969 2.834760   6  
   4  3   14   2   0    6      2     20.507457 1.183131  22.206697 0.448682  22.773106 3.234577   6  
   5  3   14   4   0    1      1     26.504747 2.232605  29.253493 0.148318  29.520068 2.484905   6  
   6  1   14   2   0    8      7     32.502041 1.083100  34.101313 0.523053  34.751009 3.251236   6  
   7  4   14   2   0    8      2     38.499322 0.983251  39.998652 0.761066  40.881580 3.117974   6  
   8  2   14   2   1    8      6     44.496602 0.833273  45.846003 0.981281  46.945518 3.051317   6  
   9  3   14   2   0    2      7     50.493909 0.949881  51.959903 0.253778  52.326416 3.667693   6  
  10  1   14   4   0    8      6     56.491198 1.549585  58.556937 1.163568  59.839683 2.151724   6  
  11  3   14   1   0    6      1     62.505150 1.566201  64.587530 0.748814  65.453807 2.551540   6  
  12  3   14   4   0    5      6     68.502438 1.366425  70.384918 1.190035  71.700981 2.301659   6  
  13  4   14   3   0    5      1     74.499729 1.666049  76.682072 0.380423  77.181847 2.818078   6  
  14  3   14   2   0    5      6     80.497024 1.682937  82.696021 0.665363  83.479000 2.518215   6  
  15  3   14   2   0    3      1     86.494305 1.866106  88.876561 0.636505  89.626222 2.368287   6  
  16  4   14   2   0    4      6     92.491606 1.632738  94.640619 0.694937  95.456936 2.534853   6  
  17  2   14   1   0    2      3     98.505533 1.532889 100.554614 0.710633 101.387574 2.618169   6  
  18  4   14   3   0    2      6    104.502820 0.000000 107.518143 0.461370 108.101214 1.901807   6  
  19  4   14   2   0    6      5    110.500131 1.466304 112.482574 0.691091 113.298861 2.701451   6  
  20  1   14   2   0    3      4    116.497413 1.899467 118.913004 0.182879 119.212866 2.784740   6  
  21  1   14   1   1    4      7    122.494709 1.299782 124.310543 0.144937 124.577090 3.417793   6  
  22  2   14   2   1    6      7    128.491996 1.299629 130.307836 0.451446 130.874255 3.117933   6  
  23  1   14   1   1    3      8    134.505942 1.166473 136.188523 0.536934 136.854876 3.151250   6  
  24  3   14   1   0    4      3    140.503236 1.382954 142.402382 0.384882 142.902156 3.101260   6  
  25  3   14   3   1    3      7    146.500521 1.482964 148.499635 0.153033 148.766178 3.234532   6  
  26  3   14   2   0    5      7    152.497821 1.132930 154.147076 0.099986 154.363645 3.634357   6  
  27  3   14   1   0    3      2    158.495108 1.799596 160.810727 1.099821 162.026845 1.968440   6  
  28  4   14   2   0    3      7    164.492397 1.133235 166.141670 1.176172 167.441062 2.551511   6  
  29  2   14   2   1    3      3    170.489694 1.282887 172.288874 0.750160 173.155145 2.834710   6  
  30  1   14   1   1    6      7    176.503642 0.750036 177.769736 1.432231 179.319034 2.684777   6  
  31  2   14   2   1    3      7    182.500927 1.316273 184.333425 0.920799 185.382954 2.618137   6  
  32  4   14   2   0    3      6    188.498223 0.983281 189.997546 0.531134 190.647257 3.351119   6  
  33  4   14   4   1    6      2    194.495506 1.949522 196.961057 0.066588 197.144303 2.851360   6  
  34  2   14   2   1    3      2    200.492796 1.249582 202.258662 0.746814 203.124934 2.868030   6  
  35  2   14   2   1    4      4    206.490085 1.499634 208.505848 0.219812 208.855694 3.134556   6  
  36  4   14   2   0    4      4    212.504031 1.582938 214.603091 0.751104 215.469369 2.534827   6  
  37  4   14   2   0    5      5    218.501328 1.765969 220.783620 0.318795 221.216769 2.784706   6  
  38  1   14   1   1    5      8    224.498618 0.766476 225.781366 0.538550 226.447737 3.551037   6  
  39  3   14   2   0    4      4    230.495914 1.232904 232.245113 0.363499 232.728245 3.267812   6  
  40  2   14   2   1    3      4    236.493202 1.399605 238.408996 0.317428 238.842138 3.151202   6  
  41  2   14   1   0    4      7    242.490493 1.183101 244.189727 0.792036 245.105974 2.884657   6  
  42  2   14   2   1    2      7    248.504432 1.566278 250.586841 1.482404 252.186117 1.818468   6  
  43  2   14   2   1    3      8    254.501721 0.799869 255.817827 0.846195 256.784020 3.217841   6  
  44  2   14   4   0    3      6    260.499015 1.383237 262.398155 0.401828 262.914580 3.084570   6  
  45  1   14   1   1    3      7    266.496302 1.366396 268.378786 0.295531 268.795275 3.201166   6  
  46  3   14   3   1    3      6    272.493602 1.966081 274.975815 0.965628 276.058644 1.935094   6  
  47  4   14   1   0    4      6    278.490903 1.383031 280.390033 1.076988 281.589492 2.401531   6  
  48  1   14   2   0    3      4    284.488187 1.749567 286.753823 1.312286 288.186503 1.801802   6  
  49  4   14   2   0    4      6    290.502127 0.966750 291.984791 0.949532 293.050973 2.951288   6  
  50  1   14   4   0    1      1    296.499407 1.566362 298.581816 1.305804 300.014506 1.985032   6  
  51  3   14   2   0    4      6    302.496705 1.483026 304.495802 0.718695 305.328765 2.668069   6  
  52  2   14   1   0    4      2    308.493993 1.449899 310.459784 0.568778 311.142797 2.851326   6  
  53  1   14   1   1    1      8    314.491300 0.750014 315.757396 1.619404 317.506599 2.484805   6  
  54  2   14   2   1    3      7    320.488583 1.333006 322.337727 0.284866 322.737554 3.251139   6  
  55  1   14   2   0    4      4    326.502513 1.582977 328.601586 0.704160 329.434550 2.568094   6  
  56  3   14   4   0    4      1    332.499831 2.199289 335.215261 0.604716 335.948261 2.051664   6  
  57  3   14   1   0    6      6    338.497108 1.682968 340.696118 0.601722 341.412459 2.584760   6  
  58  4   14   1   0    8      6    344.494401 1.916013 346.926626 0.149122 347.193165 2.801338   6  
  59  1   14   2   0   -1      2    350.491691 1.566170 352.574087 0.000000 354.589843 1.401942   6  
  60  4   14   1   0    3      3    356.488987 1.732659 358.737968 1.006073 359.870791 2.118293   6  
  61  1   14   1   1    5      8    362.502935 1.199757 364.218827 1.798696 366.134630 1.868398   6  
  62  2   14   3   0    8      8    368.500216 1.749421 370.765871 0.565374 371.448885 2.551439   6  
  63  4   14   1   0    5      5    374.497518 0.983129 375.996840 1.390712 377.512813 2.484791   6  
  64  3   14   4   0    3      1    380.494798 1.932756 382.943692 0.569773 383.626715 2.368161   6  
  65  4   14   1   0    5      4    386.492103 1.366398 388.374569 1.302222 389.807259 2.184912   6  
  66  3   14   3   1    3      6    392.489378 1.749498 394.755037 1.078509 395.954487 2.034978   6  
  67  1   14   1   1    5      7    398.486677 1.099734 400.102619 0.541274 400.768967 3.217782   6  
  68  4   14   2   0    4      4    404.500633 1.666145 406.682974 0.436764 407.232723 2.767981   6  
  69  4   14   1   0    6      2    410.497923 1.399608 412.413715 0.250350 412.780213 3.217775   6  
  70  2   14   2   1    2      8    416.495200 0.883281 417.894590 0.985858 418.994071 3.001207   6  
  71  1   14   1   1    3      8    422.492504 0.733052 423.741924 1.890676 425.757686 2.234876   6  
  72  1   14   1   1    3      7    428.489781 0.866527 429.872487 1.045720 431.038630 2.951220   6  
  73  2   14   2   1    6      6    434.487076 1.699462 436.702753 0.428597 437.252483 2.734658   6  
  74  2   14   2   1    3      1    440.517686 2.349184 443.383040 0.820971 444.332629 1.685274   6  
  75  1   14   1   1    6      6    446.498314 0.849871 447.864362 1.477093 449.463641 2.534727   6  
  76  3   14   1   0    3      4    452.495599 1.266367 454.278139 0.608169 455.011128 2.984531   6  
  77  2   14   2   1    4     -1    458.492894 1.816039 460.825167 0.452554 461.391593 2.601355   6  
  78  1   14   1   1    1      7    464.490186 1.099756 466.106126 0.945001 467.172297 2.817932   6  
  79  4   14   2   0    4      6    470.504130 1.399695 472.419935 0.730988 473.269553 2.734818   6  
  80  3   14   1   0    6      2    476.501429 1.383046 478.400572 0.397872 478.917010 3.084632   6  
  81  2   14   2   1    4      8    482.515374 1.049881 484.081324 0.902009 485.097542 2.918059   6  
  82  3   14   4   0    4      2    488.496001 1.633017 490.645031 0.553695 491.328070 2.667978   6  
  83  3   14   2   0    3      7    494.509966 1.216372 496.242515 1.513986 497.875104 2.135066   6  
  84  1   14   1   1    4      8    500.507257 0.816658 501.839978 0.667986 502.622956 3.384523   6  
  85  3   14   3   1    4      5    506.504529 1.649391 508.670221 0.000741 508.786836 3.217919   6  
  86  4   14   1   0   -1      4    512.501814 1.166374 514.184399 0.000000 516.183450 1.818606   6  
  87  4   14   3   0    4      2    518.515771 1.532727 520.564853 0.538772 521.231214 2.784785   6  
  88  4   14   2   0    6      7    524.513068 1.382824 526.412197 0.190656 526.728729 3.284560   6  
  89  1   14   1   1    6      8    530.510351 0.983288 532.009684 0.125807 532.259565 3.751018   6  
