%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at liuyanli (       48.0000000000).9-Mar-2019 12:19:107.374935e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   14   4   1    6      6      2.498938 1.499486   4.514709 1.641202   6.263912 1.735243   6  
   2  1   14   1   1    6      2      8.496235 1.700124  10.711898 1.529628  12.361147 1.635312   6  
   3  4   14   2   0    7      1     14.493497 1.882713  16.892417 1.987626  18.991472 1.002218   6  
   4  2   14   2   1    6      5     20.490793 1.483575  22.489895 1.252271  23.855932 2.135088   6  
   5  4   14   4   1   -1      8     26.504722 1.449580  28.470501 0.000000  30.469602 1.535277   6  
   6  3   14   3   1    5      7     32.502017 1.599990  34.617730 1.313011  36.050415 1.951841   6  
   7  2   14   2   1    7      1     38.499282 1.882801  40.898206 0.682372  41.697844 2.301572   6  
   8  1   14   1   1    2      1     44.496590 1.850100  46.862170 0.918625  47.895043 2.101705   6  
   9  2   14   2   1    3      8     50.493847 1.316394  52.326367 0.860562  53.292581 2.701364   6  
  10  2   14   3   0    2      5     56.491150 2.099584  59.106623 1.323988  60.539306 1.452048   6  
  11  4   14   3   0    3      4     62.505074 2.082665  65.103894 1.160135  66.369995 1.635301   6  
  12  2   14   2   1    5      4     68.502376 2.032961  71.051214 1.183433  72.350622 1.651959   6  
  13  3   14   3   1    4      2     74.516290 1.599578  76.632002 1.546351  78.297911 1.718611   6  
  14  3   14   2   0    3      1     80.513587 2.199655  83.229035 1.718675  85.061528 0.952280   6  
  15  4   14   2   0    3      1     86.510851 1.832776  88.859803 0.385891  89.359567 2.651515   6  
  16  3   14   2   0    4      5     92.508149 1.983221  95.007018 1.057968  96.173167 1.835198   6  
  17  1   14   2   0    2      1     98.505422 2.149374 101.170881 1.113219 102.403659 1.601989   6  
  18  3   14   3   1    4      1    104.502720 1.916712 106.934947 1.416035 108.467591 1.535344   6  
  19  4   14   4   1   -1      5    110.499980 1.766193 112.782283 0.000000 114.781382 1.218831   6  
  20  1   14   1   1    6      5    116.497296 1.549986 118.563009 0.725506 119.395967 2.601533   6  
  21  4   14   4   1    2      1    122.511199 2.215819 125.243300 0.589556 125.943009 2.068428   6  
  22  4   14   4   1    4      5    128.508493 1.866522 130.890738 0.603936 131.607095 2.401627   6  
  23  4   14   2   0    3      1    134.505765 2.399195 137.421104 0.692410 138.220750 1.785244   6  
  24  4   14   4   1    5      5    140.503064 1.699894 142.718727 1.153608 143.984812 2.018474   6  
  25  1   14   1   1    5      1    146.500333 1.866170 148.882585 1.688661 150.681770 1.318796   6  
  26  1   14   1   1    4      1    152.497620 1.833379 154.846552 1.308341 156.262576 1.735258   6  
  27  1   14   2   0    4      3    158.494885 1.916134 160.927127 1.049003 162.093266 1.901853   6  
  28  1   14   3   0    4      1    164.492175 1.866729 166.874434 1.424043 168.407072 1.585334   6  
  29  3   14   3   1    2      7    170.506110 1.266383 172.288660 1.089719 173.488099 2.518196   6  
  30  4   14   2   0    5      1    176.503411 1.983399 179.002256 1.436260 180.551570 1.452070   6  
  31  3   14   3   1    4      8    182.500674 1.466283 184.483105 0.989552 185.582609 2.418210   6  
  32  2   14   2   1    4      7    188.497959 1.633493 190.646985 0.886780 191.646542 2.351655   6  
  33  2   14   2   1    5      3    194.495250 1.982543 196.994096 1.350027 198.460098 1.535263   6  
  34  2   14   2   1   -1      7    200.492531 1.549953 202.558266 0.000000 203.707736 2.285022   6  
  35  1   14  -1   0    2      2    206.489793 0.000000 209.021990 1.762193 210.904467 1.085418   6  
  36  3   14   2   0    5      1    212.487089 1.666499 214.669441 1.456655 216.235391 1.751896   6  
  37  4   14   1   0    5      1    218.501017 1.632985 220.650042 1.472900 222.232668 1.768405   6  
  38  3   14   3   1    5      7    224.514966 1.566839 226.597359 1.505571 228.213304 1.801886   6  
  39  3   14   2   0    6      5    230.512239 1.832885 232.861173 1.323466 234.293863 1.718601   6  
  40  2   14   2   1    4      8    236.509534 1.716648 238.741863 0.592573 239.441543 2.568215   6  
  41  4   14   4   1    2      6    242.506815 1.516245 244.539220 0.744360 245.388839 2.618184   6  
  42  4   14   4   1    6      7    248.504104 1.150231 250.170010 0.935856 251.219526 2.784787   6  
  43  1   14   1   1    2      7    254.501374 1.532965 256.550439 0.186110 256.850330 3.151261   6  
  44  4   14   2   0    2      1    260.498678 1.699935 262.714328 0.176418 262.997534 3.001348   6  
  45  4   14   4   1    3      5    266.512586 1.582782 268.611633 1.046391 269.777781 2.235027   6  
  46  1   14   1   1    4      1    272.509879 1.883182 274.908804 1.373449 276.391451 1.618648   6  
  47  3   14   3   1    4      8    278.507155 1.566297 280.589537 0.717366 281.422508 2.584873   6  
  48  3   14   2   0    3      1    284.504454 2.183285 287.203217 0.661200 287.969535 2.035125   6  
  49  2   14   2   1    3      1    290.501705 2.032745 293.050560 0.490213 293.650290 2.351643   6  
  50  2   14   2   1    5      4    296.498999 1.783212 298.797968 1.533835 300.447218 1.552014   6  
