%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at liuyanli (       48.0000000000).9-Mar-2019 12:38:477.374935e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   14   2   0    7      6      2.499040 1.166446   4.181604 1.382368   5.680924 2.318348   6  
   2  4   14   1   0    6      2      8.496339 1.250412  10.262211 0.983863  11.361695 2.634865   6  
   3  1   14   1   1    5      6     14.493618 0.916465  15.926300 0.494442  16.526013 3.467803   6  
   4  1   14   3   0    4      5     20.490882 1.483048  22.489969 1.167865  23.772734 2.218391   6  
   5  1   14   2   0    4      5     26.504837 1.233563  28.254001 1.049572  29.420180 2.584879   6  
   6  2   14   2   1    5      5     32.502107 1.366428  34.384579 1.481691  35.983855 2.018417   6  
   7  4   14   4   1    4      3     38.499407 1.483447  40.498500 1.173182  41.781218 2.218412   6  
   8  3   14   4   0    4      2     44.496660 1.099810  46.112603 0.851376  47.078835 2.917983   6  
   9  4   14   2   0    5      3     50.493971 1.133626  52.143219 0.985812  53.242719 2.751465   6  
  10  3   14   3   1    6      6     56.491229 1.599427  58.606933 0.879058  59.606486 2.384888   6  
  11  4   14   3   0    4      2     62.488530 1.350075  64.354340 1.003388  65.470511 2.518237   6  
  12  4   14   4   1    5      7     68.502451 1.516312  70.534870 0.527770  71.167924 2.834644   6  
  13  4   14   4   1    3      5     74.499741 1.350032  76.365559 0.202177  76.682083 3.317896   6  
  14  1   14   2   0    6      7     80.497022 0.899925  81.913043 1.099044  83.129152 2.867961   6  
  15  1   14   3   0   -1      2     86.494306 1.549924  88.560039 0.000000  90.142655 1.851852   6  
  16  2   14   2   1    6      8     92.491573 1.316185  94.324071 1.451156  95.890044 2.101603   6  
  17  1   14   2   0    5     -1     98.488864 1.300067 100.304734 0.929379 101.354239 2.634812   6  
  18  3   14   3   1    4      6    104.502787 1.666296 106.685138 1.535533 108.334389 1.668633   6  
  19  1   14   3   0    4      7    110.516752 1.716875 112.749075 0.251176 113.115562 2.901415   6  
  20  4   14   4   1    4      6    116.514016 1.183105 118.213250 0.284464 118.613066 3.401186   6  
  21  4   14   3   0    3      1    122.511309 1.100472 124.127246 0.715337 124.960209 3.051327   6  
