%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at liuyanzhu (       48.0000000000).9-Mar-2019 12:19:057.374935e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   14   2   1    6      5      2.498630 1.682865   4.697242 1.785871   6.596032 1.402932   6  
   2  4   14   4   1    6      6      8.494817 1.599260  10.610140 1.851777  12.575561 1.419571   6  
   3  3   14   3   1    3      4     14.507648 1.532576  16.556340 0.736536  17.405818 2.602149   6  
   4  1   14   1   1    6     -1     20.503843 1.316057  22.336002 1.219546  23.668480 2.335679   6  
   5  1   14   1   1    6      6     26.500023 1.216074  28.232238 1.381101  29.731287 2.269127   6  
   6  1   14   2   0    2      1     32.496206 1.849137  34.861342 1.009909  35.993955 2.002556   6  
   7  1   14   1   1    5      4     38.492375 1.216130  40.224612 1.297215  41.640375 2.352309   6  
   8  2   14   2   1    5      4     44.505220 1.315998  46.337376 1.333789  47.786518 2.218987   6  
   9  3   14   3   1    6      4     50.501465 1.415986  52.433493 1.128093  53.682699 2.319010   6  
  10  4   14   4   1    5      5     56.497575 1.116469  58.129848 1.021970  59.262541 2.735325   6  
  11  3   14   3   1    5      8     62.493747 1.615969  64.625730 1.366435  66.108174 1.885869   6  
  12  2   14   2   1    5      3     68.506583 1.699390  70.721835 1.434136  72.270844 1.736038   6  
  13  4   14   4   1    6      5     74.502768 1.266223  76.284963 1.433633  77.833983 2.169062   6  
  14  3   14   3   1    5      6     80.498938 1.249470  82.264487 0.953794  83.330548 2.668685   6  
  15  4   14   3   0    5     -1     86.495120 1.199520  88.210689 1.193028  89.526517 2.468883   6  
  16  1   14   1   1    3      6     92.491285 1.699321  94.706545 0.799873  95.622638 2.368944   6  
  17  3   14   3   1    5      6     98.504157 1.599413 100.619455 1.436367 102.168467 1.835949   6  
  18  1   14   1   1    5      4    104.500408 1.199612 106.215957 1.192984 107.531722 2.468876   6  
  19  1   14   2   0    3      1    110.496570 1.665790 112.678449 0.833040 113.627817 2.368965   6  
  20  3   14   3   1    6      6    116.492754 1.066104 118.075085 0.909612 119.107678 2.885273   6  
  21  2   14   2   1    5      7    122.505506 1.399416 124.421030 0.920455 125.453644 2.552146   6  
  22  4   14   4   1    5      3    128.501710 1.132935 130.150636 0.891073 131.166674 2.835289   6  
  23  2   14  -1   0    1      2    134.497872 2.465332 136.979647 0.624615 137.712580 2.285565   6  
  24  4   14   4   1    5      5    140.494041 1.266295 142.276254 1.300965 143.692025 2.302365   6  
