%% MetaTwins_RDMsc_training for 'sunran': starting at _feedback (       48.0000000000).9-Mar-2019 16:16:07 for '7.374937e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  90  2   -1   0    0    2    2.498866   0    0  0.000000   5.014406 0.179170   5.314255 0.999551   6.313806   7.313361 0.685729   6  
   2  90  1    1   1    0    1    8.496157   0    0  1.000279   9.628864 1.393115  11.128289 0.999552  12.127841  13.127383 0.868973   6  
   3  90  4    4   1    0    7   14.493441   0    0  1.566560  16.175876 1.244666  17.525393 0.999545  18.524938  19.524494 1.469125   7  
   4  81  3    3   1    0    7   21.490266   0    0  1.416609  23.039559 0.866686  24.022442 0.999561  25.022004  26.021544 0.968871   6  
   5  81  4   -1   0    0    2   27.504216   0    0  0.000000  30.019745 0.109590  30.236304 0.999554  31.235858  32.235390 0.768957   6  
   6  81  4    4   1    0    7   33.501495   0    0  2.149600  35.767032 1.054449  36.933272 0.999541  37.932813  38.932374 1.069235   7  
   7  72  4    4   1    0    6   40.498334   0    0  1.599952  42.214219 0.498180  42.830590 0.999554  43.830144  44.829699 1.168718   6  
   8  72  3    3   1    0    8   46.495612   0    0  1.366586  47.994935 0.560846  48.661295 0.999552  49.660847  50.660385 1.335306   6  
   9  64  3    3   1    0    8   52.492886   0    0  1.599865  54.241941 0.279485  54.641912 0.999551  55.641463  56.641008 1.351934   6  
  10  64  1    1   1    0    8   58.506829   0    0  1.249978  59.872724 0.169548  60.156087 0.999547  61.155634  62.155176 0.851895   5  
  11  57  2    2   1    0    8   63.504579   0    0  1.666271  65.303727 0.500188  65.920151 0.999530  66.919681  67.919247 1.085550   6  
  12  57  1    1   1    0    8   69.501855   0    0  1.033600  70.684533 0.188432  70.984514 0.999542  71.984056  72.983634 1.018445   5  
  13  51  2    2   1    0    8   74.499588   0    0  1.150067  75.765690 0.053462  75.932274 0.999549  76.931823  77.931358 1.068457   5  
  14  51  3    3   1    0    8   79.513984   0    0  1.116824  80.763417 0.028634  80.896686 0.999561  81.896247  82.895793 1.118423   5  
  15  45  1    1   1    0    8   84.511726   0    0  1.033378  85.677871 0.000640  85.794480 0.999543  86.794023  87.793573 1.218381   5  
  16  45  2    2   1    0    8   89.509455   0    0  1.200124  90.858785 0.003064  90.975462 0.999550  91.975012  92.974567 1.035131   5  
  17  40  4    4   1    0    8   94.507195   0    0  1.300282  95.956490 0.009568  96.073149 0.999559  97.072709  98.072258 0.935165   5  
  18  40  2    2   1    0    8   99.504928   0    0  0.983448 100.604300 0.059485 100.771026 0.999553 101.770579 102.770126 1.235055   5  
  19  36  2    2   1    0    8  104.502668   0    0  1.799758 106.418474 0.036771 106.568395 0.999557 107.567952 108.567502 1.435402   6  
  20  36  2    2   1    0    8  110.499950   0    0  1.833003 112.482390 0.000693 112.599006 0.999539 113.598545 114.598099 1.402084   6  
  21  32  2    2   1    0    8  116.497233   0    0  1.216647 117.863161 0.039377 118.013211 0.999568 119.012779 120.012311 0.985162   5  
  22  32  1    1   1    0    8  121.494976   0    0  1.000098 122.644456 0.000680 122.761077 0.999535 123.760612 124.760167 1.235036   5  
  23  28  1    1   1    0    8  126.492719   0    0  0.783522 127.425628 0.001945 127.542239 0.999550 128.541790 129.541341 1.451603   5  
  24  28  3    3   1    0    8  131.507098   0    0  1.233351 132.889805 0.000775 133.006426 0.999546 134.005971 135.005521 1.001822   5  
  25  25  4    4   1    0    8  136.504841   0    0  1.150284 137.787431 0.006374 137.904205 0.999546 138.903751 139.903306 1.101785   5  
  26  25  2    2   1    0    8  141.502574   0    0  1.249907 142.901947 0.000512 143.018568 0.999535 144.018103 145.017645 0.985146   5  
  27  22  3    3   1    0    8  146.500323   0    0  1.150118 147.849708 0.000828 147.966320 0.999548 148.965868 149.965406 1.035106   5  
  28  22  1    1   1    0    8  151.498046   0    0  2.016340 153.630436 0.239457 153.980257 0.999548 154.979805 155.979365 1.018883   6  
  29  19  1    1   1    0    8  157.495332   0    0  1.633007 159.294416 0.004399 159.411136 0.999547 160.410683 161.410235 0.585249   5  
  30  19  4    4   1    0    8  162.493077   0    0  1.350112 164.025714 0.000652 164.142328 0.999552 165.141880 166.141410 0.851804   5  
  31  17  4    4   1    0    8  167.490806   0    0  1.316498 168.940090 0.002959 169.056769 0.999538 170.056307 171.055851 0.935086   5  
  32  17  1    1   1    0    8  172.488551   0    0  1.233440 173.904574 0.000751 174.021184 0.999548 175.020732 176.020275 0.968374   5  
  33  15  3    4   0    0    8  177.502936   0    0  2.216237 179.835216 0.147818 180.101758 0.999561 181.101319 182.100859 0.902169   6  
  34  15  3    3   1    0    8  183.500225   0    0  1.350060 185.016092 0.044393 185.166135 0.999550 186.165686 187.165234 0.835062   5  
  35  15  1    1   1    0    8  188.497960   0    0  1.499808 190.147130 0.003662 190.263821 0.999549 191.263370 192.262917 0.735091   5  
  36  14  2    2   1    0    8  193.512363   0    0  1.399967 195.061579 0.003687 195.178275 0.999548 196.177822 197.177360 0.835226   5  
  37  14  2    2   1    0    8  198.510101   0    0  1.250105 199.909324 0.005360 200.026072 0.999553 201.025626 202.025163 0.985153   5  
  38  13  4    4   1    0    8  203.507836   0    0  1.566563 205.207072 0.000500 205.323673 0.999543 206.323216 207.322762 0.685290   5  
  39  13  4    4   1    0    8  208.505573   0    0  0.851278 209.538434 0.000716 209.655044 0.999553 210.654597 211.654145 1.351645   5  
  40  12  3    3   1    0    8  213.503311   0    0  1.549899 215.219125 0.003182 215.335801 0.999552 216.335353 217.334910 0.668616   5  
  41  12  2    3   0    0    8  218.501046   0    0  2.282847 220.949790 0.175409 221.233142 0.999532 222.232674 223.232232 0.769033   6  
  42  12  1    1   1    0    8  224.498321   0    0  1.133429 225.781014 0.165137 226.064280 0.999538 227.063818 228.063376 0.935172   5  
  43  12  3    3   1    0    8  229.512714   0    0  2.249512 231.911638 0.068704 232.094901 0.999521 233.094422 234.093974 0.918974   6  
  44  11  3    2   0    0    8  235.510012   0    0  1.999833 237.658951 0.243399 238.008867 0.999549 239.008416 240.007962 1.002264   6  
  45  11  3    1   0    0    6  241.507281   0    0  1.249841 242.889873 0.632173 243.639650 0.999548 244.639198 245.638749 1.368766   6  
  46  12  4    4   1    0    8  247.504575   0    0  1.433298 249.087131 0.132532 249.337086 0.999535 250.336621 251.336171 0.668648   5  
  47  12  4    4   1    0    8  252.502315   0    0  1.050139 253.718430 0.071894 253.901674 0.999541 254.901215 255.900765 1.101765   5  
  48  11  3    3   1    0    8  257.500044   0    0  1.466540 259.115802 0.006803 259.232592 0.999542 260.232134 261.231689 0.768585   5  
  49  11  2    1   0    0    4  262.497774   0    0  2.116113 264.746618 0.437520 265.296508 0.999557 266.296065 267.295606 0.702413   6  
  50  11  3    1   0    0    2  268.495068   0    0  1.999762 270.677405 0.090929 270.877325 0.999534 271.876860 272.876405 1.118882   6  
  51  12  1    1   1    0    8  274.492346   0    0  1.283151 275.891670 0.055990 276.058313 0.999535 277.057848 278.057399 0.935168   5  
  52  12  1    1   1    0    8  279.506751   0    0  0.766897 280.439506 0.027398 280.572935 0.999542 281.572477 282.572016 1.434937   5  
  53  11  1    1   1    0    8  284.504487   0    0  0.683674 285.337438 0.013671 285.470704 0.999545 286.470248 287.469809 0.534859   4  
  54  11  4    1   0    0    8  288.502674   0    0  1.033499 289.701969 0.006366 289.818764 0.999527 290.818291 291.817838 1.185021   5  
  55  11  3    4   0    0    5  293.500412   0    0  1.316662 294.983082 0.472531 295.566134 0.999552 296.565686 297.565241 1.435309   6  
  56  12  2    1   0    0    3  299.497690   0    0  1.499940 301.130284 0.811003 302.046534 0.999548 303.046082 304.045630 0.952199   6  
  57  12  2    4   0    0    3  305.494974   0    0  2.299414 307.927209 1.104314 309.143317 0.999547 310.142863 311.142408 0.852671   7  
  58  13  4    4   1    0    3  312.491797   0    0  1.466477 314.107740 0.862980 315.090628 0.999552 316.090180 317.089724 0.902171   6  
  59  13  4    4   1    0    3  318.489092   0    0  1.416701 320.038380 0.664815 320.821365 0.999544 321.820908 322.820459 1.168704   6  
  60  12  1    1   1    0    7  324.503028   0    0  1.600263 326.252177 0.280785 326.652050 0.999546 327.651596 328.651142 1.352125   6  
]; % This session completes at 09-Mar-2019 16:21:56, 332.004s after session start, 328s on 60 trials, totally 348.837s, correctness is 80.000%.

