%% MetaTwins_RDMsc_training for 'sunran': starting at _nofeedback (       48.0000000000).9-Mar-2019 17:04:38 for '7.374937e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  11  3    3   1    0    6    2.498905   0    0  1.266664   3.881475 0.317630   4.314753  0   0    4.314753 0.684379   3  
   2  11  1    1   1    0    5    5.497541   0    0  1.699829   7.363371 1.070553   8.546173  0   0    8.546173 1.451611   5  
   3  10  3    3   1    0    5   10.495277   0    0  2.132989  12.760918 0.278299  13.144080  0   0   13.144080 0.851432   4  
   4  10  4    2   0    0    2   14.493477   0    0  1.916261  16.559201 0.329179  17.009006  0   0   17.009006 0.984690   4  
   5  10  1    2   0    0    5   18.508318   0    0  1.833167  20.474035 0.408633  20.990530  0   0   20.990530 1.018024   4  
   6  11  2    2   1    0    1   22.506505   0    0  2.249611  24.905427 1.109851  26.121544  0   0   26.121544 0.885207   5  
   7  11  4   -1   0    0    2   27.504252   0    0  0.000000  30.019784 0.167355  30.302987  0   0   30.302987 0.701497   4  
   8  11  2    2   1    0    2   31.502449   0    0  2.016882  33.701419 0.627581  34.434435  0   0   34.434435 0.568233   4  
   9  10  1    2   0    0    2   35.500615   0    0  1.683069  37.349788 0.448361  37.916195  0   0   37.916195 1.084654   4  
  10  10  2    4   0    0    5   39.498817   0    0  2.332966  41.947709 0.440297  42.497450  0   0   42.497450 0.501587   4  
  11  11  1   -1   0    0    4   43.497009   0    0  0.000000  46.012558 0.016795  46.145806  0   0   46.145806 0.851429   4  
  12  11  1    1   1    0    1   47.495199   0    0  1.649839  49.311040 0.326101  49.744186  0   0   49.744186 1.251237   4  
  13  11  2    2   1    0    5   51.493386   0    0  2.216283  53.842322 0.500590  54.458712  0   0   54.458712 0.534901   4  
  14  10  3    2   0    0    3   55.508231   0    0  2.116271  57.807199 1.083229  59.006659  0   0   59.006659 1.001809   5  
  15  10  4   -1   0    0    4   60.505966   0    0  0.000000  63.021514 0.070665  63.204739  0   0   63.204739 0.801454   4  
  16  10  2    2   1    0    5   64.504152   0    0  2.449549  67.102975 0.475721  67.686043  0   0   67.686043 1.318341   5  
  17  10  4    4   1    0    5   69.501903   0    0  2.282841  71.917467 1.246463  73.283520  0   0   73.283520 0.718600   5  
  18   9  1    3   0    0    5   74.499636   0    0  2.216271  76.848567 0.366135  77.331690  0   0   77.331690 0.668169   4  
  19   9  4    2   0    0    5   78.497815   0    0  1.899766  80.513427 0.142412  80.763468  0   0   80.763468 1.234578   4  
  20  10  2    3   0    0    1   82.496009   0    0  2.299953  84.911586 1.276449  86.294286  0   0   86.294286 0.701943   5  
  21  10  2    2   1    0    5   87.510414   0    0  2.216160  89.875983 0.571973  90.559018  0   0   90.559018 1.451611   5  
  22  10  2    2   1    0    5   92.508147   0    0  2.382881  95.056987 0.963097  96.139830  0   0   96.139830 0.868535   5  
  23   9  1    3   0    0    1   97.505878   0    0  2.249587  99.938113 0.972564 101.020938  0   0  101.020938 0.985164   5  
  24   9  2    4   0    0    5  102.503617   0    0  2.266202 104.902513 0.555833 105.568901  0   0  105.568901 1.434945   5  
  25  10  1    3   0    0    5  107.501353   0    0  1.949666 109.633723 0.151709 109.900268  0   0  109.900268 1.101305   4  
  26  10  4    1   0    0    5  111.499541   0    0  1.766460 113.381938 0.270376 113.765188  0   0  113.765188 1.234585   4  
  27  11  3    3   1    0    5  115.497734   0    0  1.499744 117.180308 0.168759 117.463504  0   0  117.463504 0.534452   3  
  28  11  1    3   0    0    3  118.496369   0    0  2.449580 121.145174 0.358717 121.611626  0   0  121.611626 1.384982   5  
