%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at sunyang (       48.0000000000).9-Mar-2019 17:22:317.374937e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   5    3   0    3    2.498923 1.816995   4.481303 1.587219   6.197191 1.801950   6  
   2  3   5    2   0    3    8.496149 1.267157   9.928715 1.304685  11.361537 2.634800   6  
   3  4   5    3   0    2   14.493448 1.500243  16.142757 0.966970  17.242386 2.751268   6  
   4  1   5    4   0    5   20.490798 1.383691  22.039981 1.434391  23.589329 2.401577   6  
   5  1   5    4   0    5   26.488016 1.150489  27.820591 0.845370  28.787057 3.201091   6  
   6  4   5    2   0    3   32.501971 1.450401  34.151230 1.907187  36.183649 1.818725   6  
   7  3   5    3   1    7   38.515992 0.983892  39.682064 1.371975  41.181451 2.834799   6  
   8  4   5    3   0    2   44.513209 1.383710  46.062609 0.996601  47.178686 2.834843   6  
   9  3   5    4   0    5   50.510561 0.850540  51.543335 0.902446  52.576311 3.434431   6  
  10  4   5    2   0    3   56.507864 2.366607  59.056490 0.908230  60.089500 1.918527   6  
  11  3   5    4   0    5   62.505081 1.367029  64.037800 0.711853  64.870696 3.134726   6  
  12  1   5    2   0    5   68.502444 1.916888  70.618085 1.864076  72.600520 1.402078   6  
  13  4   5    1   0    5   74.499659 1.966788  76.582128 0.562800  77.265088 2.734810   6  
  14  3   5    3   1    5   80.496945 1.850241  82.479453 0.784147  83.395643 2.601573   6  
  15  4   5    2   0    3   86.494252 1.517065  88.243521 1.743392  90.109280 1.885120   6  
  16  2   5    4   0    5   92.491609 0.883924  93.557654 0.781991  94.457392 3.534320   6  
  17  4   5    4   1    5   98.488887 1.766798 100.454671 0.841774 101.404174 2.584734   6  
  18  2   5    2   1   -1  104.502778 1.483739 106.218743 0.000000 108.217723 1.785282   6  
  19  1   5    2   0    1  110.516791 1.800180 112.549219 1.621496 114.298426 1.718530   6  
  20  1   5    1   1    7  116.514008 1.600345 118.263221 0.958941 119.346066 2.668174   6  
  21  2   5    4   0    5  122.511307 1.283747 123.977382 1.070611 125.176773 2.834755   6  
  22  2   5    2   1    3  128.508598 1.483815 130.174357 1.247282 131.540560 2.468367   6  
  23  3   5    4   0    5  134.505890 1.816926 136.505082 1.197040 137.821056 2.185063   6  
  24  4   5    4   1    7  140.503174 1.283743 141.935940 0.307640 142.368986 3.634431   6  
  25  3   5    2   0    1  146.500461 1.050538 147.733115 0.891123 148.749454 3.251241   6  
  26  3   5    2   0    7  152.497829 1.866906 154.580152 0.721468 155.429775 2.568193   6  
  27  1   5    1   1    3  158.495053 1.367007 160.027751 1.254285 161.410394 2.584817   6  
  28  1   5    3   0    7  164.492404 0.950619 165.608500 0.479553 166.208222 3.784321   6  
  29  4   5    4   1    5  170.489629 1.500353 172.138731 1.137184 173.404978 2.584736   6  
  30  1   5    2   0    3  176.486924 0.950561 177.636469 0.715564 178.469364 3.517675   6  
  31  4   5    2   0    3  182.500873 2.117785 184.816500 1.040031 185.982640 2.018458   6  
  32  4   5    4   1    7  188.514881 0.917230 189.597668 0.339200 190.064119 3.951019   6  
  33  2   5    2   1    1  194.512164 1.950148 196.644455 0.791145 197.560733 2.451603   6  
  34  2   5    3   0    7  200.509457 1.767356 202.475001 0.854729 203.458068 2.551661   6  
  35  1   5    4   0    5  206.506682 1.300497 207.972780 1.009522 209.105578 2.901340   6  
  36  3   5    3   1    5  212.503986 1.383843 214.086592 0.696733 214.902893 3.101316   6  
  37  3   5    2   0    7  218.501330 1.050595 219.800687 1.438521 221.366641 2.634951   6  
