%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at xuejingwen (       48.0000000000).9-Mar-2019 17:53:017.374937e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   11   1   1    4    2.498855 1.666488   4.281396 0.877762   5.280931 2.718186   6  
   2  1   11   1   1    1    8.496130 1.833109  10.478579 0.601907  11.194935 2.801353   6  
   3  3   11   1   0    1   14.493428 1.833879  16.475864 0.602702  17.192209 2.801434   6  
   4  3   11   2   0    4   20.507356 1.966228  22.639760 0.946271  23.705914 2.301675   6  
   5  2   11   1   0    3   26.504652 1.667206  28.287176 0.986743  29.386670 2.618217   6  
   6  2   11   4   0    6   32.501902 1.799849  34.434389 0.674217  35.217354 2.784787   6  
   7  4   11   4   1    7   38.499203 1.700954  40.331700 1.097867  41.547833 2.451602   6  
   8  1   11   1   1    1   44.496482 1.649842  46.278972 0.621482  47.012010 2.984668   6  
   9  2   11   2   1    3   50.493764 1.700739  52.342934 1.182537  53.642340 2.351668   6  
  10  4   11   4   1    7   56.491045 1.549782  58.206946 0.543788  58.856644 3.134472   6  
  11  3   11   3   1    6   62.504999 1.817619  64.487423 0.660919  65.253769 2.751473   6  
  12  3   11   4   0    6   68.502250 1.816540  70.434740 0.876646  71.417616 2.584867   6  
  13  1   11   4   0    7   74.499561 1.667706  76.298742 0.570438  76.981699 3.018085   6  
  14  2   11   4   0    6   80.496824 1.633350  82.262708 0.693191  83.062342 2.934726   6  
  15  2   11   4   0    6   86.494116 1.783546  88.426574 1.043639  89.576052 2.418299   6  
  16  1   11   1   1    1   92.491386 1.883082  94.490493 0.376865  94.973596 3.017929   6  
  17  1   11   1   1    3   98.488691 1.617402 100.237887 0.776488 101.120818 2.868053   6  
  18  3   11   1   0    4  104.502607 1.883080 106.518399 0.861200 107.501259 2.501585   6  
  19  1   11   1   1    4  110.499917 2.200414 112.832189 0.642452 113.581830 2.418318   6  
  20  4   11   4   1    7  116.497165 1.383345 118.013187 0.456372 118.579579 3.417832   6  
  21  4   11   4   1    6  122.494471 2.100560 124.726789 0.492318 125.326513 2.668172   6  
  22  2   11   4   0    6  128.491741 1.683085 130.307590 0.808377 131.223838 2.768095   6  
  23  4   11   4   1    6  134.489079 2.400620 137.004553 0.564417 137.687515 2.301709   6  
  24  3   11   1   0    1  140.486291 2.033394 142.718524 0.609568 143.434974 2.551382   6  
  25  4   11   4   1    7  146.500245 1.600714 148.266113 0.694605 149.065806 2.934663   6  
  26  3   11   3   1    2  152.497520 2.183032 154.813147 0.580103 155.512823 2.484930   6  
  27  2   11   1   0    3  158.494813 1.767219 160.427290 0.701921 161.243573 2.751454   6  
  28  4   11   2   0    4  164.492086 1.499916 166.157987 0.873575 167.140880 2.851430   6  
  29  4   11   2   0    4  170.506029 1.983759 172.638392 0.894659 173.654605 2.351634   6  
  30  1   11   2   0    3  176.503305 1.966330 178.619048 0.757466 179.485293 2.518123   6  
  31  1   11   1   1    2  182.517261 1.933736 184.582992 1.003997 185.699145 2.318356   6  
  32  2   11   4   0    6  188.514520 1.499956 190.180455 0.563784 190.863470 3.151276   6  
  33  1   11   1   1    4  194.511819 1.800985 196.444266 0.697214 197.260567 2.751467   6  
