%% MetaTwins_RDMsc_training for 'xuejingwen': starting at _feedback (       48.0000000000).9-Mar-2019 16:54:37 for '7.374937e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  10  1    1   1    0    7    2.498948   0    0  1.399837   4.014931 0.650509   4.781264 0.999524   5.780788   6.780340 1.218822   6  
   2  10  4    1   0    0    7    8.496235   0    0  1.300938   9.928915 0.752502  10.795187 0.999556  11.794742  12.794274 1.202199   6  
   3  10  4    4   1    0    2   14.493517   0    0  1.966292  16.592576 1.435597  18.141862 0.999555  19.141417  20.140934 0.852675   7  
   4  10  3    1   0    0    2   21.507007   0    0  1.383341  23.006318 0.861325  23.972542 0.999557  24.972099  25.971696 1.035523   6  
   5  10  1    1   1    0    7   27.504287   0    0  1.067653  28.720410 1.151428  29.986492 0.999547  30.986040  31.985579 1.018927   6  
   6  10  1    1   1    0    7   33.501552   0    0  2.249620  35.867133 0.910100  36.883353 0.999549  37.882902  38.882463 1.119328   7  
   7   9  3    3   1    0    5   40.498401   0    0  2.017682  42.647403 1.136995  43.896855 0.999542  44.896397  45.895927 1.102688   7  
   8   9  4    4   1    0    7   47.495210   0    0  2.449572  50.077391 1.502415  51.693304 0.999567  52.692871  53.692414 1.303026   8  
   9   8  1    1   1    0   -1   55.491592   0    0  2.033016  57.640611 0.000000  59.639635 0.999637  60.639271  61.638772 1.352978   8  
  10   8  4   -1   0    0    1   63.487959   0    0  0.000000  66.003528 1.002928  67.119673 0.999518  68.119192  69.118760 0.869303   7  
  11   8  2    1   0    0    7   70.501469   0    0  1.184171  71.800871 1.571206  73.483439 0.999544  74.482982  75.482513 0.519163   6  
  12   8  2    3   0    0    4   76.498729   0    0  1.816532  78.481132 1.231894  79.830556 0.999554  80.830111  81.829663 1.169294   7  
  13   9  2   -1   0    0    3   83.512226   0    0  0.000000  86.027769 0.070663  86.211012 0.999547  87.210558  88.210099 0.802360   6  
  14   9  2    2   1    0    1   89.509514   0    0  1.517498  91.158762 1.227274  92.491483 0.999556  93.491040  94.490570 0.519168   6  
  15   9  2    2   1    0    1   95.506780   0    0  1.799773  97.439217 1.006335  98.555422 0.999523  99.554945 100.554507 1.452522   7  
  16   8  1    2   0    0    1  102.503615   0    0  1.933052 104.619354 1.718926 106.451827 0.999552 107.451379 108.450930 0.552925   7  
  17   8  1    2   0    0    1  109.500443   0    0  2.267611 111.915980 1.014715 113.048844 0.999556 114.048400 115.047910 0.952714   7  
  18   9  3   -1   0    0    2  116.513918   0    0  0.000000 119.029478 0.195692 119.345981 0.999561 120.345543 121.345076 0.669080   6  
  19   9  4    4   1    0    7  122.511223   0    0  1.600697 124.260439 0.843078 125.209992 0.999551 126.209542 127.209084 0.802368   6  
  20   9  4    3   0    0    1  128.508497   0    0  2.482795 131.123974 1.331662 132.573307 0.999554 133.572861 134.572422 1.436296   8  
  21   9  3   -1   0    0    7  136.504867   0    0  0.000000 139.020403 0.000503 139.137009 0.999539 140.136548 141.136096 0.869006   6  
  22   9  1    3   0    0    1  142.502162   0    0  2.200306 144.834413 1.038720 145.983909 0.999551 146.983460 147.982988 1.019388   7  
  23  10  4    2   0    0    7  149.498965   0    0  1.449895 151.081598 1.422434 152.614227 0.999553 153.613780 154.613337 1.385808   7  
  24  10  2   -1   0    0    1  156.495792   0    0  0.000000 159.011353 1.247229 160.377384 0.999538 161.376922 162.376477 0.619517   7  
  25  10  3    2   0    0    1  163.492646   0    0  1.317601 164.975291 1.547366 166.641213 0.999540 167.640753 168.640294 1.352528   7  
  26  11  1   -1   0    0    1  170.506107   0    0  0.000000 173.021677 1.492756 174.620928 0.999554 175.620482 176.620022 1.386316   8  
  27  11  3   -1   0    0    3  178.502493   0    0  0.000000 181.018023 0.956995 182.084196 0.999571 183.083766 184.083296 0.919419   7  
  28  11  1    1   1    0   -1  185.499333   0    0  2.250283 187.881571 0.000000 189.880684 0.999521 190.880205 191.879752 1.119793   8  
  29  11  2    3   0    0    7  193.495697   0    0  1.983036 195.644728 1.563026 197.327288 0.999611 198.326899 199.326392 0.669528   7  
  30  11  2    4   0    0    4  200.492522   0    0  1.966105 202.608195 1.076316 203.791023 0.999566 204.790589 205.790123 1.202639   7  
  31  12  3    2   0    0    4  207.489352   0    0  2.017486 209.671705 1.130031 210.921139 0.999547 211.920685 212.920208 1.069368   7  
  32  12  3    4   0    0   -1  214.502828   0    0  2.299597 216.918408 0.000000 218.917515 0.999545 219.917060 220.916655 1.086405   8  
  33  12  2    4   0    0    7  222.499199   0    0  1.549942 224.198473 1.114665 225.431222 0.999547 226.430769 227.430323 0.569123   6  
  34  13  3    2   0    0    7  228.496510   0    0  1.467359 230.112420 0.714087 230.945394 0.999548 231.944942 232.944467 1.052261   6  
  35  13  3    2   0    0    7  234.493769   0    0  1.949776 236.592837 1.143917 237.842252 0.999555 238.841807 239.841359 1.152641   7  
  36  14  2    4   0    0   -1  241.507263   0    0  2.249570 243.889521 0.000000 245.888598 0.999571 246.888168 247.887717 1.119768   8  
  37  14  3    2   0    0    1  249.503630   0    0  1.583197 251.236179 1.242410 252.585568 0.999557 253.585126 254.584671 1.419118   7  
  38  14  2    2   1    0   -1  256.500454   0    0  2.382870 259.016005 0.000000 261.015096 0.999543 262.014638 263.014180 0.986510   8  
  39  14  1   -1   0    0    3  264.513508   0    0  0.000000 267.029057 0.076220 267.212277 0.999548 268.211825 269.211370 0.802352   6  
  40  14  4    4   1    0    7  270.510788   0    0  1.417886 272.060089 0.676528 272.843065 0.999552 273.842616 274.842149 1.168857   6  
  41  14  4    4   1    0    2  276.508052   0    0  1.683240 278.307254 1.541530 279.956529 0.999519 280.956048 281.955602 1.052698   7  
  42  13  1    1   1    0   -1  283.504890   0    0  1.816484 285.437371 0.000000 287.436463 0.999527 288.435990 289.435546 0.569571   7  
  43  13  3    3   1    0    7  290.501712   0    0  1.433225 292.067643 0.452429 292.634089 0.999539 293.633628 294.633191 1.368762   6  
  44  13  2    4   0    0    1  296.499007   0    0  1.833914 298.464800 1.730871 300.313947 0.999531 301.313478 302.313018 0.686229   7  
  45  13  1    1   1    0    7  303.495824   0    0  2.132882 305.761463 1.023288 306.894277 0.999552 307.893829 308.893385 1.102533   7  
  46  13  1    1   1    0    4  310.509290   0    0  1.817382 312.441781 1.915654 314.474197 0.999528 315.473726 316.473271 0.536290   7  
  47  12  2    1   0    0    7  317.506136   0    0  1.982983 319.638491 0.699118 320.454801 0.999566 321.454367 322.453902 0.552468   6  
  48  12  4    1   0    0    4  323.503441   0    0  2.167121 325.802388 1.277901 327.185095 0.999556 328.184651 329.184185 0.819463   7  
  49  13  4    4   1    0   -1  330.500251   0    0  1.966451 332.599312 0.000000 334.598372 0.999586 335.597958 336.597495 1.402984   8  
  50  13  2    1   0    0    7  338.496621   0    0  2.382826 340.995499 0.671144 341.778466 0.999554 342.778020 343.777569 1.219257   7  
  51  13  4    4   1    0    7  345.493461   0    0  1.467764 347.092718 0.833287 348.042308 0.999557 349.041865 350.041378 0.952260   6  
  52  13  1    1   1    0    1  351.490725   0    0  2.099694 353.706375 0.960359 354.772584 0.999547 355.772131 356.771690 1.219127   7  
  53  12  3    2   0    0    1  358.504235   0    0  1.784048 360.453367 1.089627 361.652803 0.999549 362.652352 363.651874 1.352581   7  
  54  12  3   -1   0    0   -1  365.501063   0    0  0.000000 368.016586 0.000000 370.015605 0.999620 371.015225 372.014773 0.986504   8  
  55  12  4    4   1    0    1  373.497415   0    0  1.866426 375.513111 0.704015 376.329470 0.999559 377.329029 378.328574 0.669082   6  
  56  12  1    3   0    0    2  379.494714   0    0  1.601034 381.243922 1.246792 382.609969 0.999595 383.609564 384.609046 1.385894   7  
  57  12  4    4   1    0    4  386.491537   0    0  2.099614 388.740540 1.193475 390.039923 0.999547 391.039470 392.039030 0.952698   7  
  58  12  4    4   1    0    4  393.488371   0    0  2.000867 395.637387 1.468508 397.220016 0.999514 398.219531 399.219088 0.769514   7  
  59  11  2    4   0    0    7  400.501859   0    0  1.799695 402.417643 0.650894 403.183971 0.999567 404.183538 405.183030 0.818885   6  
  60  11  3    3   1    0    1  406.515803   0    0  2.416960 409.047982 1.390790 410.547304 0.999526 411.546830 412.546372 1.469669   8  
]; % This session completes at 09-Mar-2019 17:01:42, 416.003s after session start, 412s on 60 trials, totally 424.926s, correctness is 41.667%.

