%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at xuejingya (       48.0000000000).9-Mar-2019 17:42:267.374937e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   14   4   1    8    2.498411 1.182943   3.797388 0.917997   4.830257 3.168472   6  
   2  2   14   1   0    8    8.494578 1.582580  10.210160 0.799432  11.126239 2.868674   6  
   3  4   14   3   0    1   14.507429 1.349941  16.006408 0.781872  16.905894 3.101850   6  
   4  3   14   3   1    1   20.503601 1.399288  22.069271 0.521975  22.702211 3.301702   6  
   5  4   14   1   0    1   26.499778 1.266086  27.898898 0.475938  28.481846 3.518256   6  
   6  4   14   4   1    1   32.495960 1.649111  34.278160 0.319408  34.711218 3.285062   6  
   7  3   14   3   1    8   38.508795 1.532630  40.157528 0.226126  40.490861 3.518264   6  
   8  2   14   4   0    8   44.504978 1.849059  46.487044 0.384512  46.986722 3.018570   6  
   9  2   14   4   0    8   50.501149 1.316042  51.933418 0.120496  52.166765 3.834714   6  
  10  1   14   1   1    8   56.497335 1.199490  57.829812 0.280307  58.229562 3.768091   6  
  11  1   14   3   0    8   62.510176 1.615846  64.242407 0.139014  64.492239 3.518244   6  
  12  1   14   1   1    8   68.506346 0.783593  69.455708 0.063323  69.638965 4.367699   6  
  13  4   14   4   1    8   74.502531 1.515920  76.151484 0.091137  76.351346 3.651512   6  
  14  2   14   2   1    8   80.498710 1.166155  81.781081 0.191870  82.081036 3.918003   6  
  15  1   14   4   0    8   86.511555 2.432123  89.059727 0.498283  89.676205 2.335657   6  
  16  3   14   3   1    8   92.507721 1.332690  93.973462 0.251614  94.339895 3.668162   6  
  17  1   14   1   1    8   98.503899 0.849666  99.486451 0.849636 100.452672 3.551550   6  
  18  1   14   3   0    8  104.500088 0.833032 105.449479 0.231662 105.799268 4.201146   6  
  19  1   14   3   0    8  110.512917 2.065585 112.711523 0.238733 113.061297 2.951941   6  
  20  1   14   1   1    8  116.509097 0.832926 117.458361 0.128685 117.708343 4.301080   6  
  21  2   14   2   1    8  122.505281 0.949615 123.571270 0.169476 123.854427 4.151182   6  
  22  1   14   3   0    8  128.501467 0.633158 129.250984 0.016957 129.384239 4.617541   6  
  23  1   14   3   0    8  134.514298 0.649888 135.296961 0.067424 135.480356 4.534271   6  
  24  4   14   2   0    8  140.510480 0.699757 141.326635 0.172081 141.609776 4.401022   6  
  25  1   14   3   0    1  146.506666 2.115515 148.755223 0.725825 149.588021 2.418964   6  
  26  4   14   1   0    8  152.502846 0.733032 153.352299 0.142924 153.602140 4.401013   6  
  27  2   14   4   0    8  158.499015 1.282749 159.898127 0.138712 160.147966 3.851369   6  
  28  4   14   2   0    8  164.511850 1.116165 165.777713 0.224913 166.110844 3.901329   6  
  29  3   14   4   0    8  170.508038 1.349370 171.973772 0.532944 172.623359 3.384995   6  
  30  1   14   3   0    2  176.504212 2.232393 178.869390 0.827363 179.802112 2.202419   6  
  31  4   14   4   1    2  182.500388 1.166115 183.782903 0.898310 184.798935 3.201776   6  
  32  3   14   4   0    8  188.513233 1.116203 189.745610 0.296334 190.162176 3.851367   6  
  33  1   14   4   0    3  194.509410 1.882357 196.524611 0.936955 197.574132 2.435593   6  
  34  1   14   2   0    8  200.505582 1.932315 202.570944 0.276578 202.954032 3.051879   6  
  35  4   14   2   0    8  206.501764 0.800078 207.451159 0.052585 207.617728 4.384363   6  
  36  2   14   2   1    8  212.514596 1.166164 213.813785 0.937257 214.863118 3.151815   6  
  37  3   14   3   1    8  218.510789 1.182776 219.809895 0.274932 220.193054 3.818046   6  
  38  2   14   3   0    8  224.490300 0.916273 225.522991 0.279407 225.922724 4.067677   6  
  39  4   14   3   0    3  230.486491 1.599161 232.218653 0.630867 232.968244 3.018358   6  
  40  4   14   3   0    8  236.499321 0.916303 237.565314 0.590046 238.264864 3.734587   6  
  41  4   14   3   0    7  242.495513 1.282706 243.894603 0.678914 244.694102 3.301529   6  
  42  1   14   1   1    8  248.491679 0.699802 249.307827 0.151060 249.574335 4.417485   6  
  43  2   14   3   0    7  254.487867 0.816365 255.420605 0.508202 256.036880 3.951136   6  
  44  1   14   3   0    8  260.500696 0.649729 261.266885 0.413774 261.799875 4.200995   6  
  45  4   14   3   0    8  266.496872 0.633157 267.246408 0.150775 267.512903 4.484154   6  
  46  2   14   2   1    8  272.493056 0.799772 273.425797 0.265624 273.808889 4.184357   6  
  47  2   14   2   1    8  278.489249 1.232735 279.838382 0.252987 280.204815 3.784625   6  
  48  3   14   3   1    8  284.502085 0.949608 285.568065 0.339011 286.017784 3.984500   6  
  49  2   14   2   1    8  290.498261 0.666447 291.281086 0.092398 291.480957 4.517516   6  
  50  3   14   2   0    8  296.494435 1.316030 297.926864 0.280700 298.326602 3.668062   6  
  51  4   14   4   1    8  302.490622 1.166138 303.773132 0.141848 304.022964 3.967884   6  
  52  2   14   4   0    8  308.503444 0.683109 309.302938 0.062149 309.486156 4.517550   6  
  53  2   14   2   1    8  314.499638 0.683061 315.299119 0.068959 315.482336 4.517552   6  
  54  4   14   4   1    8  320.495813 0.749712 321.361930 0.070127 321.545149 4.450934   6  
  55  3   14   4   0    2  326.491977 0.766431 327.374762 0.524879 328.007690 3.984582   6  
  56  3   14   4   0    8  332.504823 0.882999 333.504188 0.151009 333.770691 4.234416   6  
  57  4   14   4   1    8  338.501010 0.666456 339.283838 0.094085 339.483711 4.517591   6  
  58  2   14   4   0    8  344.497195 0.749696 345.363298 0.049061 345.529857 4.467632   6  
  59  2   14   4   0    8  350.493362 0.599834 351.209581 0.037055 351.359488 4.634203   6  
  60  3   14   4   0    8  356.506206 0.583279 357.205761 0.022918 357.339005 4.667519   6  
  61  3   14   4   0    8  362.502383 0.566527 363.185276 0.078242 363.385153 4.617550   6  
  62  1   14   4   0    8  368.498563 0.716418 369.331368 0.143674 369.581201 4.417686   6  
  63  3   14   4   0    8  374.494733 0.649811 375.260914 0.105790 375.477445 4.517612   6  
  64  1   14   4   0    8  380.507572 0.733040 381.373654 0.047214 381.540259 4.467643   6  
  65  1   14   1   1    2  386.503755 1.415991 388.052714 0.461709 388.635726 3.368359   6  
  66  4   14   2   0    8  392.499942 1.517455 394.132234 0.409988 394.648575 3.351692   6  
  67  3   14   2   0    1  398.496119 1.399321 400.045137 0.569584 400.728038 3.268395   6  
  68  3   14   2   0    1  404.508959 1.649187 406.307611 1.124080 407.540354 2.468922   6  
  69  3   14   3   1    1  410.505134 1.182794 411.820965 1.132364 413.070166 2.935291   6  
