%% MetaTwins_RDMsc_training for 'xuejingya': starting at _feedback (       48.0000000000).9-Mar-2019 16:53:44 for '7.374937e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  15  1    4   0    0    1    2.498401   0    0  2.032474   4.647033 0.424204   5.180033 0.999358   6.179391   7.178750 0.819969   6  
   2  15  2    4   0    0    1    8.494573   0    0  1.416223  10.076913 0.855182  11.042969 0.999349  12.042318  13.041685 0.953209   6  
   3  16  3    4   0    0    4   14.507414   0    0  1.899387  16.555933 0.812430  17.488844 0.999377  18.488221  19.487576 0.520169   6  
   4  16  4    4   1    0    1   20.503583   0    0  1.866007  22.518980 1.021635  23.651584 0.999364  24.650948  25.650314 1.353602   7  
   5  16  4    4   1    0    4   27.499144   0    0  1.516100  29.198066 1.034155  30.347314 0.999378  31.346692  32.346051 0.653408   6  
   6  14  1    4   0    0    4   33.495315   0    0  1.732786  35.394122 0.522673  36.027061 0.999338  37.026399  38.025768 0.969873   6  
   7  14  3    4   0    0    4   39.508147   0    0  1.599461  41.323669 0.928882  42.373000 0.999351  43.372351  44.371716 0.636766   6  
   8  15  3    4   0    0    4   45.504334   0    0  1.799307  47.486410 0.411445  48.002740 0.999366  49.002106  50.001475 1.003176   6  
   9  15  1    4   0    0   -1   51.500519   0    0  1.882826  53.582521 0.000000  55.581166 0.999454  56.580620  57.579974 1.420869   8  
  10  15  1    4   0    0    2   59.512077   0    0  0.516672  60.244952 1.095529  61.460832 0.999362  62.460195  63.459568 0.552832   5  
  11  16  2    4   0    0    4   64.508900   0    0  1.566065  66.307755 0.622617  67.040622 0.999350  68.039972  69.039333 0.969876   6  
  12  16  2    4   0    0    4   70.505069   0    0  2.032502  72.753658 0.309527  73.170046 0.999363  74.169409  75.168771 0.836627   6  
  13  18  1   -1   0    0    2   76.501256   0    0  0.000000  79.016327 0.128470  79.266155 0.999369  80.265524  81.264891 0.736692   6  
  14  18  4    4   1    0    3   82.514076   0    0  0.300252  82.996897 0.791874  83.896548 0.999364  84.895912  85.895272 1.119141   5  
  15  18  1    4   0    0    4   87.510908   0    0  0.550222  88.277083 0.439849  88.826741 0.999351  89.826092  90.825467 1.185767   5  
  16  18  3    1   0    0    4   92.507722   0    0  1.249643  93.890189 0.938004  94.939511 0.999363  95.938874  96.938238 1.069815   6  
  17  20  2    4   0    0    4   98.503915   0    0  2.065739 100.752474 0.243535 101.102252 0.999359 102.101611 103.100963 0.903259   6  
  18  20  2    2   1    0    4  104.500099   0    0  1.999067 106.615408 0.300306 107.031811 0.999365 108.031176 109.030526 0.969670   6  
  19  20  2    4   0    0    4  110.496257   0    0  1.599402 112.261805 0.265724 112.644894 0.999355 113.644249 114.643621 1.352783   6  
  20  20  4    4   1    0    5  116.492432   0    0  1.650614 118.291124 1.322435 119.723721 0.999370 120.723091 121.722449 1.270162   7  
  21  20  2    4   0    0    6  123.487991   0    0  0.833226 124.487163 0.945263 125.553325 0.999371 126.552697 127.552061 1.436116   6  
  22  20  2    4   0    0    6  129.500818   0    0  2.298742 131.965921 0.556372 132.632160 0.999363 133.631523 134.630884 1.370151   7  
  23  22  3    4   0    0    6  136.496364   0    0  2.032369 138.711624 0.569704 139.394511 0.999366 140.393878 141.393238 0.603360   6  
  24  22  3    4   0    0    6  142.492558   0    0  1.399279 144.108181 1.704451 145.923689 0.999375 146.923064 147.922410 1.070397   7  
  25  25  1    4   0    0    6  149.504755   0    0  1.532777 151.236980 0.573227 151.919879 0.999360 152.919239 153.918593 1.086428   6  
  26  25  1    4   0    0    6  155.500940   0    0  2.149058 157.849324 0.573656 158.532322 0.999372 159.531694 160.531059 1.470167   7  
  27  28  2    4   0    0    6  162.496460   0    0  1.465959 164.112105 0.644638 164.861621 0.999363 165.860984 166.860360 1.136434   6  
  28  28  3    3   1    0    8  168.492646   0    0  1.899259 170.524690 1.304933 171.940465 0.999359 172.939824 173.939169 1.053804   7  
  29  28  4    4   1    0    8  175.504842   0    0  1.449571 177.070529 0.868646 178.053206 0.999376 179.052581 180.051946 0.953221   6  
  30  25  4    4   1    0    8  181.501024   0    0  0.883183 182.550384 0.696012 183.366498 0.999372 184.365870 185.365234 0.636115   5  
  31  25  3    3   1    0    8  186.497839   0    0  1.299586 187.946911 0.686897 188.746414 0.999355 189.745770 190.745138 1.253031   6  
  32  22  4    4   1    0    8  192.510688   0    0  0.899833 193.526537 0.605160 194.242918 0.999337 195.242255 196.241628 0.769380   5  
  33  22  3    3   1    0    8  197.507492   0    0  1.116369 198.740002 0.629244 199.489570 0.999344 200.488914 201.488291 0.519533   5  
  34  19  1   -1   0    0    4  202.504310   0    0  0.000000 205.019411 0.012566 205.152617 0.999367 206.151983 207.151357 0.853289   6  
  35  19  2    4   0    0    8  208.500491   0    0  1.232933 209.882953 0.456925 210.449256 0.999366 211.448622 212.447979 0.552841   5  
  36  19  1    4   0    0    6  213.497301   0    0  1.732487 215.346129 0.827375 216.278876 0.999358 217.278234 218.277586 0.720045   6  
  37  21  4    4   1    0    7  219.510131   0    0  0.999742 220.676075 1.009955 221.792031 0.999357 222.791388 223.790753 1.219704   6  
  38  21  4    4   1    0    8  225.506330   0    0  1.116317 226.738797 1.026483 227.871479 0.999359 228.870838 229.870208 1.136437   6  
  39  18  2    3   0    0    1  231.502510   0    0  1.632690 233.251181 0.787112 234.150808 0.999380 235.150187 236.149544 0.853276   6  
  40  18  3    3   1    0    8  237.515351   0    0  1.116292 238.764544 0.958049 239.830533 0.999373 240.829906 241.829258 1.186410   6  
  41  18  1    1   1    0    8  243.511516   0    0  2.099211 245.726675 0.405902 246.243108 0.999366 247.242474 248.241832 0.770016   6  
  42  16  4    4   1    0    8  249.507703   0    0  1.182980 250.806874 0.221481 251.140012 0.999348 252.139360 253.138730 0.869282   5  
  43  16  3    3   1    0    8  254.504513   0    0  1.066433 255.687092 0.136886 255.936943 0.999351 256.936294 257.935668 1.069167   5  
