%% MetaTwins_RDMsc_training for 'lixiang': starting at _nofeedback (       49.0000000000).0-Mar-2019 11:39:13 for '7.374945e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1   8  4    3   0    0    3    2.498862   0    0  2.349919   4.964415 1.319654   6.397094  0   0    6.397094 0.601985   5  
   2   8  3    3   1    0    3    7.496591   0    0  2.433072  10.045418 0.834934  10.995018  0   0   10.995018 1.001808   5  
   3   8  4    2   0    0    6   12.494331   0    0  0.717346  13.343949 1.388670  14.843269  0   0   14.843269 1.151293   4  
   4   8  3    2   0    0    7   16.492505   0    0  0.817274  17.425426 1.063877  18.608228  0   0   18.608228 1.384534   4  
   5   9  3    3   1    0    5   20.507365   0    0  0.867241  21.490255 1.105605  22.706376  0   0   22.706376 1.301228   4  
   6   9  1    3   0    0    5   24.505556   0    0  0.850442  25.471794 0.560721  26.154819  0   0   26.154819 0.850973   3  
   7   9  2    2   1    0    5   27.504193   0    0  0.900520  28.536973 0.627669  29.286741  0   0   29.286741 0.717691   3  
   8   9  4    3   0    0    7   30.502837   0    0  1.100415  31.718958 0.695617  32.535248  0   0   32.535248 1.467820   4  
   9   9  4    4   1    0    2   34.501039   0    0  1.766828  36.383514 1.131444  37.632950  0   0   37.632950 1.368312   5  
  10   9  2    3   0    0    2   39.498768   0    0  1.217073  40.831508 0.302771  41.247979  0   0   41.247979 0.751011   3  
  11   9  2    3   0    0    2   42.497408   0    0  1.966592  44.596423 0.508958  45.212841  0   0   45.212841 0.784791   4  
  12  10  2    3   0    0    5   46.495591   0    0  1.267069  47.878301 0.663872  48.661276  0   0   48.661276 1.334548   4  
  13  10  1    1   1    0    2   50.493794   0    0  1.750204  52.359609 0.457835  52.926018  0   0   52.926018 1.067996   4  
  14  10  2    2   1    0    5   54.491972   0    0  1.950074  56.557711 0.482154  57.157441  0   0   57.157441 0.834757   4  
  15   9  4    4   1    0    2   58.506833   0    0  1.783499  60.405962 0.417781  60.939057  0   0   60.939057 1.067987   4  
  16   9  1    3   0    0    5   62.505016   0    0  1.650165  64.270874 0.863582  65.253770  0   0   65.253770 0.751473   4  
  17   9  2    2   1    0    5   66.503211   0    0  1.583512  68.202417 0.361821  68.685555  0   0   68.685555 1.317875   4  
  18   9  3    3   1    0    2   70.501395   0    0  1.750151  72.367213 0.690422  73.166854  0   0   73.166854 0.834774   4  
  19   8  3    3   1    0    5   74.499581   0    0  1.866700  76.498688 0.801033  77.414933  0   0   77.414933 0.584882   4  
  20   8  1    3   0    0    5   78.497765   0    0  2.316611  80.930004 0.976033  82.012861  0   0   82.012861 0.985134   5  
  21   8  2    3   0    0    2   83.495504   0    0  2.299930  85.911085 0.512424  86.544129  0   0   86.544129 1.451604   5  
  22   9  1    2   0    0    3   88.493238   0    0  2.216585  90.842183 0.590999  91.541864  0   0   91.541864 1.451617   5  
  23   9  4    3   0    0    4   93.507637   0    0  2.433185  96.056495 0.502637  96.672867  0   0   96.672867 1.335000   5  
  24  10  2    2   1    0    4   98.505366   0    0  1.600403 100.254587 0.496951 100.870972  0   0  100.870972 1.134635   4  
  25  10  3    2   0    0    3  102.503571   0    0  1.466969 104.086184 0.407793 104.602630  0   0  104.602630 1.401168   4  
