%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at lichongyang (       49.0000000000).0-Mar-2019 12:48:557.374945e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   11   3   0    5    2.498856 2.366376   5.030891 1.202059   6.363793 1.635290   6  
   2  1   11   3   0    5    8.496167 2.366026  11.028359 1.383313  12.527672 1.468635   6  
   3  3   11   2   0    2   14.493457 2.216252  16.859053 1.444999  18.425003 1.568535   6  
   4  3   11   3   1    5   20.507390 1.983262  22.673102 1.346359  24.139100 1.868530   6  
   5  2   11   2   1    8   26.504683 1.666545  28.337190 0.189228  28.653723 3.351193   6  
   6  4   11   4   1    6   32.501978 1.499896  34.184561 0.889506  35.200762 2.801444   6  
   7  3   11   3   1    7   38.499268 1.683256  40.381756 0.792074  41.298011 2.701497   6  
   8  2   11   2   1    8   44.496562 1.866719  46.545640 0.149181  46.812197 3.184589   6  
   9  4   11   4   1    6   50.493843 1.450115  52.093126 0.542918  52.759500 3.234529   6  
  10  1   11   1   1    6   56.491138 2.133344  58.790100 0.526415  59.439808 2.551438   6  
  11  1   11  -1   0    3   62.505087 0.000000  65.020634 0.049965  65.187211 2.818100   6  
  12  2   11   2   1    8   68.502379 1.133294  69.801756 0.203397  70.134980 3.867622   6  
  13  3   11   3   1    7   74.499672 1.233659  75.915707 0.930269  76.965234 3.034680   6  
  14  4   11   4   1    6   80.496969 1.483165  82.096242 0.591397  82.812586 3.184604   6  
  15  1   11   3   0    5   86.494254 2.166369  88.859767 1.397521  90.375836 1.618647   6  
  16  3   11   4   0    5   92.491549 1.533219  94.190776 1.282225  95.590146 2.401589   6  
  17  2   11   2   1    8   98.488837 1.333242  99.988156 0.106267 100.221375 3.767590   6  
  18  4   11   3   0    5  104.486123 2.299508 106.918220 1.174250 108.217763 1.768427   6  
  19  3   11   3   1    7  110.516726 1.183221 111.849463 0.412596 112.382560 3.634396   6  
  20  2   11   2   1    8  116.514022 1.499753 118.179796 0.056856 118.363198 3.651055   6  
  21  1   11   1   1    7  122.511314 2.033125 124.710323 0.605656 125.443334 2.568208   6  
  22  3   11  -1   0    3  128.508604 0.000000 131.024137 0.224699 131.373972 2.634857   6  
  23  3   11   2   0    6  134.505884 1.283358 135.938583 1.058484 137.121379 2.884776   6  
  24  2   11   2   1    8  140.503180 0.900054 141.536048 0.228755 141.885887 4.117454   6  
  25  2   11   2   1    8  146.500474 1.116923 147.749877 0.008896 147.883171 4.117393   6  
  26  1   11   3   0    5  152.514414 2.033044 154.713441 1.125701 155.962873 2.051770   6  
  27  2   11   2   1    8  158.511709 0.817722 159.461292 0.000750 159.594582 4.417355   6  
  28  2   11   2   1    8  164.509003 1.200071 165.891719 0.000602 166.008323 4.000896   6  
  29  3   11   3   1    8  170.506292 1.550045 172.255523 0.206797 172.588685 3.417837   6  
  30  2   11   2   1    6  176.503584 2.449556 179.085737 0.513957 179.718807 2.285004   6  
  31  4   11   4   1    5  182.500863 1.218184 183.850258 0.935992 184.916451 3.084608   6  
  32  1   11   1   1    6  188.498173 1.483161 190.230662 0.781267 191.130316 2.867965   6  
  33  3   11   3   1    6  194.512137 2.266318 196.977668 0.937839 198.043849 1.968508   6  
  34  4   11   2   0    6  200.509401 1.533310 202.208635 0.866028 203.191537 2.818094   6  
  35  3   11   3   1    5  206.506691 1.900247 208.605754 1.302316 210.021770 1.985142   6  
  36  1   11   3   0   -1  212.503981 1.766395 214.419791 0.000000 216.418819 1.585395   6  
  37  1   11   1   1    7  218.501287 1.666446 220.333786 1.221141 221.683167 2.318335   6  
  38  4   11   3   0    5  224.498569 2.033116 226.680924 1.503430 228.313506 1.685259   6  
  39  3   11   4   0    7  230.495868 2.082847 232.711518 0.933290 233.761055 2.234946   6  
  40  1   11   2   0    5  236.493152 1.433475 238.109089 1.388846 239.625063 2.368170   6  
  41  4   11   4   1    7  242.507094 1.316672 243.973098 0.951763 245.055942 2.951381   6  
  42  3   11   3   1    8  248.504381 1.583155 250.203629 0.492516 250.820005 3.184611   6  
  43  4   11   4   1    8  254.501683 1.350004 256.017654 0.080066 256.217569 3.784336   6  
  44  3   11   3   1    8  260.498964 1.716457 262.348134 0.105495 262.581351 3.417843   6  
  45  4   11   4   1    7  266.496260 2.149916 268.778440 0.577649 269.478242 2.518240   6  
  46  1   11   1   1    6  272.493538 2.033699 274.692576 0.657998 275.458858 2.534851   6  
  47  1   11   2   0    6  278.490844 2.333038 280.989590 1.025734 282.139195 1.851739   6  
  48  4   11   3   0    5  284.504783 2.232948 286.920363 1.461083 288.502974 1.502033   6  
  49  3   11   3   1    8  290.502072 1.534305 292.217908 0.329908 292.667756 3.334554   6  
  50  1   11   3   0    3  296.499365 2.432857 299.114864 1.114476 300.347635 1.651959   6  
  51  2   11   3   0    5  302.496655 1.399887 304.045959 0.940592 305.112135 2.884755   6  
  52  2   11   3   0    2  308.493951 2.249997 310.942852 1.955850 313.025243 0.968935   6  
  53  4   11   3   0    5  314.491226 2.399506 317.106720 1.862628 319.089165 0.902285   6  
  54  4   11   2   0    6  320.488528 1.433335 322.104455 1.065660 323.287276 2.701388   6  
  55  2   11   2   1    8  326.485816 1.550811 328.218380 0.051546 328.384967 3.600916   6  
  56  2   11   2   1    7  332.516412 1.566611 334.298968 0.593668 335.015292 3.001367   6  
  57  2   11   2   1    6  338.513718 1.933557 340.629441 0.784656 341.545681 2.468255   6  
  58  1   11   1   1    8  344.510990 1.033433 345.710300 0.104440 345.943705 4.067530   6  
  59  4   11   4   1    7  350.508297 2.299392 352.940528 0.451335 353.506963 2.501565   6  
  60  1   11   1   1    6  356.505589 1.633529 358.304747 0.941682 359.370945 2.634871   6  
  61  4   11   4   1    6  362.502884 2.382964 365.035237 1.191513 366.351146 1.651885   6  
  62  1   11   1   1    6  368.500170 2.382668 371.015622 1.034320 372.165191 1.835072   6  
  63  4   11   3   0    7  374.514120 1.166546 375.830019 0.786347 376.729787 3.284548   6  
  64  2   11   2   1    8  380.511404 1.683346 382.327259 0.400913 382.843694 3.167947   6  
  65  3   11   3   1    6  386.508697 1.566561 388.274571 0.658885 389.057546 2.951373   6  
  66  3   11   2   0    5  392.505989 2.349659 395.038188 1.019710 396.187644 1.818562   6  
  67  3   11   3   1    7  398.503276 1.249901 399.885977 0.575790 400.585683 3.417817   6  
  68  4   11   3   0    5  404.500558 2.316121 406.999305 1.302904 408.432121 1.568625   6  
  69  1   11   1   1    6  410.497859 1.399971 412.046992 0.588052 412.763508 3.234481   6  
  70  3   11  -1   0    3  416.495155 0.000000 419.010694 0.001272 419.127284 2.867912   6  
  71  1   11   3   0    5  422.509092 2.066469 424.758084 1.094345 425.974201 2.035127   6  
  72  1   11   1   1    8  428.506392 1.083359 429.722509 0.225501 430.072354 3.934267   6  
  73  1   11   3   0    5  434.503663 2.266280 436.935874 0.922105 437.985444 2.018468   6  
  74  4   11   1   0    3  440.500972 2.199605 442.866574 1.874552 444.865691 1.135518   6  
  75  3   11   4   0    6  446.498262 2.350197 448.963815 0.890128 449.980021 2.018432   6  
  76  2   11   3   0    6  452.495548 2.449382 455.094383 1.513759 456.726967 1.268735   6  
  77  4   11   4   1    8  458.492832 1.350027 459.992165 0.385149 460.491933 3.500980   6  
  78  2   11   2   1    6  464.506778 2.333445 467.022328 1.072989 468.221772 1.785270   6  
  79  4   11   4   1    6  470.504080 1.466558 472.153347 0.729347 473.002952 3.001353   6  
  80  2   11   2   1    6  476.501361 2.199911 478.900282 1.149042 480.166405 1.835187   6  
  81  2   11   3   0    6  482.498667 2.466667 485.080821 1.229992 486.430227 1.568674   6  
  82  1   11   1   1    8  488.495957 0.950211 489.678762 0.273681 490.078564 3.917604   6  
  83  3   11   3   1    8  494.493227 1.599906 496.242454 0.168194 496.525653 3.467744   6  
  84  3   11   3   1    5  500.490525 2.466118 503.139340 1.087071 504.355467 1.635186   6  
  85  1   11   2   0    6  506.487819 2.266257 508.936715 1.006553 510.069542 1.918330   6  
  86  4   11   2   0    6  512.501770 1.916355 514.584177 1.402016 516.116808 1.885182   6  
  87  3   11   3   1    8  518.499058 2.333069 520.947959 0.733716 521.797572 2.201720   6  
  88  2   11  -1   0    2  524.496354 0.000000 527.011896 0.002668 527.145158 2.851426   6  
  89  4   11   4   1    8  530.493623 1.367200 532.009623 0.410029 532.542714 3.451169   6  
  90  2   11   2   1    8  536.490930 1.683736 538.356760 0.207545 538.689941 3.301176   6  
]; % This session completes at 10-Mar-2019 12:58:36, 544.004s after session start, 540s on 90 trials, totally 581.166s.

