%% MetaTwins_RDMsc_training for 'lichongyue': starting at _nofeedback (       49.0000000000).0-Mar-2019 12:07:18 for '7.374945e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  11  4    2   0    0    8    2.498573   0    0  1.682880   4.397361 0.386006   4.897039  0   0    4.897039 1.101844   4  
   2  11  1    2   0    0    8    6.496032   0    0  1.432846   8.161647 0.200593   8.478099  0   0    8.478099 0.518232   3  
   3  12  4    4   1    0    8    9.494110   0    0  1.515999  11.159732 0.239189  11.509498  0   0   11.509498 1.484913   4  
   4  12  4    2   0    0    8   13.491573   0    0  0.783196  14.457622 0.070727  14.640839  0   0   14.640839 1.351000   3  
   5  12  1    2   0    0    8   16.506316   0    0  1.149711  17.872121 0.294875  18.271863  0   0   18.271863 0.734720   3  
   6  13  3    2   0    0    7   19.504405   0    0  2.099098  21.819612 1.403837  23.335301  0   0   23.335301 0.669375   5  
   7  13  2    2   1    0    8   24.501222   0    0  1.366192  26.050025 0.093763  26.250110  0   0   26.250110 0.751366   3  
   8  13  1    2   0    0    8   27.499315   0    0  1.582775  29.281512 0.189446  29.581321  0   0   29.581321 1.418234   4  
   9  13  3    4   0    0    7   31.496766   0    0  1.832691  33.462198 0.478011  34.061803  0   0   34.061803 0.935181   4  
  10  14  1    1   1    0    8   35.494226   0    0  1.516111  37.143176 0.126420  37.376358  0   0   37.376358 0.618077   3  
  11  14  4    4   1    0    8   38.492304   0    0  1.199543  39.808025 0.189499  40.107950  0   0   40.107950 0.884560   3  
  12  13  2    2   1    0    8   41.490401   0    0  0.949856  42.589707 0.243809  42.939474  0   0   42.939474 1.051110   3  
  13  13  1    1   1    0    8   44.488493   0    0  2.249011  46.903634 0.701544  47.719762  0   0   47.719762 1.268900   5  
  14  12  4    4   1    0    8   49.501969   0    0  0.999873  50.651239 0.178297  50.934389  0   0   50.934389 1.067730   3  
  15  12  3    3   1    0    8   52.500045   0    0  1.716005  54.382092 0.283724  54.781948  0   0   54.781948 1.218264   4  
  16  11  3    1   0    0    8   56.497499   0    0  1.649240  58.329674 0.101223  58.546200  0   0   58.546200 1.451439   4  
