%% MetaTwins_RDMsc_training for 'libin': starting at _feedback (       49.0000000000).0-Mar-2019 16:18:15 for '7.374947e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  13  3    3   1    0    7    2.498771   0    0  1.516245   4.130967 0.484106   4.730694 0.999382   5.730077   6.729419 1.269692   6  
   2  13  3    3   1    0    6    8.494974   0    0  1.682728  10.310337 0.464226  10.893446 0.999349  11.892794  12.892147 1.103082   6  
   3  12  3    4   0    0    1   14.491143   0    0  1.432715  16.056823 1.702224  17.872329 0.999343  18.871672  19.871034 1.120335   7  
   4  12  4    2   0    0    6   21.503343   0    0  1.632731  23.285565 1.362433  24.767933 0.999348  25.767281  26.766648 1.236875   7  
   5  13  3    3   1    0    7   28.498885   0    0  1.316433  29.947977 0.488852  30.547593 0.999351  31.546944  32.546300 1.452710   6  
   6  13  1   -1   0    0    2   34.511735   0    0  0.000000  37.026807 1.547021  38.692394 0.999357  39.691751  40.691108 1.320947   8  
   7  13  1    2   0    0    3   42.506629   0    0  1.599452  44.305358 0.888505  45.304850 0.999353  46.304203  47.303562 0.703396   6  
   8  13  2    2   1    0    5   48.502803   0    0  1.949483  50.651459 1.043219  51.800714 0.999367  52.800081  53.799412 1.203721   7  
   9  13  4    3   0    0    5   55.498353   0    0  2.116450  57.780247 0.625606  58.513104 0.999346  59.512450  60.511815 1.486859   7  
  10  13  3    3   1    0    6   62.510560   0    0  1.649410  64.342724 0.627023  65.075595 0.999353  66.074948  67.074327 0.936555   6  
  11  13  2    2   1    0    5   68.506740   0    0  1.666056  70.372227 0.440906  70.921865 0.999359  71.921225  72.920582 1.086473   6  
  12  12  4    4   1    0    6   74.502908   0    0  1.216319  75.868718 0.720635  76.701514 0.999355  77.700869  78.700238 1.303010   6  
  13  12  4    4   1    0    5   80.499091   0    0  1.199657  81.864914 0.837535  82.814286 0.999368  83.813654  84.812997 1.186401   6  
  14  11  1    4   0    0    5   86.495272   0    0  2.199028  88.860448 1.281327  90.259548 0.999357  91.258905  92.258250 0.737265   7  
  15  11  3    3   1    0    5   93.490818   0    0  1.582920  95.256369 1.145111  96.522210 0.999363  97.521573  98.520928 1.470082   7  
  16  11  1    1   1    0    3  100.486362   0    0  1.899166 102.551666 1.441362 104.100728 0.999355 105.100083 106.099433 0.887078   7  
  17  10  3    3   1    0    6  107.515200   0    0  1.732741 109.430676 1.087414 110.629904 0.999339 111.629243 112.628617 1.386927   7  
  18  10  3    3   1    0    7  114.510751   0    0  1.432950 116.143049 0.789621 117.042478 0.999353 118.041832 119.041211 0.969872   6  
  19   9  4    3   0    0    6  120.506926   0    0  1.532805 122.222526 0.863013 123.205212 0.999359 124.204571 125.203926 0.803333   6  
  20   9  2    3   0    0    5  126.503108   0    0  1.815903 128.501861 0.631344 129.251357 0.999368 130.250725 131.250091 0.753360   6  
  21  10  2    2   1    0    5  132.499284   0    0  1.766016 134.414694 1.509923 136.030381 0.999346 137.029727 138.029102 0.970514   7  
  22  10  2    3   0    0    6  139.494844   0    0  2.465581 142.143144 0.679887 142.942639 0.999365 143.942004 144.941369 1.053801   7  
  23  10  2    3   0    0    4  146.507050   0    0  1.516122 148.205962 1.320924 149.638381 0.999351 150.637732 151.637094 1.370273   7  
  24  11  3    4   0    0    2  153.502592   0    0  1.449604 155.118231 1.590240 156.817143 0.999361 157.816504 158.815852 1.187055   7  
  25  11  2    3   0    0    4  160.498128   0    0  1.782900 162.430159 1.158408 163.696109 0.999341 164.695450 165.694802 1.303571   7  
  26  12  2    3   0    0    2  167.493670   0    0  1.749330 169.442428 1.641506 171.191316 0.999351 172.190667 173.190016 0.803863   7  
  27  12  4    3   0    0    2  174.489213   0    0  2.415396 177.087563 0.812233 178.020294 0.999348 179.019642 180.019026 0.970351   7  
  28  13  4    3   0    0    5  181.518075   0    0  1.466090 183.183676 0.718524 184.016481 0.999351 185.015832 186.015198 1.003192   6  
  29  13  1    2   0    0    2  187.514241   0    0  1.749224 189.413038 1.611850 191.145273 0.999347 192.144620 193.143993 0.870570   7  
  30  14  4    2   0    0    2  194.509779   0    0  2.182902 196.841650 1.943556 198.890342 0.999345 199.889686 200.889050 1.121066   8  
  31  14  3    3   1    0    5  202.504684   0    0  1.799156 204.469892 0.633866 205.219626 0.999366 206.218991 207.218364 0.786654   6  
  32  14  4    3   0    0    6  208.500875   0    0  1.899307 210.582892 1.071175 211.765469 0.999354 212.764823 213.764182 1.237015   7  
  33  14  2    2   1    0    2  215.496410   0    0  1.416242 217.078755 1.063194 218.261326 0.999356 219.260682 220.260059 0.736693   6  
  34  14  1    3   0    0    5  221.509272   0    0  2.049178 223.724380 1.001233 224.840470 0.999347 225.839817 226.839183 1.170395   7  
  35  14  1    3   0    0    2  228.504796   0    0  2.298987 230.969898 1.178307 232.269068 0.999358 233.268426 234.267787 0.737342   7  
  36  15  1    1   1    0    5  235.500334   0    0  1.850101 237.532370 1.291850 238.931502 0.999341 239.930843 240.930205 1.070408   7  
  37  15  4    3   0    0    6  242.495885   0    0  1.549405 244.211319 1.295006 245.627238 0.999341 246.626579 247.625936 1.370170   7  
  38  15  2    3   0    0    5  249.491430   0    0  2.398898 252.056327 0.783774 252.955889 0.999359 253.955249 254.954599 1.036993   7  
  39  16  3    3   1    0    7  256.486967   0    0  1.382935 258.085960 0.418955 258.618947 0.999372 259.618319 260.617661 1.369420   6  
  40  16  3    3   1    0    6  262.516457   0    0  1.516226 264.232042 0.725327 265.064845 0.999354 266.064199 267.063558 0.953230   6  
  41  14  4    4   1    0    5  268.512637   0    0  2.432079 271.077534 0.633384 271.827192 0.999366 272.826558 273.825921 1.187046   7  
  42  14  2    4   0    0    2  275.508176   0    0  1.849355 277.490256 0.738222 278.339714 0.999356 279.339071 280.338440 0.670067   6  
  43  14  1    3   0    0    5  281.504369   0    0  1.632814 283.319889 0.910763 284.335902 0.999357 285.335259 286.334600 0.670090   6  
  44  15  1    1   1    0    5  287.500536   0    0  1.666203 289.332718 0.995227 290.448664 0.999357 291.448020 292.447382 0.553494   6  
  45  15  2    2   1    0    6  293.496712   0    0  1.749394 295.445492 0.817120 296.378218 0.999357 297.377575 298.376943 0.620109   6  
  46  14  3    3   1    0    6  299.492899   0    0  1.599440 301.291753 0.591452 301.991316 0.999344 302.990660 303.990029 1.003209   6  
  47  14  4    4   1    0    7  305.505750   0    0  1.882513 307.521121 0.445665 308.087431 0.999355 309.086786 310.086146 0.919906   6  
  48  13  2    2   1    0    7  311.501921   0    0  1.382983 313.067596 0.476292 313.650555 0.999357 314.649911 315.649269 1.352911   6  
  49  13  1    1   1    0    6  317.498097   0    0  2.365456 320.013168 0.854729 320.979222 0.999341 321.978562 322.977930 1.020401   7  
  50  12  4    4   1    0    6  324.493653   0    0  1.166430 325.809480 0.507856 326.425759 0.999342 327.425101 328.424464 0.569346   5  
  51  12  1    3   0    0    5  329.490461   0    0  1.566054 331.222682 0.618895 331.955563 0.999346 332.954909 333.954271 1.036337   6  
  52  12  2    2   1    0    2  335.503303   0    0  2.049161 337.701896 1.050664 338.867811 0.999355 339.867166 340.866538 1.137085   7  
  53  12  2    3   0    0    5  342.515494   0    0  1.849161 344.547540 1.298740 345.963301 0.999355 346.962656 347.962022 1.053803   7  
  54  12  4    2   0    0    2  349.511039   0    0  2.165750 351.792922 0.682905 352.592422 0.999343 353.591765 354.591120 1.420249   7  
  55  13  1    1   1    0    3  356.506582   0    0  1.932582 358.588592 1.786107 360.487385 0.999358 361.486743 362.486059 0.520848   7  
  56  13  4   -1   0    0    4  363.502121   0    0  0.000000 366.017211 0.000209 366.133784 0.999350 367.133135 368.132513 0.869932   6  
  57  13  1    2   0    0    3  369.498303   0    0  1.716054 371.347144 1.218683 372.679619 0.999356 373.678975 374.678353 1.320267   7  
  58  13  3    4   0    0    6  376.493840   0    0  1.516281 378.142805 0.751710 379.008904 0.999370 380.008273 381.007633 0.986546   6  
  59  14  1    1   1    0    5  382.506679   0    0  1.565946 384.238921 0.779818 385.138339 0.999343 386.137682 387.137049 0.869942   6  
  60  14  3    3   1    0    6  388.502868   0    0  1.466082 390.135165 1.018284 391.267781 0.999351 392.267132 393.266501 0.736615   6  
]; % This session completes at 10-Mar-2019 16:25:12, 396.004s after session start, 392s on 60 trials, totally 417.501s, correctness is 50.000%.

