%% MetaTwins_RDMsc_training for 'lishan': starting at _nofeedback (       49.0000000000).0-Mar-2019 16:43:52 for '7.374947e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1   9  2    1   0    0    8    2.498826   0    0  1.933494   4.581285 0.307570   5.014349  0   0    5.014349 0.984674   4  
   2   9  4    4   1    0    8    6.497019   0    0  1.550265   8.179592 0.233572   8.529431  0   0    8.529431 1.467844   4  
   3   9  3   -1   0    0    4   10.495215   0    0  0.000000  13.010751 0.000557  13.144016  0   0   13.144016 0.851360   4  
   4   9  1    1   1    0    8   14.493389   0    0  1.033913  15.659544 0.107040  15.892762  0   0   15.892762 1.100857   3  
   5   8  2    2   1    0    8   17.492045   0    0  1.833586  19.457890 0.122001  19.707719  0   0   19.707719 1.284463   4  
   6   8  1    2   0    0    2   21.490236   0    0  2.183427  23.805857 0.790332  24.722107  0   0   24.722107 1.268240   5  
   7   8  3    2   0    0    1   26.488053   0    0  2.266779  28.886908 0.624144  29.636556  0   0   29.636556 1.351570   5  
   8   9  4    1   0    0    8   31.485728   0    0  2.266705  33.884634 0.199590  34.201173  0   0   34.201173 0.784601   4  
   9   9  1    2   0    0    8   35.517230   0    0  1.267304  36.916613 0.129305  37.166566  0   0   37.166566 0.850907   3  
  10  10  3    3   1    0    8   38.515946   0    0  1.533863  40.181872 0.250710  40.548372  0   0   40.548372 1.467732   4  
  11  10  2    2   1    0    2   42.514066   0    0  2.300072  44.946165 0.754341  45.829246  0   0   45.829246 1.185176   5  
  12   9  4    3   0    0    5   47.511823   0    0  2.066798  49.727410 1.224756  51.076866  0   0   51.076866 0.935275   5  
  13   9  2    3   0    0    8   52.509559   0    0  2.399899  55.041800 0.806988  55.974654  0   0   55.974654 1.035129   5  
  14  10  1    2   0    0    8   57.507352   0    0  1.050557  58.690101 0.197720  59.006687  0   0   59.006687 1.001162   3  
  15  10  3    3   1    0    8   60.505937   0    0  1.633657  62.288542 0.197684  62.605006  0   0   62.605006 1.401168   4  
  16  10  3    3   1    0    4   64.504194   0    0  2.416581  67.069652 1.804868  69.002100  0   0   69.002100 1.002372   6  
  17   9  1    1   1    0    2   70.501494   0    0  2.449373  73.100114 0.559101  73.783284  0   0   73.783284 1.218490   5  
  18   9  1    1   1    0    1   75.499156   0    0  2.316758  77.948064 0.350931  78.414517  0   0   78.414517 0.584978   4  
  19   8  1    3   0    0    2   79.497360   0    0  2.483343  82.112855 0.849770  83.079156  0   0   83.079156 0.918444   5  
  20   8  2    2   1    0    8   84.495102   0    0  1.750339  86.377588 0.207947  86.710850  0   0   86.710850 1.284487   4  
  21   8  4    3   0    0    8   88.493367   0    0  1.483548  90.109316 0.217156  90.442488  0   0   90.442488 0.551084   3  
  22   8  3    3   1    0    7   91.492006   0    0  1.916760  93.541075 1.460102  95.123636  0   0   95.123636 0.868509   5  
  23   8  3    2   0    0    7   96.489677   0    0  2.133347  98.788694 0.825413  99.738212  0   0   99.738212 1.251692   5  
  24   8  1    2   0    0    1  101.504081   0    0  1.450553 103.086762 0.296797 103.503189  0   0  103.503189 0.501021   3  
  25   9  2    2   1    0    8  104.502710   0    0  1.233878 105.868846 0.141101 106.135325  0   0  106.135325 0.867511   3  
  26   9  3    3   1    0    2  107.501382   0    0  2.349895 109.983645 0.504839 110.616726  0   0  110.616726 1.384741   5  
  27   8  3    3   1    0    8  112.499195   0    0  1.666933 114.298182 0.152555 114.581589  0   0  114.581589 1.417596   4  
  28   8  4    4   1    0    1  116.514027   0    0  2.399865 119.046229 0.665173 119.829135  0   0  119.829135 1.185077   5  
  29   7  4    3   0    0    2  121.511722   0    0  1.733780 123.377546 1.345686 124.843545  0   0  124.843545 1.168498   5  
  30   7  2    2   1    0    1  126.509522   0    0  2.116710 128.758435 0.248326 129.125054  0   0  129.125054 0.884626   4  
