%% MetaTwins_RDMsc_training for 'yubin': starting at _nofeedback (       49.0000000000).6-Mar-2019 11:36:35 for '7.375005e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  20  1    1   1    0    7    2.498865   0    0  1.317283   3.948201 1.366486   5.430862  0   0    5.430862 0.568224   4  
   2  20  3    3   1    0    8    6.497034   0    0  0.983502   7.596561 0.532534   8.246243  0   0    8.246243 0.751038   3  
   3  18  4    4   1    0    8    9.495677   0    0  1.433589  11.061650 0.400730  11.578073  0   0   11.578073 1.417867   4  
   4  18  1    1   1    0    8   13.493867   0    0  1.016870  14.643383 0.766310  15.526282  0   0   15.526282 1.467751   4  
   5  16  2    3   0    0    7   17.492071   0    0  1.151634  18.758168 0.902500  19.774357  0   0   19.774357 1.217943   4  
   6  16  4    2   0    0    5   21.490238   0    0  1.583236  23.189474 0.894658  24.189026  0   0   24.189026 0.801457   4  
   7  18  4    3   0    0    8   25.488434   0    0  0.983386  26.587935 0.491201  27.187670  0   0   27.187670 0.800800   3  
   8  18  4    3   0    0    8   28.487070   0    0  1.166763  29.786506 0.113180  30.019715  0   0   30.019715 0.967468   3  
   9  20  3   -1   0    0    3   31.502368   0    0  0.000000  34.017917 0.056850  34.184495  0   0   34.184495 0.817965   4  
  10  20  3    1   0    0    8   35.500562   0    0  0.901401  36.516775 0.791179  37.416365  0   0   37.416365 0.584413   3  
  11  20  1    3   0    0    6   38.499215   0    0  1.951042  40.614919 1.069375  41.797715  0   0   41.797715 1.201695   5  
  12  22  1    4   0    0    6   43.513594   0    0  1.516651  45.146180 1.921173  47.178614  0   0   47.178614 0.835230   5  
  13  22  1    3   0    0    6   48.511333   0    0  1.067824  49.727447 0.490280  50.327179  0   0   50.327179 0.684384   3  
  14  25  4    4   1    0    8   51.509983   0    0  1.733907  53.359136 1.111938  54.591914  0   0   54.591914 1.418299   5  
  15  25  3    3   1    0    8   56.507705   0    0  1.216561  57.857084 0.519458  58.490143  0   0   58.490143 0.517779   3  
  16  22  2    4   0    0    7   59.506346   0    0  2.066113  61.755328 0.901188  62.771535  0   0   62.771535 1.235068   5  
  17  22  1    4   0    0    7   64.504080   0    0  1.666415  66.286600 0.234774  66.636442  0   0   66.636442 1.367855   4  
  18  25  4    4   1    0    7   68.502267   0    0  1.416661  70.034915 0.145226  70.284803  0   0   70.284803 0.717693   3  
  19  25  1    4   0    0    7   71.500898   0    0  2.116529  73.733228 0.090033  73.933129  0   0   73.933129 1.068028   4  
  20  25  3    4   0    0    7   75.499090   0    0  1.649897  77.281640 0.102479  77.498191  0   0   77.498191 0.501157   3  
  21  28  4    4   1    0    5   78.497741   0    0  1.200869  79.813812 0.940307  80.863331  0   0   80.863331 1.134636   4  
  22  28  2    3   0    0    6   82.495926   0    0  2.100378  84.711580 0.436092  85.261330  0   0   85.261330 0.734834   4  
  23  28  4    2   0    0    6   86.510771   0    0  1.966349  88.609840 0.220312  88.943006  0   0   88.943006 1.067994   4  
  24  31  2    4   0    0    6   90.508949   0    0  1.766296  92.391453 0.630301  93.141110  0   0   93.141110 0.868076   4  
  25  31  1    4   0    0    5   94.507153   0    0  1.683175  96.306342 1.570794  97.988895  0   0   97.988895 1.018510   5  
  26  35  4    4   1    0    7   99.504880   0    0  1.200027 100.820956 1.438053 102.370240  0   0  102.370240 0.634862   4  
  27  35  2    4   0    0    5  103.503072   0    0  1.517453 105.135654 1.658049 106.901535  0   0  106.901535 1.101761   5  
  28  35  4    4   1    0    5  108.500793   0    0  1.866610 110.499859 0.985453 111.599395  0   0  111.599395 1.401613   5  
  29  35  3    3   1    0    8  113.498534   0    0  1.134431 114.748033 1.161083 116.014062  0   0  116.014062 0.984702   4  
  30  31  4    4   1    0   -1  117.496714   0    0  1.016795 118.629536 0.000000 120.628580  0   0  120.628580 1.368380   5  
  31  31  3    3   1    0    8  122.494463   0    0  0.851127 123.477350 1.694417 125.276540  0   0  125.276540 0.718156   4  
  32  31  3    3   1    0    8  126.492636   0    0  0.833605 127.475564 0.315763 127.908668  0   0  127.908668 1.084120   3  
  33  27  1    1   1    0    8  129.491290   0    0  1.599941 131.207135 0.720851 132.040138  0   0  132.040138 0.951235   4  
  34  27  4    4   1    0    8  133.489470   0    0  1.233330 134.838859 0.172750 135.122065  0   0  135.122065 0.867510   3  
  35  24  1    1   1    0    8  136.488131   0    0  1.016800 137.654261 0.275378 138.037412  0   0  138.037412 0.950927   3  
  36  24  1    1   1    0    8  139.486751   0    0  1.250898 140.869475 0.088341 141.069380  0   0  141.069380 0.917599   3  
  37  21  4    4   1    0    8  142.502103   0    0  1.117896 143.734829 0.321024 144.167966  0   0  144.167966 0.834279   3  
  38  21  1    1   1    0    8  145.500673   0    0  0.867931 146.550215 1.791662 148.449411  0   0  148.449411 0.551474   4  
  39  18  3    3   1    0    8  149.515535   0    0  1.116773 150.781660 0.312012 151.198112  0   0  151.198112 0.817653   3  
  40  18  2    2   1    0    7  152.514186   0    0  1.399983 154.030177 0.574603 154.713188  0   0  154.713188 1.301240   4  
  41  16  1    4   0    0    5  156.512358   0    0  2.249561 158.944625 1.951726 161.010321  0   0  161.010321 1.002276   6  
  42  16  2    3   0    0    6  162.509662   0    0  1.484007 164.142241 1.251941 165.508295  0   0  165.508295 0.501615   4  
  43  18  2    2   1    0    6  166.507838   0    0  1.234532 167.857223 0.434210 168.406980  0   0  168.406980 0.601082   3  
  44  18  2    2   1    0    6  169.506481   0    0  0.900968 170.522692 0.166616 170.805889  0   0  170.805889 1.200842   3  
  45  16  3    3   1    0    7  172.505123   0    0  0.769005 173.421376 0.751905 174.287642  0   0  174.287642 0.717697   3  
  46  16  2    2   1    0    5  175.503788   0    0  1.250898 176.903128 0.823107 177.836037  0   0  177.836037 1.167974   4  
  47  14  2    4   0    0    7  179.501937   0    0  1.266755 180.884663 0.720902 181.717605  0   0  181.717605 1.284566   4  
  48  14  2    1   0    0    8  183.500138   0    0  0.851376 184.533000 0.927162 185.565874  0   0  185.565874 1.434474   4  
  49  15  1    1   1    0    8  187.498315   0    0  1.033448 188.681148 0.774010 189.564051  0   0  189.564051 1.434496   4  
  50  15  3    3   1    0    7  191.496510   0    0  1.101347 192.795942 0.878282 193.778820  0   0  193.778820 1.217929   4  
  51  14  3    3   1    0    7  195.494689   0    0  0.617026 196.227691 0.160174 196.494232  0   0  196.494232 0.500694   2  
  52  14  4    3   0    0    7  197.493791   0    0  0.600332 198.210140 0.125833 198.443356  0   0  198.443356 0.550674   2  
  53  14  1    3   0    0    7  199.509540   0    0  1.084403 200.725658 1.015343 201.858488  0   0  201.858488 1.151290   4  
  54  15  4    4   1    0   -1  203.507723   0    0  1.083425 204.707187 0.000000 206.706219  0   0  206.706219 1.301735   5  
  55  15  3    3   1    0    7  208.505468   0    0  0.818148 209.455034 0.287163 209.854861  0   0  209.854861 1.150839   3  
  56  15  3    3   1    0    7  211.504112   0    0  0.801303 212.420368 0.391528 212.920139  0   0  212.920139 1.084192   3  
  57  14  2    3   0    0    7  214.502756   0    0  0.601092 215.252416 0.598660 215.968749  0   0  215.968749 1.034232   3  
  58  14  2    4   0    0    6  217.501365   0    0  0.884391 218.500944 0.819666 219.433854  0   0  219.433854 0.567757   3  
  59  15  3    2   0    0    6  220.500031   0    0  0.900824 221.516238 0.435518 222.065982  0   0  222.065982 0.934275   3  
  60  15  2    3   0    0    7  223.498672   0    0  1.367540 224.981348 0.784881 225.880928  0   0  225.880928 1.118031   4  
]; % This session completes at 16-Mar-2019 11:40:55, 229.004s after session start, 225s on 60 trials, totally 259.685s, correctness is 53.333%.

