%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at yupeng (       49.0000000000).6-Mar-2019 12:45:057.375005e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   15   1   0    5      5      2.498526 1.199827   4.214101 1.549181   5.879713 2.119132   6  
   2  1   15   4   0    5      6      8.494704 1.499281  10.510096 1.096845  11.725973 2.269068   6  
   3  3   15   1   0    7      7     14.507543 0.766379  15.790063 0.873851  16.772761 3.235105   6  
   4  1   15   4   0    7      6     20.503712 0.999461  22.019419 0.729203  22.868879 3.135162   6  
   5  3   15   1   0    7      7     26.499907 0.716325  27.732444 0.942984  28.781773 3.218457   6  
   6  1   15   2   0    6      5     32.512733 1.366075  34.394875 0.951610  35.460851 2.552212   6  
   7  4   15   1   0    6      7     38.508909 0.716377  39.741464 1.325965  41.173889 2.835351   6  
   8  1   15   1   1    8      7     44.505099 0.899657  45.920859 0.751478  46.786973 3.218445   6  
   9  1   15   4   0    5      5     50.501267 1.965723  52.983020 1.022662  54.115648 1.885951   6  
  10  3   15   2   0    5      5     56.514147 1.415911  58.446209 0.948725  59.512193 2.502239   6  
  11  4   15   4   1    6      7     62.510294 0.933039  63.959384 1.766644  65.841514 2.169093   6  
  12  3   15   2   0    4      5     68.506479 2.098899  71.121470 0.956320  72.187464 1.819336   6  
  13  3   15   4   0    5     -1     74.485976 2.165582  77.167622 0.881369  78.166983 1.819141   6  
  14  1   15   2   0    3      6     80.498842 2.465312  83.480262 1.291471  84.879375 1.119611   6  
  15  2   15   1   0    5      6     86.495012 1.715715  88.726930 0.417260  89.259917 2.735289   6  
  16  2   15   3   0    5      7     92.491201 1.149375  94.156808 0.698617  94.972933 3.018478   6  
  17  2   15   1   0    7      6     98.504027 0.782970  99.803209 1.228879 101.152333 2.851926   6  
  18  2   15   3   0    6      7    104.500200 0.966259 105.982593 0.409627 106.498946 3.501546   6  
  19  3   15   1   0    7      7    110.496386 0.599890 111.612349 0.954241 112.678338 3.318347   6  
  20  1   15   1   1    6      7    116.492571 1.016256 118.024929 0.571268 118.707832 3.285051   6  
  21  3   15   3   1    6      6    122.505400 0.849701 123.871257 0.486596 124.470817 3.534919   6  
  22  2   15   4   0    6      6    128.501583 0.899581 129.917356 0.350621 130.383721 3.618188   6  
  23  1   15   1   1    6      7    134.497763 0.699602 135.713667 0.000664 135.830248 4.167847   6  
  24  1   15   1   1    7      8    140.510602 0.716309 141.743145 0.628232 142.492670 3.518256   6  
  25  2   15   3   0    6      7    146.506775 1.199408 148.222356 0.915923 149.255020 2.752075   6  
  26  2   15   1   0    6      6    152.502956 0.699719 153.718855 1.132292 154.968059 3.035225   6  
  27  4   15   4   1    5      7    158.499135 1.899015 160.914276 1.015250 162.046877 1.952592   6  
  28  3   15   1   0    6      7    164.511961 0.783012 165.811143 0.995223 166.927105 3.085207   6  
  29  4   15   4   1    7      5    170.508152 0.833063 171.857291 0.396539 172.373626 3.634850   6  
  30  4   15   3   0    2      5    176.504340 0.000000 179.619016 1.453722 181.184682 0.819966   6  
  31  3   15   2   0    4      5    182.517176 2.065471 185.098864 1.266353 186.481304 1.536196   6  
  32  4   15   1   0    5      8    188.496691 0.599711 189.612649 1.087433 190.811888 3.184921   6  
  33  2   15   2   1    5      5    194.492881 1.582583 196.591538 1.183988 197.890722 2.102301   6  
  34  4   15   3   0    6      5    200.489114 0.949557 201.954786 0.783532 202.854217 3.135019   6  
  35  3   15   4   0    5      5    206.501889 1.915607 208.933674 0.841720 209.883079 2.119018   6  
  36  2   15   1   0    6      5    212.498062 0.683125 213.697308 1.090086 214.896538 3.101759   6  
  37  1   15   1   1    5      5    218.494250 1.132876 220.143203 0.405121 220.659536 3.334978   6  
  38  4   15  -1   0    1      2    224.507088 0.000000 227.122016 0.619920 227.854946 2.152440   6  
  39  3   15   1   0    5      5    230.503265 1.449279 232.468687 0.454669 233.035044 2.968540   6  
  40  1   15   4   0    5      5    236.499444 1.499034 238.514830 0.475038 239.097784 2.901987   6  
  41  2   15   2   1    5      5    242.495680 1.582434 244.594281 0.462860 245.177247 2.818697   6  
  42  4   15   1   0    6      7    248.508461 0.649838 249.674380 0.598729 250.390589 3.618192   6  
  43  2   15   3   0    5      6    254.504638 1.565824 256.586640 0.619244 257.319525 2.685437   6  
