%% MetaTwins_RDMsc_training for 'chenlin': starting at _nofeedback (       49.0000000000).6-Mar-2019 11:47:13 for '7.375005e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  14  3    3   1    0    6    2.499002   0    0  1.966808   4.598056 0.606255   5.331064  0   0    5.331064 0.668156   4  
   2  14  4    4   1    0    5    6.497190   0    0  1.083796   7.713313 0.103292   7.946527  0   0    7.946527 1.050884   3  
   3  13  1    4   0    0    5    9.495838   0    0  1.033826  10.661978 0.128324  10.928529  0   0   10.928529 1.067541   3  
   4  13  1    4   0    0    5   12.494472   0    0  1.050433  13.677286 0.136532  13.943817  0   0   13.943817 1.050893   3  
   5  14  2    4   0    0    5   15.493123   0    0  1.017030  16.642606 0.090271  16.859161  0   0   16.859161 1.134175   3  
   6  14  2    4   0    0    5   18.491756   0    0  1.184469  19.807834 0.106435  20.041066  0   0   20.041066 0.950927   3  
   7  15  2    4   0    0    5   21.507064   0    0  0.983768  22.623223 0.120338  22.873121  0   0   22.873121 1.134164   3  
   8  15  1    3   0    0    5   24.505708   0    0  2.366067  27.004568 0.167432  27.304443  0   0   27.304443 0.701478   4  
   9  16  3    2   0    0    5   28.503894   0    0  1.783538  30.419702 0.069029  30.619602  0   0   30.619602 1.384502   4  
  10  16  4    4   1    0    5   32.502087   0    0  0.967112  33.601595 0.066172  33.801499  0   0   33.801499 1.200801   3  
  11  16  4    4   1    0    5   35.500735   0    0  1.033814  36.666874 0.068582  36.866774  0   0   36.866774 1.134159   3  
  12  14  3    3   1    0    5   38.499365   0    0  1.950088  40.581774 0.076503  40.781677  0   0   40.781677 1.217897   4  
  13  14  1    4   0    0    5   42.497565   0    0  0.833912  43.463783 0.112389  43.713688  0   0   43.713688 1.284069   3  
  14  14  2    4   0    0    4   45.496192   0    0  1.133711  46.762293 0.097007  46.978871  0   0   46.978871 1.017527   3  
  15  15  1    3   0    0    4   48.494839   0    0  1.616924  50.244046 0.078404  50.460614  0   0   50.460614 0.534434   3  
  16  15  2    3   0    0    4   51.493487   0    0  2.100013  53.725807 0.073758  53.925717  0   0   53.925717 1.067962   4  
  17  16  4    4   1    0    4   55.491677   0    0  0.967188  56.591173 0.095956  56.824399  0   0   56.824399 1.167471   3  
  18  16  4    4   1    0    4   58.490312   0    0  1.683577  60.339430 0.382471  60.855913  0   0   60.855913 1.134587   4  
  19  14  1    1   1    0    4   62.505163   0    0  1.683478  64.320870 0.103048  64.554239  0   0   64.554239 1.451114   4  
  20  14  4    4   1    0    4   66.503363   0    0  1.584437  68.219249 0.120912  68.469135  0   0   68.469135 0.534400   3  
  21  13  1    1   1    0    5   69.501995   0    0  1.900157  71.534416 0.378725  72.034182  0   0   72.034182 0.968004   4  
  22  13  3    3   1    0    5   73.500189   0    0  1.600234  75.232734 0.240809  75.599249  0   0   75.599249 1.401115   4  
  23  12  2    4   0    0    4   77.498384   0    0  1.083825  78.714499 0.991952  79.830662  0   0   79.830662 1.167883   4  
  24  12  2    4   0    0    4   81.496570   0    0  2.183327  83.862134 0.821595  84.811734  0   0   84.811734 1.185010   5  
  25  13  3    4   0    0    4   86.494301   0    0  1.383622  88.010288 0.144671  88.293503  0   0   88.293503 0.700974   3  
  26  13  4    4   1    0    4   89.492959   0    0  2.166637  91.791907 0.087427  92.008487  0   0   92.008487 0.984626   4  
  27  13  1    4   0    0    4   93.491141   0    0  1.700206  95.323644 0.105819  95.556867  0   0   95.556867 1.434435   4  
  28  13  4    3   0    0    4   97.489333   0    0  1.983337  99.604919 0.150006  99.888239  0   0   99.888239 1.101238   4  
  29  14  3    3   1    0    4  101.504178   0    0  1.416927 103.053482 0.043611 103.236720  0   0  103.236720 0.767615   3  
  30  14  3    4   0    0    1  104.502827   0    0  1.516852 106.135343 0.891591 107.151624  0   0  107.151624 0.851345   4  
  31  14  2    4   0    0    4  108.501016   0    0  1.067009 109.700449 0.102187 109.933700  0   0  109.933700 1.067466   3  
  32  15  3    3   1    0    4  111.499661   0    0  0.900546 112.532508 0.064701 112.732426  0   0  112.732426 1.267382   3  
  33  15  3    3   1    0    4  114.498302   0    0  1.000521 115.631118 0.085294 115.847680  0   0  115.847680 1.150762   3  
  34  14  3    3   1    0    4  117.496935   0    0  0.967130 118.596433 0.062674 118.796362  0   0  118.796362 1.200720   3  
  35  14  4    4   1    0    4  120.495569   0    0  0.983853 121.611747 0.095351 121.844966  0   0  121.844966 1.150757   3  
  36  13  4    4   1    0    4  123.494231   0    0  1.500347 125.160130 0.090735 125.376698  0   0  125.376698 0.617671   3  
  37  13  2    4   0    0    4  126.492872   0    0  1.683527 128.308705 0.082637 128.525273  0   0  128.525273 1.467740   4  
  38  13  3    3   1    0    4  130.491047   0    0  1.217073 131.840439 0.080065 132.057010  0   0  132.057010 0.934191   3  
  39  13  2    3   0    0    4  133.489695   0    0  2.199884 135.821980 0.067432 136.021940  0   0  136.021940 0.967891   4  
