%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at chenqi (       49.0000000000).6-Mar-2019 12:45:027.375005e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   15   3   0    5      4      2.498890 1.583251   4.597944 0.696158   5.414242 2.584877   6  
   2  1   15   2   0    5      5      8.496185 0.983307   9.995507 1.691709  11.811353 2.185035   6  
   3  2   15   2   1    5      5     14.493469 1.316492  16.325979 0.740109  17.192236 2.801412   6  
   4  4   15   3   0    5      5     20.490755 1.466456  22.473197 0.335503  22.922999 3.067910   6  
   5  1   15   4   0    6      5     26.488040 1.532991  28.537131 0.710044  29.370090 2.618106   6  
   6  4   15   4   1    6      4     32.501999 1.516340  34.534417 0.472125  35.134147 2.867971   6  
   7  4   15   4   1    5      4     38.499289 1.282981  40.298472 0.080166  40.498377 3.501005   6  
   8  4   15   3   0    6      4     44.496572 1.916203  46.928818 0.456803  47.511880 2.484760   6  
   9  2   15   2   1    6      5     50.493873 1.583034  52.592928 0.345319  53.059387 2.934518   6  
  10  1   15   3   0    6      4     56.507816 1.283239  58.307029 0.710911  59.139954 2.868097   6  
  11  3   15   3   1    5      4     62.505106 1.649625  64.670793 0.398340  65.187236 2.818104   6  
  12  4   15   4   1    5      3     68.502402 1.566180  70.584801 0.253729  70.951302 3.051317   6  
  13  1   15   2   0    3      2     74.499693 1.899378  76.915263 1.056501  78.098074 1.901839   6  
  14  3   15   3   1    6      4     80.496986 1.716343  82.729302 0.502441  83.345688 2.651519   6  
  15  4   15   3   0    5      2     86.510926 1.316420  88.343439 0.391825  88.859872 3.151289   6  
  16  4   15   4   1    6      4     92.508224 1.799546  94.823861 0.569904  95.506873 2.501583   6  
  17  1   15   4   0    5      5     98.505514 1.749542 100.771151 0.711211 101.604110 2.401628   6  
  18  3   15   4   0    5      5    104.502792 1.199676 106.218701 0.599155 106.935030 3.068006   6  
  19  2   15   3   0    4      4    110.500086 1.882709 112.899010 0.953475 113.981854 2.018477   6  
  20  2   15   4   0    2      2    116.497385 2.166117 119.179500 0.597428 119.895854 2.101748   6  
  21  3   15   3   1    6      4    122.494671 1.632928 124.643707 1.479607 126.242981 1.751895   6  
  22  4   15   4   1    5      4    128.491964 1.816394 130.824230 0.814113 131.757154 2.234994   6  
  23  4   15   4   1   -1      4    134.489250 1.316374 136.321758 0.000000 138.320807 1.668605   6  
  24  4   15   4   1    6      2    140.503203 2.315906 143.335257 1.259072 144.717958 1.285396   6  
  25  3   15   3   1    6      5    146.500487 1.616346 148.632857 0.412542 149.165954 2.834659   6  
  26  3   15   3   1    6      5    152.497779 1.966144 154.979999 0.176860 155.279868 2.718006   6  
  27  4   15   2   0    5      4    158.495080 1.666387 160.677420 0.454233 161.260490 2.734658   6  
  28  3   15   3   1    5      5    164.509020 1.583013 166.608068 0.783411 167.507668 2.501575   6  
  29  4   15   4   1    4      5    170.506315 1.749587 172.771960 0.986937 173.888110 2.118432   6  
  30  3   15   3   1    5      4    176.503599 1.699407 178.719267 0.478458 179.319011 2.684816   6  
  31  3   15   3   1    6      5    182.500892 2.416022 185.432908 1.608546 187.165461 0.835685   6  
  32  3   15   3   1    5      4    188.498185 1.332878 190.347353 0.847181 191.313585 2.684818   6  
  33  2   15   2   1    5      4    194.512126 1.183286 196.211369 0.421609 196.761116 3.251245   6  
  34  2   15   2   1    5      5    200.509422 1.832906 202.858365 0.270861 203.258182 2.751471   6  
  35  4   15   3   0    3      5    206.506728 1.915903 208.938956 0.471658 209.538680 2.468270   6  
  36  4   15   4   1    5      5    212.503998 1.915886 214.936238 0.727017 215.785846 2.218396   6  
  37  2   15   2   1    5      5    218.501297 1.816021 220.833579 0.717842 221.666522 2.334995   6  
  38  3   15   1   0    6      4    224.498580 1.216463 226.231130 1.136683 227.497228 2.501586   6  
  39  2   15   4   0    4      4    230.495883 1.816178 232.828149 0.868513 233.811053 2.185055   6  
  40  1   15   2   0    7      4    236.493167 1.383020 238.392315 1.102654 239.608423 2.384968   6  
  41  4   15   4   1    8      4    242.490450 1.333077 244.339614 0.839724 245.305850 2.684814   6  
  42  1   15   3   0    6      4    248.504404 1.466414 250.486840 0.733907 251.336457 2.668116   6  
  43  2   15   2   1    6      4    254.501695 1.699581 256.717364 0.548086 257.383716 2.618131   6  
  44  2   15   3   0    6      4    260.498994 1.099868 262.114918 0.394154 262.631365 3.367757   6  
  45  1   15   4   0    6      4    266.496275 1.632970 268.645306 0.739377 269.511580 2.484814   6  
  46  1   15   2   0    6      4    272.493574 1.616165 274.625944 0.585666 275.325620 2.668033   6  
  47  3   15   3   1    7      4    278.490861 1.282979 280.290042 0.151496 280.556589 3.434329   6  
  48  1   15   2   0    4      4    284.504806 1.916207 286.937037 0.997514 288.053196 1.951826   6  
  49  1   15   3   0    4      4    290.502097 1.849564 292.867699 0.532870 293.517393 2.484944   6  
  50  4   15   3   0    5      2    296.499386 1.633013 298.648414 0.424492 299.198159 2.801453   6  
  51  1   15   2   0    5      4    302.513342 1.516377 304.545746 0.429732 305.095502 2.918054   6  
  52  4   15   4   1    6      4    308.510617 0.949941 309.976641 0.506487 310.609676 3.401185   6  
  53  4   15   4   1    8      4    314.507914 0.833354 315.857299 0.747388 316.723590 3.284545   6  
  54  2   15   4   0    5      3    320.505211 1.649523 322.670893 1.191503 323.986970 2.018459   6  
  55  1   15   2   0    5      4    326.502497 1.716239 328.734812 0.453229 329.301227 2.701496   6  
  56  2   15   4   0    6      4    332.499783 1.632991 334.648815 0.603812 335.365150 2.634861   6  
  57  3   15   3   1    6      5    338.497073 1.582948 340.596135 0.468420 341.179207 2.818098   6  
  58  3   15   4   0    6      1    344.494369 1.549604 346.560097 0.363156 347.043213 2.951391   6  
  59  4   15   4   1    3      4    350.508316 1.566156 352.590715 1.258596 353.973421 2.035127   6  
  60  3   15   3   1    5      5    356.505611 1.033241 358.054905 0.570684 358.754589 3.251225   6  
  61  2   15   3   0    8      5    362.502904 1.582940 364.601943 1.006138 365.734778 2.268318   6  
  62  2   15   2   1    7      5    368.500186 0.900017 369.916214 0.658790 370.699198 3.301162   6  
  63  2   15   4   0    4      5    374.497485 1.716250 376.729804 0.455668 377.312866 2.684768   6  
  64  3   15   2   0    1      4    380.494774 2.282636 383.293498 0.785212 384.193087 1.801801   6  
  65  2   15   2   1    5      4    386.492061 1.732871 388.741046 0.530403 389.390757 2.601403   6  
  66  1   15   3   0    5      4    392.489363 1.899495 394.904921 0.581623 395.604607 2.384822   6  
  67  2   15   4   0    5      4    398.503292 1.649346 400.668990 0.878387 401.668532 2.334995   6  
  68  3   15   3   1    3      4    404.517252 1.799518 406.832867 1.099628 408.048986 1.968491   6  
  69  1   15   1   1    6      4    410.514531 1.266531 412.297056 0.617646 413.030072 2.984688   6  
  70  2   15   2   1    6      4    416.511831 1.382742 418.410967 0.438915 418.977392 3.034660   6  
  71  4   15   3   0    7      2    422.509112 1.582903 424.608173 0.206553 424.941359 3.067981   6  
  72  3   15   4   0    6      4    428.506407 1.416363 430.438871 0.106375 430.672104 3.334531   6  
  73  1   15   3   0    5      4    434.503696 1.416291 436.436184 0.166849 436.719360 3.284568   6  
  74  4   15   2   0    6      2    440.500995 2.065899 443.083162 0.414628 443.616251 2.384966   6  
  75  3   15   3   1    6      4    446.498287 1.649441 448.663965 0.426126 449.213721 2.784788   6  
  76  1   15   2   0    3      3    452.495568 1.466384 454.478001 0.496134 455.094394 2.901404   6  
  77  2   15   4   0    1      4    458.509508 1.333049 460.358674 0.368878 460.841790 3.167955   6  
  78  2   15   2   1    7      5    464.506815 0.966614 465.989480 0.469832 466.589195 3.417855   6  
  79  3   15   3   1    6      5    470.504098 1.383062 472.403235 0.879595 473.402806 2.601512   6  
  80  3   15   3   1    6      5    476.501399 1.499600 478.517146 0.282931 478.916965 3.084634   6  
  81  1   15   4   0    1      4    482.498679 2.365908 485.380713 0.984471 486.496876 1.501988   6  
  82  3   15   3   1    6      4    488.495965 0.966349 489.978632 0.483161 490.578361 3.417758   6  
  83  1   15   2   0    1      5    494.493263 2.032776 497.042105 0.836514 497.991681 2.001727   6  
  84  1   15   3   0    3      4    500.490560 1.882857 502.889459 0.732373 503.739077 2.251597   6  
  85  1   15   2   0    4      4    506.487844 2.065864 509.070005 0.772644 509.969605 2.018326   6  
  86  2   15   2   1    5      5    512.501784 1.532913 514.550865 0.744228 515.417146 2.584714   6  
