%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at chenqi (       49.0000000000).6-Mar-2019 12:25:527.375005e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   10   1   1    5      5      2.498880 1.733307   4.747843 1.143683   6.013955 1.985126   6  
   2  1   10   4   0    1      5      8.496161 1.649482  10.661850 0.571759  11.361533 2.634771   6  
   3  2   10   3   0    5      4     14.493457 1.466351  16.475894 0.532119  17.125590 2.867923   6  
   4  1   10   2   0    2      3     20.507409 1.832930  22.856332 0.654215  23.639321 2.368312   6  
   5  3   10   3   1    2     -1     26.504691 2.065972  29.086863 0.128310  29.336753 2.668168   6  
   6  1   10   2   0    5      4     32.501968 1.749546  34.767635 0.630054  35.517292 2.484922   6  
   7  4   10   1   0    7      5     38.499267 1.482991  40.498357 0.659988  41.281355 2.718149   6  
   8  1   10   3   0    1      5     44.496564 2.199390  47.211999 0.508609  47.845053 2.151665   6  
   9  1   10   4   0    2      5     50.493857 2.182728  53.192631 0.114450  53.425862 2.568070   6  
  10  2   10   2   1    6      2     56.507804 1.682882  58.706800 0.611904  59.439810 2.568224   6  
  11  2   10   3   0    6      3     62.505103 1.649578  64.670780 0.577635  65.370476 2.634840   6  
  12  4   10   1   0    5      5     68.502383 1.999340  71.017908 0.301775  71.434398 2.568213   6  
  13  3   10   4   0    5      6     74.499671 1.549726  76.565404 0.120245  76.815295 3.184616   6  
  14  1   10   1   1    5      5     80.496964 1.616289  82.629325 0.513631  83.262385 2.734759   6  
  15  4   10   2   0    6      5     86.494250 1.799603  88.809873 0.000881  88.926487 3.067880   6  
  16  3   10   4   0    6      4     92.508204 1.599610  94.623908 0.235498  94.973755 3.034675   6  
  17  4   10   1   0    6      5     98.505494 1.349780 100.371321 0.552641 101.037690 2.968030   6  
  18  1   10   1   1    4      5    104.502779 1.616300 106.635147 0.236776 107.001664 3.001343   6  
  19  3   10   4   0    5      4    110.500068 1.866160 112.882332 0.555105 113.565366 2.434931   6  
  20  2   10   1   0    2      4    116.497361 2.165996 119.179490 0.775990 120.079076 1.918487   6  
  21  2   10   3   0    6      3    122.494654 1.699404 124.710314 0.560392 125.393351 2.601433   6  
  22  4   10   4   1    5      5    128.508597 1.749433 130.774240 0.506523 131.407300 2.601529   6  
  23  2   10   2   1    2      4    134.505897 2.182712 137.204671 0.639337 137.970986 2.035137   6  
  24  4   10   3   0    6      5    140.503182 1.965874 142.985399 0.528056 143.635110 2.368301   6  
  25  2   10   1   0    3      5    146.500477 1.999555 149.016010 0.886521 150.032214 1.968496   6  
  26  4   10   3   0    6      5    152.497766 1.732908 154.746742 0.443954 155.313162 2.684828   6  
  27  3   10   3   1    6      5    158.495048 1.916229 160.927291 0.335205 161.377089 2.618110   6  
  28  4   10   4   1    7      5    164.492341 1.533107 166.541423 0.400247 167.057847 2.934577   6  
  29  2   10   3   0    1      6    170.506289 2.132525 173.155093 0.536233 173.804801 2.201722   6  
  30  1   10   1   1    8      5    176.503579 1.816225 178.835865 0.617021 179.568871 2.434942   6  
  31  1   10   1   1    6      5    182.500874 1.982654 184.999747 0.565939 185.682776 2.318342   6  
  32  4   10   4   1    6      3    188.498157 1.716417 190.730487 0.567594 191.413515 2.584869   6  
  33  1   10   3   0    1      5    194.495451 2.216075 197.227552 0.073716 197.427472 2.568163   6  
  34  3   10   3   1    1      3    200.492751 2.349064 203.358126 0.097007 203.574687 2.418156   6  
  35  3   10   4   0    7      4    206.506696 1.932766 208.955592 0.349927 209.422052 2.584868   6  
  36  2   10   2   1    6      5    212.503965 1.632959 214.653007 0.629674 215.402678 2.601533   6  
  37  4   10   4   1    6      5    218.501268 1.583069 220.600325 0.517718 221.233375 2.768127   6  
  38  3   10   3   1    7      3    224.498566 1.666175 226.680913 0.196203 226.997435 3.001377   6  
  39  1   10   1   1    6      6    230.495845 1.649569 232.661546 0.919645 233.694412 2.301640   6  
  40  1   10   3   0    5      5    236.493139 1.649626 238.658835 0.376674 239.158608 2.834658   6  
  41  3   10   3   1   -1      5    242.507096 1.582787 244.606153 0.000000 246.621899 1.385417   6  
  42  2   10   4   0    5      4    248.504380 1.899495 250.919955 0.825266 251.869530 2.135089   6  
  43  1   10   4   0    7      5    254.501672 1.799530 256.817301 0.882887 257.816847 2.185056   6  
  44  2   10   2   1    7      5    260.498977 1.666150 262.681313 0.518736 263.314361 2.684837   6  
  45  1   10   1   1    7      6    266.496253 1.332953 268.345424 0.130808 268.595316 3.401139   6  
  46  3   10   3   1    7      6    272.493543 1.283231 274.292727 0.239410 274.659227 3.334465   6  
  47  2   10   4   0    7      6    278.490830 1.416408 280.423320 0.000876 280.539912 3.450990   6  
  48  4   10   2   0    8      4    284.504775 2.249348 287.270208 1.019089 288.419689 1.585328   6  
  49  3   10   3   1    7      5    290.502074 1.982831 293.000950 0.582199 293.700625 2.301687   6  
  50  2   10   2   1    6      2    296.499377 1.832845 298.848306 0.141323 299.114855 2.884739   6  
  51  4   10   4   1    6      5    302.496663 1.799548 304.812274 0.705146 305.645238 2.351651   6  
  52  4   10   4   1    7      5    308.493951 1.666127 310.676303 0.267471 311.059452 2.934654   6  
  53  2   10   4   0    6      3    314.491235 1.832869 316.840177 0.400334 317.356632 2.634693   6  
  54  2   10   2   1    1      5    320.505194 2.116142 323.137323 0.001097 323.253935 2.751486   6  
  55  1   10   4   0    7      2    326.502476 2.132638 329.151281 0.030336 329.301209 2.701503   6  
  56  4   10   3   0    6      6    332.499769 1.449726 334.465557 0.404216 334.998642 3.001346   6  
