%% MetaTwins_RDMsc_training for 'guozhangshuang': starting at _nofeedback (       49.0000000000).6-Mar-2019 16:38:50 for '7.375007e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1   7  4   -1   0    0    4    2.498850   0    0  0.000000   5.014404 0.192022   5.314275  0   0    5.314275 0.684785   4  
   2   7  4    4   1    0    3    6.497076   0    0  1.400971   8.013045 0.545624   8.679414  0   0    8.679414 1.317888   4  
   3   7  2    2   1    0    2   10.495264   0    0  2.384145  12.994126 0.464694  13.577193  0   0   13.577193 1.418295   5  
   4   6  2    2   1    0    1   15.509654   0    0  2.184402  17.841918 0.319033  18.275059  0   0   18.275059 0.734804   4  
   5   6  3    3   1    0    2   19.507841   0    0  1.917964  21.573552 0.699540  22.389864  0   0   22.389864 0.618196   4  
   6   5  1    1   1    0    3   23.506025   0    0  1.251881  24.872064 0.551106  25.538440  0   0   25.538440 1.467814   4  
   7   5  3    4   0    0    3   27.504208   0    0  1.800782  29.420010 0.453620  29.986564  0   0   29.986564 1.017865   4  
   8   5  3    1   0    0    3   31.502535   0    0  1.600717  33.218278 0.649462  33.984614  0   0   33.984614 1.018018   4  
   9   6  1    3   0    0    1   35.500567   0    0  1.817546  37.449657 0.521611  38.082747  0   0   38.082747 0.918055   4  
  10   6  1    3   0    0    2   39.498774   0    0  2.035050  41.681107 0.527995  42.314165  0   0   42.314165 0.684832   4  
  11   7  1    1   1    0    2   43.496975   0    0  1.235425  44.846296 0.774200  45.729303  0   0   45.729303 1.267891   4  
  12   7  2    1   0    0    2   47.495131   0    0  1.300944  48.911176 0.550372  49.577542  0   0   49.577542 1.417832   4  
  13   7  4    4   1    0    3   51.493342   0    0  1.568583  53.175891 0.517896  53.808959  0   0   53.808959 1.184587   4  
  14   7  3    4   0    0    3   55.508189   0    0  2.084715  57.707184 0.685288  58.506830  0   0   58.506830 0.501594   4  
  15   7  1    3   0    0    3   59.506376   0    0  1.951383  61.572065 0.824752  62.505024  0   0   62.505024 0.501561   4  
  16   8  4    4   1    0    2   63.504561   0    0  2.018146  65.636927 0.438114  66.186678  0   0   66.186678 0.818105   4  
  17   8  3    1   0    0    3   67.502761   0    0  2.001209  69.618354 0.450833  70.184868  0   0   70.184868 0.818086   4  
  18   8  2    4   0    0    3   71.500938   0    0  1.684910  73.300107 0.386872  73.799902  0   0   73.799902 1.201253   4  
  19   9  2    1   0    0    3   75.499122   0    0  2.452854  78.114490 0.412733  78.647702  0   0   78.647702 1.351655   5  
  20   9  2    3   0    0    3   80.496857   0    0  2.302151  82.929041 0.491087  83.528815  0   0   83.528815 1.468277   5  
  21  10  3    3   1    0    2   85.494581   0    0  1.567780  87.210416 0.307192  87.626961  0   0   87.626961 1.367856   4  
  22  10  3    2   0    0    3   89.492787   0    0  2.134967  91.758404 0.574116  92.441434  0   0   92.441434 0.551558   4  
