%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at guozhangxi (       49.0000000000).6-Mar-2019 17:11:057.375007e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   10   3   0    5    2.498387 1.466189   4.080712 0.889361   5.080082 2.918610   6  
   2  3   10   1   0    4    8.494567 1.716067  10.343399 1.338339  11.792467 2.202400   6  
   3  1   10   4   0    5   14.507409 1.765996  16.406212 1.490866  18.005178 2.002518   6  
   4  4   10   2   0    5   20.503582 1.999986  22.618893 1.041755  23.768172 2.235699   6  
   5  2   10   1   0    2   26.499764 2.498897  29.114771 0.777849  30.014194 1.985857   6  
   6  4   10   2   0    4   32.495942 2.132319  34.761175 0.863498  35.743876 2.252343   6  
   7  2   10  -1   0    2   38.492120 0.000000  41.007209 0.138405  41.257031 2.735362   6  
   8  4   10   3   0    4   44.504971 2.015584  46.636873 0.607332  47.353150 2.652067   6  
   9  1   10   1   1    3   50.501139 2.482248  53.099476 0.738193  53.948953 2.052442   6  
  10  3   10   3   1    6   56.497330 1.799292  58.412761 0.764940  59.295539 2.702018   6  
  11  1   10   1   1    2   62.493497 1.716057  64.325665 0.768808  65.208437 2.785297   6  
  12  1   10   4   0    2   68.489684 2.448867  71.054709 0.703913  71.870860 2.119049   6  
  13  3   10  -1   0    3   74.502525 0.000000  77.017425 0.136305  77.267426 2.735317   6  
  14  1   10   2   0    2   80.498703 1.549377  82.164309 0.875531  83.147015 2.851908   6  
  15  1   10   1   1    4   86.494877 1.766080  88.377009 1.236625  89.726159 2.268936   6  
  16  1   10   2   0    4   92.491057 1.782589  94.389757 1.036102  95.539114 2.452144   6  
  17  2   10   3   0    4   98.503887 1.633204 100.252784 1.284090 101.651891 2.352200   6  
  18  2   10   2   1    3  104.500082 2.465536 107.081622 0.878695 108.081124 1.919141   6  
  19  1   10  -1   0    3  110.496253 0.000000 113.011188 0.061004 113.177870 2.818560   6  
  20  1   10   2   0    3  116.492425 1.516143 118.124730 0.577412 118.807624 3.184977   6  
  21  4   10   3   0    2  122.488608 1.599648 124.204179 0.902083 125.220208 2.768575   6  
  22  4   10   2   0    3  128.501452 2.165691 130.783334 1.115384 132.015891 1.985716   6  
  23  4   10   3   0    5  134.497631 1.999198 136.612912 1.390841 138.111989 1.885782   6  
  24  2   10   1   0    3  140.493811 2.249035 142.858965 0.906594 143.875069 2.118883   6  
  25  4   10  -1   0    4  146.489988 0.000000 149.005077 0.080989 149.204929 2.785193   6  
  26  2   10   2   1    3  152.486177 1.932750 154.534874 0.850310 155.500917 2.485381   6  
  27  2   10   4   0    2  158.499007 1.832602 160.447755 0.733680 161.297215 2.701907   6  
  28  4   10   2   0    4  164.495186 2.282321 166.893650 0.822889 167.826396 2.168900   6  
  29  2   10   4   0    2  170.508004 2.199109 172.823214 0.973597 173.905869 2.102475   6  
  30  4   10   3   0    4  176.504192 2.049208 178.669451 1.188696 179.968650 2.035892   6  
  31  4   10   2   0    3  182.517041 1.849248 184.482459 1.147493 185.748307 2.269076   6  
  32  1   10   1   1    2  188.513214 2.015823 190.645015 1.094270 191.844433 2.169099   6  
  33  4   10   2   0    2  194.509388 2.232319 196.857905 0.991514 197.957209 2.052497   6  
  34  3   10   2   0    3  200.505578 2.265690 202.887406 1.151662 204.153264 1.852626   6  
  35  1   10   3   0    4  206.501766 1.549374 208.167313 0.898374 209.183374 2.818706   6  
  36  3   10   3   1    4  212.514589 2.398833 215.029654 0.883083 216.029020 1.985889   6  
  37  2   10   4   0    4  218.510758 2.432242 221.075806 0.768688 221.958570 2.052523   6  
  38  2   10   1   0    2  224.506961 2.365693 227.005375 0.966056 228.088023 1.919248   6  
  39  2   10   4   0    4  230.503125 2.282330 232.918268 0.882412 233.917629 2.085825   6  
  40  2   10   3   0    4  236.499319 1.632694 238.264846 1.164269 239.547373 2.452262   6  
  41  4   10   4   1    6  242.512136 1.382836 244.027857 1.056651 245.193779 2.818689   6  
  42  3   10   3   1    2  248.508329 1.549541 250.173940 1.463208 251.756248 2.252409   6  
  43  1   10   2   0    4  254.504506 1.565960 256.203408 1.449248 257.769084 2.235748   6  
  44  2   10   3   0    2  260.500699 2.382207 263.015733 1.081791 264.214986 1.786017   6  
  45  1   10   3   0    2  266.513518 1.999213 268.628837 1.019521 269.761467 2.252372   6  
  46  4   10   4   1    3  272.509697 2.099706 274.724835 1.246868 276.090757 1.919267   6  
  47  1   10   2   0    4  278.505882 2.332272 280.954321 1.144022 282.220178 1.786019   6  
  48  2   10  -1   0    2  284.502049 0.000000 287.017099 0.253746 287.383571 2.618820   6  
  49  1   10   4   0    4  290.498240 1.616119 292.230469 1.512399 293.862766 2.135798   6  
  50  2   10   2   1    3  296.511079 2.265584 298.892894 1.109950 300.108787 1.902617   6  
  51  4   10   4   1    4  302.507245 1.716026 304.339424 0.816045 305.272165 2.735411   6  
  52  3   10   4   0    4  308.503436 2.082436 310.702032 0.971212 311.784682 2.219080   6  
  53  1   10   2   0    2  314.499610 2.282395 316.898077 1.190498 318.197258 1.802691   6  
  54  3   10   3   1    2  320.512443 2.315587 322.944236 1.506389 324.559880 1.452896   6  
  55  3   10   2   0    2  326.508633 2.099525 328.723893 1.456168 330.289563 1.719398   6  
  56  1   10   1   1    2  332.504808 2.249648 334.869968 1.521864 336.502271 1.502858   6  
  57  4   10   2   0    3  338.500984 1.666060 340.283197 0.992274 341.382494 2.618815   6  
  58  4   10   3   0    2  344.497183 2.132259 346.745737 1.830723 348.694495 1.303004   6  
  59  3   10   4   0    4  350.510006 1.665954 352.292202 1.189857 353.591370 2.418965   6  
  60  4   10   4   1    4  356.506198 1.915924 358.538117 0.726476 359.371042 2.635476   6  
  61  2   10   2   1    4  362.502362 2.448839 365.067401 1.308630 366.483165 1.519535   6  
  62  4   10   2   0    2  368.498543 1.816086 370.430653 1.294797 371.846410 2.152469   6  
  63  3   10   3   1    3  374.494740 1.965669 376.576738 1.253035 377.942525 2.052532   6  
  64  3   10   1   0    2  380.507556 1.965870 382.606242 1.093551 383.805465 2.202417   6  
  65  4   10   3   0    3  386.503758 1.765985 388.385868 1.092949 389.585108 2.418950   6  
  66  4   10   4   1    5  392.499926 1.815916 394.432021 1.284670 395.831124 2.169122   6  
  67  2   10   2   1    5  398.496101 1.899195 400.511488 0.931061 401.560816 2.435608   6  
  68  3   10   4   0    3  404.508936 2.348811 406.974038 1.317859 408.406458 1.602806   6  
  69  1   10   1   1    2  410.505116 2.349020 412.970211 1.198875 414.286047 1.719407   6  
  70  3   10   3   1    4  416.501285 1.899238 418.516686 1.512329 420.149062 1.852567   6  
  71  3   10   4   0    4  422.497480 1.815927 424.429590 1.413169 425.961929 2.035883   6  
  72  3   10   4   0    5  428.493649 1.616047 430.225897 1.176976 431.525064 2.468919   6  
  73  2   10   2   1    4  434.506489 2.365856 436.988250 1.275478 438.370710 1.636098   6  
  74  3   10   3   1    2  440.502671 2.498960 443.117670 1.105724 444.333567 1.669438   6  
  75  1   10   2   0    3  446.498861 2.348837 448.963946 1.022426 450.096567 1.902609   6  
  76  2   10   3   0    4  452.495037 2.099119 454.710289 1.276081 456.092734 1.902612   6  
  77  3   10   3   1    6  458.491210 1.566091 460.173485 0.831390 461.122873 2.868647   6  
  78  3   10   1   0    5  464.504047 1.949193 466.569390 1.659741 468.334956 1.669400   6  
  79  2   10  -1   0    3  470.500225 0.000000 473.015313 0.048770 473.181847 2.818670   6  
  80  1   10   1   1    2  476.496403 1.766039 478.378544 1.010676 479.511149 2.485556   6  
  81  3   10   3   1    3  482.492588 2.099339 484.707847 1.144610 485.973702 2.019165   6  
  82  2   10   2   1    2  488.505430 2.115821 490.737330 1.121676 491.969893 2.035809   6  
  83  3   10   3   1    2  494.501612 2.115764 496.733512 0.944529 497.782849 2.219001   6  
  84  1   10  -1   0    1  500.497786 0.000000 503.012814 0.026044 503.146089 2.851939   6  
  85  3   10   3   1    2  506.493969 1.815903 508.425922 0.797451 509.342146 2.652066   6  
  86  3   10   2   0    2  512.490139 2.449270 515.055165 1.146320 516.321043 1.669344   6  
  87  4   10   3   0    1  518.502982 2.365528 520.984737 0.520779 521.617676 2.385543   6  
  88  1   10  -1   0    3  524.499156 0.000000 527.014109 0.153142 527.280725 2.718654   6  
