%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at wuzixing (       49.0000000000).6-Mar-2019 17:45:477.375007e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   13   3   0    6    2.498860 1.633500   4.248076 0.635667   5.014410 2.984699   6  
   2  3   13   2   0    6    8.496151 1.766461  10.395169 0.406663  10.911728 3.084599   6  
   3  2   13   4   0    3   14.493446 2.032959  16.692448 1.313140  18.125124 1.868447   6  
   4  2   13   1   0    6   20.490711 2.183066  22.789683 0.281457  23.189508 2.801318   6  
   5  1   13   4   0    4   26.488002 2.432771  29.036799 1.137451  30.302948 1.685119   6  
   6  4   13   2   0    6   32.501954 1.417990  34.051246 0.412882  34.584344 3.417841   6  
   7  4   13   4   1    7   38.499215 1.316828  39.965214 0.224328  40.298429 3.701037   6  
   8  3   13   3   1    4   44.513168 2.366053  46.995381 0.001029  47.128661 2.884755   6  
   9  3   13   2   0    5   50.510454 2.066158  52.759455 1.330003  54.208805 1.801889   6  
  10  3   13   4   0    4   56.507746 2.366420  58.989876 1.801453  60.905754 1.102227   6  
  11  3   13   3   1    1   62.505027 2.333701  64.953823 0.966230  66.036756 1.968514   6  
  12  1   13   2   0   -1   68.502325 1.799681  70.451433 0.000000  72.450486 1.552045   6  
  13  3   13   1   0    2   74.499608 2.332823  76.965154 1.714593  78.797652 1.202131   6  
  14  3   13   2   0    4   80.496897 1.749737  82.412690 1.666383  84.195213 1.801812   6  
  15  1   13   3   0    4   86.494165 2.316185  88.943066 0.864457  89.925959 2.068337   6  
  16  4   13   4   1    3   92.491447 1.583397  94.190690 1.327418  95.640041 2.351473   6  
  17  1   13   1   1    2   98.505403 2.365980 100.987474 1.362290 102.470280 1.535351   6  
  18  2   13   1   0    1  104.502686 2.416035 107.034881 1.212097 108.367595 1.635324   6  
  19  4   13   2   0    6  110.499964 1.699797 112.365798 0.926266 113.398663 2.601539   6  
  20  1   13   3   0    4  116.497236 1.783081 118.446377 0.854990 119.429263 2.568212   6  
  21  3   13   3   1    1  122.494537 2.299571 124.960090 1.128115 126.209521 1.785256   6  
  22  3   13   4   0    6  128.508489 2.349416 130.974036 1.138884 132.240131 1.768589   6  
  23  4   13   4   1    6  134.505766 2.266167 136.904682 1.453244 138.487292 1.518692   6  
  24  2   13   4   0    4  140.503054 2.266085 142.885312 1.576683 144.584537 1.418683   6  
  25  2   13   4   0    6  146.500343 2.316210 148.965784 1.415075 150.498527 1.501960   6  
  26  4   13  -1   0    2  152.497617 0.000000 155.013174 0.226736 155.363000 2.634713   6  
  27  3   13   3   1    7  158.494903 1.333343 159.960912 0.969408 161.060419 2.934553   6  
  28  2   13   4   0    1  164.508848 2.049608 166.674544 1.413919 168.207180 1.801889   6  
  29  2   13  -1   0    2  170.506123 0.000000 173.021675 0.028698 173.171607 2.834759   6  
  30  4   13   4   1    6  176.503419 1.483170 178.119335 1.241859 179.468749 2.534899   6  
  31  3   13   2   0    5  182.500707 1.649784 184.299902 1.070925 185.499349 2.501587   6  
  32  1   13   1   1    4  188.497987 1.300013 189.914026 1.052595 191.080155 2.918054   6  
  33  1   13   3   0    6  194.495276 1.549733 196.177850 1.469069 197.760458 2.235047   6  
  34  2   13   4   0    7  200.492546 2.051414 202.691509 0.637236 203.457883 2.534891   6  
  35  1   13   3   0    1  206.489842 2.482730 209.088662 1.189544 210.404747 1.585273   6  
  36  2   13   2   1    4  212.503785 1.666298 214.286315 1.654183 216.068843 1.935087   6  
  37  3   13  -1   0    3  218.501075 0.000000 221.016612 0.069118 221.216505 2.784670   6  
  38  1   13   2   0    6  224.498354 1.799881 226.480794 1.719531 228.329955 1.668460   6  
