%% MetaTwins_RDMsc_training for 'wuzixing': starting at _feedback (       49.0000000000).6-Mar-2019 16:10:17 for '7.375007e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  90  3    3   1    0    7    2.498917   0    0  1.183369   3.881624 1.053429   5.047755 0.999551   6.047307   7.046856 0.952285   6  
   2  90  2    2   1    0    8    8.496197   0    0  0.983527   9.645515 1.341909  11.111678 0.999538  12.111216  13.110750 0.885614   6  
   3  81  3    3   1    0    7   14.493491   0    0  1.483278  16.176061 1.100795  17.392170 0.999548  18.391718  19.391255 0.602346   6  
   4  81  1    1   1    0    8   20.507416   0    0  0.766682  21.423682 0.748873  22.289944 0.999554  23.289499  24.289040 0.718627   5  
   5  72  4    4   1    0    8   25.505161   0    0  1.649919  27.304354 1.022327  28.453835 0.999541  29.453376  30.452921 0.552467   6  
   6  72  2    2   1    0    8   31.502443   0    0  1.249970  32.885157 1.012606  34.017965 0.999553  35.017518  36.017063 0.985616   6  
   7  64  3    3   1    0    8   37.499728   0    0  0.983558  38.632520 0.659271  39.415541 0.999530  40.415071  41.414618 0.585344   5  
   8  64  4    4   1    0    7   42.497473   0    0  1.416575  44.080004 0.817966  45.013011 0.999521  46.012532  47.012082 0.985627   6  
   9  57  3    3   1    0    7   48.494754   0    0  1.283213  49.927439 0.761745  50.810381 0.999532  51.809913  52.809466 1.185524   6  
  10  57  1    1   1    0    8   54.492037   0    0  1.050118  55.658041 0.618235  56.391181 0.999542  57.390723  58.390271 0.601939   5  
  11  51  3    3   1    0    8   59.489779   0    0  1.083437  60.705899 0.468201  61.288956 0.999560  62.288516  63.288048 0.701848   5  
  12  51  4    4   1    0    8   64.487499   0    0  1.416648  66.020149 0.677138  66.819801 0.999534  67.819335  68.818875 1.168709   6  
  13  45  4    4   1    0    8   70.501451   0    0  0.883590  71.517663 0.616724  72.250671 0.999534  73.250205  74.249751 0.751935   5  
  14  45  1    1   1    0    8   75.499190   0    0  0.750361  76.365316 0.432647  76.915235 0.999557  77.914792  78.914303 1.085123   5  
  15  40  1    1   1    0    7   80.496929   0    0  1.100081  81.746367 1.143737  83.012453 0.999563  84.012016  85.011566 0.985592   6  
  16  40  1    1   1    0    6   86.510871   0    0  1.116800  87.760308 1.101352  88.976422 0.999553  89.975975  90.975512 1.035597   6  
  17  36  4    3   0    0    8   92.508161   0    0  0.900211  93.591006 1.863250  95.573447 0.999524  96.572971  97.572529 1.435858   7  
  18  36  3    3   1    0    7   99.504996   0    0  1.699712 101.354006 1.746648 103.219978 0.999544 104.219521 105.219063 0.786135   7  
  19  36  2    2   1    0    6  106.501827   0    0  1.650328 108.334315 0.971079 109.433825 0.999533 110.433358 111.432929 0.569018   6  
  20  32  4    4   1    0   -1  112.499103   0    0  1.250028 113.898393 0.000000 115.897531 0.999595 116.897126 117.896657 1.102512   7  
  21  32  4    3   0    0    5  119.512595   0    0  1.083415 120.745379 0.979738 121.844877 0.999543 122.844420 123.843963 1.168870   6  
  22  32  3    3   1    0    7  125.509889   0    0  1.799771 127.425681 0.795492 128.341931 0.999542 129.341473 130.341017 0.669098   6  
  23  32  4    4   1    0    5  131.507164   0    0  1.449749 133.089791 1.169315 134.372541 0.999540 135.372081 136.371620 0.635788   6  
  24  28  2    2   1    0    8  137.504467   0    0  1.449940 139.070419 0.691252 139.886716 0.999538 140.886255 141.885797 1.118885   6  
  25  28  2    4   0    0    5  143.501747   0    0  1.883107 145.517371 0.488522 146.133883 0.999550 147.133433 148.132977 0.868991   6  
  26  28  4    4   1    0    8  149.499029   0    0  1.483287 151.114959 1.730337 152.964130 0.999531 153.963660 154.963214 1.035973   7  
  27  28  1    1   1    0    6  156.495860   0    0  1.050164 157.662001 0.884514 158.661549 0.999542 159.661091 160.660646 1.335310   6  
  28  25  4    3   0    0    4  162.509802   0    0  1.666463 164.292328 0.104518 164.525562 0.999522 165.525084 166.524642 1.485389   6  
  29  25  3    4   0    0    7  168.507082   0    0  1.166790 169.839812 0.854846 170.822701 0.999542 171.822243 172.821789 1.185529   6  
  30  28  4    4   1    0    8  174.504367   0    0  1.333276 175.970369 0.913002 177.003239 0.999549 178.002788 179.002338 1.002254   6  
  31  28  1    1   1    0    8  180.501667   0    0  0.900188 181.551007 0.967620 182.634035 0.999532 183.633567 184.633116 1.368770   6  
  32  25  4    4   1    0    8  186.498941   0    0  1.283413 187.898305 0.779248 188.797904 0.999539 189.797443 190.796998 1.202175   6  
  33  25  1    1   1    0    7  192.496217   0    0  0.916974 193.529001 0.751516 194.395366 0.999554 195.394920 196.394469 0.601966   5  
  34  22  1    4   0    0    5  197.493957   0    0  1.816441 199.509714 0.920201 200.559241 0.999536 201.558777 202.558325 1.435794   7  
  35  22  1    3   0    0   -1  204.490798   0    0  2.099638 206.756274 0.000000 208.772194 0.999529 209.771723 210.771288 1.219585   8  
  36  22  2    4   0    0    8  212.503825   0    0  1.366659 214.003004 0.979231 215.102651 0.999538 216.102189 217.101734 0.902328   6  
  37  25  2    2   1    0    6  218.501118   0    0  1.649710 220.283646 1.118223 221.516414 0.999544 222.515958 223.515499 1.485843   7  
  38  25  2    4   0    0    3  225.497936   0    0  2.066327 227.746821 1.541479 229.412840 0.999550 230.412389 231.411940 0.586231   7  
  39  25  2    2   1    0    6  232.494785   0    0  2.249637 234.910368 1.417159 236.442998 0.999536 237.442534 238.442078 0.552937   7  
  40  25  3    4   0    0    7  239.491610   0    0  1.499929 241.107551 0.842906 242.073782 0.999543 243.073325 244.072869 0.918939   6  
  41  25  2    2   1    0    7  245.488893   0    0  1.633216 247.254770 1.363641 248.737421 0.999554 249.736975 250.736509 1.252538   7  
  42  25  1    1   1    0    8  252.502392   0    0  1.000096 253.635181 0.740522 254.501492 0.999528 255.501020 256.500575 0.501886   5  
  43  22  3    3   1    0    8  257.516773   0    0  1.466743 259.115999 1.209771 260.448797 0.999529 261.448326 262.447881 0.569125   6  
  44  22  4    4   1    0    8  263.514067   0    0  1.366670 265.013403 1.006217 266.146219 0.999526 267.145745 268.145300 0.868995   6  
  45  19  3    2   0    0    3  269.511374   0    0  1.933121 271.610331 1.399557 273.126381 0.999553 274.125934 275.125475 0.886106   7  
  46  19  3    3   1    0    4  276.508176   0    0  2.049684 278.707197 1.284305 280.106565 0.999540 281.106105 282.105666 0.902742   7  
  47  19  2    4   0    0    7  283.505008   0    0  1.616352 285.237510 1.538288 286.903478 0.999564 287.903042 288.902575 1.102680   7  
  48  19  4    4   1    0    6  290.501854   0    0  1.233399 291.867929 1.355704 293.350556 0.999551 294.350107 295.349648 0.652380   6  
  49  19  1   -1   0    0   -1  296.499136   0    0  0.000000 299.014670 0.000000 301.013709 0.999596 302.013305 303.012854 0.986390   8  
  50  19  3    3   1    0    4  304.512176   0    0  1.483337 306.128116 1.489223 307.744045 0.999531 308.743577 309.743143 1.269262   7  
  51  17  3    3   1    0    1  311.509007   0    0  2.266020 313.924550 1.903940 315.957001 0.999546 316.956547 317.956082 1.053156   8  
  52  17  4   -1   0    0    3  319.505384   0    0  0.000000 322.020943 0.053477 322.204158 0.999546 323.203704 324.203252 0.802363   6  
  53  17  2    2   1    0    2  325.502665   0    0  1.600111 327.251880 1.255489 328.634576 0.999557 329.634132 330.633671 1.369234   7  
  54  15  2    2   1    0    3  332.499497   0    0  2.299477 334.948328 1.130578 336.197826 0.999554 337.197380 338.196920 0.802789   7  
  55  15  2    3   0    0    2  339.496337   0    0  1.250145 340.912369 1.840384 342.878139 0.999540 343.877679 344.877219 1.119258   7  
  56  15  3    2   0    0    4  346.493169   0    0  1.166773 347.775915 1.861839 349.758360 0.999529 350.757889 351.757434 1.235816   7  
  57  16  1   -1   0    0    3  353.506651   0    0  0.000000 356.022204 0.000301 356.138805 0.999548 357.138353 358.137888 0.868994   6  
  58  16  1    4   0    0    1  359.503936   0    0  1.033499 360.670040 1.829647 362.619202 0.999538 363.618740 364.618289 1.385875   7  
  59  16  1    3   0    0    5  366.500770   0    0  1.799852 368.433240 1.316674 369.865928 0.999538 370.865466 371.864997 1.136006   7  
  60  18  2    4   0    0    1  373.497614   0    0  1.199918 374.846998 1.421857 376.396294 0.999539 377.395833 378.395388 0.602444   6  
]; % This session completes at 16-Mar-2019 16:16:55, 381.004s after session start, 377s on 60 trials, totally 398.422s, correctness is 66.667%.

