%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at wuziyue (       49.0000000000).6-Mar-2019 17:11:037.375007e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   10   3   0    2      5      2.498867 1.466189   4.481299 1.389510   5.997278 2.001812   6  
   2  3   10   1   0    7      4      8.496161 1.716039  10.728506 0.230010  11.078317 2.918063   6  
   3  1   10   4   0    7      5     14.493456 1.782798  16.792421 0.000998  16.909032 3.084636   6  
   4  4   10   2   0   -1      5     20.507387 1.999344  23.022922 0.000000  25.038680 0.968931   6  
   5  2   10   1   0    6      2     26.504675 2.499143  29.519988 0.223135  29.869829 2.135080   6  
   6  4   10   2   0   -1      4     32.501979 2.132794  35.150782 0.000000  37.149823 0.852386   6  
   7  2   10  -1   0    6      2     38.499266 2.499212  41.014798 0.972507  42.114300 1.885197   6  
   8  4   10   3   0    7      4     44.496548 2.032588  47.045403 0.506820  47.678453 2.318332   6  
   9  1   10   1   1   -1      3     50.510507 2.482434  53.509168 0.000000  55.524903 0.485829   6  
  10  3   10   3   1    7      6     56.507802 1.799454  58.823421 0.253911  59.206577 2.801436   6  
  11  1   10   1   1    7      2     62.505085 1.716233  64.737416 0.424758  65.287172 2.718139   6  
  12  1   10   4   0    1      2     68.502371 2.449297  71.467699 0.424504  72.017453 1.985154   6  
  13  3   10  -1   0    7      3     74.499672 0.000000  77.015233 0.643260  77.781520 2.218370   6  
  14  1   10   2   0    7      2     80.513617 1.533064  82.562688 0.314139  82.995828 3.018017   6  
  15  1   10   1   1    8      4     86.510903 1.749555  88.776557 0.000640  88.893159 3.117967   6  
  16  1   10   2   0    8      4     92.508192 1.766054  94.790510 0.000819  94.907108 3.101308   6  
  17  2   10   3   0    7      4     98.505488 1.632919 100.654512 0.458285 101.237598 2.768107   6  
  18  2   10   2   1    1      3    104.502772 2.465626 107.484760 0.044191 107.651354 2.351647   6  
  19  1   10  -1   0    1      3    110.500063 2.499256 113.015629 0.541434 113.681967 2.318329   6  
  20  1   10   2   0    7      3    116.514010 1.499656 118.529768 0.222011 118.879617 3.134625   6  
  21  4   10   3   0    7      2    122.511288 1.582980 124.610358 0.493480 125.226756 2.784782   6  
  22  4   10   2   0    6      3    128.508602 2.166034 131.190714 0.065537 131.373967 2.634864   6  
  23  4   10   3   0    1      5    134.489227 2.016061 137.021417 0.318576 137.454571 2.534708   6  
  24  2   10   1   0    1      3    140.486531 2.266157 143.268600 0.085920 143.468503 2.518089   6  
  25  4   10  -1   0   -1      4    146.500480 2.499037 149.016022 0.000000 151.015056 0.985495   6  
  26  2   10   2   1    7      3    152.497761 1.932802 154.946643 0.000822 155.063281 2.934576   6  
  27  2   10   4   0    7      2    158.495044 1.849436 160.860638 0.474879 161.460372 2.534790   6  
  28  4   10   2   0    1      4    164.492332 2.299286 167.307751 0.341891 167.774192 2.218288   6  
  29  2   10   4   0    2      2    170.489620 2.232604 173.238388 0.162410 173.521589 2.468186   6  
  30  4   10   3   0    1      4    176.503575 2.049330 179.069082 0.284204 179.468899 2.534839   6  
  31  4   10   2   0    7      3    182.500861 1.865920 184.883118 0.239160 185.249618 2.751398   6  
  32  1   10   1   1    8      2    188.498157 2.032780 191.047006 0.000870 191.163631 2.834689   6  
  33  4   10   2   0    3      2    194.495448 2.249318 197.260869 0.269109 197.644028 2.351608   6  
  34  3   10   2   0    2      3    200.492743 2.282707 203.291467 0.171832 203.591341 2.401606   6  
  35  1   10   3   0    3      4    206.506698 1.549637 208.572422 0.000671 208.689038 3.317867   6  
  36  3   10   3   1    7      4    212.503979 2.415737 215.435985 0.001024 215.552592 2.451608   6  
  37  2   10   4   0    1      4    218.501264 2.449377 221.466602 0.201902 221.783119 2.218377   6  
  38  2   10   1   0    1      2    224.498553 2.382394 227.397250 0.165931 227.680463 2.318333   6  
  39  2   10   4   0    2      4    230.495855 2.299204 233.311237 0.333162 233.761039 2.235066   6  
  40  2   10   3   0    7      4    236.493144 1.649452 238.658827 0.654112 239.441810 2.551556   6  
  41  4   10   4   1    8      6    242.507085 1.399565 244.422899 0.775780 245.322479 2.684832   6  
  42  3   10   3   1    8      2    248.504375 1.566257 250.586769 0.379379 251.086539 2.918064   6  
  43  1   10   2   0    7      4    254.501670 1.582647 256.600715 0.743672 257.466992 2.534910   6  
  44  2   10   3   0    7      2    260.498964 2.398979 263.414302 1.043122 264.580446 1.418737   6  
  45  1   10   3   0    1      2    266.496241 2.016171 269.028439 0.379255 269.528218 2.468256   6  
  46  4   10   4   1    3      3    272.510197 2.099149 275.125684 1.712959 276.958177 1.052248   6  
  47  1   10   2   0    4      4    278.507482 2.332448 281.356208 0.000964 281.472819 2.534897   6  
  48  2   10  -1   0    7      2    284.504782 2.499085 287.020334 1.553673 288.702887 1.302124   6  
  49  1   10   4   0    3      4    290.502077 1.616151 292.634444 0.377465 293.134218 2.868084   6  
  50  2   10   2   1    7      3    296.499371 2.282522 299.298095 0.388011 299.797881 2.201707   6  
  51  4   10   4   1    1      4    302.513294 1.716069 304.745629 0.462006 305.328707 2.684826   6  
  52  3   10   4   0    7      4    308.510590 2.082637 311.109421 0.179621 311.409281 2.601541   6  
  53  1   10   2   0    7      2    314.507890 2.282755 317.306624 0.559709 317.989655 2.018462   6  
  54  3   10   3   1    3      2    320.505181 2.332606 323.353887 0.106383 323.587130 2.418275   6  
  55  3   10   2   0    4      2    326.502471 2.116052 329.134611 0.635075 329.884269 2.118430   6  
  56  1   10   1   1    4      2    332.516415 2.249237 335.281832 0.513494 335.914882 2.101767   6  
  57  4   10   2   0    7      3    338.513706 1.666140 340.696056 1.191070 342.012135 2.001795   6  
  58  4   10   3   0    4      2    344.511005 2.132711 347.159804 0.831429 348.109386 1.901849   6  
  59  3   10   4   0    7      4    350.491635 1.699587 352.707302 0.000832 352.823907 3.167779   6  
  60  4   10   4   1    8      4    356.488924 1.949563 358.954480 0.480226 359.554207 2.434798   6  
  61  2   10   2   1    7      4    362.486213 2.465850 365.468207 0.447144 366.034629 1.951676   6  
  62  4   10   2   0    1      2    368.500154 1.815964 370.832440 0.020130 370.982362 3.017910   6  
  63  3   10   3   1    2      3    374.497458 1.966103 376.979662 0.718283 377.812619 2.184947   6  
  64  3   10   1   0    7      2    380.494741 1.982687 382.993619 0.410667 383.526699 2.468169   6  
  65  4   10   3   0    8      3    386.492032 1.782755 388.790988 0.420158 389.340746 2.651428   6  
  66  4   10   4   1    8      5    392.489315 1.832699 394.838262 0.505322 395.471310 2.518166   6  
  67  2   10   2   1    8      5    398.503283 1.899427 400.918843 0.345607 401.385294 2.618145   6  
  68  3   10   4   0    2      3    404.500560 2.365958 407.382603 0.578326 408.082280 1.918471   6  
  69  1   10   1   1    8      2    410.497848 2.366031 413.379889 0.003748 413.513160 2.484877   6  
  70  3   10   3   1    8      4    416.495141 1.916193 418.927378 0.685041 419.727027 2.268314   6  
  71  3   10   4   0    8      4    422.492439 1.832690 424.841380 0.580321 425.541047 2.451600   6  
  72  3   10   4   0    8      5    428.506384 1.616335 430.638754 0.429024 431.188497 2.818109   6  
