%% MetaTwins_RDMsc_training for 'wuziyue': starting at _nofeedback (       49.0000000000).6-Mar-2019 16:35:54 for '7.375007e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  20  4    4   1    0    8    2.499023   0    0  1.683356   4.381517 0.091054   4.598090  0   0    4.598090 1.401158   4  
   2  20  2    2   1    0    8    6.497231   0    0  1.199894   7.813301 0.206548   8.146485  0   0    8.146485 0.850923   3  
   3  18  2    4   0    0    8    9.495872   0    0  2.049787  11.694884 0.293345  12.111363  0   0   12.111363 0.884674   4  
   4  18  3    3   1    0    8   13.494062   0    0  1.051322  14.693528 0.271095  15.076682  0   0   15.076682 0.917515   3  
   5  18  2    2   1    0    8   16.492700   0    0  1.816821  18.441762 0.337473  18.891635  0   0   18.891635 1.101198   4  
   6  16  4    4   1    0    8   20.490902   0    0  1.299779  21.923470 0.174053  22.223449  0   0   22.223449 0.767537   3  
   7  16  3    3   1    0    8   23.489555   0    0  0.950145  24.605718 0.292152  25.022183  0   0   25.022183 0.967426   3  
   8  14  1    3   0    0    5   26.504855   0    0  1.216476  27.887488 1.576229  29.586798  0   0   29.586798 1.418288   5  
   9  14  3    3   1    0    8   31.502585   0    0  1.516517  33.135191 0.272128  33.535010  0   0   33.535010 1.467809   4  
  10  14  4    4   1    0    8   35.500788   0    0  1.799727  37.449824 0.232793  37.799743  0   0   37.799743 1.201268   4  
  11  13  4    3   0    0   -1   39.498981   0    0  2.232854  41.847756 0.000000  43.846984  0   0   43.846984 1.152223   6  
  12  13  3    3   1    0    8   45.496287   0    0  1.366614  46.995599 0.684830  47.795240  0   0   47.795240 1.201258   4  
  13  13  2    3   0    0    5   49.511121   0    0  1.249837  50.893695 1.183973  52.193240  0   0   52.193240 0.818105   4  
  14  13  3    3   1    0    8   53.509312   0    0  1.100084  54.725430 0.796700  55.641688  0   0   55.641688 1.367866   4  
  15  13  3    3   1    0    8   57.507542   0    0  1.449683  59.156765 0.636438  59.906436  0   0   59.906436 1.101300   4  
  16  12  2    2   1    0    8   61.505693   0    0  1.366810  63.021699 0.402757  63.538123  0   0   63.538123 1.467807   4  
  17  12  2    3   0    0   -1   65.503894   0    0  1.399879  67.019887 0.000000  69.018927  0   0   69.018927 0.985172   5  
  18  12  4    4   1    0    8   70.501648   0    0  1.732942  72.367471 0.748388  73.233743  0   0   73.233743 0.768044   4  
  19  11  3    3   1    0    8   74.499825   0    0  1.383127  76.015819 0.525780  76.665519  0   0   76.665519 1.334461   4  
  20  11  4    3   0    0    8   78.498037   0    0  0.866772  79.514245 0.958328  80.597088  0   0   80.597088 1.401041   4  
  21  11  3    4   0    0    3   82.496228   0    0  1.649810  84.262094 0.082881  84.462007  0   0   84.462007 0.534292   3  
  22  12  1    1   1    0    8   85.511522   0    0  1.733279  87.377291 0.817696  88.310264  0   0   88.310264 0.701487   4  
  23  12  3    3   1    0    8   89.509723   0    0  1.516571  91.142310 0.531225  91.792034  0   0   91.792034 1.217908   4  
  24  11  2    2   1    0    6   93.507907   0    0  1.549970  95.207159 0.863620  96.190035  0   0   96.190035 0.818111   4  
  25  11  1    1   1    0    8   97.506089   0    0  1.000067  98.655578 0.226162  99.005434  0   0   99.005434 1.000898   3  
  26  10  3    3   1    0    8  100.504743   0    0  1.316613 101.937252 0.306362 102.370569  0   0  102.370569 0.634399   3  
  27  10  4    3   0    0   -1  103.503400   0    0  1.450104 105.069357 0.000000 107.068408  0   0  107.068408 0.935217   5  
  28  10  2    3   0    0    8  108.501132   0    0  1.200002 109.817173 0.255734 110.183722  0   0  110.183722 0.817640   3  
  29  10  1    1   1    0    8  111.499794   0    0  0.916802 112.549313 0.242524 112.915813  0   0  112.915813 1.084201   3  
  30  10  4    4   1    0    8  114.498428   0    0  1.833173 116.497525 0.251915 116.864012  0   0  116.864012 1.134639   4  
  31   9  4    4   1    0    8  118.496616   0    0  0.949920 119.596137 0.184346 119.895982  0   0  119.895982 1.100874   3  
  32   9  3    3   1    0    8  121.495264   0    0  1.133768 122.794691 0.204706 123.127866  0   0  123.127866 0.867628   3  
  33   8  1    3   0    0    8  124.493908   0    0  1.449777 126.093200 0.207629 126.409718  0   0  126.409718 0.584408   3  
