%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at fumengchen (       49.0000000000).7-Mar-2019 12:37:327.375015e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   10   2   0    6    2.498396 1.816124   4.430502 0.733278   5.279963 2.718760   6  
   2  2   10   4   0    5    8.494576 1.133080   9.743793 1.229057  11.092924 2.901981   6  
   3  2   10   4   0    3   14.507413 1.349530  15.973020 1.082115  17.172383 2.835349   6  
   4  4   10   2   0    5   20.503601 1.499534  22.119220 0.359958  22.585615 3.418306   6  
   5  3   10   3   1    5   26.499791 2.015901  28.631752 0.204378  28.948224 3.051884   6  
   6  4   10   4   1    7   32.495963 1.332915  33.945042 0.844632  34.911091 3.085195   6  
   7  1   10   2   0    5   38.508793 1.216330  39.841244 0.161976  40.124432 3.884690   6  
   8  3   10   4   0    5   44.504986 1.083045  45.704221 0.125675  45.937409 4.067892   6  
   9  2   10   2   1    5   50.501154 1.449469  52.066656 0.137071  52.316679 3.684799   6  
  10  3   10   2   0    5   56.513990 1.249641  57.879805 0.150142  58.146290 3.868038   6  
  11  2   10   3   0    5   62.510182 1.366398  63.992572 0.095136  64.209107 3.801393   6  
  12  1   10   4   0    5   68.506367 1.366278  69.988756 0.718040  70.821564 3.185125   6  
  13  2   10   3   0    5   74.502536 1.266365  75.901658 0.119861  76.134835 3.868038   6  
  14  2   10   2   1    7   80.498727 1.299422  81.914489 0.574056  82.597384 3.401463   6  
  15  4   10   4   1    6   86.494908 1.266313  87.877368 1.088459  89.076623 2.918422   6  
  16  2   10   4   0    2   92.491107 1.332731  93.940163 0.530541  94.589751 3.401500   6  
  17  2   10   3   0    5   98.503934 1.666211 100.286126 0.363788 100.769147 3.234973   6  
  18  2   10   2   1    6  104.500120 1.416020 106.032469 0.736504 106.881929 3.118409   6  
  19  4   10   4   1    6  110.496292 1.416194 112.028651 0.591807 112.728206 3.268322   6  
  20  4   10   4   1    5  116.492470 1.016481 117.625096 0.619440 118.357955 3.634784   6  
  21  2   10   3   0    7  122.505315 1.666048 124.287518 0.516883 124.920433 3.085170   6  
  22  3   10   1   0    5  128.501498 1.532676 130.150441 0.475988 130.733401 3.268415   6  
  23  3   10   4   0    3  134.497669 1.282817 135.896784 0.271954 136.279881 3.718125   6  
  24  4   10   3   0    5  140.493845 1.549428 142.159458 0.317284 142.592528 3.401658   6  
  25  3   10   4   0    5  146.506695 1.432866 148.055714 0.173879 148.338860 3.668157   6  
  26  1   10   4   0    5  152.502867 1.482906 154.101850 0.349053 154.568221 3.434979   6  
  27  1   10   3   0    5  158.499059 1.349469 159.964792 0.087203 160.164661 3.834717   6  
  28  2   10   4   0    5  164.511884 1.366284 165.994291 0.116963 166.227464 3.784758   6  
  29  1   10   3   0    5  170.508083 1.382906 172.007132 0.167369 172.290276 3.718126   6  
  30  3   10   1   0    5  176.504249 1.499282 178.119885 0.359622 178.586270 3.418311   6  
  31  4   10   4   1    3  182.500442 1.549320 184.166048 0.431504 184.715693 3.285066   6  
  32  4   10   4   1    6  188.513274 1.349542 189.979012 1.176157 191.261490 2.752109   6  
  33  3   10   2   0    5  194.509456 1.699450 196.341644 0.240643 196.691413 3.318372   6  
  34  4   10   4   1    7  200.505631 1.183039 201.804810 0.768376 202.687592 3.318366   6  
  35  2   10   2   1    6  206.501831 1.399546 208.034001 0.400533 208.550528 3.451397   6  
  36  1   10   4   0    6  212.498000 1.616247 214.230237 0.282133 214.629969 3.368174   6  
  37  1   10   2   0    5  218.494195 1.299565 219.909960 0.211685 220.243070 3.751275   6  
  38  4   10   4   1    5  224.490372 1.383338 225.989288 0.211724 226.322536 3.668019   6  
  39  1   10   1   1    5  230.503196 1.599345 232.218787 0.234683 232.568557 3.434874   6  
  40  3   10   4   0    5  236.499383 1.632728 238.248144 0.173362 238.531424 3.468194   6  
  41  3   10   3   1    5  242.495577 1.166314 243.778080 0.184649 244.077896 3.917931   6  
  42  2   10   2   1    5  248.491758 1.832590 250.440505 0.118423 250.673705 3.318347   6  
  43  4   10   2   0    5  254.504577 1.166330 255.787116 0.143405 256.036953 3.967963   6  
  44  4   10   4   1    7  260.500765 1.049791 261.666685 0.319940 262.099764 3.901339   6  
  45  3   10   3   1    6  266.496950 1.816029 268.429055 0.839668 269.378459 2.618820   6  
  46  4   10   4   1    5  272.509791 1.316317 273.942215 1.077230 275.124789 2.885326   6  
  47  3   10   3   1    7  278.505970 1.782758 280.404773 0.756708 281.270884 2.735417   6  
  48  3   10   4   0    6  284.502148 1.749538 286.367634 0.399327 286.883972 3.118511   6  
  49  3   10   2   0    6  290.498340 1.399545 292.014017 0.501341 292.630317 3.368335   6  
  50  1   10   2   0    6  296.511159 1.715894 298.343340 0.343548 298.793064 3.218429   6  
  51  1   10   2   0    5  302.507346 1.582601 304.206265 0.281337 304.606012 3.401677   6  
  52  4   10   4   1    6  308.503545 1.266237 309.902661 0.371586 310.385684 3.618177   6  
  53  2   10   2   1    7  314.499733 1.366292 315.982112 0.599496 316.698321 3.301725   6  
  54  1   10   1   1    5  320.512553 1.049874 321.678485 0.407807 322.194826 3.818045   6  
  55  4   10   4   1    7  326.508739 1.049659 327.674667 0.263903 328.057746 3.951311   6  
  56  3   10   3   1    5  332.488264 1.799466 334.403717 0.154748 334.670211 3.318158   6  
  57  3   10   3   1    5  338.501104 1.500107 340.116748 0.124261 340.349920 3.651324   6  
  58  1   10   4   0    5  344.497288 1.399496 346.012985 0.160584 346.296142 3.701306   6  
  59  1   10   2   0    5  350.493479 1.332692 351.959192 0.111927 352.192382 3.801278   6  
  60  3   10   3   1    7  356.489643 1.249666 357.855440 0.257215 358.221875 3.767997   6  
  61  3   10   4   0    6  362.502494 1.032979 363.651763 0.303464 364.068160 3.934561   6  
  62  1   10   2   0    5  368.498679 0.999758 369.614629 0.160905 369.881123 4.117800   6  
  63  4   10   3   0    5  374.494848 0.982969 375.594143 0.096405 375.810681 4.184458   6  
  64  1   10   2   0    5  380.507698 0.933200 381.557011 0.202123 381.873491 4.134519   6  
  65  1   10   3   0    5  386.503864 1.266229 387.886321 0.245356 388.252754 3.751442   6  
  66  3   10   4   0    6  392.500049 1.066446 393.682498 0.190973 393.982454 4.017916   6  
  67  1   10   3   0    5  398.496232 1.632876 400.245116 0.342803 400.694837 3.301734   6  
  68  1   10   1   1    5  404.509060 1.233024 405.858212 0.143230 406.108055 3.901348   6  
  69  3   10   2   0    4  410.505247 1.016470 411.637872 0.370708 412.120886 3.884689   6  
  70  4   10   4   1    7  416.501431 1.183019 417.817267 0.315846 418.250316 3.751447   6  
  71  2   10   3   0    7  422.497615 1.815882 424.429713 0.621432 425.162585 2.835358   6  
  72  1   10   1   1    6  428.510451 1.549453 430.176070 0.285677 430.575807 3.434967   6  
  73  1   10   3   0    5  434.506637 1.366394 435.989019 0.383232 436.488714 3.518246   6  
  74  4   10   2   0    4  440.502821 1.549423 442.168416 0.245077 442.534862 3.468273   6  
  75  1   10   2   0    4  446.515658 1.016272 447.648259 1.029819 448.797537 3.218445   6  
  76  3   10   2   0    6  452.511842 1.366959 453.994226 0.505341 454.610501 3.401665   6  
  77  4   10   4   1    5  458.508013 1.332957 459.957093 0.172064 460.240242 3.768090   6  
  78  2   10   3   0    6  464.487543 1.133115 465.736745 0.262261 466.119855 3.867822   6  
  79  4   10   1   0    7  470.500375 1.049673 471.666303 0.318190 472.099365 3.901184   6  
  80  2   10   2   1    7  476.496571 1.049785 477.662477 0.275979 478.045583 3.951178   6  
  81  3   10   3   1    5  482.492736 1.399524 484.008442 0.204686 484.324916 3.668047   6  
  82  4   10   4   1    6  488.505586 1.233146 489.871397 0.098875 490.087911 3.917911   6  
  83  2   10   2   1    5  494.501776 1.016444 495.634376 0.378136 496.134068 3.867970   6  
  84  2   10   3   0    5  500.497960 1.150165 501.763819 0.202727 502.080267 3.917988   6  
  85  2   10   2   1    5  506.494125 1.399709 508.009815 0.143372 508.259674 3.734774   6  
  86  3   10   3   1    6  512.506975 0.999696 513.622919 0.120505 513.856103 4.151201   6  
  87  2   10   2   1    5  518.503157 0.949780 519.569140 0.297278 519.985543 4.017928   6  
  88  4   10   4   1    6  524.499322 0.949741 525.565300 0.187932 525.865133 4.134523   6  
  89  4   10   4   1    5  530.495511 1.049943 531.661446 0.149080 531.927927 4.067906   6  
  90  1   10   1   1    5  536.508327 1.349603 537.974089 0.408111 538.490423 3.518256   6  
]; % This session completes at 17-Mar-2019 12:47:00, 544.321s after session start, 540s on 90 trials, totally 568.307s.

