%% MetaTwins_RDMsc_training for 'fumengchen': starting at _feedback (       49.0000000000).7-Mar-2019 11:17:15 for '7.375015e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  90  2    2   1    0    7    2.498647   0    0  1.932427   4.547336 1.896250   6.562718 0.999345   7.562063   8.561443 1.437520   8  
   2  90  4    4   1    0    8   10.493551   0    0  1.965874  12.575554 1.152147  13.841419 0.999353  14.840772  15.840133 1.153665   7  
   3  81  3    3   1    0    8   17.489089   0    0  1.582738  19.188017 1.303600  20.603778 0.999360  21.603138  22.602509 1.386797   7  
   4  81  1    1   1    0    8   24.501291   0    0  1.249662  25.867084 0.815781  26.799830 0.999344  27.799174  28.798545 1.202908   6  
   5  72  2    2   1    0    8   30.497477   0    0  0.916557  31.530154 1.730209  33.378966 0.999472  34.378439  35.377685 0.619909   6  
   6  72  3    3   1    0    8   36.510309   0    0  1.449609  38.075990 1.691240  39.874845 0.999340  40.874185  41.873549 1.137088   7  
   7  64  2    2   1    0   -1   43.505982   0    0  0.949714  44.571847 0.000000  46.570501 0.999438  47.569939  48.569298 1.436877   7  
   8  64  4    4   1    0    8   50.501392   0    0  1.432864  52.050418 0.824661  52.983159 0.999353  53.982512  54.981887 1.019835   6  
   9  64  2    2   1    0   -1   56.497587   0    0  1.099791  57.713472 0.000000  59.712133 0.999428  60.711560  61.710932 1.286971   7  
  10  64  3    3   1    0    8   63.509783   0    0  1.082983  64.709033 1.838083  66.657789 0.999347  67.657135  68.656507 1.353612   7  
  11  57  4    2   0    0    5   70.505331   0    0  0.783229  71.404760 1.843225  73.353526 0.999355  74.352880  75.352254 0.653414   6  
  12  57  2    2   1    0    8   76.501499   0    0  0.883402  77.500892 0.958328  78.566869 0.999353  79.566222  80.565600 1.436242   6  
  13  57  1    1   1    0    8   82.497692   0    0  0.983021  83.597005 1.089398  84.796231 0.999350  85.795581  86.794962 1.203060   6  
  14  51  2    3   0    0    8   88.493871   0    0  0.949853  89.559873 0.781140  90.459292 0.999356  91.458648  92.458016 0.536147   5  
  15  51  1    1   1    0    8   93.490702   0    0  1.932613  95.539393 1.119174  96.771946 0.999349  97.771295  98.770665 1.220271   7  
  16  51  1    1   1    0    8  100.502908   0    0  0.899856 101.518921 0.829332 102.468318 0.999355 103.467673 104.467038 0.536069   5  
  17  45  1    1   1    0    8  105.499718   0    0  1.332900 106.948809 0.837839 107.898193 0.999356 108.897550 109.896906 1.102977   6  
  18  45  2    2   1    0    8  111.495904   0    0  1.066402 112.678481 1.004468 113.794408 0.999373 114.793781 115.793169 1.202842   6  
  19  40  4    4   1    0    8  117.508741   0    0  1.299703 118.924507 0.893484 119.923884 0.999337 120.923221 121.922581 1.086483   6  
  20  40  3    3   1    0    8  123.504924   0    0  1.316351 124.937345 0.680159 125.736843 0.999346 126.736189 127.735548 1.269696   6  
  21  36  1    1   1    0    8  129.501098   0    0  0.866598 130.483797 0.676980 131.266636 0.999354 132.265989 133.265369 0.736053   5  
  22  36  4    4   1    0    8  134.497914   0    0  1.449501 136.063581 0.566725 136.746489 0.999367 137.745856 138.745210 1.253038   6  
  23  32  3    3   1    0    8  140.510742   0    0  1.916028 142.542788 1.161529 143.825311 0.999372 144.824683 145.824033 1.187050   7  
  24  32  2    2   1    0    8  147.506288   0    0  1.099589 148.722190 0.770613 149.604972 0.999362 150.604334 151.603683 1.402943   6  
  25  28  1    3   0    0    8  153.502476   0    0  2.415631 156.034200 0.699200 156.850362 0.999352 157.849714 158.849073 1.153745   7  
  26  28  3    3   1    0    8  160.498022   0    0  1.649446 162.263573 0.616123 162.996441 0.999344 163.995785 164.995156 1.003202   6  
  27  28  2    2   1    0    5  166.494203   0    0  1.016390 167.626813 1.141803 168.876031 0.999354 169.875385 170.874741 1.119771   6  
  28  25  4    3   0    0    8  172.490395   0    0  1.549544 174.156009 0.998777 175.271951 0.999363 176.271313 177.270676 0.719983   6  
  29  25  4    4   1    0    8  178.503231   0    0  1.232706 179.852361 0.788185 180.751806 0.999345 181.751151 182.750518 1.252927   6  
  30  25  1   -1   0    0    7  184.499436   0    0  0.000000 187.097781 1.798824 189.013209 0.999342 190.012551 191.011988 0.987611   8  
  31  25  4    4   1    0    8  192.494326   0    0  2.115572 194.726230 0.689703 195.525727 0.999352 196.525080 197.524449 1.470003   7  
  32  22  2    2   1    0    8  199.506527   0    0  1.249617 200.872315 0.929151 201.921644 0.999361 202.921006 203.920378 1.086460   6  
  33  22  4    4   1    0    6  205.502701   0    0  1.965889 207.584720 1.209545 208.900555 0.999340 209.899894 210.899259 1.103766   7  
  34  19  1    3   0    0    6  212.514904   0    0  2.315679 214.946689 0.918606 215.979375 0.999342 216.978717 217.978087 1.037150   7  
  35  19  3    2   0    0    7  219.510454   0    0  1.432794 221.059460 0.975825 222.142114 0.999350 223.141464 224.140827 0.869952   6  
  36  21  2    1   0    0    3  225.506635   0    0  1.732599 227.355453 1.424865 228.887823 0.999349 229.887172 230.886532 1.120422   7  
  37  21  2    2   1    0    4  232.502163   0    0  1.949275 234.567534 1.505280 236.183171 0.999358 237.182530 238.181882 0.820618   7  
  38  21  4    4   1    0    6  239.497716   0    0  1.632758 241.246616 1.172367 242.529125 0.999359 243.528484 244.527843 1.470213   7  
  39  18  2    1   0    0    1  246.493266   0    0  1.799890 248.408603 1.758682 250.274198 0.999367 251.273566 252.272917 0.720675   7  
  40  18  3    3   1    0    2  253.505474   0    0  2.048946 255.670759 1.680196 257.469623 0.999348 258.468971 259.468337 0.537404   7  
  41  18  4    4   1    0    7  260.501018   0    0  2.115900 262.732926 1.220487 264.065415 0.999366 265.064781 266.064142 0.937103   7  
  42  16  4    4   1    0    6  267.496564   0    0  1.366337 268.978948 0.898412 269.994966 0.999362 270.994327 271.993680 1.003051   6  
  43  16  3   -1   0    0    3  273.492744   0    0  0.000000 276.007817 0.224514 276.340935 0.999353 277.340289 278.339678 0.653202   6  
  44  16  3    4   0    0    6  279.505591   0    0  1.865970 281.487669 1.127600 282.720194 0.999370 283.719564 284.718921 1.286988   7  
  45  16  1    4   0    0    2  286.501116   0    0  1.982460 288.599786 0.977325 289.682426 0.999360 290.681786 291.681146 1.320319   7  
  46  18  4    4   1    0    5  293.513326   0    0  1.999152 295.628653 1.474856 297.210982 0.999344 298.210326 299.209696 0.803957   7  
