%% MetaTwins_RDMsc_training for 'fumengchen': starting at _nofeedback (       49.0000000000).7-Mar-2019 11:37:43 for '7.375015e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  11  4    4   1    0    6    2.498453   0    0  1.716127   4.330617 0.241536   4.680413  0   0    4.680413 1.318371   4  
   2  11  3    3   1    0    5    6.495916   0    0  2.115772   8.727827 0.430031   9.277486  0   0    9.277486 0.718756   4  
   3  10  4    2   0    0    5   10.493361   0    0  2.249135  12.858525 0.310424  13.274938  0   0   13.274938 0.718749   4  
   4  10  1    4   0    0    8   14.507475   0    0  1.083288  15.706732 0.339325  16.156437  0   0   16.156437 0.851344   3  
   5  11  4    1   0    0    6   17.505567   0    0  1.915821  19.537609 0.279787  19.937356  0   0   19.937356 1.068501   4  
   6  11  3    4   0    0    5   21.503020   0    0  1.349535  22.968762 0.100298  23.185355  0   0   23.185355 0.817971   3  
   7  12  1    1   1    0    5   24.501120   0    0  1.399588  26.016668 0.296353  26.433230  0   0   26.433230 0.568191   3  
   8  12  3    3   1    0    5   27.499196   0    0  1.416183  29.031562 0.281237  29.431326  0   0   29.431326 0.568174   3  
   9  11  2    2   1    0    5   30.497281   0    0  2.282365  32.895776 0.178051  33.195592  0   0   33.195592 0.802006   4  
  10  11  1    4   0    0    5   34.494750   0    0  1.699273  36.310262 0.301327  36.726656  0   0   36.726656 1.268377   4  
  11  11  2    4   0    0    5   38.492229   0    0  2.082545  40.690799 0.223111  41.023949  0   0   41.023949 0.968547   4  
  12  12  2    2   1    0    5   42.506323   0    0  1.499619  44.121947 0.232626  44.471728  0   0   44.471728 0.534873   3  
  13  12  1    1   1    0    5   45.504407   0    0  1.666053  47.319919 0.188424  47.619726  0   0   47.619726 1.384963   4  
  14  11  2    3   0    0    3   49.501854   0    0  2.282322  51.900325 1.040337  53.049596  0   0   53.049596 0.952544   5  
  15  11  2    4   0    0    2   54.498686   0    0  1.466226  56.080975 0.563533  56.763903  0   0   56.763903 1.235051   4  
  16  12  4    4   1    0    3   58.496132   0    0  1.382975  60.011742 0.345788  60.478205  0   0   60.478205 0.518194   3  
  17  12  1    2   0    0    5   61.494226   0    0  2.165646  63.776110 0.379514  64.275792  0   0   64.275792 0.718702   4  
  18  12  2    4   0    0    1   65.491676   0    0  1.865910  67.473758 0.745744  68.339855  0   0   68.339855 0.652093   4  
  19  13  3    2   0    0    5   69.505789   0    0  2.315664  71.937570 0.359688  72.403952  0   0   72.403952 0.602099   4  
  20  13  4    4   1    0    7   73.503236   0    0  1.666052  75.285457 1.007384  76.401396  0   0   76.401396 0.602095   4  
  21  13  4    4   1    0    7   77.500695   0    0  1.582849  79.199607 0.352754  79.665987  0   0   79.665987 1.334957   4  
  22  12  4    4   1    0    7   81.498247   0    0  1.482705  83.097126 0.941489  84.146477  0   0   84.146477 0.851934   4  
  23  12  2   -1   0    0    1   85.495611   0    0  0.000000  88.010578 0.179303  88.310478  0   0   88.310478 0.685369   4  
  24  12  2    3   0    0    5   89.493072   0    0  1.332943  90.942136 0.315027  91.375199  0   0   91.375199 0.618109   3  
  25  12  3    3   1    0    5   92.491157   0    0  1.849175  94.456573 0.216412  94.789693  0   0   94.789693 1.201697   4  
  26  12  3    3   1    0    5   96.505266   0    0  1.765952  98.387388 0.305329  98.803797  0   0   98.803797 1.201702   4  
  27  11  1    4   0    0    5  100.502708   0    0  1.549405 102.168331 0.300239 102.584733  0   0  102.584733 1.418212   4  
  28  11  4    4   1    0    5  104.500173   0    0  1.066447 105.682755 0.239490 106.032529  0   0  106.032529 0.967874   3  
  29  11  3    3   1    0    5  107.498257   0    0  1.582797 109.197183 0.342277 109.646903  0   0  109.646903 1.351600   4  
  30  10  2    2   1    0    5  111.495716   0    0  1.382837 112.994786 0.999706 114.110718  0   0  114.110718 0.885227   4  
  31  10  3    3   1    0    7  115.493178   0    0  2.232341 117.841672 0.721579 118.674474  0   0  118.674474 1.318914   5  
  32   9  1    2   0    0    5  120.489995   0    0  1.949160 122.555337 0.553335 123.221592  0   0  123.221592 0.768635   4  
  33   9  3    3   1    0    4  124.504101   0    0  1.699255 126.319560 0.384128 126.819292  0   0  126.819292 1.185027   4  
  34   9  3    4   0    0    2  128.501563   0    0  1.249570 129.867358 0.434651 130.416998  0   0  130.416998 0.584770   3  
  35   9  3    4   0    0    3  131.499644   0    0  1.565903 133.198578 0.376852 133.681580  0   0  133.681580 1.318285   4  
  36  10  4    4   1    0    8  135.497104   0    0  1.316260 136.929531 0.236501 137.279324  0   0  137.279324 0.717999   3  
  37  10  4    4   1    0    8  138.495206   0    0  2.066224 140.677135 0.646849 141.443308  0   0  141.443308 0.552095   4  
  38   9  2    2   1    0    5  142.492661   0    0  1.699359 144.308155 0.419061 144.841163  0   0  144.841163 1.151700   4  
  39   9  1    3   0    0    5  146.490101   0    0  2.149150 148.755325 0.272653 149.138416  0   0  149.138416 0.851892   4  
  40   9  4    2   0    0    5  150.504216   0    0  1.449476 152.069878 0.503657 152.686156  0   0  152.686156 1.318257   4  
  41  10  4    4   1    0    5  154.501669   0    0  1.332927 155.950748 0.424825 156.483738  0   0  156.483738 0.518124   3  
  42  10  4    4   1    0    5  157.499756   0    0  1.799329 159.415210 0.160363 159.681712  0   0  159.681712 1.318253   4  
  43   9  3    3   1    0    5  161.497214   0    0  1.599432 163.212775 0.276200 163.595878  0   0  163.595878 1.401533   4  
  44   9  3    4   0    0    5  165.494686   0    0  1.582732 167.193578 0.234558 167.543367  0   0  167.543367 1.451499   4  
  45   9  2    1   0    0    5  169.492128   0    0  1.599340 171.207694 0.257923 171.574131  0   0  171.574131 1.418181   4  
  46  10  1    2   0    0    5  173.489579   0    0  1.516180 175.138527 0.147199 175.405027  0   0  175.405027 0.584731   3  
  47  10  1    1   1    0    5  176.487668   0    0  2.115616 178.719575 0.123022 178.952852  0   0  178.952852 1.035003   4  
  48  10  4    4   1    0    5  180.501778   0    0  1.632742 182.250664 0.300835 182.667068  0   0  182.667068 1.334891   4  
  49   9  3    4   0    0    5  184.499231   0    0  1.466014 186.081468 0.197853 186.398030  0   0  186.398030 0.601377   3  
  50   9  2    4   0    0    8  187.497319   0    0  1.116399 188.729793 0.584765 189.429429  0   0  189.429429 0.568067   3  
  51  10  2    4   0    0    6  190.495422   0    0  1.399576 192.011116 0.476724 192.594084  0   0  192.594084 1.401496   4  
  52  10  1    3   0    0    5  194.492861   0    0  2.115740 196.724776 0.111435 196.941312  0   0  196.941312 1.051721   4  
