%% MetaTwins_RDMsc_training for 'fumengxiao': starting at _nofeedback (       49.0000000000).7-Mar-2019 11:20:41 for '7.375015e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  90  3    3   1    0    1    2.499288   0    0  1.700455   4.331783 1.891936   6.347541  0   0    6.347541 0.651970   5  
   2  90  1    1   1    0    8    7.497023   0    0  1.117348   8.746469 1.699641  10.578970  0   0   10.578970 1.418291   5  
   3  81  2    2   1    0    8   12.494775   0    0  1.233821  13.860823 0.850461  14.843704  0   0   14.843704 1.151277   4  
   4  81  4    4   1    0    8   16.492957   0    0  1.301130  17.925657 0.978197  19.025153  0   0   19.025153 0.968013   4  
   5  72  4    3   0    0   -1   20.491159   0    0  1.733627  22.356976 0.000000  24.356003  0   0   24.356003 0.635341   5  
   6  72  1    1   1    0    8   25.505545   0    0  0.817430  26.455140 1.471907  28.054412  0   0   28.054412 0.951321   4  
   7  72  3    3   1    0    8   29.503756   0    0  1.333975  30.969756 1.417995  32.502392  0   0   32.502392 0.501538   4  
   8  64  3    3   1    0    8   33.501940   0    0  1.217342  34.851394 1.197511  36.184070  0   0   36.184070 0.818047   4  
   9  64  1    1   1    0   -1   37.500138   0    0  0.717518  38.349755 0.000000  40.348785  0   0   40.348785 0.651499   4  
  10  64  1    1   1    0    8   41.498336   0    0  0.634194  42.264651 0.667627  43.064288  0   0   43.064288 0.934197   3  
  11  57  4    4   1    0    8   44.496972   0    0  1.217321  45.846369 0.687651  46.662668  0   0   46.662668 1.334450   4  
  12  57  4    4   1    0    8   48.495161   0    0  0.767472  49.394762 0.836607  50.360991  0   0   50.360991 0.634320   3  
  13  51  1    1   1    0    8   51.493800   0    0  0.734300  52.376744 1.059459  53.559561  0   0   53.559561 1.434379   4  
  14  51  4    4   1    0    8   55.492008   0    0  1.084009  56.708124 0.844302  57.674359  0   0   57.674359 1.317764   4  
  15  45  4    4   1    0    8   59.490213   0    0  1.050672  60.673005 1.354674  62.155662  0   0   62.155662 0.834629   4  
  16  45  2    2   1    0    8   63.488402   0    0  0.934127  64.554582 0.527021  65.220942  0   0   65.220942 0.767568   3  
  17  40  1    1   1    0    8   66.487048   0    0  0.684171  67.303342 0.574044  68.003023  0   0   68.003023 0.984119   3  
  18  40  2    2   1    0    8   69.502348   0    0  1.267240  70.901709 0.459740  71.484777  0   0   71.484777 0.517652   3  
  19  36  1    1   1    0    8   72.500985   0    0  0.950726  73.583833 0.447703  74.150253  0   0   74.150253 0.850818   3  
  20  36  4    4   1    0    8   75.499633   0    0  1.000645  76.632461 0.476784  77.248851  0   0   77.248851 0.750860   3  
  21  32  2    2   1    0    8   78.498276   0    0  0.950789  79.581132 0.414173  80.130869  0   0   80.130869 0.867474   3  
  22  32  4    4   1    0    8   81.496921   0    0  0.884177  82.513139 0.347840  82.996244  0   0   82.996244 1.000743   3  
  23  28  4    4   1    0    6   84.495572   0    0  1.000741  85.628396 1.298628  87.061075  0   0   87.061075 0.934556   4  
  24  28  3    4   0    0   -1   88.493771   0    0  1.966208  90.576162 0.000000  92.575192  0   0   92.575192 1.418621   6  
  25  28  2    2   1    0    6   94.507707   0    0  1.300530  95.940407 1.233776  97.306441  0   0   97.306441 0.701503   4  
  26  25  3    4   0    0   -1   98.505906   0    0  1.950440 100.588298 0.000000 102.587347  0   0  102.587347 1.418783   6  
  27  25  1    1   1    0    8  104.503203   0    0  1.067404 105.702657 1.403477 107.235304  0   0  107.235304 0.768126   4  
  28  25  1    1   1    0    4  108.501392   0    0  1.133966 109.767485 1.239376 111.133534  0   0  111.133534 0.868074   4  
  29  22  4    4   1    0    7  112.516245   0    0  1.367263 114.015572 1.863382 116.014669  0   0  116.014669 1.001799   5  
  30  22  2    2   1    0    6  117.513987   0    0  1.067296 118.713424 1.598036 120.445999  0   0  120.445999 0.568219   4  
  31  19  3    3   1    0    6  121.512172   0    0  1.617094 123.261385 1.391472 124.777377  0   0  124.777377 1.235033   5  
  32  19  3    3   1    0    5  126.509917   0    0  2.233329 128.875513 1.480347 130.491466  0   0  130.491466 0.518681   5  
  33  17  2    2   1    0    5  131.507664   0    0  1.250633 132.890366 1.065382 134.089829  0   0  134.089829 0.918066   4  
  34  17  2    2   1    0    5  135.505855   0    0  1.433916 137.071815 0.421757 137.621566  0   0  137.621566 1.384516   4  
  35  15  3    2   0    0    5  139.504046   0    0  1.400429 141.036694 1.430322 142.585997  0   0  142.585997 1.418285   5  
  36  15  3    3   1    0    5  144.501788   0    0  1.401263 146.034360 1.411380 147.567072  0   0  147.567072 1.434943   5  
  37  15  2    2   1    0    5  149.499525   0    0  1.267269 150.898914 0.728322 151.748508  0   0  151.748508 1.251250   4  
  38  14  1    1   1    0    3  153.497722   0    0  1.050682 154.680500 1.808423 156.612993  0   0  156.612993 1.384961   5  
  39  14  3    3   1    0    2  158.512131   0    0  1.184010 159.828200 0.798698 160.761114  0   0  160.761114 1.251237   4  
  40  13  1    1   1    0    2  162.510328   0    0  1.200605 163.843052 1.118298 165.092484  0   0  165.092484 0.918058   4  
  41  13  4    4   1    0    6  166.508525   0    0  1.817026 168.457635 1.137560 169.723726  0   0  169.723726 1.285014   5  
  42  12  3    2   0    0    8  171.506265   0    0  1.983639 173.621970 1.848277 175.604414  0   0  175.604414 1.402068   6  
  43  12  2    2   1    0    5  177.503546   0    0  1.400590 179.036188 1.551388 180.718763  0   0  180.718763 1.285015   5  
  44  12  3    1   0    0    1  182.501290   0    0  1.800480 184.433741 1.613552 186.182958  0   0  186.182958 0.818563   5  
