%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at liaijiao (       49.0000000000).7-Mar-2019 12:47:377.375015e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   10   3   0    6      5      2.498928 1.599708   4.614628 0.377589   5.097749 2.901393   6  
   2  4   10   2   0    7      5      8.496225 1.066907  10.078835 0.467421  10.661906 3.334539   6  
   3  1   10   1   1    7      5     14.493485 1.433046  16.442601 0.361616  16.909062 3.084576   6  
   4  3   10   3   1    7      5     20.490785 1.267107  22.273303 0.494512  22.873034 3.117972   6  
   5  4   10   4   1    7      6     26.488055 1.116337  28.120639 0.558987  28.787012 3.201110   6  
   6  4   10   4   1    7      7     32.501996 1.050429  34.067966 0.588641  34.767638 3.234600   6  
   7  3   10   3   1    7      7     38.499268 1.732936  40.748260 0.666781  41.531241 2.468253   6  
   8  1   10   2   0    6      5     44.513223 1.250104  46.279087 0.373406  46.762200 3.251252   6  
   9  4   10   4   1    3      7     50.510494 1.049882  52.076447 0.909581  53.092680 2.918056   6  
  10  1   10   3   0    7      6     56.507791 1.783608  58.806742 0.880932  59.806296 2.201705   6  
  11  3   10   4   0    4      5     62.505054 1.166488  64.187651 0.859001  65.153854 2.851430   6  
  12  3   10   2   0    4      5     68.502377 1.100039  70.118280 1.734231  71.967416 2.035165   6  
  13  1   10   1   1    6      5     74.499617 1.649492  76.665320 0.583376  77.365007 2.634793   6  
  14  3   10   3   1    6      5     80.496917 1.416993  82.429368 1.362567  83.912022 2.085122   6  
  15  1   10   2   0    7      5     86.494178 1.732958  88.743177 0.199585  89.059722 2.934563   6  
  16  1   10   4   0    7      5     92.491477 1.716776  94.723800 0.945632  95.789982 2.201687   6  
  17  1   10   3   0    8      5     98.505403 1.116565 100.138014 1.267662 101.520709 2.484920   6  
  18  3   10   3   1    7      5    104.502697 1.599872 106.618393 1.386660 108.117722 1.885189   6  
  19  2   10   2   1    6      5    110.499959 1.449662 112.465767 0.736449 113.315361 2.684826   6  
  20  1   10   1   1    6      5    116.497256 1.416933 118.429718 0.356645 118.896169 3.101306   6  
  21  1   10   3   0    7      5    122.511181 1.766196 124.793490 0.510479 125.409902 2.601513   6  
  22  2   10   2   1    4      5    128.508479 1.300406 130.324324 1.281831 131.723691 2.285020   6  
  23  2   10   4   0    8      5    134.505753 1.049924 136.071712 1.048808 137.237850 2.768126   6  
  24  4   10   4   1    7      7    140.503051 1.100125 142.118972 0.282279 142.518793 3.484456   6  
  25  2   10   2   1    7      6    146.500310 1.116501 148.132899 0.346172 148.599358 3.401104   6  
  26  2   10   1   0    7      2    152.497603 0.900282 153.913625 1.667790 155.696148 2.301683   6  
  27  2   10   3   0    7      5    158.494876 1.183149 160.194112 0.630627 160.943766 3.051190   6  
  28  1   10   3   0    6      5    164.508823 1.250101 166.274703 1.000037 167.390853 2.618198   6  
  29  3   10   2   0    8      5    170.506099 0.983209 172.005425 0.451378 172.571827 3.434501   6  
  30  1   10   2   0    7      5    176.503382 1.183175 178.202634 0.446299 178.769033 3.234598   6  
  31  2   10   3   0    6      5    182.500666 1.383507 184.399806 0.219974 184.732993 3.267893   6  
  32  1   10   2   0    6      5    188.497933 1.366417 190.380420 0.541393 191.030135 2.968024   6  
  33  4   10   3   0    6      6    194.495234 1.733582 196.744201 0.367416 197.227327 2.768136   6  
  34  1   10   2   0    7      5    200.492505 1.449568 202.458286 0.440989 203.008035 2.984699   6  
  35  4   10   4   1    8      7    206.506458 0.750530 207.772542 0.763799 208.655478 3.351209   6  
  36  3   10   1   0    7      5    212.503712 1.199824 214.219600 0.483331 214.819358 3.184532   6  
  37  3   10   2   0    7      6    218.501019 1.000559 220.016992 0.380188 220.516763 3.484476   6  
  38  1   10   3   0    6      4    224.498287 1.149780 226.164222 0.677383 226.947178 3.051192   6  
  39  3   10   4   0    6      3    230.512236 1.866583 232.894493 0.437600 233.444247 2.568209   6  
  40  4   10   2   0    7      6    236.509501 1.466365 238.491941 0.608073 239.208275 2.801460   6  
  41  2   10   2   1    6      5    242.506790 0.933691 243.956134 1.121603 245.188919 2.818102   6  
  42  4   10   4   1    7      6    248.504072 1.349719 250.369895 0.476542 250.952981 3.051321   6  
  43  2   10   3   0    7      7    254.501353 1.050343 256.067318 0.711336 256.883607 3.117970   6  
  44  2   10   2   1    7      6    260.498629 1.499675 262.514384 0.668201 263.297363 2.701489   6  
  45  1   10   2   0    6      5    266.495918 1.716468 268.728250 0.586007 269.427923 2.568225   6  
  46  3   10   3   1    7      6    272.493199 1.333053 274.342356 0.411545 274.858787 3.134622   6  
  47  2   10   3   0    7      6    278.490485 1.333360 280.339682 0.408699 280.856060 3.134654   6  
  48  3   10   3   1    6      3    284.504416 1.333169 286.353585 0.606770 287.069926 2.934631   6  
  49  1   10   2   0    7      4    290.501731 1.733096 292.750688 0.621365 293.483679 2.518282   6  
  50  2   10   4   0    7      2    296.498977 1.133142 298.148229 0.938065 299.197761 2.801273   6  
  51  2   10   3   0    6      5    302.512931 1.383757 304.412125 0.775129 305.295002 2.718138   6  
  52  4   10   2   0    6      5    308.510199 1.383092 310.409332 0.425281 310.942440 3.067991   6  
  53  1   10   3   0    6      4    314.507482 1.233589 316.256708 0.623613 316.989689 3.018020   6  
  54  3   10   3   1    5      2    320.504767 1.932810 322.953659 1.015537 324.086467 1.918525   6  
  55  4   10   3   0    6      5    326.502047 1.416554 328.434524 0.741074 329.284133 2.718132   6  
  56  1   10   4   0    7      7    332.499328 0.849913 333.865378 0.955685 334.931583 3.067972   6  
  57  2   10   2   1    6      6    338.496595 1.016546 340.029266 0.744257 340.878863 3.118021   6  
  58  4   10   3   0    7      5    344.493892 1.183167 346.193122 0.737884 347.042728 2.951392   6  
  59  3   10   3   1    6      4    350.491186 1.483649 352.490271 0.843971 353.439843 2.551556   6  
  60  4   10   2   0    6      5    356.488451 1.266426 358.270980 0.528779 358.920690 3.067861   6  
  61  3   10   3   1    6      5    362.485743 1.416698 364.418196 1.180408 365.717614 2.268312   6  
  62  2   10   2   1    7      5    368.516324 0.849977 369.882376 0.741602 370.731998 3.284560   6  
  63  3   10   3   1    7      5    374.513599 1.116476 376.146210 0.408447 376.662645 3.351197   6  
  64  4   10   4   1    7      5    380.510909 0.900233 381.926928 1.858006 383.892694 2.118462   6  
  65  1   10   2   0    7      5    386.508177 0.966640 387.990833 0.658336 388.757155 3.251243   6  
  66  4   10   3   0    6      5    392.505464 1.500075 394.521222 0.371393 395.004335 3.001350   6  
  67  2   10   4   0    7      6    398.502738 1.166503 400.185303 0.920062 401.218172 2.784793   6  
  68  4   10   3   0    7      5    404.500022 1.116974 406.132627 0.493677 406.732341 3.267911   6  
  69  4   10   2   0    8      5    410.497293 0.816666 411.830023 0.671121 412.613016 3.384477   6  
  70  1   10   4   0    7      5    416.494578 1.166442 418.177146 0.218710 418.510337 3.484468   6  
  71  4   10   1   0    8      7    422.491875 0.767241 423.774618 0.642303 424.524281 3.467817   6  
  72  3   10   1   0    7      6    428.489135 1.033190 430.038463 0.437296 430.588196 3.401015   6  
  73  1   10   3   0    7      5    434.503086 0.900249 435.919119 0.435279 436.468859 3.534446   6  
  74  1   10   3   0    7      6    440.500362 1.216359 442.232913 0.467927 442.815985 3.184605   6  
  75  2   10   3   0    7      5    446.514303 1.083800 448.113587 0.531281 448.763296 3.251242   6  
  76  4   10   2   0    6      5    452.511590 1.799394 454.827207 0.248553 455.193703 2.818104   6  
  77  2   10   3   0    7      7    458.508873 1.000133 460.024858 0.803750 460.941108 3.067990   6  
  78  4   10   4   1    7      5    464.506141 0.866623 465.888858 1.203790 467.204921 2.801454   6  
  79  2   10   4   0    7      6    470.503432 1.216454 472.235974 0.948563 473.302160 2.701418   6  
  80  4   10   3   0    7      5    476.500722 1.034109 478.050012 0.688748 478.849647 3.151303   6  
  81  2   10   2   1    7      5    482.497989 0.799964 483.814057 0.890278 484.813613 3.184540   6  
  82  2   10   3   0    6      7    488.495275 1.199787 490.211161 0.577544 490.894183 3.101335   6  
  83  4   10   3   0    6      5    494.492568 1.400103 496.408360 0.609022 497.124705 2.868069   6  
  84  1   10   3   0    6      4    500.506493 0.966621 501.989148 1.319655 503.421864 2.584859   6  
  85  3   10   3   1    6      6    506.503781 0.400525 507.420030 1.108388 508.636147 3.367881   6  
  86  3   10   4   0    6      7    512.501063 1.533056 514.550134 0.672254 515.333109 2.668169   6  
  87  4   10   4   1    7      6    518.498346 0.733840 519.747782 0.943110 520.797295 3.201299   6  
  88  3   10   3   1    7      7    524.495616 1.399748 526.411418 0.534845 527.061124 2.934717   6  
  89  3   10   3   1    6      6    530.509577 1.167103 532.192130 0.284465 532.591956 3.417832   6  
  90  3   10   3   1    6      5    536.506832 1.216483 538.239382 0.259069 538.605888 3.401179   6  
]; % This session completes at 17-Mar-2019 12:56:58, 544.004s after session start, 540s on 90 trials, totally 560.392s.

