%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at liaijiao (       49.0000000000).7-Mar-2019 12:57:167.375015e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   15   4   0    7    2.498858 1.083495   3.698318 0.547390   4.364676 3.634399   6  
   2  4   15   2   0    3    8.496139 1.666502  10.312006 0.921863  11.344846 2.651474   6  
   3  3   15   1   0    6   14.493416 1.384058  16.009401 0.708703  16.825702 3.167946   6  
   4  2   15   4   0    5   20.490701 1.266646  21.873401 0.562684  22.556447 3.434393   6  
   5  4   15   4   1    5   26.487981 1.633286  28.237197 0.699428  29.053498 2.934635   6  
   6  4   15   1   0    2   32.501922 1.683276  34.317782 0.767183  35.200695 2.801295   6  
   7  4   15   2   0    5   38.515868 1.517529  40.198429 1.049501  41.364572 2.651542   6  
   8  4   15   4   1    7   44.513127 1.233412  45.862535 0.829212  46.812106 3.201263   6  
   9  1   15   2   0    7   50.510432 1.583922  52.226320 0.781811  53.125911 2.884745   6  
  10  3   15   1   0    5   56.507694 1.749862  58.373519 0.814465  59.306432 2.701498   6  
  11  3   15   3   1    5   62.504992 1.600993  64.220890 0.873103  65.203775 2.801438   6  
  12  2   15   4   0    6   68.502262 1.366516  70.001615 0.876502  70.984469 3.018013   6  
  13  1   15   1   1    6   74.499557 1.950441  76.581915 0.832331  77.531523 2.468254   6  
  14  1   15   1   1    5   80.496828 1.967674  82.595893 0.639427  83.345541 2.651522   6  
  15  1   15   4   0    3   86.494125 1.417543  88.026763 1.413051  89.559396 2.434930   6  
  16  4   15   4   1    7   92.508035 1.716403  94.340563 0.516865  94.973600 3.034680   6  
  17  3   15   2   0    3   98.505332 1.734194 100.371151 1.085164 101.570621 2.434941   6  
  18  1   15   4   0    7  104.502610 1.883104 106.501733 0.546775 107.168066 2.834721   6  
  19  1   15   4   0    6  110.499898 1.917260 112.532316 1.233720 113.881697 2.118437   6  
  20  4   15   2   0    7  116.497171 1.666485 118.296359 0.710684 119.112660 2.884649   6  
  21  3   15   3   1    8  122.494457 1.417546 124.027111 0.702740 124.843415 3.151281   6  
  22  4   15   1   0    7  128.491742 1.233303 129.891120 1.432962 131.440395 2.551415   6  
  23  2   15   4   0    6  134.505686 1.900652 136.521441 0.942708 137.570954 2.434943   6  
