%% MetaTwins_RDMsc_training for 'liaijiao': starting at _feedback (       49.0000000000).7-Mar-2019 11:48:47 for '7.375015e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  24  1    2   0    0    2    2.499246   0    0  1.300088   3.931940 0.794346   4.831539 0.999541   5.831080   6.830625 1.168858   6  
   2  24  3    3   1    0    8    8.496534   0    0  1.466591  10.079143 0.098437  10.295715 0.999541  11.295256  12.294814 0.701930   5  
   3  24  3    2   0    0    3   13.494231   0    0  1.500840  15.126867 0.868487  16.109756 0.999545  17.109301  18.108834 0.885664   6  
   4  24  3    3   1    0    8   19.491554   0    0  1.383300  20.990870 0.115685  21.224087 0.999549  22.223636  23.223192 0.768567   5  
   5  24  2    2   1    0    8   24.505942   0    0  0.985101  25.605459 0.200210  25.921977 0.999548  26.921524  27.921080 1.085095   5  
   6  21  3    2   0    0    3   29.503676   0    0  1.883117  31.502765 0.689217  32.302404 0.999555  33.301960  34.301546 0.702316   6  
   7  21  3    3   1    0    7   35.500960   0    0  1.467520  37.083580 0.796143  37.999829 0.999547  38.999375  39.998915 1.002276   6  
   8  21  2    2   1    0    8   41.498212   0    0  1.433851  43.047532 0.245568  43.414039 0.999540  44.413579  45.413123 0.585275   5  
   9  18  3    3   1    0    6   46.495984   0    0  1.634130  48.245185 0.817863  49.178107 0.999543  50.177650  51.177185 0.819030   6  
  10  18  2    2   1    0    3   52.493249   0    0  1.316772  53.925932 0.868652  54.908823 0.999552  55.908375  56.907928 1.085468   6  
  11  16  2    4   0    0    3   58.490537   0    0  2.000536  60.606251 0.775043  61.489177 0.999565  62.488742  63.488276 0.502485   6  
  12  16  4    2   0    0    3   64.487808   0    0  2.132891  66.736792 1.054652  67.902939 0.999531  68.902470  69.902046 1.085900   7  
  13  18  2    2   1    0    8   71.501243   0    0  1.117544  72.734084 0.281279  73.133905 0.999551  74.133456  75.133005 0.868401   5  
  14  18  1    2   0    0    2   76.499030   0    0  2.199661  78.831330 0.765548  79.714245 0.999554  80.713799  81.713344 1.285802   7  
  15  18  2    2   1    0    8   83.495884   0    0  0.984439  84.595368 0.381962  85.095154 0.999542  86.094697  87.094241 0.901861   5  
  16  18  2    2   1    0    3   88.493594   0    0  1.183154  89.793018 1.051036  90.959139 0.999557  91.958696  92.958243 1.035444   6  
  17  16  3    2   0    0    3   94.490895   0    0  1.617338  96.223440 1.072484  97.406229 0.999555  98.405784  99.405326 0.585757   6  
  18  16  2    2   1    0    3  100.488165   0    0  1.866425 102.520588 0.787166 103.420165 0.999550 104.419715 105.419268 0.568949   6  
  19  16  3    4   0    0    2  106.502109   0    0  2.334103 108.951009 0.420385 109.484091 0.999544 110.483636 111.483181 0.519154   6  
  20  16  1    2   0    0    6  112.516046   0    0  1.683149 114.315215 0.828819 115.264794 0.999576 116.264370 117.263900 0.752361   6  
  21  18  3    2   0    0    2  118.513335   0    0  2.117247 120.745656 1.023781 121.878471 0.999554 122.878025 123.877555 1.135993   7  
  22  18  4    3   0    0    3  125.510149   0    0  2.466138 128.092318 0.968922 129.175151 0.999547 130.174698 131.174260 0.836117   7  
  23  20  1    1   1    0    6  132.506980   0    0  1.484541 134.122911 1.063407 135.305737 0.999528 136.305265 137.304798 0.702413   6  
  24  20  1    1   1    0    7  138.504259   0    0  1.334485 139.953636 0.832293 140.903172 0.999550 141.902722 142.902269 1.102221   6  
  25  18  2    1   0    0    6  144.501557   0    0  1.834147 146.467332 1.015573 147.600148 0.999548 148.599696 149.599231 1.402549   7  
  26  18  4    4   1    0    8  151.515026   0    0  1.799775 153.430831 0.751370 154.297094 0.999573 155.296668 156.296191 0.719056   6  
  27  18  1    1   1    0    3  157.512319   0    0  1.867359 159.511423 0.899272 160.527615 0.999558 161.527173 162.526705 1.485828   7  
  28  16  4    4   1    0    8  164.509127   0    0  1.499759 166.125081 0.370289 166.608194 0.999541 167.607734 168.607294 1.402061   6  
  29  16  3    3   1    0    1  170.506438   0    0  2.400238 173.021957 1.076274 174.204746 0.999555 175.204301 176.203837 0.802813   7  
  30  14  3    4   0    0    8  177.503247   0    0  1.133329 178.752678 1.152226 180.018767 0.999549 181.018316 182.017875 0.985593   6  
  31  14  4    4   1    0    6  183.500532   0    0  1.267900 184.883249 0.629787 185.632848 0.999597 186.632445 187.631998 1.368762   6  
  32  14  1    4   0    0    5  189.497811   0    0  1.066768 190.680611 0.442580 191.230364 0.999546 192.229910 193.229464 0.768562   5  
  33  14  2    3   0    0    3  194.512224   0    0  2.467133 197.094373 1.784183 198.993509 0.999549 199.993058 200.992590 1.019854   8  
  34  15  4    4   1    0    8  202.508574   0    0  1.149988 203.774674 0.192680 204.074535 0.999551 205.074086 206.073625 0.935182   5  
  35  15  3    2   0    0    8  207.506327   0    0  1.584600 209.205486 0.449209 209.771973 0.999539 210.771512 211.771047 1.235511   6  
  36  15  1    4   0    0    6  213.503601   0    0  1.100013 214.719715 1.006335 215.835868 0.999574 216.835442 217.834983 1.168837   6  
  37  16  3    4   0    0    6  219.500890   0    0  1.584331 221.200117 0.838436 222.149693 0.999543 223.149235 224.148772 0.852329   6  
  38  16  2    4   0    0    6  225.498147   0    0  0.866857 226.481050 0.643270 227.230728 0.999528 228.230256 229.229798 0.768583   5  
  39  18  3    4   0    0    6  230.495903   0    0  2.117119 232.728220 0.990186 233.827734 0.999526 234.827260 235.826796 1.169309   7  
  40  18  1   -1   0    0    3  237.509371   0    0  0.000000 240.024913 0.323765 240.458057 0.999532 241.457589 242.457140 0.552467   6  
  41  18  4    2   0    0    6  243.506663   0    0  1.434308 245.055959 1.879273 247.055065 0.999535 248.054600 249.054134 0.952753   7  
  42  20  2    2   1    0    8  250.503483   0    0  2.149418 252.769123 0.596457 253.485472 0.999543 254.485015 255.484570 0.519148   6  
  43  20  1    1   1    0    6  256.500784   0    0  1.933936 258.549849 0.581050 259.249538 0.999546 260.249084 261.248618 0.752383   6  
  44  18  3   -1   0    0    3  262.498044   0    0  0.000000 265.013595 0.071898 265.196820 0.999558 266.196377 267.195916 0.802358   6  
  45  18  1    1   1    0    3  268.495349   0    0  1.850621 270.461111 0.785604 271.360712 0.999538 272.360251 273.359792 0.635792   6  
  46  18  2    1   0    0    2  274.492607   0    0  2.032917 276.658315 1.086700 277.857753 0.999550 278.857303 279.856862 1.135955   7  
  47  18  4    4   1    0    6  281.506113   0    0  1.767250 283.388594 0.654646 284.154910 0.999547 285.154457 286.153981 0.852347   6  
  48  18  4    4   1    0    3  287.503365   0    0  1.916385 289.535793 0.862493 290.518682 0.999544 291.518226 292.517778 1.485776   7  
  49  16  4    4   1    0    2  294.500208   0    0  1.749736 296.366017 0.753163 297.232301 0.999557 298.231857 299.231399 0.769039   6  
  50  16  2   -1   0    0    4  300.497493   0    0  0.000000 303.013025 1.034227 304.162501 0.999553 305.162054 306.161585 0.836135   7  
  51  16  4    1   0    0    2  307.494314   0    0  2.033029 309.676670 0.584542 310.376344 0.999543 311.375887 312.375454 0.619004   6  
  52  16  1    4   0    0    3  313.491605   0    0  1.900699 315.507289 0.810402 316.423619 0.999540 317.423159 318.422691 0.569097   6  
  53  18  4    4   1    0    3  319.488881   0    0  1.966323 321.571275 0.526273 322.204318 0.999541 323.203859 324.203416 0.785588   6  
  54  18  1    2   0    0    2  325.502837   0    0  2.133622 327.768468 0.612659 328.501468 0.999537 329.501005 330.500546 0.502413   6  
  55  18  4   -1   0    0    4  331.500091   0    0  0.000000 334.015630 0.029481 334.165554 0.999537 335.165091 336.164657 0.835552   6  
  56  18  4    1   0    0    2  337.497411   0    0  1.984412 339.596447 1.158480 340.862545 0.999528 341.862073 342.861622 1.135983   7  
  57  20  1    4   0    0    2  344.494210   0    0  1.866344 346.476652 0.668379 347.259618 0.999545 348.259164 349.258721 0.735562   6  
  58  20  1    2   0    0    2  350.491504   0    0  1.950605 352.573891 1.041153 353.723369 0.999539 354.722907 355.722446 1.269263   7  
  59  22  4    1   0    0    2  357.488323   0    0  1.416465 359.020964 0.889894 360.020510 0.999552 361.020062 362.019611 0.968763   6  
  60  22  2    2   1    0    5  363.502261   0    0  2.050658 365.667959 0.597620 366.384294 0.999543 367.383837 368.383370 0.619118   6  
]; % This session completes at 17-Mar-2019 11:55:22, 371.004s after session start, 367s on 60 trials, totally 394.287s, correctness is 45.000%.

