%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at limeijiao (       49.0000000000).7-Mar-2019 12:18:267.375015e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   14   4   0    6    2.498877 2.166398   4.831049 0.949509   5.897334 2.101771   6  
   2  1   14   1   1    6    8.496154 1.949672  10.578552 0.516111  11.211600 2.784778   6  
   3  1   14   1   1    4   14.493439 2.066217  16.675794 1.072806  17.875241 2.118436   6  
   4  1   14   2   0    7   20.507376 2.282868  22.922883 0.287683  23.339439 2.668183   6  
   5  3   14   4   0    3   26.504673 2.149583  28.786972 0.878850  29.786524 2.218378   6  
   6  3   14   1   0    5   32.501953 2.066265  34.684281 1.430391  36.233602 1.768586   6  
   7  1   14   1   1    5   38.499236 2.066366  40.698246 0.844690  41.647810 2.351662   6  
   8  2   14  -1   0    3   44.496529 0.000000  47.012079 0.032188  47.161990 2.834764   6  
   9  1   14   1   1    5   50.510475 1.649718  52.276343 0.668366  53.075982 2.934711   6  
  10  4   14   2   0    5   56.507758 2.099642  58.740014 0.462852  59.323150 2.684833   6  
  11  2   14   2   1    7   62.505038 1.733207  64.354210 0.619821  65.103859 2.901415   6  
  12  3   14   3   1    7   68.502329 1.600465  70.251530 0.664318  71.034509 2.968047   6  
  13  3   14   2   0    6   74.499602 1.999713  76.615314 0.628387  77.364979 2.634853   6  
  14  1   14   1   1    6   80.496896 1.449895  82.079512 0.643010  82.845837 3.151287   6  
  15  4   14   4   1    5   86.510838 1.516651  88.160046 0.954167  89.242929 2.768137   6  
  16  2   14   2   1    8   92.508118 1.299954  93.940691 0.563904  94.623821 3.384526   6  
  17  3   14   4   0    2   98.505403 1.583208 100.254485 1.014591 101.387434 2.618198   6  
  18  3   14   2   0    6  104.502693 2.016572 106.634967 0.722661 107.468019 2.534898   6  
  19  1   14   1   1    6  110.499979 1.583197 112.199151 0.866645 113.182091 2.818102   6  
  20  2   14   2   1    8  116.513925 1.633200 118.263126 0.784875 119.162718 2.851423   6  
  21  1   14   1   1    6  122.511197 1.799821 124.427002 0.882258 125.426546 2.584883   6  
  22  1   14   1   1    6  128.508493 2.249551 130.924000 0.436657 131.490479 2.518235   6  
  23  3   14   2   0    3  134.505768 2.116272 136.754760 1.238439 138.120814 1.885205   6  
  24  4   14   2   0    7  140.503053 2.033012 142.652083 0.790018 143.568342 2.434940   6  
  25  4   14   4   1    2  146.500341 1.850320 148.466126 1.153127 149.748871 2.251697   6  
  26  4   14   2   0    7  152.514296 1.499913 154.130226 0.738819 154.996507 3.018008   6  
  27  3   14   1   0    5  158.511571 2.133014 160.760551 0.956842 161.843384 2.168407   6  
  28  3   14   2   0    6  164.508862 2.316200 166.974396 0.268700 167.357564 2.651516   6  
  29  4   14   2   0    6  170.506145 1.816404 172.471812 0.334518 172.921706 3.084668   6  
  30  4   14   3   0    6  176.503426 2.199642 178.852299 0.319079 179.285501 2.718149   6  
