%% MetaTwins_RDMsc_training for 'limeijiao': starting at _nofeedback (       49.0000000000).7-Mar-2019 12:03:19 for '7.375015e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  11  1    2   0    0    7    2.498850   0    0  2.332903   4.947709 0.907567   5.980618  0   0    5.980618 1.018451   5  
   2  11  3    3   1    0    6    7.496594   0    0  1.666559   9.295784 0.505916   9.928831  0   0    9.928831 1.067962   4  
   3  11  4    3   0    0    6   11.494779   0    0  2.382849  14.026942 0.702347  14.843278  0   0   14.843278 1.151678   5  
   4  11  2    2   1    0    7   16.492524   0    0  1.266698  17.875078 0.493893  18.491618  0   0   18.491618 0.501050   3  
   5  11  2    3   0    0    7   19.491156   0    0  2.266173  21.906743 0.805157  22.839643  0   0   22.839643 1.151661   5  
   6  11  2    2   1    0   -1   24.488910   0    0  2.332943  26.971111 0.000000  28.970156  0   0   28.970156 1.018854   6  
   7  11  4    2   0    0    6   30.486191   0    0  1.433149  32.035486 0.742855  32.901758  0   0   32.901758 1.084507   4  
   8  12  1    2   0    0    4   34.517698   0    0  2.432719  37.083130 0.952077  38.149380  0   0   38.149380 0.868549   5  
   9  12  3    3   1    0    6   39.515426   0    0  1.699785  41.347949 0.715422  42.180898  0   0   42.180898 0.834765   4  
  10  12  4    4   1    0    7   43.513629   0    0  2.132727  45.795927 1.791524  47.711738  0   0   47.711738 1.302121   6  
  11  11  3    2   0    0    5   49.510911   0    0  1.982959  51.643273 0.912765  52.676143  0   0   52.676143 1.334988   5  
  12  11  3    3   1    0    8   54.508654   0    0  1.649800  56.274378 0.680485  57.074154  0   0   57.074154 0.934712   4  
  13  11  3    3   1    0    8   58.506831   0    0  2.366090  61.055686 0.281886  61.455499  0   0   61.455499 0.551561   4  
  14  10  2    2   1    0    5   62.505023   0    0  2.399441  65.087201 0.792491  66.003439  0   0   66.003439 1.001814   5  
  15  10  4    3   0    0    7   67.502764   0    0  1.982851  69.618435 0.813436  70.551384  0   0   70.551384 1.451617   5  
  16  10  1   -1   0    0    2   72.500497   0    0  0.000000  75.016044 0.026479  75.165953  0   0   75.165953 0.834769   4  
  17  10  4    3   0    0    6   76.498686   0    0  1.933554  78.581091 1.364263  80.063734  0   0   80.063734 0.935186   5  
  18  11  2    2   1    0    5   81.496430   0    0  2.149534  83.828583 0.721738  84.678311  0   0   84.678311 1.318340   5  
  19  11  3    4   0    0    2   86.494152   0    0  1.783155  88.393232 1.080843  89.592759  0   0   89.592759 1.401611   5  
  20  11  2    2   1    0    4   91.491906   0    0  2.499417  94.157366 1.493186  95.773298  0   0   95.773298 1.218779   6  
  21  11  4    3   0    0    5   97.489172   0    0  2.132865  99.738158 0.862091 100.721058  0   0  100.721058 1.268275   5  
  22  11  3    1   0    0    1  102.503584   0    0  2.432722 105.052407 0.565615 105.735458  0   0  105.735458 1.268254   5  
  23  12  4    3   0    0    7  107.501322   0    0  2.166347 109.800276 0.569788 110.483305  0   0  110.483305 0.518116   4  
  24  12  3    4   0    0    1  111.499509   0    0  2.266285 113.881761 1.083687 115.081229  0   0  115.081229 0.918356   5  
  25  13  4    2   0    0    7  116.497253   0    0  2.466159 119.146054 0.639023 119.895700  0   0  119.895700 1.101599   5  
  26  13  1    1   1    0    7  121.511648   0    0  1.932912 123.577373 0.527005 124.227076  0   0  124.227076 0.784800   4  
  27  13  4    3   0    0    1  125.509830   0    0  2.382851 128.025362 1.302459 129.441387  0   0  129.441387 0.568674   5  
  28  13  1    1   1    0    8  130.507561   0    0  2.366155 133.006265 0.750012 133.872716  0   0  133.872716 1.135079   5  
  29  13  3    2   0    0    8  135.505303   0    0  1.416509 137.037949 0.626265 137.770942  0   0  137.770942 1.234585   4  
