%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at limeng (       49.0000000000).7-Mar-2019 17:26:277.375017e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   17   3   1    7      5      2.498865 1.117280   4.131459 0.826093   5.081044 2.918044   6  
   2  1   17  -1   0    2      2      8.496148 2.500068  11.011689 0.824931  11.944591 2.051761   6  
   3  2   17   3   0    6      2     14.493433 1.533192  16.542516 1.257887  17.908557 2.085066   6  
   4  2   17   3   0    5      5     20.490728 1.982865  22.989597 0.537987  23.639299 2.351593   6  
   5  4   17   2   0    7      4     26.504662 1.333059  28.353833 1.123541  29.586613 2.418200   6  
   6  4   17   3   0    7      6     32.501952 1.133277  34.151200 1.365756  35.633868 2.368224   6  
   7  1   17   2   0    3      4     38.499237 2.415918  41.431235 0.309814  41.864378 2.134980   6  
   8  2   17   2   1    5      4     44.496524 1.583084  46.595570 0.547612  47.261933 2.734682   6  
   9  4   17   3   0    6      6     50.493796 1.299792  52.309643 0.414147  52.842737 3.151144   6  
  10  1   17   2   0    6      4     56.491081 1.399750  58.406893 0.301745  58.823363 3.167788   6  
  11  4   17   3   0    8      4     62.505036 0.949974  63.971040 0.698369  64.787336 3.217921   6  
  12  3   17   3   1    8      6     68.502311 0.783337  69.801723 0.361170  70.284835 3.717713   6  
  13  3   17   4   0    8      4     74.516265 0.816637  75.848990 0.023685  75.982267 4.034226   6  
  14  1   17   3   0    8      6     80.513545 0.899922  81.929565 0.001225  82.046191 3.967575   6  
  15  4   17   3   0    8      5     86.510817 0.750088  87.776914 0.084231  87.976841 4.034211   6  
  16  2   17   4   0    7      6     92.508111 1.149943  94.174025 1.265962  95.556736 2.451607   6  
  17  3   17   3   1    8      6     98.505398 0.966612  99.988066 0.638110 100.737728 3.267905   6  
  18  2   17   4   0    3      5    104.502687 2.166074 107.184799 0.001132 107.301413 2.701499   6  
  19  4   17   4   1    5      4    110.499968 1.183155 112.199205 0.680808 112.998838 3.001357   6  
  20  3   17   3   1    6      5    116.497243 1.216512 118.229812 0.436097 118.779550 3.217934   6  
