%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at limeng (       49.0000000000).7-Mar-2019 17:16:377.375017e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   9    2   1    6      6      2.498871 1.617178   4.631231 0.848371   5.597462 2.401630   6  
   2  3   9    2   0    6      6      8.496144 1.850289  10.861743 0.986502  11.961248 2.035077   6  
   3  2   9    4   0    7      5     14.493426 1.766342  16.775733 0.703079  17.592034 2.401558   6  
   4  1   9    1   1    5      6     20.490717 1.033260  22.040010 0.689610  22.839667 3.151167   6  
   5  2   9    2   1    8      7     26.487995 1.066573  28.070624 1.331300  29.519953 2.468138   6  
   6  3   9    1   0    8      5     32.485283 0.833357  33.834677 0.703982  34.650977 3.334359   6  
   7  2   9    2   1    5      5     38.515893 1.316469  40.348388 1.202905  41.664478 2.351648   6  
   8  3   9    3   1    6      5     44.513175 1.266473  46.295690 0.516727  46.928756 3.084643   6  
   9  3   9    2   0    5      6     50.510459 1.449672  52.476241 1.092071  53.675707 2.334978   6  
  10  4   9    2   0    5      3     56.507742 1.399771  58.423541 0.883066  59.423099 2.584883   6  
  11  3   9    2   0    5      3     62.505026 1.349782  64.370853 0.494478  64.987242 3.018019   6  
  12  1   9    4   0    2      6     68.502328 2.266025  71.284389 1.946172  73.350130 0.652418   6  
  13  4   9    2   0    4      2     74.499596 1.449731  76.465438 1.386330  77.964707 2.035130   6  
  14  4   9    1   0    5      3     80.496883 1.249755  82.262751 0.814077  83.195665 2.801464   6  
  15  4   9    2   0    4      3     86.494157 1.899553  88.909751 0.297516  89.326222 2.668143   6  
  16  1   9    1   1    7      6     92.491453 0.716650  93.724235 0.810830  94.657141 3.334477   6  
  17  3   9    3   1    1      5     98.488737 2.315973 101.320786 0.317041 101.753936 2.234948   6  
  18  3   9    1   0    4      5    104.502677 1.766110 106.784988 1.118465 108.017759 1.985028   6  
  19  1   9    2   0    4      5    110.499965 1.832789 112.848913 0.715497 113.681871 2.318158   6  
  20  4   9    1   0    5      2    116.513904 1.716376 118.746233 0.594970 119.462573 2.551564   6  
  21  3   9    1   0    4      3    122.511201 2.066133 125.093364 0.707564 125.909665 2.101764   6  
  22  1   9    2   0    2      3    128.508462 2.332638 131.357189 0.614752 132.090185 1.918516   6  
  23  1   9    2   0    4      4    134.505772 2.049421 137.071286 1.013656 138.204094 1.801906   6  
  24  2   9    1   0    4      3    140.503050 1.599584 142.618758 0.633568 143.368427 2.634851   6  
  25  3   9    2   0    4      5    146.500335 2.082742 149.099165 0.226145 149.449008 2.551563   6  
  26  2   9    2   1    6      5    152.497612 1.216363 154.230170 0.995151 155.346329 2.651522   6  
  27  3   9    2   0    3      6    158.494905 2.182753 161.193690 0.538590 161.843386 2.151752   6  
  28  2   9    1   0    4      3    164.492193 1.899460 166.907765 0.564305 167.590792 2.401624   6  
  29  1   9    2   0    5      3    170.506127 1.483082 172.505228 1.000572 173.621399 2.384909   6  
  30  1   9    1   1    4      2    176.503412 1.699514 178.719075 0.041334 178.869017 3.134553   6  
  31  1   9    1   1    5      7    182.500707 1.916174 184.932941 0.367872 185.416052 2.584764   6  
  32  4   9   -1   0    4      3    188.497980 0.000000 191.030181 1.055272 192.196317 1.801778   6  
  33  4   9    2   0    5      5    194.495267 1.349879 196.361090 0.584082 197.060779 2.934548   6  
  34  1   9    1   1    5      5    200.509277 1.582916 202.608263 0.499029 203.224648 2.784786   6  
  35  4   9    4   1    2      5    206.506487 2.216034 209.238590 0.001255 209.355207 2.651518   6  
  36  2   9    2   1    5      3    212.503794 1.349791 214.369595 0.590624 215.069291 2.934718   6  
  37  2   9    1   0    3      3    218.501068 2.366012 221.383101 0.741844 222.232712 1.768595   6  
  38  4   9   -1   0    3      4    224.498358 2.499197 227.013891 0.568271 227.696919 2.301669   6  
  39  2   9    2   1    5      3    230.495635 1.749566 232.761277 0.581187 233.460965 2.534911   6  
  40  4   9    2   0    5      4    236.509583 1.499631 238.525333 0.723756 239.358298 2.651519   6  
  41  2   9    1   0    5      6    242.506861 1.383186 244.406008 0.840153 245.355584 2.651506   6  
  42  4   9    2   0    4      5    248.504144 2.132840 251.152959 0.571067 251.835982 2.168386   6  
  43  4   9    1   0    6      3    254.501434 1.149866 256.167349 1.106872 257.383477 2.618132   6  
  44  4   9    2   0    5      5    260.498729 1.782913 262.797686 1.775419 264.696826 1.302057   6  
  45  2   9    1   0    4      1    266.496004 1.849548 268.861596 1.359662 270.344272 1.651858   6  
