%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at limeng (       49.0000000000).7-Mar-2019 17:36:117.375017e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   10   3   1    5    2.498860 1.317033   3.981525 0.357143   4.447988 3.551104   6  
   2  2   10   1   0    7    8.496139 1.283779   9.895510 0.183432  10.195384 3.800988   6  
   3  3   10   3   1    6   14.493422 0.917229  15.559503 0.088691  15.759520 4.234138   6  
   4  4   10   2   0    5   20.507374 1.583621  22.223132 1.079756  23.422721 2.584880   6  
   5  4   10   1   0    3   26.504652 1.566973  28.187234 1.613396  29.919781 2.085099   6  
   6  1   10   1   1    3   32.501936 2.083415  34.700947 1.408743  36.216929 1.785232   6  
   7  1   10   1   1    5   38.499229 1.133798  39.748677 0.709769  40.581614 3.417839   6  
   8  3   10   3   1    5   44.496509 1.100468  45.712621 1.087455  46.912079 3.084658   6  
   9  2   10   3   0    3   50.493790 2.399997  53.009327 1.432821  54.558618 1.435392   6  
  10  3   10   2   0    3   56.507744 1.850193  58.523491 0.348084  58.989952 3.018003   6  
  11  4   10   1   0    3   62.505023 1.083876  63.704477 0.489599  64.304214 3.701030   6  
  12  1   10   1   1    5   68.502307 1.716925  70.368064 0.631602  71.117779 2.884731   6  
  13  1   10   3   0    6   74.499594 2.216753  76.865186 1.225866  78.214577 1.785229   6  
  14  4   10   1   0    3   80.496877 1.267174  81.896169 0.466791  82.479321 3.517777   6  
  15  2   10   2   1    4   86.494159 1.633625  88.293351 1.558509  89.975924 2.018448   6  
  16  1   10   1   1    6   92.491456 1.133944  93.740887 0.405561  94.257312 3.734358   6  
  17  3   10   3   1    4   98.505395 2.100079 100.721024 1.027380 101.870537 2.135059   6  
  18  3   10   4   0    4  104.502655 2.283356 106.918173 0.678971 107.717900 2.284998   6  
  19  2   10   1   0    5  110.499963 0.950530 111.566109 0.301567 111.982616 4.017565   6  
  20  3   10   3   1    4  116.497244 2.433065 119.062759 0.940130 120.112282 1.885178   6  
  21  1   10   1   1    3  122.494536 1.383664 124.010506 0.758712 124.893447 3.101311   6  
  22  2   10   2   1    5  128.491820 1.133867 129.757875 0.497517 130.374305 3.617712   6  
  23  1   10   1   1    5  134.505767 1.333791 135.955013 0.436736 136.504860 3.501104   6  
  24  2   10   2   1    4  140.503044 1.750420 142.452146 0.931336 143.501688 2.501548   6  
  25  1   10   1   1    5  146.500330 0.983859 147.599735 0.094675 147.799746 4.200789   6  
  26  1   10   3   0    3  152.497611 1.733628 154.363434 1.170782 155.646191 2.351627   6  
  27  4   10   4   1    5  158.494897 1.517020 160.127494 0.681334 160.927137 3.067972   6  
  28  1   10   1   1    5  164.492174 1.250500 165.858233 0.966645 166.941075 3.051309   6  
  29  3   10   3   1    3  170.506126 1.233731 171.922152 1.066504 173.104942 2.901385   6  
  30  2   10   2   1    6  176.503415 1.033905 177.652723 0.869602 178.635776 3.367836   6  
  31  1   10   1   1    8  182.500697 1.000598 183.616859 0.032190 183.766794 4.234117   6  
  32  2   10   2   1    6  188.497979 1.116932 189.780748 0.633082 190.530396 3.467785   6  
  33  4   10   1   0    7  194.495257 1.150415 195.761358 0.110283 195.977937 4.017538   6  
  34  2   10   2   1    5  200.492534 1.867474 202.491475 0.873427 203.474532 2.518219   6  
  35  1   10   1   1    5  206.506487 1.566909 208.189075 0.272998 208.572239 3.434467   6  
  36  3   10   3   1    5  212.503779 1.183701 213.803070 0.948429 214.869373 3.134610   6  
  37  3   10   2   0    5  218.501062 1.017233 219.650541 0.173648 219.933745 4.067508   6  
  38  2   10   3   0    2  224.498338 1.100522 225.714465 1.327534 227.163808 2.834739   6  
  39  4   10   2   0    5  230.495633 1.516950 232.128082 0.292213 232.528050 3.467782   6  
  40  3   10   3   1    5  236.492921 1.033852 237.642391 0.120703 237.875618 4.117500   6  
  41  4   10   3   0    2  242.506853 1.583619 244.256064 1.404191 245.772048 2.235010   6  
  42  3   10   1   0    5  248.504154 1.083750 249.703602 0.100540 249.920173 4.084166   6  
