%% MetaTwins_RDMsc_training for 'limeng': starting at _feedback (       49.0000000000).7-Mar-2019 16:13:11 for '7.375017e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  13  1    1   1    0    7    2.498872   0    0  1.117106   3.731642 0.810563   4.664550 0.999526   5.664076   6.663640 1.335437   6  
   2  13  3    3   1    0    7    8.496151   0    0  1.083828   9.695601 0.968878  10.778453 0.999545  11.777998  12.777531 1.218793   6  
   3  12  4    3   0    0    1   14.493426   0    0  2.383221  17.008965 1.847458  18.974730 0.999544  19.974274  20.973833 1.019744   8  
   4  12  2    2   1    0    5   22.489800   0    0  1.516979  24.139073 0.963936  25.221899 0.999540  26.221439  27.220997 0.768914   6  
   5  12  1    1   1    0    5   28.487099   0    0  1.083832  29.686556 1.347574  31.152558 0.999529  32.152088  33.151639 0.835517   6  
   6  11  4    4   1    0    5   34.501027   0    0  1.350424  35.983705 1.412799  37.516344 0.999538  38.515883  39.515437 1.485832   7  
   7  11  2    2   1    0    5   41.514581   0    0  0.883908  42.513956 1.000972  43.630237 0.999547  44.629784  45.629331 1.385428   6  
   8  10  2    2   1    0    4   47.511801   0    0  1.850074  49.510909 0.919769  50.543775 0.999551  51.543327  52.542872 1.469263   7  
   9  10  1    2   0    0    4   54.508647   0    0  1.566966  56.191209 0.882736  57.190774 0.999532  58.190307  59.189862 0.819013   6  
  10  10  4   -1   0    0    4   60.505936   0    0  0.000000  63.021478 0.546454  63.687823 0.999535  64.687359  65.686919 1.319246   7  
  11  10  4    1   0    0    2   67.502764   0    0  1.350388  68.985422 1.470945  70.568043 0.999554  71.567598  72.567133 1.435948   7  
  12  11  1    1   1    0    3   74.499605   0    0  1.400345  76.015399 1.447340  77.581534 0.999542  78.581076  79.580630 1.419190   7  
  13  11  1    1   1    0    5   81.496425   0    0  1.000555  82.612583 1.101751  83.828707 0.999543  84.828250  85.827805 1.168832   6  
  14  10  1    1   1    0    5   87.493712   0    0  1.067174  88.693166 0.623580  89.426181 0.999540  90.425721  91.425328 0.568565   5  
  15  10  2    2   1    0    5   92.491447   0    0  1.467015  94.107388 0.696696  94.923681 0.999548  95.923229  96.922781 1.068814   6  
