%% MetaTwins_RDMsc_training for 'limeng': starting at _nofeedback (       49.0000000000).7-Mar-2019 16:37:58 for '7.375017e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  10  2    2   1    0    7    2.499039   0    0  1.500410   4.131644 0.469479   4.714703  0   0    4.714703 1.284571   4  
   2  10  3    3   1    0    6    6.497230   0    0  0.967634   7.596737 0.204770   7.913258  0   0    7.913258 1.084179   3  
   3   9  3    2   0    0    1    9.495863   0    0  1.317036  10.945220 1.601401  12.661105  0   0   12.661105 1.334961   5  
   4   9  2    2   1    0    6   14.493602   0    0  1.117074  15.726375 0.506481  16.342773  0   0   16.342773 0.651005   3  
   5   9  2    2   1    0    4   17.492244   0    0  1.550288  19.224793 1.464665  20.807420  0   0   20.807420 1.184987   5  
   6   8  3    3   1    0    5   22.489988   0    0  0.967192  23.572829 0.278243  23.972652  0   0   23.972652 1.017485   3  
   7   8  1    1   1    0    5   25.488621   0    0  1.083822  26.688080 0.970696  27.770934  0   0   27.770934 1.217830   4  
   8   7  2    3   0    0    2   29.503484   0    0  1.916761  31.535886 0.979598  32.635396  0   0   32.635396 1.368192   5  
   9   7  1    2   0    0    3   34.501221   0    0  1.267049  35.900483 0.512392  36.533634  0   0   36.533634 1.467679   4  
  10   8  3    3   1    0    5   38.499408   0    0  1.183740  39.798815 0.251472  40.165329  0   0   40.165329 0.834156   3  
  11   8  1    1   1    0    5   41.498059   0    0  0.917209  42.530916 0.247971  42.897416  0   0   42.897416 1.100688   3  
  12   7  2    2   1    0    3   44.496702   0    0  1.500256  46.112562 0.748307  46.978900  0   0   46.978900 1.017837   4  
  13   7  2    3   0    0    4   48.511540   0    0  1.133817  49.794291 0.846687  50.760526  0   0   50.760526 1.251238   4  
  14   7  3    3   1    0    4   52.509724   0    0  1.533574  54.159035 1.148500  55.425073  0   0   55.425073 0.584878   4  
  15   7  3    1   0    0    2   56.507917   0    0  1.516900  58.157179 0.502782  58.773566  0   0   58.773566 1.234581   4  
  16   7  1    2   0    0    2   60.506107   0    0  1.783431  62.438560 0.881721  63.438120  0   0   63.438120 0.568206   4  
  17   8  2    4   0    0    3   64.504289   0    0  1.716896  66.370094 0.741122  67.219733  0   0   67.219733 0.784786   4  
  18   8  3    2   0    0    3   68.502489   0    0  1.117538  69.751920 0.808101  70.668181  0   0   70.668181 1.334533   4  
  19   9  4    1   0    0    2   72.500670   0    0  1.050486  73.683481 0.500862  74.299858  0   0   74.299858 0.701040   3  
  20   9  2    3   0    0    3   75.499321   0    0  1.633524  77.331827 0.899368  78.348028  0   0   78.348028 0.651510   4  
  21  10  4    3   0    0    2   79.497508   0    0  1.550206  81.196742 1.063056  82.379533  0   0   82.379533 0.618205   4  
  22  10  4    4   1    0    5   83.512352   0    0  1.416926  85.061658 0.590962  85.761334  0   0   85.761334 1.251261   4  
  23  10  3    3   1    0    5   87.510547   0    0  1.217074  88.859937 0.162308  89.143141  0   0   89.143141 0.867629   3  
  24   9  2    2   1    0    4   90.509189   0    0  1.633559  92.258292 0.913364  93.291263  0   0   93.291263 0.718162   4  
  25   9  4    3   0    0    4   94.507381   0    0  1.833412  96.456404 0.885061  97.456044  0   0   97.456044 0.551558   4  
  26   9  1    1   1    0    5   98.505568   0    0  1.433663 100.054748 0.331980 100.504667  0   0  100.504667 0.501136   3  
  27   9  4    2   0    0    4  101.504206   0    0  1.466980 103.120158 1.172509 104.402911  0   0  104.402911 0.601525   4  
  28   9  4    2   0    0    4  105.502396   0    0  1.367008 106.984889 1.798491 108.900870  0   0  108.900870 1.101764   5  
  29  10  1    1   1    0    5  110.500141   0    0  1.333711 111.966033 0.533251 112.615840  0   0  112.615840 1.384530   4  
  30  10  1    1   1    0    5  114.498335   0    0  0.883894 115.531199 0.267917 115.914352  0   0  115.914352 1.084198   3  
  31   9  1    2   0    0    3  117.496966   0    0  1.616946 119.246182 0.661896 120.029155  0   0  120.029155 0.968027   4  
  32   9  4    1   0    0    2  121.495167   0    0  1.900118 123.527663 0.709051 124.343865  0   0  124.343865 0.651490   4  
  33  10  3    3   1    0    5  125.493407   0    0  1.566840 127.192509 0.375246 127.675705  0   0  127.675705 1.317827   4  
  34  10  1    2   0    0    3  129.491549   0    0  1.167123 130.807563 0.222355 131.140786  0   0  131.140786 0.850911   3  
  35  10  1    1   1    0    5  132.490179   0    0  1.916669 134.539255 0.115170 134.772483  0   0  134.772483 1.217852   4  
  36  10  1    1   1    0    6  136.488382   0    0  0.883875 137.487775 0.214039 137.821114  0   0  137.821114 1.167449   3  
  37   9  2    1   0    0    5  139.503667   0    0  2.116662 141.752656 0.719115 142.585614  0   0  142.585614 1.418177   5  
  38   9  2    2   1    0    3  144.501414   0    0  1.833440 146.467196 0.879579 147.466737  0   0  147.466737 0.534769   4  
  39   9  1    3   0    0    4  148.499601   0    0  1.833474 150.498591 0.790862 151.398288  0   0  151.398288 0.601393   4  
  40   9  2    2   1    0    3  152.497798   0    0  2.333165 154.946528 0.281437 155.346500  0   0  155.346500 0.651357   4  
  41   9  3    3   1    0    6  156.495993   0    0  0.967223 157.595394 0.187369 157.895343  0   0  157.895343 1.100691   3  
  42   8  4    1   0    0    3  159.511272   0    0  1.583591 161.210504 0.704580 162.026818  0   0  162.026818 0.984700   4  
  43   8  3    3   1    0    4  163.509461   0    0  1.400270 165.025356 0.371720 165.508563  0   0  165.508563 0.501134   3  
  44   8  1    3   0    0    2  166.508115   0    0  1.500277 168.190696 1.280708 169.590062  0   0  169.590062 1.418276   5  
  45   8  3    1   0    0    4  171.505848   0    0  1.067174 172.721895 1.313733 174.154656  0   0  174.154656 0.851426   4  
  46   9  1    1   1    0    5  175.504007   0    0  1.267081 176.920074 0.174705 177.203275  0   0  177.203275 0.800995   3  
  47   9  4    2   0    0    3  178.502683   0    0  1.833384 180.518434 0.779884 181.418031  0   0  181.418031 0.584872   4  
  48   9  4    1   0    0    3  182.500885   0    0  0.934224 183.567060 0.852277 184.533288  0   0  184.533288 1.467813   4  
  49  10  4    3   0    0    5  186.499062   0    0  2.266618 188.897979 0.982279 189.997485  0   0  189.997485 1.001802   5  
  50  10  2    2   1    0    3  191.496793   0    0  1.067140 192.696259 0.734921 193.545879  0   0  193.545879 1.451154   4  
  51  10  4    1   0    0    5  195.511652   0    0  0.950420 196.611141 0.399127 197.127587  0   0  197.127587 0.884287   3  
  52  10  1    1   1    0    5  198.510284   0    0  1.000524 199.643126 0.115888 199.876334  0   0  199.876334 1.134179   3  
  53  10  3    3   1    0    6  201.508924   0    0  0.967188 202.624990 0.210400 202.958279  0   0  202.958279 1.050885   3  
  54   9  4    4   1    0    5  204.507580   0    0  1.283651 205.923427 0.700058 206.739908  0   0  206.739908 1.267895   4  
  55   9  3    3   1    0    5  208.505770   0    0  0.883938 209.538568 0.197048 209.855155  0   0  209.855155 1.150836   3  
  56   8  3    4   0    0    1  211.504409   0    0  1.283713 212.903781 0.908018 213.919975  0   0  213.919975 1.084667   4  
  57   8  2    3   0    0    3  215.502594   0    0  1.716837 217.351730 1.351309 218.817758  0   0  218.817758 1.185069   5  
  58   9  4    3   0    0    3  220.500345   0    0  1.983354 222.666014 1.147178 223.932112  0   0  223.932112 1.068460   5  
  59   9  4    4   1    0    3  225.498068   0    0  1.500296 227.114011 1.131741 228.363437  0   0  228.363437 0.634857   4  
  60   9  2    2   1    0    3  229.496266   0    0  1.433586 231.045463 0.435608 231.595307  0   0  231.595307 1.401150   4  
]; % This session completes at 17-Mar-2019 16:42:00, 235.006s after session start, 231s on 60 trials, totally 241.64s, correctness is 51.667%.

