%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at lixiao (       49.0000000000).7-Mar-2019 17:16:517.375017e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   9    2   1    6    2.498865 1.616605   4.231418 0.872894   5.214303 2.784794   6  
   2  3   9    2   0    6    8.496151 1.850632  10.461929 0.609224  11.178276 2.818100   6  
   3  2   9    4   0    5   14.510075 1.749984  16.375935 0.493603  16.975643 3.034674   6  
   4  1   9    1   1    6   20.507378 1.017870  21.640211 0.567095  22.323222 3.684383   6  
   5  2   9    2   1    7   26.504646 1.049882  27.670786 0.870527  28.653683 3.351193   6  
   6  3   9    1   0    5   32.501955 0.817831  33.434854 0.761373  34.317781 3.684375   6  
   7  2   9    2   1    5   38.515874 1.317153  39.948548 0.628042  40.681556 3.334543   6  
   8  3   9    3   1    5   44.513161 1.267600  45.895874 0.764725  46.778800 3.234597   6  
   9  3   9    2   0    6   50.493778 1.466669  52.076385 0.583947  52.776070 3.217782   6  
  10  4   9    2   0    3   56.491034 1.417616  58.023696 1.096726  59.239821 2.751402   6  
  11  3   9    2   0    3   62.488340 1.366624  63.971002 0.968304  65.053842 2.934645   6  
  12  1   9    4   0    6   68.502292 2.267550  70.884544 1.066895  72.067333 1.935181   6  
  13  4   9    2   0    2   74.499562 1.449986  76.065508 1.696831  77.881355 2.118415   6  
  14  4   9    1   0    3   80.496847 1.250768  81.862896 1.154668  83.128977 2.868089   6  
  15  4   9    2   0    3   86.494117 1.899692  88.509885 1.463120  90.092490 1.901854   6  
  16  1   9    1   1    6   92.508074 0.701179  93.324368 0.779974  94.223956 3.784346   6  
  17  3   9    3   1    5   98.505354 2.299481 100.920908 1.167756 102.203666 1.801898   6  
  18  3   9    1   0    5  104.502628 1.768296 106.385110 0.852144 107.351333 2.651530   6  
  19  1   9    2   0    5  110.499898 1.833772 112.449026 1.443977 114.014977 1.985148   6  
  20  4   9    1   0    2  116.513858 1.717539 118.346353 1.126742 119.579136 2.434956   6  
  21  3   9    1   0    3  122.511128 2.066159 124.693473 1.237806 126.042855 1.968506   6  
  22  1   9    2   0    3  128.491761 2.350196 130.957314 0.942638 132.006829 1.985143   6  
  23  1   9    2   0    4  134.489023 2.066364 136.671385 1.775339 138.553845 1.435300   6  
  24  2   9    1   0    3  140.502972 1.601037 142.218875 1.230200 143.568248 2.434956   6  
  25  3   9    2   0    5  146.500251 2.082842 148.699247 0.998412 149.815410 2.185030   6  
  26  2   9    2   1    5  152.497543 1.217532 153.830285 1.422165 155.362905 2.634865   6  
  27  3   9    2   0    6  158.494816 2.182914 160.793778 1.520816 162.426355 1.568698   6  
  28  2   9    1   0    3  164.508768 1.883919 166.507855 1.367707 167.990521 2.018456   6  
  29  1   9    2   0    3  170.506034 1.483235 172.121985 1.301506 173.537995 2.468268   6  
  30  1   9    1   1    2  176.503323 1.700583 178.319174 1.426910 179.851806 2.151742   6  
  31  1   9    1   1    7  182.500594 1.916477 184.533007 1.031548 185.682491 2.318333   6  
  32  4   9   -1   0    3  188.514552 0.000000 191.030076 0.003466 191.146679 2.868101   6  
  33  4   9    2   0    5  194.511819 1.333342 195.961190 1.202305 197.277242 2.734799   6  
  34  1   9    1   1    5  200.509110 1.584668 202.208342 1.207123 203.524413 2.484919   6  
  35  4   9    4   1    5  206.489725 2.232899 208.838651 1.136541 210.088096 1.901720   6  
  36  2   9    2   1    3  212.503680 1.350943 213.969671 1.073354 215.152478 2.851416   6  
  37  2   9    1   0    3  218.500945 2.366025 220.983149 1.288456 222.382519 1.618572   6  
  38  4   9   -1   0    4  224.498234 0.000000 227.013759 0.095851 227.230319 2.768148   6  
  39  2   9    2   1    3  230.495497 1.749844 232.361325 1.173445 233.644080 2.351651   6  
  40  4   9    2   0    4  236.492791 1.517423 238.125390 1.212932 239.458120 2.534907   6  
  41  2   9    1   0    6  242.506724 1.383281 244.006053 1.196952 245.322135 2.684820   6  
  42  4   9    2   0    5  248.504017 2.133888 250.752993 1.051664 251.919181 2.085085   6  
  43  4   9    1   0    3  254.501283 1.150090 255.767413 1.111112 256.983506 3.018012   6  
  44  4   9    2   0    5  260.498585 1.784147 262.397714 0.928949 263.447243 2.551561   6  
  45  2   9    1   0    1  266.512498 1.833071 268.461636 0.000881 268.578234 3.434497   6  
  46  4   9    2   0    5  272.509808 2.050548 274.675485 0.778885 275.575089 2.434933   6  
  47  3   9    1   0    5  278.490416 1.699870 280.306259 1.357337 281.772274 2.218207   6  
  48  4   9    4   1    6  284.487699 1.884035 286.486807 0.960698 287.552985 2.434937   6  
  49  4   9    1   0    6  290.501630 1.949768 292.567364 0.879140 293.566913 2.434865   6  
  50  1   9    2   0    3  296.498926 2.000396 298.614632 1.509444 300.230570 1.768588   6  
  51  2   9    3   0    6  302.496189 1.799863 304.411984 1.677855 306.211180 1.785218   6  
  52  2   9    1   0    5  308.493501 1.601034 310.209375 1.223423 311.542115 2.451602   6  
  53  1   9    2   0    6  314.507424 1.683114 316.306609 0.837119 317.256178 2.751464   6  
  54  3   9    1   0    5  320.504723 1.535379 322.153891 1.219128 323.486696 2.518230   6  
  55  2   9    2   1    6  326.501993 1.683157 328.301167 0.985743 329.400671 2.601535   6  
  56  4   9    3   0    5  332.499278 1.717535 334.331779 0.822971 335.264684 2.734816   6  
  57  1   9    1   1    6  338.513195 1.766297 340.395703 0.701372 341.211978 2.801441   6  
  58  1   9    4   0    6  344.510497 1.550767 346.176389 0.783033 347.076007 2.934710   6  
  59  3   9    2   0    6  350.507770 1.566443 352.190349 0.954935 353.256513 2.751471   6  
  60  3   9    2   0    4  356.488391 1.884386 358.487497 1.050544 359.653630 2.334973   6  
  61  1   9    3   0    5  362.502328 1.683180 364.301520 1.068747 365.484307 2.518132   6  
  62  1   9    2   0    5  368.499618 2.367308 370.981785 0.827379 371.914738 2.085106   6  
  63  2   9    2   1    6  374.496880 2.099618 376.712566 0.751443 377.578831 2.418238   6  
  64  3   9    1   0    5  380.494186 1.717075 382.326695 0.822875 383.259599 2.734860   6  
  65  4   9    2   0    6  386.508106 1.716547 388.340612 0.945603 389.406801 2.601548   6  
  66  1   9    1   1    5  392.505398 1.717471 394.337908 0.901593 395.354101 2.651516   6  
  67  2   9    3   0    6  398.502671 2.400200 401.034775 0.486333 401.634580 2.368329   6  
  68  3   9    2   0    1  404.499969 1.700970 406.315820 0.692786 407.115460 2.884735   6  
  69  1   9    1   1    2  410.497236 1.499754 412.113130 0.751968 412.979447 3.018019   6  
  70  4   9    4   1    6  416.511193 2.434548 419.060061 1.213373 420.392753 1.618657   6  
  71  3   9    3   1    7  422.508458 1.716764 424.357631 0.750842 425.223892 2.784798   6  
  72  3   9    3   1    2  428.505742 1.784317 430.404892 1.157672 431.670907 2.335066   6  
  73  1   9    1   1    6  434.486367 1.666320 436.268893 0.828823 437.218451 2.767984   6  
  74  1   9    1   1    3  440.500309 1.650811 442.266181 1.133302 443.515606 2.484783   6  
  75  4   9    2   0    6  446.497571 1.583232 448.196818 0.677547 448.979787 3.017951   6  
  76  3   9    2   0    6  452.494880 1.617310 454.227368 0.890484 455.226966 2.768142   6  
  77  3   9    1   0    6  458.492138 1.716564 460.341313 0.813261 461.274236 2.718120   6  
  78  4   9    4   1    5  464.506087 1.983868 466.605140 1.104113 467.821268 2.185059   6  
  79  1   9    2   0    6  470.503373 1.699843 472.319210 0.880965 473.318753 2.684835   6  
  80  2   9    3   0    6  476.500656 2.383567 478.999522 0.710694 479.815822 2.185053   6  
  81  4   9    2   0    6  482.497931 1.899528 484.513681 0.493368 485.113420 2.884733   6  
  82  4   9    2   0    3  488.511877 1.484564 490.127836 1.009009 491.243976 2.768122   6  
  83  2   9    2   1    5  494.509158 1.449982 496.075125 0.858074 497.041361 2.968016   6  
  84  1   9    1   1    6  500.506437 1.501212 502.122385 1.246338 503.488428 2.518226   6  
  85  2   9    2   1    1  506.503704 1.783159 508.402848 1.580918 510.102074 1.901864   6  
  86  2   9    2   1    4  512.501000 1.867398 514.483442 0.978922 515.582949 2.418262   6  
  87  1   9    1   1    6  518.498276 1.266760 519.880975 1.223710 521.213725 2.784673   6  
  88  3   9    3   1    6  524.495566 2.167105 526.777868 1.062066 527.960672 2.035121   6  
  89  2   9    2   1    5  530.492843 1.316441 531.925529 1.126489 533.158296 2.834724   6  
  90  3   9    3   1    5  536.506791 1.151268 537.772874 1.066854 538.955681 3.051336   6  
]; % This session completes at 17-Mar-2019 17:26:12, 544.28s after session start, 540s on 90 trials, totally 560.777s.

