%% MetaTwins_RDMsc_training for 'lixiao': starting at _nofeedback (       49.0000000000).7-Mar-2019 16:36:53 for '7.375017e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1   8  1    1   1    0    7    2.498933   0    0  1.183590   3.848360 0.880638   4.847864  0   0    4.847864 1.151302   4  
   2   8  1    2   0    0    6    6.497132   0    0  1.700676   8.312954 0.932722   9.362494  0   0    9.362494 0.634852   4  
   3   8  3    2   0    0    8   10.495319   0    0  1.867482  12.477747 0.712625  13.310730  0   0   13.310730 0.684822   4  
   4   9  2    1   0    0    7   14.493507   0    0  2.117035  16.725806 0.796114  17.642076  0   0   17.642076 1.351656   5  
   5   9  4    4   1    0    5   19.491225   0    0  2.466157  22.073398 0.890206  23.072946  0   0   23.072946 0.918526   5  
   6   9  3    1   0    0    6   24.505640   0    0  1.967177  26.588028 0.828785  27.537596  0   0   27.537596 1.468276   5  
   7   9  4    2   0    0    5   29.503365   0    0  2.366279  31.985563 0.820706  32.918479  0   0   32.918479 1.085022   5  
   8  10  4    4   1    0    7   34.501102   0    0  1.917605  36.533510 0.767234  37.416447  0   0   37.416447 0.584881   4  
   9  10  1    1   1    0    7   38.499291   0    0  1.450905  40.065256 0.920215  41.098166  0   0   41.098166 0.901357   4  
  10   9  3    2   0    0    5   42.497473   0    0  2.267112  44.879723 0.941508  45.929263  0   0   45.929263 1.068316   5  
  11   9  4    4   1    0    5   47.495191   0    0  1.633287  49.244412 0.913918  50.277272  0   0   50.277272 0.718172   4  
  12   9  3    2   0    0    3   51.493415   0    0  2.049552  53.675753 1.101263  54.891845  0   0   54.891845 1.101775   5  
  13   9  1    1   1    0    6   56.491128   0    0  1.433300  58.040436 1.212329  59.373160  0   0   59.373160 0.618035   4  
  14   9  4    4   1    0    5   60.489318   0    0  1.884059  62.488415 1.663328  64.270952  0   0   64.270952 0.718549   5  
  15   8  3    1   0    0    2   65.503709   0    0  1.749889  67.369521 1.621261  69.102079  0   0   69.102079 0.901851   5  
