%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at jingjunjie (       49.0000000000).7-Mar-2019 17:36:167.375017e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   9    3   0    8      6      2.498629 1.665813   4.680574 0.543166   5.330176 2.668774   6  
   2  2   9    1   0    8      7      8.494806 0.966215   9.977209 0.458752  10.543504 3.451633   6  
   3  4   9    2   0    5      5     14.507647 1.499069  16.523028 0.018230  16.656309 3.351667   6  
   4  4   9    1   0    5      6     20.503835 1.166035  22.186096 0.188067  22.485898 3.518261   6  
   5  2   9    1   0    7      6     26.500004 1.166134  28.182288 0.229526  28.532052 3.468278   6  
   6  3   9    4   0    2      2     32.496192 2.182186  35.194481 0.266486  35.577567 2.418954   6  
   7  2   9    2   1    4      3     38.492387 1.832464  40.840873 0.334717  41.290596 2.702107   6  
   8  2   9    1   0    5      5     44.505216 1.415954  46.437312 0.637170  47.186848 2.818690   6  
   9  3   9    2   0    4      5     50.501406 1.782223  52.799930 0.403790  53.316272 2.685450   6  
  10  1   9    2   0    2      5     56.497590 2.198570  59.212512 0.261149  59.578962 2.418936   6  
  11  3   9    2   0    5      6     62.493763 1.715745  64.725674 0.343329  65.175401 2.818686   6  
  12  2   9    3   0    2      7     68.506598 2.065405  71.088291 0.280037  71.488033 2.518893   6  
  13  4   9    2   0    3      6     74.502773 2.165435  77.184414 0.167106  77.467569 2.535523   6  
  14  2   9    4   0    2      6     80.498969 2.415270  83.430438 0.141309  83.680270 2.319000   6  
  15  1   9    2   0    1      4     86.495139 1.449222  88.460554 0.413449  88.993553 3.001904   6  
  16  3   9    2   0    2      3     92.491322 2.248702  95.256242 0.554826  95.922480 2.069165   6  
  17  2   9    2   1    4      3     98.504158 1.715706 100.736080 0.463471 101.319090 2.685399   6  
  18  1   9    2   0    3      4    104.500345 2.098841 107.115336 0.313234 107.548413 2.452263   6  
  19  2   9    3   0    3      7    110.496539 2.048813 113.061553 0.421179 113.594567 2.402280   6  
  20  3   9    4   0    3      5    116.492716 2.015566 119.024439 0.334119 119.474150 2.518868   6  
  21  2   9    2   1    5      5    122.505558 1.182752 124.204475 0.750745 125.070585 2.935278   6  
  22  1   9    4   0    2      6    128.501726 2.248744 131.266630 0.238719 131.616423 2.385618   6  
  23  4   9    1   0    5      5    134.497926 1.382580 136.396702 0.782898 137.296128 2.702098   6  
  24  3   9    1   0    4      3    140.494092 1.799025 142.809288 0.685267 143.608780 2.385626   6  
  25  1   9    3   0    5      5    146.506932 1.698926 148.722191 0.320786 149.155246 2.851999   6  
  26  4   9    2   0    4      5    152.503118 1.265914 154.285316 0.616731 155.018179 2.985234   6  
  27  1   9    1   1    4      7    158.499282 1.415935 160.431405 0.416205 160.964380 3.035228   6  
  28  1   9    3   0    2      1    164.495486 2.098961 167.110480 0.364150 167.593505 2.402273   6  
  29  3   9    2   0    1      2    170.491659 2.348683 173.356491 0.286693 173.756251 2.235717   6  
  30  3   9    2   0    3      5    176.504491 1.649135 178.669773 0.432927 179.219436 2.785369   6  
  31  3   9    1   0    4      5    182.500689 1.682450 184.699277 0.328414 185.148983 2.852001   6  
  32  2   9    2   1    4      7    188.496861 1.649098 190.662148 0.772968 191.544902 2.452278   6  
  33  4   9    1   0    4      3    194.493054 1.948903 196.958126 0.474818 197.541099 2.452248   6  
  34  3   9    2   0    5      6    200.505873 1.815720 202.837720 0.681967 203.637215 2.368977   6  
  35  4   9    2   0    4      5    206.502064 1.948863 208.967156 0.439009 209.516816 2.485541   6  
  36  2   9    1   0    3      6    212.498237 1.382589 214.397027 0.483118 214.996653 3.001885   6  
  37  4   9    1   0    1      5    218.494421 2.115432 221.126079 0.668908 221.908911 2.085818   6  
  38  2   9    1   0    4      7    224.507265 1.599125 226.622571 0.896564 227.638596 2.368973   6  
  39  4   9    2   0    4      7    230.503442 1.315725 232.335618 1.080196 233.534841 2.468909   6  
  40  1   9    2   0    2     -1    236.499629 2.048833 239.064666 0.378718 239.564331 2.435608   6  
  41  2   9    1   0    5      2    242.495810 1.199220 244.211384 0.891036 245.210755 2.785353   6  
  42  3   9    2   0    2      5    248.492005 2.298482 251.306854 0.360621 251.773245 2.219041   6  
  43  4   9    4   1    2      6    254.504829 2.015351 257.036554 0.528714 257.686143 2.318983   6  
  44  1   9    2   0    4      5    260.501017 1.865620 262.882828 1.087530 264.082054 1.919271   6  
  45  3   9    1   0    3      6    266.497185 1.749025 268.762407 0.312828 269.195466 2.802021   6  
  46  4   9    2   0    1      4    272.493370 2.415258 275.424837 0.550439 276.091086 1.902577   6  
  47  2   9    1   0    3      3    278.506209 1.515905 280.538248 0.553547 281.204485 2.802018   6  
  48  2   9    4   0    2      5    284.502400 2.065462 287.084081 0.891115 288.083442 1.919247   6  
  49  2   9    2   1    5      6    290.498578 1.365720 292.380698 0.580993 293.080260 2.918621   6  
  50  3   9    2   0    5      5    296.494753 1.349309 298.360224 0.321733 298.793290 3.201766   6  
  51  4   9    2   0    5      7    302.490935 1.649204 304.656226 0.418259 305.189215 2.802023   6  
  52  3   9    4   0    2      5    308.503781 2.115444 311.135432 0.248728 311.501877 2.502203   6  
  53  3   9    1   0    4      2    314.499956 1.615690 316.631926 0.714457 317.464729 2.535521   6  
  54  1   9    3   0    4      3    320.496128 1.648930 322.661431 0.314796 323.094467 2.901964   6  
  55  4   9    2   0    4      6    326.492328 1.382608 328.391113 0.290441 328.790861 3.201739   6  
