%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at jingjunjie (       49.0000000000).7-Mar-2019 17:16:427.375017e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   6    2   0    8    2.498408 1.566102   4.180662 0.061003   4.363876 3.634814   6  
   2  2   6    3   0    5    8.494584 1.083061   9.693818 0.275585  10.076910 3.917883   6  
   3  4   6    3   0    7   14.490763 0.966434  15.573406 0.164459  15.856559 4.134316   6  
   4  1   6    2   0    5   20.503584 1.033078  21.652873 0.136434  21.902708 4.101219   6  
   5  4   6    3   0    4   26.499785 1.149490  27.765645 0.385867  28.265330 3.734777   6  
   6  2   6    3   0    5   32.495954 1.232969  33.845110 0.092500  34.044980 3.951316   6  
   7  2   6    2   1    5   38.508791 1.382989  40.007765 0.257514  40.374291 3.634831   6  
   8  4   6    3   0    5   44.504985 0.866654  45.487695 0.173141  45.770848 4.234401   6  
   9  3   6    3   1    5   50.501172 1.349561  51.966899 0.146236  52.233403 3.767944   6  
  10  3   6    2   0    5   56.514000 1.266277  57.896454 0.078264  58.096332 3.917994   6  
  11  4   6    3   0    5   62.510179 1.332987  63.959271 0.069919  64.142478 3.868037   6  
  12  1   6    4   0    5   68.506361 1.832683  70.455128 0.228357  70.804906 3.201786   6  
  13  4   6    2   0    5   74.502560 0.999850  75.668379 0.134469  75.918310 4.084565   6  
  14  3   6    3   1    5   80.498716 0.866486  81.481450 0.146689  81.747928 4.251117   6  
  15  1   6    1   1    5   86.494907 1.316282  87.960663 0.081756  88.160517 3.834625   6  
  16  2   6    2   1    7   92.491097 1.616074  94.223324 0.404571  94.739679 3.251561   6  
  17  1   6    4   0    7   98.503919 1.299634  99.919701 0.587198 100.619257 3.384995   6  
  18  2   6    2   1    5  104.500112 0.484143 105.116286 0.148670 105.382872 4.617569   6  
  19  4   6    2   0    6  110.496294 1.332733 111.962028 0.619584 112.694894 3.301722   6  
  20  2   6    4   0    5  116.509119 1.366222 117.991320 0.241561 118.341303 3.668166   6  
  21  4   6    3   0    5  122.505309 1.349685 123.971057 0.112117 124.204251 3.801365   6  
  22  4   6    4   1    8  128.501489 1.399517 130.017209 0.424198 130.550206 3.451506   6  
  23  2   6    3   0    7  134.497674 1.482938 136.096656 0.433657 136.646319 3.351469   6  
  24  3   6    3   1    7  140.510520 1.282921 141.909622 0.178058 142.209440 3.801397   6  
  25  3   6    2   0    6  146.506693 0.783023 147.422798 0.251169 147.789217 4.217802   6  
  26  4   6    4   1    5  152.502869 0.933221 153.552218 0.047602 153.718766 4.284438   6  
  27  2   6    2   1    7  158.499057 0.750029 159.365181 0.197719 159.681646 4.317746   6  
  28  1   6    3   0    5  164.495235 1.049856 165.661172 0.077951 165.861039 4.134469   6  
  29  3   6    3   1    5  170.491429 1.133314 171.740640 0.109752 171.957165 4.034447   6  
  30  2   6    3   0    7  176.504257 1.166411 177.786772 0.214827 178.119904 3.884693   6  
  31  4   6    3   0    5  182.500442 1.066437 183.683023 0.108149 183.899568 4.101205   6  
  32  2   6    2   1    7  188.496631 1.382929 190.012334 0.338295 190.462043 3.534911   6  
  33  4   6    2   0    5  194.509448 1.299570 195.925030 0.332889 196.374945 3.634846   6  
  34  4   6    4   1    5  200.505624 1.383092 202.004688 0.100541 202.221225 3.784741   6  
  35  3   6    3   1    7  206.501834 0.983183 207.600981 0.265983 207.984222 4.017842   6  
  36  3   6    3   1    7  212.498021 0.933202 213.547346 0.047894 213.713914 4.284252   6  
  37  2   6    2   1    7  218.510843 0.916588 219.576847 0.026967 219.710091 4.301085   6  
  38  1   6    3   0    7  224.507024 1.399517 226.039398 0.112841 226.272575 3.734775   6  
  39  1   6    2   0    6  230.503209 0.749951 231.369318 0.209230 231.685804 4.317732   6  
  40  1   6    2   0    6  236.499373 1.266323 237.881847 0.092049 238.081725 3.918002   6  
  41  3   6    2   0    6  242.495583 1.049902 243.678072 0.219713 244.011276 3.984599   6  
  42  1   6    2   0    7  248.491757 1.116243 249.724316 0.115657 249.957485 4.034484   6  
  43  4   6    3   0    7  254.488027 2.049136 256.653225 0.314570 257.086283 2.901761   6  
  44  2   6    3   0    1  260.500766 1.982517 262.682633 0.016123 262.815963 3.185147   6  
  45  2   6    4   0    1  266.513616 1.799116 268.495696 0.094775 268.695568 3.318375   6  
  46  1   6    2   0    1  272.509782 1.033142 273.692199 0.159624 273.958868 4.051256   6  
  47  3   6    3   1    3  278.505966 1.949176 280.604652 1.011799 281.737260 2.269043   6  
  48  4   6    3   0    2  284.502164 2.199213 286.867323 0.542061 287.516921 2.485492   6  
  49  1   6    3   0    1  290.498349 0.916496 291.547667 0.154684 291.814177 4.184341   6  
  50  1   6    3   0    5  296.511170 1.782549 298.409919 0.393036 298.909650 3.101860   6  
  51  1   6    2   0    5  302.507347 1.349543 304.006421 0.419616 304.539397 3.468294   6  
  52  4   6    3   0    1  308.503539 1.399542 310.052576 1.059200 311.218487 2.785374   6  
  53  1   6    2   0    3  314.499707 2.015892 316.648366 0.791117 317.547784 2.452269   6  
  54  3   6    3   1    5  320.495922 1.299665 321.911672 0.335598 322.361391 3.634830   6  
  55  2   6    2   1    7  326.492103 0.949818 327.558074 0.196896 327.874537 4.117793   6  
  56  1   6    3   0    5  332.488272 1.349577 333.954003 0.254337 334.320449 3.667990   6  
  57  3   6    3   1    7  338.501103 1.199937 339.833600 0.176479 340.116760 3.884675   6  
  58  4   6    2   0    6  344.513952 1.066433 345.763163 0.252115 346.129589 3.884682   6  
  59  3   6    2   0    6  350.510106 1.033204 351.676062 0.227124 352.009184 4.001268   6  
  60  1   6    4   0    6  356.506302 1.682873 358.338486 0.440416 358.888150 3.118480   6  
  61  2   6    2   1    6  362.502478 1.033155 363.718391 0.278347 364.118121 3.884672   6  
  62  4   6    4   1    6  368.498666 1.166453 369.781183 0.207192 370.097661 3.901224   6  
  63  4   6    4   1    5  374.494859 1.216345 375.844004 0.109339 376.060539 3.934449   6  
  64  1   6    2   0    7  380.507680 0.983186 381.656975 0.108346 381.873496 4.134530   6  
  65  4   6    4   1    7  386.503853 0.949878 387.569876 0.063983 387.753086 4.251115   6  
  66  2   6    4   0    7  392.500066 1.849430 394.465471 0.044701 394.615382 3.385009   6  
  67  1   6    3   0    7  398.496237 1.282944 399.895358 0.029506 400.045245 3.951330   6  
  68  2   6    3   0    6  404.492420 0.866706 405.491691 0.111329 405.708325 4.284347   6  
  69  1   6    4   0    5  410.488593 1.449516 412.070944 0.214172 412.404049 3.584746   6  
  70  3   6    3   1    5  416.501426 1.582939 418.200355 0.616744 418.933304 3.068469   6  
  71  3   6    4   0    5  422.514266 0.999772 423.630234 0.106431 423.846755 4.167842   6  
  72  2   6    2   1    7  428.510455 0.866616 429.526496 0.076102 429.709701 4.301079   6  
  73  4   6    2   0    6  434.506632 1.033127 435.722420 0.023649 435.855791 4.151176   6  
  74  3   6    4   0    6  440.502820 1.033928 441.652089 0.043114 441.802006 4.201124   6  
  75  2   6    3   0    7  446.498997 0.017530 446.698888 0.740268 447.548332 4.450910   6  
  76  2   6    4   0    2  452.495187 1.766238 454.460599 0.008488 454.577205 3.418124   6  
  77  3   6    3   1    1  458.508018 1.499669 460.123659 0.190475 460.423478 3.584880   6  
  78  4   6    4   1    1  464.504194 0.999828 465.620161 0.302427 466.036569 3.967965   6  
  79  1   6    3   0    7  470.500378 1.716043 472.365714 0.239344 472.715647 3.285067   6  
  80  3   6    3   1    7  476.496552 0.983340 477.595866 0.155999 477.862369 4.134533   6  
  81  3   6    3   1    7  482.492737 1.316415 483.941839 0.077459 484.125042 3.867995   6  
  82  1   6    3   0    6  488.488943 1.149636 489.754705 0.358003 490.221169 3.767978   6  
  83  1   6    3   0    7  494.501762 0.933004 495.551108 0.185231 495.850995 4.150886   6  
  84  3   6    3   1    5  500.514590 1.116442 501.747152 0.734061 502.596616 3.418323   6  
  85  2   6    2   1    7  506.510797 1.299594 507.943133 0.311041 508.359612 3.651507   6  
  86  3   6    3   1    6  512.506967 1.316304 513.939396 0.086269 514.139254 3.868041   6  
  87  2   6    3   0    5  518.503139 1.316232 519.935576 0.289238 520.335325 3.668155   6  
  88  3   6    3   1    6  524.499329 1.149654 525.781866 0.147443 526.048343 3.951258   6  
  89  4   6    4   1    2  530.495515 1.865899 532.477585 0.440815 533.027245 2.968447   6  
  90  1   6    3   0    5  536.508333 1.282908 537.924127 0.688484 538.723610 3.285095   6  
]; % This session completes at 17-Mar-2019 17:26:03, 544.008s after session start, 540s on 90 trials, totally 560.549s.

