%% MetaTwins_RDMsc_training for 'jingyingjie': starting at _nofeedback (       49.0000000000).7-Mar-2019 16:48:01 for '7.375017e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  13  4    4   1    0    5    2.498997   0    0  0.983515   3.614993 0.648587   4.381465  0   0    4.381465 0.617750   3  
   2  13  3    4   0    0    3    5.497636   0    0  2.082962   7.746457 0.420938   8.279707  0   0    8.279707 0.718138   4  
   3  13  1    3   0    0    3    9.495821   0    0  1.016863  10.645317 0.267046  11.028474  0   0   11.028474 0.967536   3  
   4  14  2    4   0    0    5   12.494469   0    0  0.900193  13.560673 0.239421  13.910499  0   0   13.910499 1.084143   3  
   5  14  3    4   0    0    4   15.493118   0    0  1.516577  17.175706 0.749008  18.041977  0   0   18.041977 0.951297   4  
   6  15  3    3   1    0    4   19.491315   0    0  1.100065  20.724063 0.127014  20.957308  0   0   20.957308 1.034133   3  
   7  15  2    4   0    0    3   22.489966   0    0  1.100072  23.705918 0.299736  24.122557  0   0   24.122557 0.867515   3  
   8  15  1    4   0    0    4   25.488602   0    0  1.616689  27.304454 0.185088  27.604324  0   0   27.604324 1.384388   4  
   9  16  3    3   1    0    5   29.486798   0    0  1.233259  30.869507 0.676795  31.652490  0   0   31.652490 1.334395   4  
  10  16  4    4   1    0    4   33.501650   0    0  1.399993  35.034288 0.404684  35.550721  0   0   35.550721 1.450974   4  
  11  14  2    3   0    0    5   37.516495   0    0  0.866895  38.516057 0.189548  38.815908  0   0   38.815908 1.200824   3  
  12  14  1    1   1    0    1   40.515151   0    0  0.966725  41.614658 0.136645  41.864539  0   0   41.864539 1.150821   3  
  13  14  1    3   0    0    5   43.513787   0    0  1.183512  44.879824 0.713392  45.712808  0   0   45.712808 1.301217   4  
  14  14  4    4   1    0    7   47.511982   0    0  1.150149  48.794736 0.139696  49.044629  0   0   49.044629 0.967583   3  
  15  14  3    2   0    0    8   50.510623   0    0  0.916862  51.593473 0.807303  52.509737  0   0   52.509737 0.501122   3  
  16  14  4    3   0    0    1   53.509277   0    0  1.567353  55.191852 0.278655  55.575006  0   0   55.575006 1.434494   4  
  17  15  3    4   0    0    3   57.507461   0    0  0.766760  58.407071 0.137634  58.656950  0   0   58.656950 1.350753   3  
  18  15  4    2   0    0    4   60.506116   0    0  1.466481  62.155341 0.069821  62.338621  0   0   62.338621 0.667730   3  
  19  16  4    3   0    0    4   63.504756   0    0  1.649889  65.270636 0.097260  65.487291  0   0   65.487291 0.517697   3  
  20  16  1    1   1    0    5   66.503411   0    0  1.399847  68.086019 0.034005  68.235965  0   0   68.235965 0.767669   3  
  21  16  3    3   1    0    5   69.502054   0    0  1.199916  70.884619 0.005762  71.001367  0   0   71.001367 1.000902   3  
  22  14  3    3   1    0    5   72.500691   0    0  1.316641  73.933383 0.067340  74.116629  0   0   74.116629 0.884288   3  
  23  14  1    3   0    0    4   75.499345   0    0  1.033492  76.648823 0.089046  76.848732  0   0   76.848732 1.150838   3  
  24  14  2    4   0    0    4   78.497985   0    0  0.733656  79.347604 0.108804  79.564177  0   0   79.564177 1.434041   3  
  25  15  3    3   1    0    4   81.496628   0    0  0.883527  82.496184 0.083802  82.696094  0   0   82.696094 1.300775   3  
  26  15  4    3   0    0    4   84.495275   0    0  0.866993  85.478170 0.078566  85.661418  0   0   85.661418 1.334094   3  
  27  15  4    4   1    0    3   87.493917   0    0  1.599741  89.209819 0.135931  89.459702  0   0   89.459702 0.534443   3  
  28  15  2    2   1    0    4   90.492563   0    0  1.183436  91.791985 0.080823  91.991888  0   0   91.991888 1.000927   3  
  29  14  1    3   0    0    4   93.491209   0    0  1.549996  95.157140 0.129943  95.407021  0   0   95.407021 0.584369   3  
  30  14  2    2   1    0    3   96.489855   0    0  1.066739  97.705824 0.100067  97.922547  0   0   97.922547 1.067487   3  
  31  14  3    2   0    0    4   99.505161   0    0  1.316680 100.987734 0.105921 101.204398  0   0  101.204398 0.800910   3  
  32  14  3    1   0    0    3  102.503799   0    0  1.116715 103.736579 0.232659 104.086421  0   0  104.086421 0.917538   3  
