%% MetaTwinsTri_behave_Conf for '_guess': starting at yinyufan (       50.0000000000).0-Mar-2019 11:47:207.375045e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   14   2   0    8      6      2.498868 1.099909   4.114805 0.488031   4.731193 3.267896   6  
   2  4   14   1   0    7      3      8.496161 1.133257  10.145417 1.115331  11.378180 2.618201   6  
   3  4   14   2   0    7      3     14.493448 1.266411  16.275981 0.700375  17.092276 2.901389   6  
   4  2   14   1   0    6      6     20.507405 1.516325  22.539821 0.986395  23.639313 2.368297   6  
   5  1   14   2   0    7      6     26.504692 1.382925  28.403839 0.650952  29.170142 2.834772   6  
   6  4   14   2   0    6      6     32.501987 1.499422  34.517734 0.983346  35.617245 2.384957   6  
   7  1   14   1   1    5      6     38.499273 1.666253  40.681612 0.953370  41.747798 2.251673   6  
   8  2   14   2   1    7      7     44.496552 1.766155  46.778868 0.941239  47.845053 2.151747   6  
   9  4   14   1   0    7      7     50.493863 1.499625  52.509603 0.707406  53.342555 2.651491   6  
  10  3   14   4   0    3      6     56.491135 2.249339  59.256554 0.740078  60.122838 1.868499   6  
  11  2   14   2   1    7      7     62.505082 1.066459  64.087698 0.764607  64.970646 3.034632   6  
  12  3   14   3   1    3      6     68.502379 2.132716  71.151190 0.973998  72.250678 1.751890   6  
  13  4   14   2   0    7      6     74.499677 1.282918  76.298856 0.837593  77.265073 2.734785   6  
  14  3   14   3   1    4      6     80.496964 1.832831  82.845899 1.072979  84.045360 1.951783   6  
  15  2   14   2   1    6      6     86.494257 1.049936  88.060214 0.726461  88.909814 3.084619   6  
  16  2   14   2   1    2      6     92.491545 1.849436  94.857126 0.825735  95.790050 2.201663   6  
  17  2   14   2   1    4      6     98.505476 1.016488 100.038130 1.016682 101.170942 2.834717   6  
  18  2   14   2   1    3      6    104.502789 0.916519 105.935476 1.137607 107.201559 2.801392   6  
  19  2   14   2   1    5      6    110.500071 1.199740 112.215956 1.491031 113.831897 2.168350   6  
  20  3   14   3   1    1      6    116.497351 1.666273 118.679701 0.456010 119.262777 2.734733   6  
  21  4   14   2   0    1      6    122.494649 2.199395 125.210096 0.332945 125.659897 2.334910   6  
  22  3   14   3   1    3      6    128.491949 1.899529 130.907515 0.591948 131.623855 2.368232   6  
  23  3   14   3   1    2      6    134.489229 1.183042 136.188451 0.489660 136.804845 3.184542   6  
  24  1   14   2   0    1      6    140.503204 2.282485 143.301911 0.182137 143.601776 2.401557   6  
  25  4   14   3   0    1      6    146.500465 2.149357 149.165927 0.082928 149.365845 2.634779   6  
  26  4   14   3   0    1      6    152.497905 2.332435 155.346471 0.376194 155.846248 2.151665   6  
  27  1   14   3   0    3      6    158.495054 1.932636 160.943951 0.616498 161.676951 2.318248   6  
  28  1   14  -1   0    1      2    164.492333 2.499062 167.007888 0.544275 167.674238 2.318244   6  
  29  3   14   3   1    2      6    170.489633 1.183116 172.188870 1.125003 173.438292 2.551468   6  
  30  2   14   2   1   -1      7    176.503580 1.033212 178.052882 0.000000 180.051922 1.951792   6  
  31  4   14   3   0    3      7    182.500881 1.782867 184.799842 1.121511 186.049273 1.951728   6  
  32  2   14   2   1    2      7    188.498161 0.916599 189.930851 0.897539 190.947067 3.051211   6  
  33  3   14   3   1    5      6    194.495446 1.066516 196.078055 0.957772 197.160913 2.834656   6  
  34  3   14   3   1    3      7    200.492746 1.033241 202.042042 0.818515 202.974946 3.017905   6  
  35  3   14   3   1    5      6    206.490039 0.799949 207.806108 1.251846 209.172157 2.817994   6  
  36  2   14   3   0    3      6    212.487323 1.349718 214.353156 0.409439 214.886244 3.101189   6  
  37  1   14   3   0    3      6    218.501274 1.283129 220.300458 0.612303 221.033468 2.967917   6  
  38  4   14   3   0    2      6    224.498562 1.016520 226.031213 0.408941 226.564287 3.434378   6  
  39  1   14   3   0    3      6    230.495856 0.999733 232.011831 0.547324 232.678209 3.317731   6  
  40  4   14   3   0    3      6    236.493144 1.566123 238.575535 0.504002 239.208601 2.784630   6  
  41  1   14   3   0    2      6    242.490436 1.616248 244.622809 0.832766 245.572364 2.418157   6  
  42  3   14   3   1    5      6    248.487730 1.132948 250.136974 1.490091 251.752917 2.234899   6  
  43  2   14   2   1    3      6    254.501676 1.182956 256.200911 0.282992 256.600721 3.401036   6  
  44  1   14   2   0    2      7    260.498965 1.366195 262.381442 0.107872 262.614674 3.384364   6  
  45  1   14   3   0    3      6    266.496262 1.549605 268.561989 0.483307 269.161709 2.834608   6  
  46  3   14   3   1    3      6    272.493539 1.033172 274.042850 0.591893 274.759180 3.234434   6  
  47  4   14   3   0    5      6    278.490841 1.183001 280.190056 0.603702 280.923079 3.067826   6  
  48  1   14   2   0    1      7    284.488129 2.132715 287.136930 0.000928 287.253543 2.734642   6  
  49  2   14   2   1    4      7    290.485411 1.249745 292.251294 0.913635 293.284153 2.701332   6  
  50  1   14   2   0    3      3    296.516026 1.666215 298.698360 0.970890 299.797875 2.218405   6  
  51  3   14   3   1    5      6    302.513318 1.249780 304.279180 1.023820 305.428668 2.584877   6  
  52  1   14   2   0    3      6    308.510606 1.416302 310.443080 0.504887 311.076103 2.934729   6  
