%% MetaTwins_RDMsc_training for 'yinyufan': starting at _nofeedback (       50.0000000000).0-Mar-2019 11:33:54 for '7.375045e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  15  3    3   1    0    8    2.498962   0    0  1.133410   3.781710 0.851755   4.747951  0   0    4.747951 1.251225   4  
   2  15  2    2   1    0    8    6.497156   0    0  1.133392   7.813240 0.309077   8.246361  0   0    8.246361 0.750982   3  
   3  14  1    1   1    0    8    9.495798   0    0  0.666898  10.295440 0.194818  10.611960  0   0   10.611960 1.384003   3  
   4  14  4    4   1    0    8   12.494446   0    0  1.000145  13.643829 0.111729  13.877158  0   0   13.877158 1.117439   3  
   5  13  2    3   0    0    5   15.493092   0    0  1.899620  17.525365 0.924349  18.575030  0   0   18.575030 1.418191   5  
   6  13  2    2   1    0    7   20.490834   0    0  0.966903  21.623659 0.311851  22.056792  0   0   22.056792 0.934137   3  
   7  13  1    1   1    0    7   23.489473   0    0  0.800230  24.422318 0.322839  24.855526  0   0   24.855526 1.134023   3  
   8  12  4    2   0    0    4   26.504785   0    0  1.516484  28.170591 1.156591  29.453448  0   0   29.453448 0.551569   4  
   9  12  2    2   1    0    6   30.502972   0    0  1.449984  32.102096 0.580497  32.801936  0   0   32.801936 1.201278   4  
  10  12  2    2   1    0    7   34.501182   0    0  1.716591  36.367006 0.378701  36.866765  0   0   36.866765 1.134635   4  
  11  11  3    1   0    0    5   38.499363   0    0  1.583186  40.231922 0.226934  40.581766  0   0   40.581766 1.417823   4  
  12  11  2    2   1    0    3   42.497556   0    0  2.232771  44.913132 1.528399  46.562390  0   0   46.562390 1.435401   6  
  13  11  2    2   1    0    6   48.511508   0    0  1.416723  50.077467 0.642003  50.843778  0   0   50.843778 1.167961   4  
  14  10  4    3   0    0    7   52.509699   0    0  1.099898  53.775791 0.438325  54.325557  0   0   54.325557 0.684385   3  
  15  10  3    3   1    0    2   55.508346   0    0  1.699830  57.474125 0.656823  58.257103  0   0   58.257103 0.751475   4  
  16  10  1    4   0    0    6   59.506541   0    0  1.216721  60.889168 0.799996  61.805511  0   0   61.805511 1.201264   4  
  17  10  3    2   0    0    7   63.504730   0    0  0.933416  64.604247 0.341727  65.054026  0   0   65.054026 0.950930   3  
  18  11  3    4   0    0    7   66.503381   0    0  1.150138  67.819364 1.233364  69.168850  0   0   69.168850 0.834748   4  
  19  11  2    4   0    0    5   70.501567   0    0  1.033435  71.700895 0.291288  72.117504  0   0   72.117504 0.884263   3  
  20  12  2    2   1    0    6   73.500214   0    0  1.083496  74.749646 0.317559  75.182796  0   0   75.182796 0.817581   3  
  21  12  1    4   0    0    6   76.498861   0    0  1.150134  77.781612 1.013729  78.914436  0   0   78.914436 1.084571   4  
  22  12  3    4   0    0    5   80.497053   0    0  1.150010  81.813124 0.269694  82.196295  0   0   82.196295 0.800882   3  
  23  13  1    1   1    0    4   83.495711   0    0  1.000112  84.611875 0.927307  85.661390  0   0   85.661390 1.334401   4  
  24  13  2    3   0    0    5   87.493895   0    0  2.032934  89.692903 1.277306  91.092263  0   0   91.092263 0.901697   5  
  25  13  4    4   1    0    7   92.508298   0    0  0.950186  93.641116 0.281277  94.040939  0   0   94.040939 0.967579   3  
  26  13  1    1   1    0    2   95.506934   0    0  1.250026  96.906316 0.532044  97.556021  0   0   97.556021 1.451158   4  
  27  12  4    4   1    0    7   99.505134   0    0  0.950087 100.621225 0.690130 101.437592  0   0  101.437592 0.567767   3  
  28  12  3    3   1    0    4  102.503782   0    0  1.749737 104.419586 1.343486 105.885587  0   0  105.885587 1.118424   5  
  29  11  2    2   1    0    3  107.501515   0    0  1.200065 108.884229 0.371770 109.367348  0   0  109.367348 0.634410   3  
  30  11  2    3   0    0    1  110.500173   0    0  1.249962 111.949509 0.142299 112.216051  0   0  112.216051 0.784334   3  
  31  11  3    4   0    0    1  113.498803   0    0  1.933063 115.597869 0.022839 115.747796  0   0  115.747796 1.251238   4  
  32  12  2    2   1    0    4  117.497004   0    0  1.167245 118.846390 0.648550 119.612713  0   0  119.612713 1.384517   4  
  33  12  1    1   1    0    6  121.495209   0    0  1.033436 122.694654 0.648203 123.460973  0   0  123.460973 0.534463   3  
  34  11  4    3   0    0    1  124.493842   0    0  1.766321 126.409646 0.177154 126.709510  0   0  126.709510 1.284575   4  
  35  11  4    4   1    0    8  128.492039   0    0  1.216692 129.874619 0.208065 130.207922  0   0  130.207922 0.784348   3  
  36  11  1    1   1    0    8  131.490683   0    0  1.083165 132.690142 0.083767 132.890046  0   0  132.890046 1.100836   3  
  37  10  1    1   1    0    8  134.505982   0    0  1.166703 135.788745 0.127424 136.038623  0   0  136.038623 0.967552   3  
  38  10  2    3   0    0    8  137.504627   0    0  1.383369 139.020526 0.171298 139.320485  0   0  139.320485 0.684300   3  
  39  10  1    2   0    0    1  140.503277   0    0  2.132946 142.835567 0.380981 143.335334  0   0  143.335334 0.668084   4  
  40  11  3    3   1    0    1  144.501466   0    0  1.283326 146.034128 0.092777 146.250683  0   0  146.250683 0.750894   3  
  41  11  3    3   1    0    1  147.500107   0    0  1.183791 148.899485 0.000545 149.016105  0   0  149.016105 0.984108   3  
  42  10  4    3   0    0    1  150.498768   0    0  2.415941 153.130770 0.098534 153.347470  0   0  153.347470 0.651360   4  
  43  10  3    3   1    0    1  154.513610   0    0  1.416542 156.079571 0.146908 156.346119  0   0  156.346119 0.667720   3  
  44  10  3    3   1    0    1  157.512262   0    0  1.233421 158.878228 0.074567 159.078221  0   0  159.078221 0.934264   3  
  45   9  3    2   0    0    1  160.510913   0    0  0.866833 161.510460 0.125377 161.760341  0   0  161.760341 1.250791   3  
  46   9  1    1   1    0    2  163.509537   0    0  1.333302 164.975555 0.470938 165.575281  0   0  165.575281 1.434494   4  
  47   9  4    3   0    0    1  167.507735   0    0  1.683123 169.456871 0.018862 169.590136  0   0  169.590136 1.417839   4  
  48   9  2    2   1    0    4  171.505940   0    0  1.216619 172.871825 0.866801 173.854865  0   0  173.854865 1.151300   4  
  49   9  1    3   0    0    1  175.504140   0    0  1.816276 177.586530 0.509517 178.219568  0   0  178.219568 0.784797   4  
  50   9  4    2   0    0    3  179.502329   0    0  1.300426 181.001655 0.621807 181.751305  0   0  181.751305 1.251248   4  
  51  10  4    4   1    0    3  183.500514   0    0  1.533149 185.149771 0.458625 185.732841  0   0  185.732841 1.267903   4  
  52  10  1    1   1    0    4  187.498712   0    0  1.483216 189.131207 0.123564 189.381195  0   0  189.381195 0.617743   3  
  53   9  1    2   0    0    3  190.497349   0    0  1.583199 192.213127 0.779371 193.112841  0   0  193.112841 0.884737   4  
  54   9  4    3   0    0    1  194.495543   0    0  1.783146 196.461234 0.848324 197.427557  0   0  197.427557 0.568204   4  
  55  10  3    2   0    0    1  198.493740   0    0  1.266728 199.943099 0.259466 200.326250  0   0  200.326250 0.667682   3  
  56  10  3    1   0    0    1  201.492392   0    0  2.366229 203.991262 0.167945 204.274453  0   0  204.274453 0.718086   4  
  57  11  1    1   1    0    1  205.490585   0    0  1.216768 206.823321 0.305287 207.256455  0   0  207.256455 0.734248   3  
  58  11  4    4   1    0    1  208.489222   0    0  1.416597 210.038373 0.061952 210.221775  0   0  210.221775 0.767558   3  
  59  10  4    4   1    0    1  211.487876   0    0  1.249829 212.920557 0.018636 213.053834  0   0  213.053834 0.934112   3  
  60  10  4    3   0    0    2  214.486513   0    0  1.466579 216.168938 0.187870 216.485622  0   0  216.485622 0.500959   3  
]; % This session completes at 20-Mar-2019 11:38:38, 219.003s after session start, 215s on 60 trials, totally 284.786s, correctness is 56.667%.

