%% MetaTwinsTri_behave_Conf for '_guess': starting at yinyuhang (       50.0000000000).0-Mar-2019 12:08:587.375045e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   11   3   0    5      1      2.498873 1.433053   4.447993 0.850739   5.414211 2.584877   6  
   2  3   11   2   0    4      8      8.496168 1.183322  10.195388 0.614379  10.928402 3.067988   6  
   3  3   11   1   0    5      8     14.493437 1.166307  16.175998 0.471951  16.759063 3.234520   6  
   4  4   11   1   0    4      6     20.490715 1.450726  22.456501 0.324665  22.889644 3.101310   6  
   5  4   11   2   0    2      5     26.487990 2.482532  29.486635 1.014338  30.619455 1.368614   6  
   6  4   11   1   0    5      6     32.501948 1.466719  34.484435 0.623505  35.217378 2.784790   6  
   7  4   11   4   1    4      6     38.515869 1.882806  40.914792 0.221518  41.247969 2.768134   6  
   8  4   11   3   0    3      1     44.513168 1.900159  46.928750 0.620899  47.661677 2.351717   6  
   9  4   11   1   0    4      7     50.510431 1.083249  52.109705 0.405309  52.626133 3.384522   6  
  10  2   11   2   1    5      6     56.507734 1.950050  58.973276 0.405529  59.489738 2.518210   6  
  11  2   11   2   1    3      6     62.504999 1.949501  64.970553 0.287609  65.370367 2.635154   6  
  12  2   11   1   0    3      5     68.502351 1.733089  70.751312 0.088286  70.951174 3.051332   6  
  13  1   11   1   1    4      6     74.499555 1.482965  76.498649 0.355119  76.965105 3.034681   6  
  14  2   11   1   0    4      4     80.496896 1.733098  82.745879 0.000333  82.862443 3.134642   6  
  15  1   11   1   1    3      5     86.494122 1.649617  88.659815 0.227375  88.992988 3.001287   6  
  16  2   11   3   0    3      1     92.491421 1.633642  94.640488 0.282522  95.040258 2.951431   6  
  17  1   11   2   0    3      1     98.488676 1.516188 100.521090 0.286655 100.920920 3.067856   6  
  18  4   11   2   0    3      1    104.502682 2.149455 107.168148 0.347355 107.634505 2.368358   6  
  19  4   11   3   0    3      1    110.516563 1.666214 112.698908 0.954940 113.765094 2.251695   6  
  20  1   11   3   0    1      1    116.513852 2.382884 119.412556 0.714748 120.245515 1.768567   6  
  21  1   11   2   0    3      1    122.511129 1.932740 124.960024 0.806109 125.876272 2.135089   6  
  22  1   11   4   0    3      3    128.508487 1.999774 131.023997 0.575855 131.706982 2.301654   6  
  23  2   11   2   1    1      1    134.505690 2.016071 137.037874 0.389592 137.537669 2.468247   6  
  24  4   11   1   0    4      1    140.503025 1.000607 142.019012 0.855179 142.985240 3.017963   6  
  25  2   11   3   0   -1      1    146.500260 1.716125 148.732584 0.000000 149.448921 2.551562   6  
  26  2   11   1   0    3      2    152.497553 1.516691 154.529951 0.424223 155.063044 2.934776   6  
  27  1   11   1   1    3      1    158.494811 1.882858 160.893720 0.274930 161.276879 2.718106   6  
  28  3   11   3   1    2      1    164.492110 2.033322 167.040960 0.523880 167.673995 2.318388   6  
  29  1   11   1   1    3      3    170.489387 1.882594 172.888279 0.361674 173.354739 2.634747   6  
  30  1   11   2   0    3      3    176.486724 1.916329 178.918949 0.230162 179.268790 2.718087   6  
  31  3   11   4   0    3      2    182.517261 2.199179 185.232697 0.312298 185.665826 2.351668   6  
  32  2   11   3   0    5      2    188.514558 1.200058 190.230446 1.116259 191.463263 2.551515   6  
  33  2   11   1   0    6      5    194.511823 1.149838 196.177730 0.549829 196.844093 3.167960   6  
  34  3   11   3   1    1      3    200.509109 2.333066 203.357860 0.436936 203.907583 2.101758   6  
  35  3   11   3   1    3      1    206.506382 1.432955 208.455528 0.398399 208.971927 3.034684   6  
  36  3   11   2   0    4      1    212.503676 1.466627 214.486102 0.421916 215.019254 2.984639   6  
  37  1   11   1   1    3      7    218.500944 1.366437 220.383451 0.295490 220.799901 3.201274   6  
  38  1   11   1   1    3      3    224.498238 0.950231 225.964280 0.832346 226.913807 3.084653   6  
  39  3   11  -1   0    2      3    230.495506 2.499203 233.011047 0.527772 233.644081 2.351617   6  
  40  4   11   3   0    5      2    236.492852 1.133687 238.142062 1.136041 239.391536 2.601549   6  
  41  2   11   1   0    6      2    242.490065 0.849928 243.856111 0.942356 244.905656 3.084543   6  
  42  4   11   3   0    6      3    248.487345 0.700013 249.703473 0.652530 250.469780 3.517808   6  
