%% MetaTwinsTri_behave_Conf for '_notguess': starting at yinyuhang (       50.0000000000).0-Mar-2019 11:55:257.375045e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   11   4   1    5    2.498873 1.251261   3.864893 0.534629   4.514616 3.484471   6  
   2  1   11   1   1    5    8.512699 1.484767  10.111989 0.614638  10.845038 3.168005   6  
   3  2   11   2   1    5   14.510087 1.033420  15.659567 0.161584  15.942766 4.067541   6  
   4  1   11   1   1    5   20.490581 1.734559  22.373182 0.159671  22.639705 3.351074   6  
   5  2   11   3   0    4   26.504650 1.066846  27.687438 0.275362  28.070612 3.934264   6  
   6  2   11   4   0    4   32.501810 1.068423  33.684677 0.272574  34.067861 3.934302   6  
   7  2   11   2   1    5   38.515875 1.466289  40.098476 0.101775  40.315049 3.701041   6  
   8  3   11   4   0    2   44.496388 1.317910  45.929111 0.379111  46.428897 3.567665   6  
   9  3   11   4   0    3   50.493751 1.016557  51.626602 0.156511  51.893126 4.100869   6  
  10  4   11   2   0    2   56.507719 1.666587  58.356837 0.317227  58.790019 3.217947   6  
  11  3   11   3   1    4   62.504998 1.400651  64.037641 0.394979  64.554073 3.451177   6  
  12  1   11   1   1    4   68.502277 1.899542  70.551255 0.445669  71.117749 2.884635   6  
  13  3   11   3   1    3   74.499567 1.551213  76.165402 0.490993  76.765195 3.234599   6  
  14  1   11   1   1    4   80.496829 2.049480  82.662510 0.342312  83.112316 2.884745   6  
  15  1   11   4   0    3   86.510834 1.667809  88.293318 0.569024  88.976323 3.034691   6  
  16  2   11   3   0    4   92.491396 1.416552  94.024024 0.671616  94.807018 3.184506   6  
  17  1   11   1   1    6   98.505344 0.984371  99.621496 0.255384  99.988011 4.017553   6  
  18  4   11   4   1    5  104.502603 1.566499 106.185190 0.370912 106.668302 3.334549   6  
  19  1   11   1   1    4  110.499901 0.951306 111.582750 0.481668 112.182467 3.817663   6  
  20  3   11   3   1    4  116.497173 1.233353 117.846582 0.752607 118.712846 3.284426   6  
  21  3   11   3   1    3  122.494421 1.584248 124.210403 0.721250 125.043309 2.951395   6  
  22  3   11   3   1    3  128.508407 1.967008 130.590799 0.271407 130.973951 3.034675   6  
  23  3   11   4   0    3  134.505688 1.768902 136.388170 0.939087 137.437700 2.568224   6  
  24  4   11   3   0    3  140.486302 2.149692 142.751940 1.251648 144.117993 1.868389   6  
  25  4   11   4   1    3  146.500268 1.934032 148.566011 0.777505 149.465566 2.534877   6  
  26  2   11   4   0    4  152.497520 1.849542 154.463314 0.957429 155.529476 2.468285   6  
  27  4   11   3   0    5  158.511459 1.084514 159.710908 0.633214 160.460589 3.551103   6  
  28  2   11   4   0    3  164.492084 1.716454 166.324583 0.754199 167.190863 2.801297   6  
  29  1   11   1   1    3  170.489368 1.084246 171.755469 0.943581 172.804990 3.184617   6  
  30  3   11   3   1    5  176.503312 1.400081 178.019283 0.962385 179.102138 2.901400   6  
  31  4   11   4   1    3  182.500593 1.201367 183.816662 0.543216 184.466423 3.534395   6  
  32  1   11   4   0    5  188.514520 2.033038 190.663550 0.278412 191.063371 2.951380   6  
  33  4   11   4   1    5  194.495213 2.500901 197.110642 0.129203 197.360513 2.634915   6  
  34  4   11   4   1    3  200.509083 2.199648 202.824701 0.098406 203.041267 2.968058   6  
  35  3   11   3   1    4  206.506378 1.134254 207.772478 0.627102 208.505473 3.501130   6  
  36  1   11   1   1    4  212.503657 1.516539 214.169579 0.587848 214.869237 3.134634   6  
  37  2   11   4   0    5  218.500986 1.667483 220.283428 0.399561 220.799898 3.201272   6  
  38  2   11   4   0    4  224.498219 1.233309 225.864266 0.241243 226.214094 3.784356   6  
  39  3   11   3   1    3  230.512165 2.167495 232.811126 0.322711 233.244267 2.768132   6  
  40  2   11   3   0    5  236.509434 1.816378 238.458567 0.662608 239.241540 2.768121   6  
  41  2   11   3   0    4  242.490075 1.568247 244.172661 0.478944 244.772363 3.217988   6  
  42  3   11   1   0    5  248.504004 0.766726 249.436925 0.784055 250.336511 3.667709   6  
  43  2   11   4   0    5  254.501278 1.583308 256.200494 0.214414 256.533694 3.467820   6  
  44  1   11   1   1    5  260.515229 1.050979 261.748014 0.181444 262.047868 3.967586   6  
  45  1   11   3   0    4  266.495844 1.900394 268.511570 0.613169 269.244602 2.751361   6  
  46  4   11   4   1    3  272.493127 1.400758 274.025770 0.271907 274.408925 3.584420   6  
  47  4   11   3   0    5  278.507060 2.333299 280.955958 0.221816 281.289147 2.718149   6  
  48  1   11   1   1    4  284.504361 1.417810 286.037028 0.592392 286.736673 3.267899   6  
  49  4   11   3   0    4  290.501627 1.866275 292.484066 0.601403 293.200418 2.801317   6  
  50  1   11   1   1    3  296.498823 1.101431 297.764977 0.383438 298.264780 3.734418   6  
  51  3   11   3   1    5  302.496200 0.883499 303.512406 0.350335 303.978848 4.017570   6  
  52  2   11   2   1    2  308.510127 2.099600 310.775766 0.092661 310.975679 3.034704   6  
  53  4   11   3   0    2  314.490806 1.600571 316.206651 0.247945 316.573151 3.417822   6  
  54  3   11   3   1    5  320.504689 2.199364 322.820299 0.086803 323.020220 2.984660   6  
  55  3   11   3   1    6  326.501918 2.317522 328.934208 0.062658 329.117472 2.884724   6  
  56  4   11   3   0    5  332.499248 1.534050 334.165177 0.168160 334.448369 3.551106   6  
  57  1   11   1   1    6  338.496549 1.633956 340.245747 0.653654 341.012079 2.984707   6  
  58  2   11   2   1    5  344.493820 2.083206 346.692817 0.313972 347.125955 2.868037   6  
  59  2   11   4   0    3  350.507722 2.450493 353.106597 0.203856 353.423119 2.584857   6  
  60  4   11   1   0    5  356.505057 1.317471 357.987712 0.138105 358.237602 3.767588   6  
]; % This session completes at 20-Mar-2019 12:01:53, 364.293s after session start, 360s on 60 trials, totally 387.889s.

