%% MetaTwins_RDMsc_training for 'yinyuhang': starting at _nofeedback (       50.0000000000).0-Mar-2019 11:35:03 for '7.375045e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  12  3    4   0    0    6    2.499092   0    0  1.400228   4.015066 0.089702   4.214963  0   0    4.214963 0.784344   3  
   2  12  4    4   1    0    5    5.497717   0    0  1.533221   7.146965 0.230931   7.496792  0   0    7.496792 0.501168   3  
   3  12  4    3   0    0    4    8.496351   0    0  2.232981  10.845289 0.339712  11.295098  0   0   11.295098 0.701485   4  
   4  12  3    3   1    0    3   12.494530   0    0  1.483222  14.127136 0.264561  14.510283  0   0   14.510283 1.484489   4  
   5  12  1    1   1    0    4   16.509397   0    0  1.566635  18.241939 0.257469  18.608437  0   0   18.608437 1.401210   4  
   6  11  2    2   1    0    3   20.507572   0    0  1.666420  22.323442 0.372674  22.806530  0   0   22.806530 1.201263   4  
   7  11  3    3   1    0    4   24.505754   0    0  2.482814  27.104582 0.193916  27.404446  0   0   27.404446 0.601560   4  
   8  10  2   -1   0    0    3   28.503949   0    0  0.000000  31.019480 0.312938  31.452608  0   0   31.452608 0.551569   4  
   9  10  2    3   0    0    3   32.502135   0    0  2.266273  34.884391 0.069364  35.067640  0   0   35.067640 0.934729   4  
  10  10  1    3   0    0    2   36.500319   0    0  1.749804  38.366150 0.229416  38.715976  0   0   38.715976 1.284569   4  
  11  11  2    1   0    0    2   40.515167   0    0  2.099805  42.730833 0.109685  42.947403  0   0   42.947403 1.068019   4  
  12  11  2    4   0    0    3   44.496688   0    0  1.766450  46.379170 0.250573  46.745678  0   0   46.745678 1.251076   4  
  13  12  3    3   1    0    2   48.494888   0    0  2.482732  51.093731 0.337321  51.543500  0   0   51.543500 1.451592   5  
  14  12  1    2   0    0    2   53.492609   0    0  2.033071  55.641647 0.388743  56.141408  0   0   56.141408 0.851328   4  
  15  12  3    3   1    0    4   57.490812   0    0  1.799770  59.406613 0.392333  59.906393  0   0   59.906393 1.084504   4  
  16  12  3    2   0    0    1   61.488993   0    0  2.017279  63.621366 0.574475  64.304389  0   0   64.304389 0.684754   4  
  17  12  4    4   1    0    2   65.503841   0    0  1.633126  67.253067 0.295131  67.652873  0   0   67.652873 1.351166   4  
  18  12  1    1   1    0    4   69.502034   0    0  1.599907  71.217908 0.431374  71.767664  0   0   71.767664 1.234560   4  
  19  11  3    3   1    0    2   73.500209   0    0  1.783130  75.399365 0.868679  76.382243  0   0   76.382243 0.618198   4  
  20  11  2    3   0    0    3   77.498396   0    0  2.499352  80.113887 0.075832  80.297135  0   0   80.297135 0.701495   4  
  21  11  3    2   0    0    1   81.496598   0    0  2.432821  84.045447 0.225245  84.378636  0   0   84.378636 0.618182   4  
  22  12  3    4   0    0    3   85.494752   0    0  1.283369  86.894153 0.473468  87.477209  0   0   87.477209 0.517792   3  
  23  12  2   -1   0    0    2   88.510066   0    0  0.000000  91.025616 0.119687  91.258844  0   0   91.258844 0.751484   4  
  24  12  4    4   1    0    3   92.508251   0    0  1.782974  94.407403 0.421071  94.940491  0   0   94.940491 1.067993   4  
  25  12  3    3   1    0    4   96.506441   0    0  2.182869  98.805415 0.303541  99.221896  0   0   99.221896 0.784806   4  
  26  11  1    1   1    0    2  100.504648   0    0  1.616435 102.253862 0.324628 102.686977  0   0  102.686977 1.317879   4  
  27  11  1    4   0    0    3  104.502824   0    0  1.966147 106.585229 0.869078 107.568098  0   0  107.568098 1.434990   5  
  28  11  4   -1   0    0    4  109.500567   0    0  0.000000 112.016086 0.164233 112.299288  0   0  112.299288 0.701505   4  
