%% MetaTwinsTri_behave_Conf for '_guess': starting at zhaojiaxing (       50.0000000000).6-Mar-2019 12:47:127.375105e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   11   3   0    4      7      2.498863 1.699386   4.714535 1.282282   6.113911 1.885179   6  
   2  3   11   2   0    4      2      8.496159 1.816048  10.828445 0.708504  11.661398 2.334928   6  
   3  4   11   3   0    1      3     14.493447 2.432536  17.442121 0.922625  18.491646 1.501938   6  
   4  1   11   3   0    2      4     20.490745 2.199280  23.206180 0.395775  23.722623 2.268210   6  
   5  3   11   3   1    4      4     26.504690 1.866164  28.886935 0.793723  29.803204 2.201715   6  
   6  1   11   3   0    1      2     32.501973 2.415821  35.433992 0.302814  35.850469 2.151735   6  
   7  3   11  -1   0    1      3     38.499260 2.498993  41.014802 0.564180  41.697816 2.301682   6  
   8  4   11   3   0    4      4     44.496556 1.816159  46.828834 1.204241  48.161573 1.835213   6  
   9  3   11   3   1    4      5     50.510515 1.732891  52.759493 0.287324  53.159322 2.851423   6  
  10  2   11  -1   0    1      3     56.507799 2.482549  59.006688 0.536164  59.656379 2.351651   6  
  11  3   11   3   1    4      6     62.505085 1.516305  64.537506 0.431491  65.087261 2.918054   6  
  12  2   11   3   0    2      4     68.502379 2.049328  71.067884 0.795439  71.984134 2.018431   6  
  13  3   11   4   0    1      3     74.499665 0.000000  77.531636 0.000749  77.648254 2.351557   6  
  14  4   11   3   0    4      4     80.496956 1.782775  82.795912 0.496175  83.412300 2.584768   6  
  15  1   11  -1   0    1      2     86.494259 0.000000  89.026455 0.346514  89.492902 2.501404   6  
  16  1   11   3   0    4      5     92.508198 1.949562  94.973745 0.488809  95.590116 2.418310   6  
  17  1   11   2   0    2      4     98.505492 2.065999 101.087651 0.594594 101.803995 2.201725   6  
  18  2   11   3   0    2      3    104.502784 2.182507 107.201557 0.501029 107.817962 2.185052   6  
  19  2   11  -1   0    1      2    110.500070 2.499051 113.015615 0.559559 113.698630 2.301662   6  
  20  4   11   4   1    4      5    116.497353 1.782658 118.796327 0.590991 119.512668 2.484923   6  
  21  1   11   2   0    4      5    122.494643 1.366240 124.377143 1.014338 125.509959 2.484925   6  
  22  3   11   3   1    4      5    128.491940 1.765982 130.774246 0.476071 131.373981 2.618160   6  
  23  4   11   3   0    1     -1    134.489237 2.482384 137.487874 0.292879 137.904359 2.085027   6  
  24  3   11   2   0    1      4    140.503179 2.299061 143.318569 0.000926 143.435190 2.568109   6  
  25  4   11   3   0    2      4    146.500482 2.065846 149.082638 0.505647 149.715683 2.284860   6  
  26  4   11   4   1    4      5    152.514416 1.516260 154.546832 0.466980 155.129898 2.884750   6  
  27  1   11   2   0    4      5    158.511715 1.249562 160.277578 0.509960 160.910635 3.101309   6  
  28  4   11   1   0    4      4    164.509000 1.499588 166.524752 0.477139 167.124485 2.884739   6  
  29  3   11   2   0    2      3    170.506296 2.165875 173.188407 0.288310 173.604888 2.401630   6  
  30  2   11  -1   0    1      2    176.503581 2.499201 179.019123 0.415595 179.552216 2.451592   6  
  31  4   11   4   1    2      5    182.500871 2.132636 185.149679 0.326315 185.599467 2.401640   6  
  32  3   11   1   0    2      1    188.498164 2.065894 191.080335 0.224678 191.430165 2.568206   6  
  33  4   11   4   1    2      4    194.495456 2.149232 197.160911 0.420592 197.710673 2.284955   6  
  34  3   11   2   0    1      4    200.492737 2.365944 203.374778 0.524167 204.024474 1.968399   6  
  35  1   11   1   1    4      3    206.490046 1.866241 208.872287 0.475642 209.472014 2.518091   6  
  36  2   11   2   1    4      3    212.503974 1.649546 214.669662 0.301528 215.086154 2.918076   6  
  37  3   11   2   0    2      2    218.501277 2.132744 221.150075 0.348845 221.616530 2.384972   6  
  38  4   11   3   0    1      4    224.498565 2.465679 227.480551 0.266541 227.863721 2.135073   6  
  39  2   11   4   0    2      4    230.512509 2.199385 233.227946 0.289691 233.644428 2.368309   6  
  40  3   11   3   1    2      3    236.509802 2.349228 239.375174 0.822298 240.324758 1.685284   6  
  41  1   11   1   1    1      3    242.507095 2.482554 245.505734 0.000812 245.622351 2.384974   6  
  42  3   11   4   0    1      3    248.504384 2.415911 251.436389 0.338473 251.902846 2.101760   6  
  43  2   11   4   0    4      4    254.501671 1.433035 256.450805 0.845241 257.417030 2.584841   6  
  44  4   11   4   1    4      5    260.498968 1.083179 262.098262 0.406434 262.631334 3.367774   6  
  45  1   11   4   0    4      5    266.496257 1.832856 268.845187 0.022186 268.995127 3.001236   6  
  46  2   11   2   1    2      4    272.493541 2.282633 275.292281 0.326992 275.742070 2.251542   6  
  47  2   11   1   0    1     -1    278.507496 0.000000 281.522800 0.000872 281.639419 2.368294   6  
  48  2   11   3   0    1      3    284.504787 2.399269 287.420129 0.192191 287.736651 2.268359   6  
  49  1   11   2   0    4      4    290.502073 1.632936 292.651102 0.384936 293.150880 2.851412   6  
  50  3   11   4   0    1      3    296.499368 2.499209 299.514660 0.000950 299.631283 2.368313   6  
  51  4   11   4   1    4      5    302.496658 1.333032 304.345814 0.332828 304.795621 3.201257   6  
  52  2   11   4   0    4      5    308.493943 1.116395 310.126546 0.496070 310.742937 3.251233   6  
  53  1   11   1   1    4      7    314.491243 1.616349 316.623591 0.496173 317.239992 2.751460   6  
  54  2   11   2   1    2      4    320.505191 2.049398 323.070692 1.022086 324.220190 1.785148   6  
  55  1   11   1   1    4      6    326.502466 1.666293 328.684827 0.453742 329.251233 2.751367   6  
  56  4   11   4   1    4      5    332.499766 1.432850 334.448883 0.232178 334.798733 3.201116   6  
  57  1   11   1   1    4      5    338.513722 1.816086 340.845995 0.281124 341.245827 2.768113   6  
  58  4   11   4   1    4      7    344.510998 1.133092 346.160260 0.405862 346.693357 3.317876   6  
  59  1   11   1   1    2      4    350.508291 2.166056 353.190416 0.349747 353.656877 2.351642   6  
  60  2   11   2   1    4      6    356.505598 1.466346 358.488021 0.351935 358.954470 3.051341   6  
]; % This session completes at 26-Mar-2019 12:53:39, 364.004s after session start, 360s on 60 trials, totally 386.529s.

