%% MetaTwins_RDMsc_training for 'zhaojiayue': starting at _feedback (       50.0000000000).6-Mar-2019 11:36:07 for '7.375105e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  13  2    2   1    0    8    2.498855   0    0  1.000842   3.681668 1.405555   5.197632 0.999561   6.197192   7.196740 0.802343   6  
   2  13  4    2   0    0    6    8.496154   0    0  1.501130  10.162060 1.078495  11.361509 0.999552  12.361062  13.360596 0.635784   6  
   3  13  3    2   0    0    5   14.493419   0    0  1.566579  16.242645 1.126128  17.475404 0.999541  18.474945  19.474505 0.519110   6  
   4  14  2    2   1    0    1   20.490721   0    0  2.450145  23.122850 1.297929  24.538869 0.999544  25.538413  26.537956 1.452987   8  
   5  14  3    2   0    0    5   28.503732   0    0  1.749882  30.452868 1.195381  31.768917 0.999545  32.768462  33.768027 1.235851   7  
   6  14  2    1   0    0    7   35.500569   0    0  1.732960  37.399676 1.541522  39.048944 0.999567  40.048511  41.048067 0.952739   7  
   7  15  3    2   0    0   -1   42.497396   0    0  1.749748  44.446385 0.000000  46.445640 0.999517  47.445157  48.444711 0.552924   7  
   8  15  3    2   0    0    8   49.494212   0    0  1.283439  50.943561 1.700424  52.759427 0.999529  53.758956  54.758505 1.235920   7  
   9  15  2    2   1    0    8   56.507697   0    0  1.983055  58.690058 1.479813  60.289326 0.999554  61.288880  62.288425 0.719509   7  
  10  15  4    3   0    0    1   63.504541   0    0  2.433765  66.170031 1.465110  67.752622 0.999524  68.752147  69.751710 1.253052   8  
  11  15  3    3   1    0    1   71.500908   0    0  2.216264  73.866534 1.076607  75.049311 0.999546  76.048857  77.048405 0.952730   7  
  12  15  2    4   0    0    5   78.514415   0    0  2.367352  81.063238 1.677974  82.862443 0.999524  83.861967  84.861519 1.153108   8  
  13  15  1    1   1    0    8   86.510774   0    0  1.816457  88.459903 1.892355  90.458980 0.999560  91.458540  92.458087 0.552912   7  
  14  15  1    2   0    0   -1   93.507606   0    0  2.132892  95.789909 0.000000  97.789012 0.999539  98.788551  99.788099 1.219741   8  
  15  15  4   -1   0    0    1  101.503979   0    0  0.000000 104.019509 0.128415 104.252743 0.999536 105.252279 106.251820 0.752390   6  
  16  15  3    3   1    0    5  107.501260   0    0  1.767245 109.467057 1.414431 110.999685 0.999531 111.999215 112.998756 1.002725   7  
  17  14  4    4   1    0    8  114.498102   0    0  1.466666 116.114027 1.201630 117.430089 0.999543 118.429631 119.429184 0.569132   6  
  18  14  1    2   0    0    6  120.495371   0    0  1.684130 122.361197 1.089718 123.560645 0.999557 124.560201 125.559726 1.435861   7  
  19  14  1    2   0    0    6  127.508857   0    0  2.166304 129.841125 1.176924 131.123906 0.999524 132.123431 133.122993 0.886081   7  
  20  15  2    3   0    0    5  134.505680   0    0  1.650975 136.338189 1.496772 137.954129 0.999530 138.953659 139.953212 1.052693   7  
  21  15  3    2   0    0    5  141.502501   0    0  1.599852 143.251712 1.378485 144.734371 0.999563 145.733934 146.733475 1.269263   7  
  22  16  2    4   0    0    7  148.499328   0    0  1.733143 150.381828 1.631831 152.131022 0.999565 153.130587 154.130118 0.869455   7  
  23  16  4    4   1    0    7  155.496156   0    0  2.232936 157.895086 1.384064 159.394403 0.999544 160.393947 161.393493 0.602908   7  
  24  16  4    4   1    0    8  162.493003   0    0  1.534059 164.192232 1.306573 165.608258 0.999538 166.607796 167.607340 1.385889   7  
  25  14  2    2   1    0    6  169.489815   0    0  2.149777 171.822101 1.497071 173.438036 0.999554 174.437590 175.437139 0.552844   7  
  26  14  1    4   0    0    7  176.503311   0    0  1.683926 178.335817 0.868356 179.318715 0.999543 180.318259 181.317787 0.685759   6  
  27  14  4    4   1    0    7  182.500585   0    0  0.950094 183.566770 0.979703 184.666266 0.999549 185.665815 186.665369 1.335338   6  
  28  14  1    4   0    0    8  188.497878   0    0  0.984444 189.647378 1.099882 190.863478 0.999540 191.863018 192.862548 1.135552   6  
  29  14  1    4   0    0    7  194.495154   0    0  1.116611 195.744598 0.903557 196.760785 0.999547 197.760331 198.759893 1.235323   6  
  30  15  2    4   0    0    6  200.492441   0    0  1.651061 202.291610 1.699205 204.107473 0.999521 205.106995 206.106563 0.886084   7  
  31  15  4    4   1    0    8  207.505921   0    0  0.916846 208.538751 0.891652 209.538330 0.999547 210.537877 211.537433 1.468714   6  
  32  15  4    4   1    0    7  213.503198   0    0  1.100089 214.752665 0.621918 215.485650 0.999535 216.485185 217.484711 0.518714   5  
  33  14  3    2   0    0    5  218.500916   0    0  1.950659 220.616674 0.944003 221.666175 0.999542 222.665716 223.665264 1.335926   7  
  34  14  1    4   0    0    7  225.514418   0    0  1.416540 227.047066 1.053578 228.213215 0.999551 229.212766 230.212308 0.802339   6  
  35  15  3   -1   0    0   -1  231.511723   0    0  0.000000 234.027237 0.000000 236.026329 0.999541 237.025869 238.025419 0.986542   8  
  36  15  4    4   1    0    6  239.508084   0    0  1.233317 240.874130 1.266066 242.256836 0.999547 243.256383 244.255927 0.752372   6  
  37  15  1    4   0    0    5  245.505373   0    0  2.084175 247.737675 1.020219 248.870510 0.999545 249.870055 250.869592 1.136001   7  
  38  15  4    4   1    0    7  252.502193   0    0  1.266659 253.934905 0.868994 254.917759 0.999543 255.917302 256.916866 1.085551   6  
  39  15  1    1   1    0    8  258.499478   0    0  1.384154 260.032113 1.895770 262.047873 0.999524 263.047396 264.046954 0.952757   7  
  40  14  4    4   1    0    7  265.496297   0    0  1.133421 266.795722 0.952623 267.861893 0.999544 268.861437 269.860984 1.135546   6  
  41  14  2    4   0    0    5  271.493593   0    0  1.817630 273.459371 1.321318 274.892049 0.999525 275.891574 276.891126 1.102669   7  
  42  14  3    4   0    0    5  278.507063   0    0  1.799579 280.489533 1.081468 281.688969 0.999542 282.688511 283.688070 1.319230   7  
  43  15  1    1   1    0    8  285.503891   0    0  1.100142 286.736665 0.811739 287.669586 0.999532 288.669118 289.668682 1.335443   6  
  44  15  3    1   0    0    8  291.501184   0    0  1.167752 292.800582 0.671839 293.583577 0.999545 294.583122 295.582658 1.418708   6  
  45  15  4    2   0    0    1  297.498460   0    0  1.649643 299.380819 0.958951 300.447140 0.999522 301.446662 302.446217 0.552434   6  
  46  16  2    4   0    0    5  303.495749   0    0  2.200638 305.844704 1.434852 307.393978 0.999539 308.393517 309.393060 0.602909   7  
  47  16  2    3   0    0    7  310.492558   0    0  1.549936 312.175104 1.202545 313.491200 0.999557 314.490756 315.490309 0.502401   6  
  48  18  3    3   1    0    7  316.489854   0    0  1.883978 318.505605 1.078870 319.705039 0.999566 320.704605 321.704147 1.285939   7  
  49  18  3    3   1    0    7  323.503320   0    0  1.983065 325.602378 0.589657 326.302068 0.999542 327.301610 328.301174 0.702277   6  
  50  16  2    1   0    0    5  329.500618   0    0  2.300673 331.949503 1.242104 333.298899 0.999546 334.298445 335.297979 0.702882   7  
  51  16  3    1   0    0    7  336.497449   0    0  1.649725 338.296639 0.752128 339.162897 0.999557 340.162454 341.161997 0.835518   6  
  52  18  1    1   1    0    7  342.494734   0    0  0.884747 343.544254 0.627490 344.277258 0.999542 345.276800 346.276341 0.718587   5  
  53  18  4    1   0    0    5  347.509110   0    0  1.616640 349.258353 1.239041 350.607715 0.999558 351.607273 352.606813 1.402535   7  
  54  18  3    3   1    0    5  354.505942   0    0  1.933147 356.588271 1.096670 357.804458 0.999545 358.804003 359.803561 1.202641   7  
  55  18  2    2   1    0    7  361.502773   0    0  1.200071 362.885492 0.733003 363.735100 0.999547 364.734646 365.734193 1.268835   6  
  56  16  1    1   1    0    8  367.500066   0    0  0.834301 368.449639 0.441045 368.999375 0.999560 369.998936 370.998465 1.001818   5  
  57  16  2    2   1    0    8  372.514449   0    0  2.066272 374.746722 0.664889 375.529769 0.999531 376.529300 377.528845 1.485829   7  
  58  14  1    1   1    0    8  379.511282   0    0  0.834246 380.477532 0.803557 381.393763 0.999550 382.393312 383.392856 0.618667   5  
  59  14  1    1   1    0    8  384.509002   0    0  1.699841 386.324857 0.507245 386.941244 0.999551 387.940795 388.940342 1.068898   6  
  60  13  4    1   0    0    5  390.506302   0    0  1.450918 392.072261 1.159035 393.338388 0.999541 394.337929 395.337430 0.669095   6  
]; % This session completes at 26-Mar-2019 11:42:54, 398.005s after session start, 394s on 60 trials, totally 406.713s, correctness is 45.000%.

