%% MetaTwins_RDMsc_training for 'zhaojiayue': starting at _nofeedback (       50.0000000000).6-Mar-2019 11:44:22 for '7.375105e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  20  3    3   1    0    6    2.499147   0    0  1.600421   4.298315 1.606353   6.014185  0   0    6.014185 0.985170   5  
   2  20  2    2   1    0    8    7.496855   0    0  0.916872   8.563058 0.616516   9.296062  0   0    9.296062 0.701012   3  
   3  18  3    2   0    0    7   10.495506   0    0  1.350074  11.994821 0.954408  13.061017  0   0   13.061017 0.934618   4  
   4  18  1    2   0    0    2   14.493688   0    0  2.132933  16.842662 1.213321  18.175356  0   0   18.175356 0.818492   5  
   5  20  3    2   0    0    5   19.491426   0    0  1.884040  21.523844 0.726383  22.356799  0   0   22.356799 0.634863   4  
   6  20  1    1   1    0    8   23.489620   0    0  0.934334  24.539147 0.497537  25.155512  0   0   25.155512 0.834337   3  
   7  20  2    2   1    0    8   26.488252   0    0  0.917564  27.537769 0.618833  28.270782  0   0   28.270782 0.717709   3  
   8  18  4    1   0    0    5   29.503558   0    0  2.133773  31.769200 0.801965  32.685441  0   0   32.685441 1.318223   5  
   9  18  1    1   1    0    8   34.501285   0    0  0.850361  35.484163 0.423240  36.017262  0   0   36.017262 0.984265   3  
  10  18  3    2   0    0    5   37.499920   0    0  1.733112  39.415737 1.268608  40.798428  0   0   40.798428 1.201712   5  
  11  18  4    4   1    0    8   42.497662   0    0  1.483274  44.163580 0.703463  44.979873  0   0   44.979873 1.017848   4  
  12  18  1    1   1    0    7   46.512509   0    0  1.583425  48.261722 0.729481  49.111330  0   0   49.111330 0.901418   4  
  13  16  1    1   1    0    8   50.510702   0    0  0.866822  51.526898 0.750627  52.393183  0   0   52.393183 0.617755   3  
  14  16  3    2   0    0    5   53.509338   0    0  2.166302  55.874960 0.881678  56.874476  0   0   56.874476 1.135119   5  
  15  16  4    4   1    0    7   58.507067   0    0  1.216751  59.856424 1.123227  61.089235  0   0   61.089235 0.918056   4  
  16  16  4    4   1    0    8   62.505259   0    0  1.150913  63.804670 0.536442  64.454382  0   0   64.454382 0.551112   3  
  17  14  4    1   0    0    5   65.503906   0    0  1.867298  67.536317 1.164166  68.819125  0   0   68.819125 1.185001   5  
  18  14  2    2   1    0    7   70.501622   0    0  1.550072  72.250840 1.178745  73.550251  0   0   73.550251 1.451602   5  
  19  14  1    2   0    0    8   75.499376   0    0  1.384322  77.065298 0.369272  77.548440  0   0   77.548440 1.451151   4  
  20  14  2    2   1    0    8   79.497550   0    0  0.850114  80.513796 0.477340  81.096825  0   0   81.096825 0.900953   3  
  21  14  2    2   1    0    8   82.496203   0    0  1.966317  84.678567 0.504685  85.294932  0   0   85.294932 0.701508   4  
  22  13  3    2   0    0    7   86.511033   0    0  1.716467  88.443446 1.744383  90.292660  0   0   90.292660 0.718611   5  
  23  13  3    3   1    0    1   91.508782   0    0  2.450632  94.107609 1.024041  95.240426  0   0   95.240426 0.768583   5  
  24  13  1    2   0    0   -1   96.506519   0    0  1.850619  98.555551 0.000000 100.554690  0   0  100.554690 1.452040   6  
  25  13  2    2   1    0    7  102.503793   0    0  1.266846 103.969817 0.973456 105.052631  0   0  105.052631 0.951397   4  
  26  12  4    1   0    0    1  106.501981   0    0  2.267200 108.950885 0.865496 109.933759  0   0  109.933759 1.068468   5  
  27  12  4    4   1    0    6  111.499707   0    0  1.350020 112.999067 1.225402 114.331762  0   0  114.331762 0.668184   4  
  28  12  2    2   1    0    5  115.497912   0    0  1.917227 117.630296 1.007769 118.746430  0   0  118.746430 1.251697   5  
  29  11  4    4   1    0    7  120.495635   0    0  1.350022 121.994966 0.835047 122.944526  0   0  122.944526 1.051291   4  
  30  11  3   -1   0    0    4  124.493829   0    0  0.000000 127.009347 0.000602 127.125971  0   0  127.125971 0.868093   4  
  31  11  2    2   1    0    5  128.492027   0    0  1.166691 129.858092 1.037219 131.007547  0   0  131.007547 0.984670   4  
  32  10  4    4   1    0    1  132.490206   0    0  2.050395 134.705873 0.784149 135.605455  0   0  135.605455 1.384974   5  
  33  10  3    1   0    0    1  137.487927   0    0  2.316220 139.970157 1.360733 141.436164  0   0  141.436164 0.551840   5  
  34  10  2    2   1    0    3  142.502271   0    0  1.467405 144.184902 1.352081 145.650901  0   0  145.650901 1.351649   5  
  35  10  2    3   0    0    4  147.500052   0    0  2.116212 149.732373 0.000867 149.848996  0   0  149.848996 1.151134   4  
  36  10  1    2   0    0    4  151.498254   0    0  2.032997 153.697254 1.228875 155.046638  0   0  155.046638 0.951793   5  
  37  11  3    3   1    0    4  156.512640   0    0  2.149574 158.778281 1.229804 160.127664  0   0  160.127664 0.885202   5  
  38  11  1    4   0    0    3  161.510374   0    0  1.817467 163.476136 1.981901 165.575212  0   0  165.575212 1.435425   6  
  39  11  1    1   1    0    8  167.507653   0    0  0.966842 168.640481 0.581208 169.340151  0   0  169.340151 0.667736   3  
  40  11  2    4   0    0    5  170.506301   0    0  1.649969 172.288849 1.216192 173.621550  0   0  173.621550 1.384999   5  
  41  11  3    2   0    0    5  175.504022   0    0  1.733219 177.436337 1.020382 178.569325  0   0  178.569325 1.434932   5  
  42  12  1    2   0    0    5  180.501778   0    0  2.151193 182.867386 0.792276 183.766954  0   0  183.766954 1.235065   5  
  43  12  3    4   0    0    4  185.499507   0    0  2.382788 188.015041 1.503015 189.630956  0   0  189.630956 1.368770   6  
  44  13  2    2   1    0    7  191.496779   0    0  1.500959 193.179313 0.739466 194.028975  0   0  194.028975 0.968040   4  
  45  13  4    4   1    0    7  195.494978   0    0  1.200895 196.844358 0.389125 197.344136  0   0  197.344136 0.651070   3  
  46  12  4    2   0    0    5  198.510279   0    0  1.934230 200.659313 1.087987 201.858757  0   0  201.858757 1.151765   5  
  47  12  4    4   1    0    5  203.507998   0    0  1.849768 205.540428 0.972048 206.623251  0   0  206.623251 1.384960   5  
  48  12  2    2   1    0    7  208.505744   0    0  1.700715 210.388221 0.721665 211.221184  0   0  211.221184 0.784790   4  
  49  11  1    2   0    0    5  212.503929   0    0  1.617372 214.269792 1.156816 215.535894  0   0  215.535894 1.468264   5  
  50  11  1    4   0    0    6  217.501668   0    0  1.633070 219.284183 1.441282 220.833474  0   0  220.833474 1.168412   5  
  51  12  1    1   1    0    8  222.499402   0    0  2.100368 224.731722 0.973002 225.814569  0   0  225.814569 1.185049   5  
  52  12  4    4   1    0    8  227.497123   0    0  1.016654 228.663291 0.442281 229.213006  0   0  229.213006 0.784354   3  
  53  11  4    4   1    0    5  230.495772   0    0  1.733152 232.411476 1.241395 233.760955  0   0  233.760955 1.235049   5  
  54  11  3    3   1    0    4  235.493507   0    0  2.416216 238.092315 1.194668 239.391732  0   0  239.391732 0.601919   5  
  55  10  2    3   0    0    1  240.491256   0    0  2.500740 243.156703 0.874873 244.139588  0   0  244.139588 0.851883   5  
  56  10  2    1   0    0    1  245.488988   0    0  1.667738 247.304828 0.762154 248.187797  0   0  248.187797 0.801361   4  
