%% MetaTwinsTri_behave_Conf for '_notguess': starting at chengchuan (       50.0000000000).9-Mar-2019 12:42:247.375135e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   16   3   0    7    2.498865 2.399552   5.014404 0.490249   5.614125 2.384972   6  
   2  2   16   4   0    1    8.496163 2.017427  10.661869 0.989601  11.761350 2.235040   6  
   3  1   16   3   0    7   14.493445 1.333346  15.942774 0.346167  16.409231 3.584342   6  
   4  2   16   2   1    6   20.490735 1.217536  21.823459 0.578539  22.523148 3.467794   6  
   5  3   16   3   1    1   26.504654 2.232929  28.853598 0.611560  29.586603 2.418286   6  
   6  4   16   4   1    8   32.501946 1.117600  33.734754 0.128815  33.984610 4.017578   6  
   7  4   16   3   0    7   38.499214 1.100135  39.715353 0.594014  40.415019 3.584422   6  
   8  3   16   4   0    8   44.496507 0.951935  45.579348 0.448975  46.145759 3.850979   6  
   9  1   16   2   0    1   50.510441 2.282969  52.909355 0.189570  53.209216 2.801459   6  
  10  3   16   2   0    7   56.507741 1.167933  57.807139 0.402159  58.323582 3.684379   6  
  11  1   16   1   1    8   62.504996 1.049953  63.704497 0.344606  64.170938 3.834295   6  
  12  1   16   3   0    1   68.502297 2.150189  70.767944 0.567465  71.450958 2.551571   6  
  13  3   16   2   0    1   74.499565 1.599976  76.215472 1.267066  77.598166 2.401532   6  
  14  3   16   1   0    1   80.496858 2.300477  82.912433 0.801589  83.828676 2.168384   6  
  15  1   16   2   0    5   86.510787 1.899762  88.576536 0.706136  89.392826 2.618186   6  
  16  3   16   3   1    1   92.508073 2.034039  94.657105 0.704652  95.473399 2.534924   6  
  17  3   16   4   0    1   98.505360 1.966213 100.587766 0.745797 101.454025 2.551563   6  
  18  2   16   4   0    8  104.502643 1.017836 105.635463 0.174419 105.918666 4.084201   6  
  19  2   16   4   0    8  110.499915 0.866719 111.482806 0.525230 112.115849 3.884291   6  
  20  1   16   3   0    7  116.497203 1.583201 118.196444 0.438075 118.746176 3.251253   6  
  21  4   16   4   1    8  122.494491 0.951176 123.560674 0.596256 124.277016 3.717698   6  
  22  4   16   4   1    6  128.491763 1.166737 129.791176 0.559971 130.457530 3.534391   6  
  23  4   16   4   1    8  134.489050 1.167594 135.771797 0.678893 136.571437 3.417844   6  
  24  2   16   4   0    1  140.486313 2.316045 142.918584 0.600188 143.634896 2.351509   6  
  25  3   16   2   0    7  146.516923 0.850929 147.499812 0.736807 148.349425 3.667726   6  
  26  1   16   4   0    6  152.514195 1.633197 154.313393 0.517760 154.946431 3.067997   6  
  27  4   16   4   1    7  158.511487 1.384617 160.010810 0.752156 160.877077 3.134633   6  
  28  2   16   4   0    2  164.508758 2.032955 166.657813 0.829685 167.607359 2.401641   6  
  29  3   16   4   0    1  170.506062 2.217127 172.854991 0.380563 173.354760 2.651512   6  
  30  2   16   4   0    1  176.503317 2.432846 179.052167 0.033162 179.202115 2.801447   6  
  31  2   16   2   1    6  182.500612 1.884220 184.516363 0.324038 184.949513 3.051336   6  
  32  2   16   4   0    1  188.497918 1.900121 190.513659 0.559949 191.180011 2.818031   6  
  33  3   16   2   0    6  194.495174 2.284082 196.960729 0.531589 197.610437 2.384973   6  
  34  3   16  -1   0    1  200.492440 0.000000 203.008003 0.035463 203.157914 2.834603   6  
  35  4   16   2   0    5  206.506400 1.134283 207.755841 0.662698 208.538822 3.467800   6  
  36  4   16   3   0    6  212.503665 1.200354 213.819745 0.457888 214.386177 3.617722   6  
  37  4   16   4   1    8  218.501011 0.901156 219.517168 0.447692 220.083584 3.917625   6  
  38  4   16   4   1    2  224.498222 2.316032 226.947138 0.729453 227.796741 2.201721   6  
  39  2   16   3   0    5  230.495528 1.551050 232.211410 0.862810 233.194297 2.801444   6  
  40  2   16   4   0    8  236.492788 1.016801 237.642284 0.369848 238.125396 3.867632   6  
  41  1   16   2   0    7  242.506744 1.251804 243.889449 0.746901 244.755725 3.251248   6  
  42  4   16   4   1    8  248.504022 0.800161 249.420252 0.442212 249.970024 4.034142   6  
  43  4   16   4   1    6  254.501302 1.050125 255.717452 0.484072 256.317164 3.684191   6  
  44  4   16   2   0    5  260.498588 1.818224 262.431055 0.622136 263.164057 2.834755   6  
  45  4   16   4   1    5  266.512511 1.283296 267.911884 0.610878 268.628248 3.384496   6  
  46  3   16  -1   0    1  272.509812 0.000000 275.025334 0.004777 275.141948 2.868094   6  
  47  2   16   3   0    5  278.507079 1.216795 279.889796 0.750533 280.756067 3.251244   6  
  48  1   16   2   0    2  284.504374 2.384088 287.003239 0.768824 287.886169 2.118421   6  
  49  2   16   2   1    6  290.501646 1.450132 292.100937 0.849011 293.067151 2.934723   6  
  50  3   16   4   0    7  296.498937 1.134356 297.765033 0.767618 298.647963 3.351188   6  
  51  1   16   3   0    6  302.496206 0.966777 303.662378 0.505437 304.278727 3.717662   6  
  52  4   16   2   0    7  308.493479 0.866763 309.476371 0.430846 310.026133 3.967576   6  
  53  1   16   4   0    7  314.490772 1.716611 316.339940 0.533438 316.989669 3.001268   6  
  54  3   16   3   1    7  320.488067 1.217662 321.870767 0.370952 322.353893 3.634363   6  
  55  1   16   2   0    6  326.501986 1.116589 327.734775 0.619482 328.467806 3.534413   6  
  56  2   16   4   0    7  332.499284 1.100906 333.715401 0.993531 334.814896 3.184614   6  
  57  1   16   2   0    7  338.513204 1.166741 339.812640 0.700206 340.628925 3.384509   6  
  58  3   16   1   0    7  344.510518 1.300870 345.943197 0.708815 346.759482 3.251240   6  
  59  2   16   4   0    8  350.507765 1.333363 351.957119 0.398293 352.473565 3.534441   6  
  60  1   16   2   0    7  356.505068 2.417014 359.053906 0.840506 360.003486 2.001807   6  
]; % This session completes at 29-Mar-2019 12:48:44, 364.003s after session start, 360s on 60 trials, totally 380.415s.

