%% MetaTwinsTri_behave_Conf for '_guess': starting at chengye (       50.0000000000).9-Mar-2019 12:20:517.375135e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   16   3   0    6      6      2.498855 1.216514   4.231409 1.218501   5.564155 2.434931   6  
   2  4   16   4   1    6      8      8.496154 1.199736  10.212052 1.397531  11.728027 2.268326   6  
   3  4   16   3   0   -1      1     14.493453 1.349803  16.359264 0.000000  18.358314 1.635323   6  
   4  3   16   1   0    4      8     20.490732 1.599509  22.606436 1.214785  23.939172 2.051714   6  
   5  2   16   4   0    6      8     26.504683 0.983163  28.003994 1.028078  29.153487 2.851349   6  
   6  2   16   2   1    2      2     32.501970 2.316006  35.334027 0.779170  36.233619 1.768499   6  
   7  4   16   4   1    6      8     38.499264 0.966526  39.981903 0.740041  40.848208 3.151184   6  
   8  3   16   3   1    7      7     44.496551 1.466270  46.478983 0.967543  47.561849 2.434787   6  
   9  3   16   1   0    6      5     50.493844 1.716155  52.726169 0.886365  53.742383 2.251545   6  
  10  3   16   3   1    6      6     56.491146 1.433210  58.440261 1.244884  59.806293 2.184907   6  
  11  2   16   4   0    7      8     62.505087 0.999863  64.021055 0.854178  64.987300 3.018011   6  
  12  1   16   1   1    2      5     68.502367 1.849412  70.867976 0.958989  71.950811 2.051781   6  
  13  4   16   4   1    6      8     74.516319 1.016406  76.048955 1.312622  77.481649 2.534891   6  
  14  1   16   3   0    4      5     80.513609 1.649730  82.679304 1.038858  83.845447 2.168402   6  
  15  3   16  -1   0    2      2     86.510901 2.482631  89.009782 1.069328  90.192565 1.818568   6  
  16  3   16   3   1    6      8     92.508196 1.849418  94.873776 1.211148  96.206537 1.801879   6  
  17  1   16   1   1    6      8     98.505489 0.966347  99.988153 1.225176 101.337542 2.668171   6  
  18  2   16   2   1    5      6    104.502783 1.449866 106.468558 0.991362 107.584723 2.418285   6  
  19  2   16   3   0    5      7    110.500062 1.799416 112.815687 0.850565 113.781919 2.218372   6  
  20  2   16   2   1    7      5    116.497340 1.832631 118.846302 0.737793 119.712573 2.285003   6  
