%% MetaTwinsTri_behave_Conf for '_guess': starting at chengye (       50.0000000000).9-Mar-2019 12:14:017.375135e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   10   4   1    5      6      2.498866 1.516321   4.531280 0.651863   5.297619 2.701458   6  
   2  4   10   4   1    2      6      8.496188 1.499600  10.511929 1.003736  11.644746 2.351550   6  
   3  1   10   1   1    5      3     14.510114 1.782920  16.809077 0.973954  17.908570 2.101777   6  
   4  2   10   2   1    2      3     20.507393 1.682814  22.706401 1.157138  23.989169 2.018457   6  
   5  2   10   4   0    5      3     26.504691 1.882842  28.903609 1.229088  30.252999 1.751917   6  
   6  1   10   4   0    6      4     32.501971 1.266441  34.284515 1.097134  35.500634 2.501581   6  
   7  2   10   2   1    2      4     38.499271 2.316006  41.331324 1.103299  42.547442 1.452005   6  
   8  3   10   3   1    1      3     44.496551 2.332697  47.345274 1.249849  48.711320 1.285332   6  
   9  3   10   4   0    5      4     50.510510 1.816139  52.842794 1.136876  54.092218 1.918535   6  
  10  3   10   1   0    3      1     56.507801 1.732891  58.756785 1.041381  59.922935 2.085092   6  
  11  2   10   3   0    5      4     62.505089 1.666299  64.687439 0.890994  65.703655 2.301669   6  
  12  3   10   3   1    2      3     68.502380 2.299376  71.317781 1.038702  72.483916 1.518673   6  
  13  4   10   4   1    3      4     74.499667 2.215907  77.231777 1.157386  78.514535 1.485274   6  
  14  4   10   4   1    6      3     80.513624 1.732933  82.762607 1.104930  83.995395 2.018463   6  
  15  3   10   4   0    5      3     86.510914 1.965964  88.993129 1.306161  90.425820 1.585318   6  
  16  1   10   1   1    2      1     92.508211 2.182585  95.206987 1.218734  96.539720 1.468727   6  
  17  1   10   1   1    3      1     98.505483 1.766175 100.787801 1.435074 102.337118 1.668615   6  
  18  3   10   1   0    5      1    104.502772 2.182738 107.201558 0.943399 108.267755 1.735196   6  
  19  3   10   1   0    5      6    110.500080 1.116337 112.132667 1.923710 114.181745 1.818411   6  
  20  3   10   3   1    7      6    116.514017 1.616273 118.646387 1.101676 119.862512 2.151744   6  
  21  4   10  -1   0    2      4    122.511315 2.499091 125.026862 1.097976 126.242965 1.768573   6  
  22  2   10   3   0    3      2    128.508578 1.666214 130.690956 1.376504 132.190284 1.818548   6  
  23  2   10   3   0    3      6    134.505886 1.999332 137.021425 1.704678 138.853934 1.152172   6  
  24  4   10   4   1    6      6    140.503185 1.849462 142.868774 1.009362 144.001606 2.001717   6  
  25  1   10   1   1    6      6    146.517125 1.899557 148.932709 1.646594 150.698576 1.318815   6  
  26  4   10   4   1    3      5    152.514429 2.165995 155.196546 1.932284 157.245612 0.769052   6  
  27  1   10   1   1    3      5    158.511721 2.232600 161.260470 1.231432 162.609846 1.402096   6  
  28  1   10   1   1    6      6    164.492354 1.116393 166.124948 1.354959 167.607602 2.384977   6  
  29  3   10   1   0    7      6    170.489634 1.649840 172.655313 1.090099 173.871437 2.118363   6  
  30  3   10   3   1    2      6    176.486923 2.032803 179.035787 1.169598 180.335193 1.651817   6  
