%% MetaTwins_RDMsc_training for 'chengye': starting at _feedback (       50.0000000000).9-Mar-2019 11:36:49 for '7.375135e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  11  3    4   0    0    2    2.499158   0    0  2.233098   4.848100 0.950961   5.914290 0.999537   6.913826   7.913381 1.086002   7  
   2  11  4    4   1    0    6    9.496001   0    0  1.549858  11.161901 1.531269  12.811155 0.999564  13.810719  14.810266 1.185957   7  
   3  11  3    3   1    0    3   16.492836   0    0  1.683240  18.292026 1.180470  19.591448 0.999533  20.590981  21.590540 1.402510   7  
   4  10  2    4   0    0    6   23.506321   0    0  2.016159  25.638705 0.569447  26.321733 0.999542  27.321275  28.320853 0.685697   6  
   5  10  1    3   0    0    6   29.503626   0    0  2.233327  31.852567 0.885310  32.852103 0.999546  33.851650  34.851216 1.152620   7  
   6  11  1    4   0    0    6   36.500462   0    0  1.483261  38.099742 1.148960  39.365839 0.999536  40.365375  41.364929 0.635733   6  
   7  11  1    4   0    0    6   42.497755   0    0  1.782893  44.396895 1.297269  45.812907 0.999562  46.812469  47.812027 1.185917   7  
   8  12  4    4   1    0    6   49.494592   0    0  2.149863  51.760245 1.137442  53.009665 0.999556  54.009221  55.008765 0.986008   7  
   9  12  2    4   0    0    6   56.491432   0    0  1.799634  58.407238 0.821271  59.356802 0.999555  60.356357  61.355890 0.635716   6  
  10  12  2    2   1    0    3   62.505373   0    0  2.016277  64.637707 0.934224  65.687296 0.999526  66.686822  67.686378 1.319177   7  
  11  12  4    3   0    0    3   69.502225   0    0  2.066272  71.684573 1.320259  73.133906 0.999561  74.133467  75.133028 0.869347   7  
  12  12  1    2   0    0    6   76.499060   0    0  2.132895  78.748040 0.669989  79.531031 0.999547  80.530578  81.530109 1.469102   7  
  13  13  4    4   1    0    6   83.495897   0    0  1.899675  85.511659 1.141601  86.777752 0.999541  87.777294  88.776834 1.219206   7  
  14  13  3    3   1    0    3   90.492736   0    0  1.849516  92.458503 1.104115  93.674629 0.999550  94.674178  95.673724 1.319155   7  
  15  12  1    1   1    0    3   97.489582   0    0  1.882983  99.488677 0.973917 100.588180 0.999546 101.587725 102.587273 1.402445   7  
  16  12  2    4   0    0    3  104.503078   0    0  2.033172 106.652104 1.035277 107.801573 0.999561 108.801134 109.800680 1.202524   7  
  17  12  2    4   0    0    6  111.499908   0    0  2.332714 113.948812 0.786272 114.848396 0.999557 115.847953 116.847498 1.152539   7  
  18  13  3    3   1    0    6  118.496744   0    0  1.433315 120.045955 0.863909 121.028941 0.999538 122.028479 123.028043 0.968827   6  
  19  13  4    1   0    0    6  124.494043   0    0  1.066776 125.676834 0.471970 126.276566 0.999556 127.276123 128.275663 0.718485   5  
  20  13  4    4   1    0    6  129.491774   0    0  1.666427 131.274304 0.608976 132.007306 0.999558 133.006864 134.006403 0.985485   6  
  21  13  1    1   1    0    5  135.489066   0    0  1.583056 137.188285 0.745614 138.054568 0.999555 139.054123 140.053671 0.935516   6  
  22  12  1    4   0    0    5  141.486370   0    0  1.483178 143.085636 1.339443 144.551641 0.999552 145.551193 146.550740 1.435717   7  
  23  12  3    3   1    0    6  148.499859   0    0  1.599826 150.215754 0.599150 150.932102 0.999547 151.931649 152.931187 1.068766   6  
  24  12  1    1   1    0    4  154.497149   0    0  1.499971 156.113094 0.863863 157.095980 0.999559 158.095539 159.095079 0.902147   6  
