%% MetaTwins_RDMsc_training for 'douyunli': starting at _feedback (       51.0000000000).1-Mar-2019 16:25:32 for '7.375157e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  80  3    3   1    0    6    2.498953   0    0  1.566511   4.181528 0.409477   4.714623 0.999568   5.714190   6.713715 1.285465   6  
   2  80  4    4   1    0    6    8.496243   0    0  2.332768  10.945136 0.498026  11.561545 0.999531  12.561076  13.560627 1.435861   7  
   3  72  1    1   1    0    6   15.493088   0    0  1.916177  17.525498 1.003698  18.658322 0.999544  19.657866  20.657415 1.335897   7  
   4  72  4    2   0    0    7   22.506601   0    0  1.832987  24.455702 0.477368  25.055437 0.999540  26.054976  27.054526 0.952282   6  
   5  72  2    2   1    0    7   28.503881   0    0  1.483059  30.103147 0.563522  30.786177 0.999556  31.785733  32.785273 1.218835   6  
   6  72  3    3   1    0    8   34.501159   0    0  1.949663  36.566900 0.492396  37.183283 0.999542  38.182826  39.182387 0.819002   6  
   7  64  2    2   1    0    8   40.498454   0    0  1.333373  41.947808 0.366896  42.430914 0.999554  43.430468  44.430019 0.568670   5  
   8  64  4    4   1    0    6   45.496205   0    0  1.749774  47.362014 0.461573  47.945100 0.999531  48.944631  49.944186 1.052235   6  
   9  57  3    3   1    0    7   51.510144   0    0  1.533306  53.159399 0.188264  53.475918 0.999553  54.475471  55.475016 0.535354   5  
  10  57  2    2   1    0    7   56.507892   0    0  1.466402  58.090517 0.715250  58.923459 0.999549  59.923008  60.922559 1.085554   6  
  11  51  4    2   0    0    6   62.505191   0    0  1.849676  64.470950 0.645085  65.237278 0.999558  66.236836  67.236377 0.769031   6  
  12  51  3    3   1    0    8   68.502465   0    0  1.450029  70.068436 0.284741  70.468248 0.999550  71.467798  72.467350 0.535345   5  
  13  51  1    1   1    0    8   73.500218   0    0  1.549823  75.166123 0.428766  75.715882 0.999545  76.715427  77.714970 1.285463   6  
  14  45  3    3   1    0    7   79.497508   0    0  1.599710  81.213400 0.458944  81.796472 0.999531  82.796003  83.795563 1.202161   6  
  15  45  3    3   1    0    6   85.511447   0    0  1.999761  87.627163 0.464362  88.210232 0.999544  89.209776  90.209325 0.802353   6  
  16  40  2    2   1    0    5   91.508744   0    0  1.699794  93.324591 0.383952  93.824359 0.999553  94.823912  95.823470 1.185495   6  
  17  40  1    1   1    0    8   97.506037   0    0  1.152376  98.772117 0.243374  99.138635 0.999533 100.138167 101.137719 0.868544   5  
  18  36  1    2   0    0    6  102.503763   0    0  1.849871 104.469542 0.761710 105.352496 0.999547 106.352042 107.351583 0.652420   6  
  19  36  4    4   1    0    6  108.501068   0    0  1.883122 110.500160 0.503692 111.116554 0.999543 112.116097 113.115646 0.885651   6  
  20  36  1    1   1    0    8  114.515021   0    0  1.083302 115.747791 0.333080 116.197576 0.999565 117.197141 118.196678 0.818560   5  
  21  32  2    2   1    0    8  119.512760   0    0  1.333365 120.962095 0.176013 121.261969 0.999539 122.261508 123.261065 0.751908   5  
  22  32  2    3   0    0    6  124.510490   0    0  1.583872 126.209730 0.400103 126.726161 0.999551 127.725712 128.725263 1.285468   6  
  23  32  2    3   0    0    5  130.507782   0    0  2.499405 133.123271 1.006170 134.256091 0.999547 135.255639 136.255196 0.752827   7  
  24  36  4    4   1    0    5  137.487969   0    0  1.749608 139.353786 0.424155 139.886889 0.999537 140.886426 141.885970 1.102050   6  
  25  36  1    1   1    0    8  143.501918   0    0  1.200046 144.817992 0.297930 145.234482 0.999537 146.234019 147.233567 0.768437   5  
  26  32  1    1   1    0    7  148.499664   0    0  2.282888 150.898575 0.807439 151.831508 0.999521 152.831029 153.830584 1.169151   7  
  27  32  1    1   1    0    5  155.496507   0    0  2.199554 157.812117 0.355016 158.295236 0.999559 159.294795 160.294321 0.702269   6  
  28  28  4    2   0    0    5  161.493779   0    0  1.666327 163.276313 0.889276 164.292520 0.999544 165.292065 166.291622 0.702281   6  
  29  28  3    3   1    0    8  167.491085   0    0  1.499930 169.107020 0.157783 169.390219 0.999549 170.389768 171.389314 0.601885   5  
  30  28  4    2   0    0    6  172.488815   0    0  2.266282 174.871079 0.598688 175.587424 0.999548 176.586972 177.586513 1.402439   7  
  31  28  4   -1   0    0    4  179.502320   0    0  0.000000 182.017874 0.204511 182.334364 0.999553 183.333917 184.333477 0.668996   6  
  32  28  2    2   1    0    8  185.499607   0    0  1.366558 186.982267 0.547398 187.648637 0.999545 188.648182 189.647731 1.352037   6  
  33  28  1    1   1    0    8  191.496905   0    0  1.266564 192.879603 0.069552 193.062859 0.999550 194.062409 195.061959 0.935102   5  
  34  25  4    4   1    0    5  196.494646   0    0  2.066267 198.676988 0.975616 199.776490 0.999556 200.776046 201.775581 1.219238   7  
  35  25  2    2   1    0    8  203.491477   0    0  1.733084 205.340649 0.191948 205.657167 0.999575 206.656742 207.656262 1.335404   6  
  36  22  4    4   1    0    5  209.505430   0    0  2.282835 211.904354 0.566016 212.587370 0.999540 213.586911 214.586461 1.419183   7  
