%% MetaTwinsTri_behave_Conf for '_guess': starting at douyunting (       51.0000000000).1-Mar-2019 17:06:017.375157e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   10   4   1    3      7      2.498867 1.199835   4.214757 0.728324   5.064377 2.934705   6  
   2  2   10   4   0    6      7      8.496160 1.616976  10.628540 1.391922  12.127844 1.868539   6  
   3  1   10   1   1    5      7     14.493438 1.532898  16.542501 0.789998  17.442091 2.551511   6  
   4  3   10   3   1    6      1     20.490728 1.833142  22.839664 0.576464  23.522690 2.468258   6  
   5  4   10   4   1    5      6     26.504654 1.266412  28.287195 0.774080  29.170103 2.834689   6  
   6  1   10   1   1    6      8     32.501945 1.116742  34.134542 1.514462  35.767123 2.234912   6  
   7  4   10   4   1    7      7     38.499212 0.883218  39.898587 1.207564  41.214647 2.784669   6  
   8  3   10   3   1    5      6     44.496494 1.882822  46.895414 1.239779  48.244826 1.751885   6  
   9  2   10   4   0    6      4     50.493784 1.866517  52.876036 0.520554  53.509081 2.484891   6  
  10  3   10   3   1    4      4     56.507711 2.166029  59.189832 1.646767  60.955693 1.052265   6  
  11  3   10   1   0    6      4     62.505002 1.483555  64.504112 1.286254  65.903473 2.101763   6  
  12  3   10   3   1    5      7     68.502275 1.166306  70.184858 0.511062  70.801243 3.201273   6  
  13  4   10   4   1    7      7     74.499570 0.950472  75.965579 1.114576  77.198359 2.801433   6  
  14  3   10   1   0    5      5     80.513512 1.965922  82.995715 1.611774  84.728253 1.285474   6  
  15  2   10   1   0    6      7     86.510812 1.599898  88.626499 0.908256  89.642707 2.368308   6  
  16  2   10   2   1    6      7     92.508065 1.866202  94.890319 1.516448  96.522933 1.485362   6  
  17  4   10   4   1    5      6     98.505352 1.600048 100.621064 0.941907 101.670580 2.334995   6  
  18  4   10   3   0    7      6    104.502631 2.016057 107.034835 0.951517 108.100997 1.901852   6  
  19  2   10   2   1    1      6    110.499918 2.499823 113.515221 0.993908 114.614711 1.385431   6  
  20  2   10   3   0    2      6    116.497180 1.466278 118.479614 0.634166 119.229281 2.768138   6  
  21  2   10   2   1    5      6    122.494482 1.267125 124.277011 1.702274 126.092867 1.901851   6  
  22  4   10   4   1    5      7    128.508417 1.466354 130.490847 1.037730 131.640342 2.368294   6  
  23  3   10   3   1    4      7    134.505748 2.133174 137.154503 1.343517 138.603845 1.402079   6  
  24  1   10  -1   0    3      1    140.502967 2.482395 143.001840 1.587549 144.701078 1.302106   6  
  25  1   10   4   0    2      7    146.500266 1.783069 148.799223 1.124267 150.032000 1.968500   6  
  26  4   10   4   1    4      7    152.497545 1.432986 154.446652 0.674113 155.229626 2.768073   6  
  27  3   10   3   1    6      7    158.494828 1.150053 160.160735 0.951516 161.226927 2.768128   6  
  28  4   10   4   1    7      7    164.492097 1.433053 166.441213 1.042778 167.590692 2.401530   6  
  29  1   10   1   1   -1      7    170.489394 2.383278 173.388073 0.000000 175.387173 0.602449   6  
  30  4   10   4   1    5      7    176.486660 1.216575 178.219208 1.253641 179.585252 2.401489   6  
  31  2   10   2   1    5      7    182.500611 1.300202 184.316464 1.143786 185.565880 2.434922   6  
  32  1   10   4   0    3      7    188.514542 2.099384 191.130033 1.518570 192.762641 1.252120   6  
  33  4   10   4   1   -1      7    194.511839 1.516770 196.544239 0.000000 198.543338 1.468704   6  
  34  3   10   3   1    5      8    200.509099 1.266268 202.291628 0.885529 203.291200 2.718138   6  
  35  4   10   4   1    6      7    206.506389 1.033418 208.055687 1.502730 209.671624 2.335017   6  
  36  1   10   1   1   -1      8    212.503668 0.849900 213.869720 0.000000 215.868717 2.135176   6  
  37  1   10   2   0    3      7    218.500941 2.016110 221.033135 0.646260 221.799455 2.201726   6  
  38  3   10   3   1    5      7    224.498233 1.749832 226.763880 1.062770 227.946675 2.051790   6  
  39  2   10   2   1    5      7    230.512157 1.199715 232.228062 1.598135 233.943952 2.068438   6  
  40  2   10   2   1    5      7    236.509460 1.583230 238.608508 1.646524 240.374387 1.635294   6  
  41  3   10   3   1    5      7    242.506726 1.549424 244.572468 1.015489 245.705274 2.301694   6  
  42  1   10   4   0    5      7    248.504026 1.266634 250.286546 0.657769 251.052870 2.951374   6  
  43  2   10   2   1    6      7    254.501289 1.233013 256.250495 0.169613 256.533720 3.467802   6  
  44  3   10   3   1   -1      7    260.498581 1.883111 262.897490 0.000000 264.896587 1.102219   6  
  45  2   10   1   0    4      7    266.495857 1.766268 268.778161 0.753699 269.644429 2.351645   6  
  46  3   10   4   0    6      6    272.493140 0.950215 273.959151 1.847153 275.924919 2.068456   6  
  47  4   10   4   1   -1      7    278.490412 1.416390 280.422890 0.000000 282.421892 1.568702   6  
  48  4   10   4   1    3      7    284.504373 0.783924 285.803770 1.130596 287.053210 2.951390   6  
  49  1   10   1   1    5      7    290.501645 1.266412 292.284165 0.570667 292.967215 3.034575   6  
  50  2   10   2   1    3      7    296.498933 1.983023 298.997788 1.340391 300.447132 1.552025   6  
  51  1   10   1   1    2      7    302.496200 2.149386 305.161659 1.286633 306.561030 1.435275   6  
  52  4   10   4   1    2      7    308.493492 1.666784 310.675839 1.136744 311.925269 2.068441   6  
  53  3   10   3   1    5      7    314.490767 1.266529 316.273283 0.522201 316.906331 3.084489   6  
  54  1   10   1   1    3      7    320.504710 0.750305 321.770805 0.000412 321.887415 4.117544   6  
  55  1   10   1   1   -1      6    326.501985 2.166057 329.184102 0.000000 331.183233 0.818982   6  
  56  3   10  -1   0    2      1    332.515936 2.499793 335.031461 1.643504 336.780637 1.235531   6  
  57  2   10   2   1    1      6    338.513197 2.449251 341.478527 1.890918 343.477621 0.535816   6  
  58  1   10   2   0    5      7    344.510497 1.317046 346.342998 0.818838 347.275917 2.734816   6  
  59  2   10   2   1    3      3    350.507760 1.616297 352.640151 0.367224 353.123260 2.884730   6  
  60  1   10   1   1   -1      7    356.505051 1.799857 358.820693 0.000000 360.819775 1.185510   6  
]; % This session completes at 31-Mar-2019 17:12:18, 364.003s after session start, 360s on 60 trials, totally 377.724s.

