%% MetaTwins_RDMsc_training for 'douyunting': starting at _feedback (       51.0000000000).1-Mar-2019 16:31:37 for '7.375157e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1   9  3    3   1    0    5    2.498814   0    0  1.399884   4.048157 0.084130   4.248087 0.999533   5.247620   6.247171 0.751903   5  
   2   9  3    4   0    0    5    7.496611   0    0  1.700742   9.312428 0.035022   9.462359 0.999426  10.461785  11.461480 0.535351   5  
   3   9  4    4   1    0    5   12.494333   0    0  1.666464  14.276852 0.175558  14.560061 0.999545  15.559607  16.559155 1.435328   6  
   4   9  3    1   0    0    5   18.491535   0    0  1.267680  19.874316 0.131509  20.124219 0.999539  21.123757  22.123303 0.868543   5  
   5   9  2    4   0    0   -1   23.489348   0    0  2.216284  25.854949 0.000000  27.854063 0.999508  28.853572  29.853144 1.136327   8  
   6   9  4    4   1    0    3   31.502385   0    0  1.366560  33.001724 1.253945  34.367751 0.999543  35.367294  36.366857 0.635621   6  
   7   9  2    3   0    0    3   37.499671   0    0  2.234364  39.865276 1.288964  41.264631 0.999530  42.264161  43.263721 0.736149   7  
   8   9  1    4   0    0    3   44.496490   0    0  1.783130  46.395633 0.542168  47.045327 0.999553  48.044879  49.044438 0.952091   6  
   9  10  2    3   0    0    2   50.510373   0    0  2.034019  52.659470 1.778670  54.558604 0.999541  55.558145  56.557686 1.453001   8  
  10  10  1    2   0    0    3   58.506798   0    0  2.032968  60.689177 1.757401  62.554966 0.999549  63.554515  64.554072 1.452957   8  
  11  11  2    3   0    0    3   66.503180   0    0  2.282916  68.952070 0.745669  69.818349 0.999541  70.817890  71.817442 1.185966   7  
  12  11  3   -1   0    0   -1   73.500011   0    0  0.000000  76.015536 0.000000  78.014615 0.999556  79.014172  80.013708 0.986537   8  
  13  11  3   -1   0    0    2   81.496378   0    0  0.000000  84.011942 0.124032  84.245134 0.999547  85.244680  86.244235 0.752373   6  
  14  11  3    3   1    0    1   87.510343   0    0  2.350261  90.009193 0.397477  90.525571 0.999544  91.525115  92.524719 1.485832   7  
  15  11  3    3   1    0    2   94.507146   0    0  1.783083  96.422976 0.624025  97.155972 0.999520  98.155492  99.155056 0.852314   6  
  16  10  4    3   0    0    4  100.504435   0    0  1.933844 102.586832 1.264762 103.969539 0.999530 104.969068 105.968617 1.036057   7  
  17  10  3    3   1    0    4  107.501257   0    0  2.432866 110.050101 1.223964 111.382825 0.999555 112.382380 113.381937 0.619538   7  
  18  10  1    1   1    0    3  114.498092   0    0  1.334193 115.980755 0.987859 117.080253 0.999506 118.079759 119.079338 0.918989   6  
  19   9  4    4   1    0    3  120.495358   0    0  1.200135 121.861432 1.884479 123.860504 0.999568 124.860072 125.859604 1.135938   7  
  20   9  4    3   0    0    4  127.492192   0    0  2.032840 129.707871 0.473400 130.290929 0.999536 131.290466 132.290033 0.702313   6  
  21   9  3   -1   0    0    4  133.489490   0    0  0.000000 136.005013 0.190577 136.304877 0.999547 137.304425 138.303977 0.685587   6  
  22   9  2    4   0    0    4  139.486753   0    0  1.166708 140.786180 0.333568 141.235963 0.999551 142.235514 143.235062 0.751788   5  
  23  10  3   -1   0    0   -1  144.501161   0    0  0.000000 147.016688 0.000000 149.015771 0.999530 150.015302 151.014863 0.986509   8  
  24  10  4    3   0    0    2  152.514174   0    0  1.183407 153.830295 0.959953 154.896441 0.999562 155.896003 156.895538 1.118878   6  
  25  10  1    1   1    0    4  158.511479   0    0  1.850494 160.510594 0.691751 161.310206 0.999543 162.309749 163.309292 0.702424   6  
  26  10  1    1   1    0    2  164.508752   0    0  1.366621 166.041379 1.052575 167.207515 0.999555 168.207070 169.206631 0.802346   6  
  27   9  2    2   1    0    4  170.506039   0    0  2.300457 172.971588 0.388804 173.471359 0.999552 174.470911 175.470441 0.535847   6  
  28   9  2    1   0    0    4  176.503303   0    0  1.999645 178.652311 0.811959 179.585256 0.999530 180.584786 181.584347 1.419183   7  
  29   9  1    4   0    0    4  183.500135   0    0  1.200052 184.866199 0.343224 185.316005 0.999518 186.315523 187.315087 0.685287   5  
  30  10  4    2   0    0    3  188.497876   0    0  2.233998 190.896788 1.179475 192.196259 0.999494 193.195753 194.195276 0.802829   7  
  31  10  3    4   0    0    4  195.494695   0    0  1.683234 197.343874 0.370731 197.826982 0.999540 198.826522 199.826073 1.168865   6  
  32  11  4    3   0    0    2  201.508647   0    0  2.283838 203.924223 1.122740 205.157004 0.999541 206.156545 207.156081 0.852784   7  
  33  11  4   -1   0    0    1  208.505462   0    0  0.000000 211.020999 0.209816 211.337540 0.999582 212.337123 213.336621 0.669080   6  
  34  11  1    3   0    0    5  214.502765   0    0  2.416984 217.034940 1.056741 218.201079 0.999543 219.200622 220.200168 0.802825   7  
  35  12  3    3   1    0    1  221.499576   0    0  2.266139 223.881837 0.683132 224.681472 0.999537 225.681009 226.680567 1.319197   7  
  36  12  4    4   1    0    1  228.496414   0    0  1.134275 229.795843 0.753822 230.662094 0.999557 231.661651 232.661186 1.335461   6  
  37  11  2    3   0    0    1  234.493687   0    0  1.699667 236.359526 0.276425 236.742666 0.999552 237.742219 238.741765 1.252056   6  
  38  11  3    1   0    0    1  240.490919   0    0  2.050418 242.673325 0.216479 243.006511 0.999543 244.006054 245.005598 0.985568   6  
  39  12  2   -1   0    0    2  246.488260   0    0  0.000000 249.003810 0.112068 249.220350 0.999535 250.219885 251.219443 0.768897   6  
  40  12  2    2   1    0    2  252.485480   0    0  2.000830 254.601242 0.101432 254.817820 0.999539 255.817358 256.816916 1.168816   6  
  41  12  2    3   0    0    3  258.516131   0    0  1.649840 260.298466 0.113075 260.531880 0.999544 261.531424 262.530981 1.485380   6  
  42  12  4    1   0    0    2  264.513428   0    0  2.233869 266.895673 0.989134 267.995168 0.999558 268.994726 269.994274 1.019374   7  
  43  13  2   -1   0    0    3  271.510232   0    0  0.000000 274.025791 0.136998 274.275646 0.999576 275.275222 276.274746 0.735718   6  
  44  13  4    4   1    0    4  277.507525   0    0  1.068487 278.740305 0.341924 279.190095 0.999561 280.189656 281.189184 0.818569   5  
  45  13  2    3   0    0    2  282.505256   0    0  2.266243 284.987490 0.348568 285.453911 0.999548 286.453460 287.453022 0.552455   6  
  46  13  1    3   0    0    3  288.502535   0    0  2.383601 291.001307 0.126977 291.234563 0.999597 292.234160 293.233712 0.769050   6  
