%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at huangyongguang (       48.0000000000).6-Apr-2019 12:31:307.375215e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   14  -1   0    1    2.498950 0.000000   5.014506 1.405844   6.547114 1.452046   6  
   2  3   14   2   0    6    8.496234 1.684474  10.295402 1.022501  11.444888 2.551570   6  
   3  4   14   4   1    7   14.493495 1.233564  15.842869 0.000932  15.959484 4.034155   6  
   4  4   14   1   0    5   20.490770 1.517974  22.123351 0.453535  22.689771 3.301170   6  
   5  1   14   1   1    5   26.488026 1.483203  28.087324 1.066939  29.270093 2.718005   6  
   6  1   14   1   1    6   32.501974 1.601671  34.217853 0.376638  34.717618 3.284592   6  
   7  2   14   2   1    5   38.515879 1.366857  39.998548 0.092471  40.215119 3.800996   6  
   8  2   14   2   1    5   44.513163 1.617687  46.245686 0.061767  46.428955 3.584428   6  
   9  1   14   1   1    7   50.510421 1.699905  52.342935 0.208096  52.676110 3.334544   6  
  10  4   14   2   0    2   56.507703 1.984189  58.606754 0.880297  59.606221 2.401709   6  
  11  4   14   4   1    3   62.504962 1.699876  64.320829 0.681234  65.120439 2.884757   6  
  12  1   14   1   1    5   68.502168 1.584155  70.234785 0.165659  70.517997 3.484484   6  
  13  1   14   1   1    2   74.499510 2.199599  76.815134 0.991662  77.931274 2.068454   6  
  14  2   14   2   1    6   80.496795 1.417665  82.029427 0.395335  82.545851 3.451159   6  
  15  2   14   2   1    3   86.494044 2.166323  88.776345 1.088429  89.992468 2.001737   6  
  16  1   14   1   1    6   92.491327 1.533447  94.140595 0.142318  94.407120 3.584299   6  
  17  3   14   2   0    3   98.488588 2.049491 100.654268 0.819773 101.587178 2.401489   6  
  18  4   14   2   0    1  104.502522 2.283555 106.901431 0.736535 107.751024 2.251718   6  
  19  1   14   1   1    6  110.499800 1.816396 112.432241 0.511599 113.065283 2.934738   6  
  20  4   14   2   0    2  116.513729 2.150757 118.779358 0.649993 119.545673 2.468269   6  
  21  1   14   1   1    6  122.510983 1.516693 124.160271 0.464414 124.743311 3.267905   6  
  22  2   14   2   1    2  128.508272 1.934098 130.557334 0.675859 131.356969 2.651516   6  
  23  3   14   4   0    1  134.505529 2.116245 136.737855 1.266549 138.120551 1.885208   6  
